src_node_id,dst_node_id,relation_type,evidence_label,case_title
c001M01N01,s001M02EX03,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M01N02,s001M02TA04,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M01N03,s001M02TA02,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M01N04,s001M02KH01,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M01N05,s001M02KH01,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M01N06,s001M02TR03,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M01N07,s001M02TP01,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M01N08,s001M02TE02,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M01N09,s001M02TE02,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M01N10,s001M02TE02,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M01N11,s001M02ED01,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M01N12,s001M02LI01,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M01N13,s001M02LI01,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M01N14,s001M02EX03,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M01N15,s001M02TE02,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M02N01,s001M02EX01,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M02N02,s001M02EX01,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M02N03,s001M02EX01,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M02N04,s001M02EX01,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M02N08,s001M02TA04,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M02N10,s001M02TA04,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M02N13,s001M02KH01,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M02N18,s001M02TP03,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M02N19,s001M02TP01,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M02N23,s001M02TE02,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M02N24,s001M02TE02,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M02N26,s001M02TE05,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M02N27,s001M02TE02,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M02N28,s001M02OD05,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M02N29,s001M02OD05,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M02N30,s001M02OD05,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M02N31,s001M02OD06,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M02N35,s001M02LI01,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M02N36,s001M02LI01,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M02N37,s001M02LI03,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M02N38,s001M02LI03,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M02N39,s001M02LI01,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c002M01N01,s001M02TA01,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c002M01N02,s001M02KH01,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c002M01N03,s001M02EX01,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c002M01N04,s001M02EX01,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
