sub_category_id,sub_category,node_id,node_name,evidence_statement,adjust_sub_category_id,adjust_sub_category
"TK05","Practised Motor and Tool-Operation Skill","c209M01N07","surgical skills","The study evaluated whether the models enhanced anatomical knowledge and surgical skills.","TK05","Practised Motor and Tool-Operation Skill"
"TK06","Trained Sensory and Perceptual Recognition","c209M01N08","spatial understanding of anatomical structures","The novel method significantly enhanced students' spatial understanding of anatomical structures.","TK06","Trained Sensory and Perceptual Recognition"
"TK06","Trained Sensory and Perceptual Recognition","c209M01N09","understanding of vascular spatial relationships","The 3DP group was rated significantly higher for understanding vascular spatial relationships.","TK06","Trained Sensory and Perceptual Recognition"
"TK02","Knowledge Conveyed Through Examples or Demonstration","c209M01N10","segmental and subsegmental localization and resection techniques","Students and surgeons could grasp techniques for segmental and subsegmental localization and resection through demonstration with the 3DP model.","TK02","Knowledge Conveyed Through Examples or Demonstration"
"TK06","Trained Sensory and Perceptual Recognition","c209M02N03","3D spatial cognition of lung anatomy","This novel teaching method significantly enhances students' spatial understanding of anatomical structures","TK06","Trained Sensory and Perceptual Recognition"
"TK06","Trained Sensory and Perceptual Recognition","c209M02N04","Intraoperative vascular injury avoidance skills","understand how to avoid intraoperative vascular injuries","TK06","Trained Sensory and Perceptual Recognition"
"TK10","Shared Professional Norms and Standards of Judgment","c209M02N05","Safe margin-affected lung segment identification ability","No significant differences were found between the two groups regarding... identification of the lung segment range influenced by the safety margin","TK10","Shared Professional Norms and Standards of Judgment"
"TK13","AmbiguousTacit Knowledge(*)","c209M02N06","Knowledge acquisition ease (3DP model)","3DP group demonstrated superiority in the ease of knowledge acquisition","TK13","AmbiguousTacit Knowledge(*)"
"TK06","Trained Sensory and Perceptual Recognition","c209M02N07","Complex anatomical pathology comprehension","3DP models offer precise, individualized, and life-size physical models that help interns better grasp the spatial relationships between tumors, bronchi, and vascular structures","TK06","Trained Sensory and Perceptual Recognition"
"TK05","Practised Motor and Tool-Operation Skill","c210M01N07","Practical manoeuvres for PIVC placement","A thirteen-item checklist and onsite observation assessed nurses’ performance in practical PIVC placement manoeuvres.","TK05","Practised Motor and Tool-Operation Skill"
"TK10","Shared Professional Norms and Standards of Judgment","c210M02N07","Anatomical vein selection reasoning skills","Scientific basis and evaluation criteria for vein selection; Vein localisation methods based on anatomical features","TK10","Shared Professional Norms and Standards of Judgment"
"TK05","Practised Motor and Tool-Operation Skill","c210M02N08","Hands-on PIVC cannulation technique","Practical manoeuvres for PIVC placement assessed through 13-item observation checklist","TK05","Practised Motor and Tool-Operation Skill"
"TK10","Shared Professional Norms and Standards of Judgment","c210M02N09","Catheter type selection and placement protocols","Catheter selection strategies; PIVC placement protocols; Standardised preparation process for PIVC placement","TK10","Shared Professional Norms and Standards of Judgment"
"TK10","Shared Professional Norms and Standards of Judgment","c210M02N10","Aseptic handling during catheter insertion","Principles of asepsis and patient safety during tube insertion","TK10","Shared Professional Norms and Standards of Judgment"
"TK06","Trained Sensory and Perceptual Recognition","c210M02N11","PIVC complication recognition and prevention routine","Post-intubation care assessment and complication prevention programme; Early recognition of treatment-related complications","TK06","Trained Sensory and Perceptual Recognition"
"TK05","Practised Motor and Tool-Operation Skill","c210M02N12","Venous filling promotion maneuvers","Effective means of promoting venous filling prior to cannulation","TK05","Practised Motor and Tool-Operation Skill"
"TK13","AmbiguousTacit Knowledge(*)","c211M01N06","clinical experiences","The community enables physicians to share clinical experiences across regions, specialties, and knowledge backgrounds.","TK13","AmbiguousTacit Knowledge(*)"
"TK13","AmbiguousTacit Knowledge(*)","c211M01N07","professional insights","Physicians use online communities to exchange professional insights.","TK13","AmbiguousTacit Knowledge(*)"
"TK13","AmbiguousTacit Knowledge(*)","c211M01N08","specialized expertise","The paper states that physicians acquire specialized expertise from peers through reciprocal contribution and exchange.","TK13","AmbiguousTacit Knowledge(*)"
