node_id,node_name,category,evidence_label,case_title,evidence_statement,object_definition,evidence_location
c002M01N01,Traditional craftsmanship skills,Tacit Knowledge,E,Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings,The craftsmanship process such as wooden construction and rammed earth technology are recorded in sequence.,Specific uncodified construction know-how possessed by historical craftsmen.,"Page 2, Section 2.1.3"
c002M01N02,Traditional Artisans,Knowledge Holder,E,Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings,Bulgaria's digital authorization system for intangible cultural heritage (ICH) skills raised traditional artisans income by 40%.,Specific roles or experts possessing physical cultural craft knowledge.,"Page 7, Section 4.2.1"
c002M01N03,Technical Standard for Digitalization of Historical Buildings (2021),Explicit Knowledge,E,Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings,A graded protection framework is proposed based on Technical Standards for Historical Building Digitization (2021).,Rule-based national technical guideline for modeling metrics.,"Page 2, Section 1.2.1"
c002M01N04,Digital Protection Standard for Intangible Cultural Heritage (2023),Explicit Knowledge,E,Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings,A dynamic narrative system is proposed under the standard of Digital Protection of Intangible Cultural Heritage (2023).,Rule-based cataloguing standard for safeguarding intangible heritage.,"Page 2, Section 1.2.2"
c002M01N05,Historical knowledge and cognition of wartime life,Tacit Knowledge,E,Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings,The dynamic narrative technology triggered events by timelines... which improved the understanding of history by more than 50%.,The mental understanding and retention of historical facts absorbed by visitors.,"Page 6, Section 3.3"
c002M01N06,Visitors,Knowledge Holder,E,Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings,Digital technology can improve visitors' immersion in virtual experience (the VR stay rate has been increased by 40%).,The consumers or individuals absorbing the preserved historical knowledge.,"Page 1, Abstract"
c002M01N07,Paper-based Surveying,Traditional Human-central Practice,E,Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings,"1st (1930s) Paper-based Surveying, 2D Planar, 5-8% error rate.",Legacy non-digital physical drafting approach.,"Page 7, Section 4.3"
c002M01N08,Total Station Surveying,Traditional Human-central Practice,E,Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings,"2nd (1980s) Total Station + Film Photography, 2-3% error rate.",Legacy electronic but human-driven distance measurement method.,"Page 7, Section 4.3"
c002M01N09,Traditional exhibition methods / physical display,Traditional Human-central Practice,E,Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings,"Compared with traditional exhibition, VR exhibition hall extended average stay time for 22 minutes.","Static, physical display workflows utilizing text and pictures.","Page 3, Section 2.3.2"
c002M01N10,3D Laser Scanning (FARO Focus S350 / Leica RTC360),Technology-enable Practice,E,Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings,FARO Focus S350 realizes millimeter-level point cloud modeling... average error margin <0.5%.,Digital capture workflow for geometric point cloud construction.,"Page 2, Section 2.1.1"
