node_id,node_name,category,evidence_label,case_title,evidence_statement,object_definition,evidence_location,Unnamed: 8
c101M01N01,tacit operational knowledge of the informal maintenance process,Tacit Knowledge,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,The evaluation aimed to transform tacit knowledge of the informal maintenance process into a structured AS-IS model.,Knowledge describing how the informal reactive-maintenance workflow is actually performed.,"Page 5, Section 3.2",
c101M02N01,Unofficial machine repair know-how,Tacit Knowledge,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,"Tacit knowledge—the unwritten, experience-based insights people carry in their heads—is notoriously difficult to articulate","The unwritten, experience-based insights people carry in their heads",Page 1,
c101M02N33,Operator's verbal description of machine anomaly,Tacit Knowledge,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,operator verbally explains the problem,Oral communication of machine fault,Page 5,
c102M01N01,Human action intentions,Tacit Knowledge,E,Large Language Model For Humanoid Cognition In Proactive Human-Robot Collaboration,The validation test applies a pre-trained video-text LLM to learn human action intentions from temporal video.,Intentions represented through human actions and inferred from temporal video.,"Section III-B, pp. 542-543; Table II",
c102M01N02,Robot operational skills,Tacit Knowledge,E,Large Language Model For Humanoid Cognition In Proactive Human-Robot Collaboration,The LLM-based method enables a robot to acquire skills from a task description.,Robot manipulation capabilities acquired for physical task execution.,"Section III-C, p. 543",
c102M02N12,Real-time spatial behaviors,Tacit Knowledge,E,Large Language Model For Humanoid Cognition In Proactive Human-Robot Collaboration,perceive intricate environments,Uncodified awareness of environmental space,Page 1,
c102M02N13,Collaborative coordination skills,Tacit Knowledge,E,Large Language Model For Humanoid Cognition In Proactive Human-Robot Collaboration,bi-directional assistance and feedback between humans and robots,Uncodified skills for human-robot interaction,Page 2,
c102M02N14,Robot learning and adaptation skills,Tacit Knowledge,E,Large Language Model For Humanoid Cognition In Proactive Human-Robot Collaboration,acquire new operational skills through human-robot interaction or curriculum learning,Uncodified robot adaptation capabilities,Page 2,
c102M02N15,Human-robot conversational feedback,Tacit Knowledge,E,Large Language Model For Humanoid Cognition In Proactive Human-Robot Collaboration,human-LLM-robot and robot-LLM-human conversations,Uncodified feedback exchange between humans and robots,Page 2,
c103M01N01,body-conducted-sound-observable handwork skills,Tacit Knowledge,E,Deep Extreme Learning Machine With Its Application To Body-Conducted-Sound-Based Handwork Recognition,"The test subject performed 12 active handwork types involving ballpoint-pen drawing and writing, keyboard typing, mouse operation, paper cutting, folding and stapling, material-specific grasping, and repeated plastic-bottle-cap operation.","Human handwork skills manifested through hand gestures, muscle and tendon activity, and hand-object contact vibrations that can be observed through body-conducted sounds.","Abstract; Introduction, p. 1; Section 3.2, p. 4",
c103M02N01,Handwork performance skills,Tacit Knowledge,E,Deep Extreme Learning Machine With Its Application To Body-Conducted-Sound-Based Handwork Recognition,Body-conducted sounds can be considered a mixture of the vibration of the muscle activities involved in hand gestures and the vibration of the hand as it contacts objects.,"Uncodified manual skills, gestures, and behaviors involved in performing handwork activities, including hand gestures and hand-contact object interactions.",Section 1,
