"node_id","node_name","category","evidence_label","case_title","evidence_statement","object_definition","evidence_location","sub_category_id","sub_category"
"c209M02N21","Clinical interns (baseline knowledge holders)","Knowledge Holder","E","From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection","A total of 62 fourth-year clinical medicine undergraduate students who completed their internship","Medical students who have completed basic and clinical courses, possessing foundational medical knowledge before the intervention.","Page 2, Participants and grouping","KH15","Other (*) – Insufficient Evidence of a Knowledge-Holding Role"
"c209M02N22","Thoracic Surgery Department staff","Knowledge Holder","I","From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection","Thoracic Surgery Department, Affiliated Hospital of Hebei University","Organisational unit with collective surgical expertise and knowledge of thoracoscopic procedures.","Page 1, Authors' affiliations","KH14","Organizational and Inter-organizational Collectives"
"c209M02N23","3D Image and 3D Printing Center staff","Knowledge Holder","I","From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection","3D Image and 3D Printing Center, Affiliated Hospital of Hebei University","Technical team with expertise in 3D reconstruction, model design, and 3D printing processes.","Page 1, Authors' affiliations","KH14","Organizational and Inter-organizational Collectives"
"c210M01N08","Nurses with PIVC placement qualifications","Knowledge Holder","E","Impact Of A Wechat-Based Intervention On Nurses Knowledge And Practice In Peripheral Venous Catheter Insertion","Eligibility required a current clinical nursing role with PIVC placement qualifications.","Clinically active nurses qualified to perform PIVC placement.","PDF p. 2; Study design and sample","KH03","Frontline and Operational Practitioners"
"c210M01N12","Specialist intravenous therapy nurses","Knowledge Holder","E","Impact Of A Wechat-Based Intervention On Nurses Knowledge And Practice In Peripheral Venous Catheter Insertion","Three specialist intravenous therapy nurses participated in content validation; qualified specialist nurses also served as practical assessors.","Nurses with specialist expertise in intravenous therapy.","PDF p. 3; Data collection","KH06","Domain Experts and Expert Reviewers"
"c210M01N13","Clinical nurse specialist","Knowledge Holder","E","Impact Of A Wechat-Based Intervention On Nurses Knowledge And Practice In Peripheral Venous Catheter Insertion","One clinical nurse specialist participated in assessing questionnaire content validity.","A specialist nursing professional who contributed to content validation.","PDF p. 3; Data collection","KH06","Domain Experts and Expert Reviewers"
"c210M02N13","Intervention group nurses (n=64)","Knowledge Holder","E","Impact Of A Wechat-Based Intervention On Nurses Knowledge And Practice In Peripheral Venous Catheter Insertion","64 assigned to the intervention group","Nurses (n=64) who received the WeChat-based educational intervention, with mean age 29.31 years, 93.75% female, 53.12% junior college education, 48.44% with <2 years experience.","Page 4-5","KH03","Frontline and Operational Practitioners"
"c210M02N14","Control group nurses (n=59)","Knowledge Holder","E","Impact Of A Wechat-Based Intervention On Nurses Knowledge And Practice In Peripheral Venous Catheter Insertion","59 to the control group","Nurses (n=59) who did not receive the educational intervention, with mean age 28.15 years, 94.92% female, 47.46% junior college education, 59.93% with <2 years experience.","Page 4-5","KH03","Frontline and Operational Practitioners"
"c211M01N09","knowledge contributors","Knowledge Holder","E","How Does Physician Stress Impact Knowledge-Sharing Behaviors?Evidence From Online Physician Communities","The practical discussion identifies physicians who contribute knowledge and receive recognition from knowledge seekers.","Physicians who create or supply knowledge in the community.","Sections 2.1 and 6.3, PDF pages 2 and 13","KH12","Peer Knowledge Contributors"
"c211M01N11","verified practitioners","Knowledge Holder","E","How Does Physician Stress Impact Knowledge-Sharing Behaviors?Evidence From Online Physician Communities","Credential verification ensures that the collected posts and comments originate from verified healthcare practitioners.","Healthcare practitioners authenticated by DXY for posting and commenting.","Section 4.1, PDF page 5","KH03","Frontline and Operational Practitioners"
"c211M02N07","Physicians as knowledge holders","Knowledge Holder","E","How Does Physician Stress Impact Knowledge-Sharing Behaviors?Evidence From Online Physician Communities","Data were collected from DXY.cn... 198 active users... all data originates from verified practitioners","Licensed physicians who possess and share clinical knowledge","Page 5, Section 4.1","KH03","Frontline and Operational Practitioners"
"c212M01N09","Instructors","Knowledge Holder","E","The Influence Of Education Using Artificial Intelligence Technologies On The Formation Of Moral Behavior And Self-Efficacy In Medical Students","Five Sechenov University instructors designed the research program, conducted training, and evaluated participants.","University instructors responsible for program design, training delivery, and participant evaluation.","PDF pp. 3-4, Methods and Materials, Participants","KH11","Educators, Trainers, and Mentors"
"c212M02N11","Instructors (Sechenov University)","Knowledge Holder","E","The Influence Of Education Using Artificial Intelligence Technologies On The Formation Of Moral Behavior And Self-Efficacy In Medical Students","Five instructors from Sechenov University were responsible for designing the research program, conducting training, and evaluating the experimental participants. The instructors held doctoral degrees and had at least 10 years of professional experience.","University faculty members with doctoral degrees and minimum 10 years professional experience who designed research program, conducted training, and evaluated participants in the study.","Page 4","KH11","Educators, Trainers, and Mentors"
"c212M02N12","Physicians (practitioners)","Knowledge Holder","E","The Influence Of Education Using Artificial Intelligence Technologies On The Formation Of Moral Behavior And Self-Efficacy In Medical Students","Physicians encounter patient interaction challenges more frequently, as indicated by a higher mean score and statistically significant deviation from results observed among nurses. Issues with colleagues were often due to attempts to conceal inadequate competence.","Practicing medical doctors who face ethical challenges in patient interactions and professional relationships, identified through survey and interview responses.","Page 7","KH05","Scientific, Engineering, and Technical Professionals"
"c212M02N13","Nursing staff (mid-level practitioners)","Knowledge Holder","E","The Influence Of Education Using Artificial Intelligence Technologies On The Formation Of Moral Behavior And Self-Efficacy In Medical Students","The study involved 150 nurses working in key areas of medicine: therapy, surgery, and obstetrics-gynecology. The average age of participants was 37 years. Of the 150 participants, 68% were male and 32% female.","Practicing nurses working in therapy, surgery, and obstetrics-gynecology with average age 37 years, possessing substantial knowledge and skills in medicine and engaged in specialized disciplines including ethical principles.","Page 3","KH03","Frontline and Operational Practitioners"
"c213M01N20","participating healthcare provider nodes","Knowledge Holder","E","Blockchain-Enabled Predictive Digital Twin Approach For Healthcare: Enhancing Accuracy And Performance With Federated Learning","Each healthcare provider operates as an independent node, retains local data, and trains predictive models.","Healthcare institutions holding local clinical or supplier data and locally trained models.","Sections 5.1-5.2, pp. 4-5","KH14","Organizational and Inter-organizational Collectives"
"c213M02N01","Healthcare Institutions (Nodes A–J)","Knowledge Holder","E","Blockchain-Enabled Predictive Digital Twin Approach For Healthcare: Enhancing Accuracy And Performance With Federated Learning","each stakeholder (healthcare provider) acts as an independent node","Independent participants in the blockchain network holding local data and models","Section 5.1","KH14","Organizational and Inter-organizational Collectives"
"c214M01N13","human factor engineering experts","Knowledge Holder","E","Revolutionizing Safety Training: Enhancing Safety Knowledge Acquisition, Retention, And User Experience With Adaptive Vr-Llm Integration","Human factor engineering experts experienced in nuclear safety training reviewed and validated the compiled content.","Experts who validated safety content for reliability and professional compliance.","Section 4.3, PDF page 7","KH06","Domain Experts and Expert Reviewers"
"c214M02N16","Trainees","Knowledge Holder","E","Revolutionizing Safety Training: Enhancing Safety Knowledge Acquisition, Retention, And User Experience With Adaptive Vr-Llm Integration","A total of 90 participants (36.67% female, 63.33% male; M = 23.5 years old) were identified for the experiment. The participants were then randomly assigned to one of three groups","Primary recipients of nuclear safety training","Section 5.1, Page 9","KH15","Other (*) – Insufficient Evidence of a Knowledge-Holding Role"
"c214M02N18","Experienced workers departing nuclear facilities","Knowledge Holder","E","Revolutionizing Safety Training: Enhancing Safety Knowledge Acquisition, Retention, And User Experience With Adaptive Vr-Llm Integration","These challenges are further compounded by personnel turnover, with the constant influx of new hires and departure of experienced workers creating gaps in knowledge transfer","Veteran personnel possessing tacit operational knowledge who are leaving","Section 2.2, Page 3","KH03","Frontline and Operational Practitioners"
"c215M02N13","CAS-BP dataset knowledge repository","Knowledge Holder","E","Bpbls: A Knowledge-Embedded Bi-Incremental Broad Learning System For Wearable Cuffless Blood Pressure Estimation","CAS-BP dataset... comprises 10,146 measurements collected from 1,272 subjects","Dataset that holds BP measurement knowledge from multiple subjects.","Page 7","KH16","Ambiguous Knowledge Holder(*)"
"c215M02N14","Aurora-BP dataset knowledge repository","Knowledge Holder","E","Bpbls: A Knowledge-Embedded Bi-Incremental Broad Learning System For Wearable Cuffless Blood Pressure Estimation","Aurora-BP dataset comprises measurements from 1,125 individuals","Dataset that holds BP measurement knowledge from multiple subjects.","Page 7","KH16","Ambiguous Knowledge Holder(*)"
"c215M02N15","SBP and DBP auscultation reference measurements","Knowledge Holder","E","Bpbls: A Knowledge-Embedded Bi-Incremental Broad Learning System For Wearable Cuffless Blood Pressure Estimation","In physiological measurements, SBP represents the pressure in the arteries when the heart beats, while DBP represents the pressure when the heart is at rest between beats.","SBP and DBP values that inherently contain knowledge of cardiovascular health.","Page 4","KH16","Ambiguous Knowledge Holder(*)"
"c215M02N16","Individual subjects (patients) with varied BP levels","Knowledge Holder","E","Bpbls: A Knowledge-Embedded Bi-Incremental Broad Learning System For Wearable Cuffless Blood Pressure Estimation","the average pulse pressure for each person","Individual patients whose physiological data contains knowledge of their unique BP patterns.","Page 4","KH15","Other (*) – Insufficient Evidence of a Knowledge-Holding Role"
"c216M01N62","American Heart Association","Knowledge Holder","E","Usability Of Mixed Reality For Naloxone Training: Iterative Development And Field Testing Of Revivexr","The platform used CPR training guidelines provided by the American Heart Association.","Organization providing the CPR guidelines used in ReviveXR.","Section 2.3, PDF page 5","KH09","Public Authorities, Regulators, and Standard-Setting Bodies"
"c216M01N63","Substance Abuse and Mental Health Services Administration","Knowledge Holder","E","Usability Of Mixed Reality For Naloxone Training: Iterative Development And Field Testing Of Revivexr","The platform used naloxone training guidelines provided by SAMHSA.","Organization providing the naloxone guidelines used in ReviveXR.","Section 2.3, PDF page 5","KH09","Public Authorities, Regulators, and Standard-Setting Bodies"
