node_id,node_name,category,evidence_label,case_title,evidence_statement,object_definition,evidence_location
N01,Digital Twin in Mechanical Maintenance Management,Digital Technology,E,"Digital Twin is a technology that supports the construction of real time, data driven virtual models of the physical mechanical objects to enable the organizations to simulate system behaviour, failures and design remedies to the system","A technology that creates real-time, data-driven virtual models of physical mechanical objects to enable simulation, monitoring, and optimization","Section 1, Page 37"
N02,Operational Resilience,Explicit Knowledge,E,"Operational resilience can be characterized as the ability of the system to react to the disruptions and adapt the maintenance strategies to the quick and subsequent activities in the ever changing conditions","The capability of a system to react to disruptions, absorb disturbances, and adapt maintenance strategies in changing conditions","Section 2, Page 39"
N03,Absorptive Capacity,Organizational Dependency,E,"Absorptive capacity is defined as the capacity of an organization to purchase, internalize, convert and implement new knowledge in order to enhance processes, decision making and performance outcomes","The capacity of an organization to acquire, assimilate, transform, and implement new knowledge","Section 2.1, Page 40"
N04,Technological Turbulence,Environmental Dependency,E,"Technological turbulence is often defined as the pace and uncertainty of change in technologies in an industry setting","The pace and uncertainty of technological change in an industry, including the speed of innovation and obsolescence","Section 2.1, Page 41"
N05,Exploitation,Organizational Dependency,E,"The exploitation aspect of the absorptive capacity represents the capacity of an organization in the application of knowledge in the operations","A dimension of absorptive capacity representing the application of knowledge in operations","Table 1, Page 43"
N06,Transformation,Organizational Dependency,E,"Transformation dimension of absorptive capacity represents converting knowledge into improved practices","A dimension of absorptive capacity representing the conversion of knowledge into improved practices","Table 1, Page 43"
N07,Acquisition,Organizational Dependency,E,"Acquisition dimension represents the capacity of the organization to recognize and access new knowledge that is relevant","A dimension of absorptive capacity representing the recognition and access of new knowledge","Table 1, Page 43"
N08,Assimilation,Organizational Dependency,E,"Assimilation dimension indicates that it is able to capture internal knowledge processing routines","A dimension of absorptive capacity representing internal knowledge processing and integration","Table 1, Page 43"
N09,Absorb Change,Explicit Knowledge,E,"Absorb change has high loadings indicating value of meaningful measurement of the capacity of a system to absorb disruptions","A dimension of operational resilience representing the capacity to absorb disruptions","Table 2, Page 44"
N10,Recover,Explicit Knowledge,E,"Recover has high loadings indicating value of meaningful measurement of the capacity of a system to be restored to operation","A dimension of operational resilience representing the capacity to be restored to operation after disruptions","Table 2, Page 44"
N11,Mechanical Engineers,Knowledge Holder,E,"Mechanical engineers, maintenance managers, technical supervisors, and operational employees operating in the asset intensive industrial setting","Professional role involved in maintenance processes and technological decision-making","Section 3, Page 42"
N12,Maintenance Managers,Knowledge Holder,E,"Mechanical engineers, maintenance managers, technical supervisors, and operational employees operating in the asset intensive industrial setting","Professional role responsible for maintenance decision-making","Section 3, Page 42"
N13,Technical Supervisors,Knowledge Holder,E,"Mechanical engineers, maintenance managers, technical supervisors, and operational employees operating in the asset intensive industrial setting","Professional role overseeing maintenance operations","Section 3, Page 42"
N14,Operational Employees,Knowledge Holder,E,"Mechanical engineers, maintenance managers, technical supervisors, and operational employees operating in the asset intensive industrial setting","Staff directly involved in operational maintenance activities","Section 3, Page 42"
N15,Maintenance Teams,Knowledge Holder,E,"The ability of the maintenance team and technical unit to identify useful external information, combine it with knowledge, and modify approach to maintenance","Collective group involved in maintenance activities","Section 2.1, Page 40"
N16,Reactive and Preventive Maintenance,Traditional Human-central Practice,E,"The core of maintenance has changed and now revolves around more predictive and adaptive maintenance frameworks that are supported by digital intelligence as opposed to reactive and preventive concepts","Traditional maintenance approaches based on reactive responses and scheduled interventions rather than predictive intelligence","Section 1, Page 37"
