"node_id","node_name","category","evidence_label","case_title","evidence_statement","object_definition","evidence_location","sub_category_id","sub_category"
"c101M01N19","Declining clinical exposure","Limitation","E","Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study","Pediatric surgery education faces significant challenges in contemporary medical training. General surgery residents complete only 33.8 designated pediatric cases","The severe contraction of physical operating room case availability for trainees.","PAGE 1, Lines 22-23","LI12","Institutional Amnesia & Governance Vulnerabilities"
"c101M01N20","High cost of professional studio production","Limitation","E","Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study","High-quality video production typically requires professional studios with substantial costs","The financial barrier associated with studio rentals, videographers, and equipment fees.","PAGE 2, Line 48","LI05","Financial & Capital Deployment Constraints"
"c101M01N21","Green screen technical challenges","Limitation","E","Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study","Green screen chroma keying presents substantial technical challenges: uneven lighting causing shadows and hot spots, color spill requiring extensive correction","The array of infrastructure requirements and post-production flaws inherent to chroma key setups.","PAGE 2, Line 49","LI04","Hardware, Sensor & Infrastructure Constraints"
"c101M01N22","Lack of long-term retention assessment","Limitation","E","Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study","Second, outcomes were assessed immediately after video viewing; therefore, long-term knowledge retention and transfer to clinical performance were not evaluated.","The absence of multi-month follow-up or longitudinal transfer tracking in the evaluation.","PAGE 8, Line 258","LI02","Pedagogical Design & Instructional Shortcomings"
"c102M01N12","Monotony and high repetitiveness","Limitation","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Baduanjin-based somatosensory training","Traditional rehabilitation approaches often suffer from low adherence due to their monotony and high repetitiveness.","The structural boring nature of traditional medical physical exercise programs.","PAGE 1, PAGE 2","LI02","Pedagogical Design & Instructional Shortcomings"
"c102M01N13","Scarcity of professional training resources","Limitation","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Baduanjin-based somatosensory training","Traditional face-to-face instruction requires significant human resources and expertise, limiting its accessibility and sustainability.","The severe human resource bottleneck concerning qualified physical trainers.","PAGE 2, Line 43","LI12","Institutional Amnesia & Governance Vulnerabilities"
"c102M01N14","High treatment cost","Limitation","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Baduanjin-based somatosensory training","Long-term face-to-face instruction brings a high treatment cost to the patients.","Financial limitations associated with long-term face-to-face medical sessions.","PAGE 2, Line 44","LI05","Financial & Capital Deployment Constraints"
"c102M01N15","Lack of real-time interactive feedback","Limitation","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Baduanjin-based somatosensory training","Traditional tools lack real-time interactive feedback and fail to correct standard user errors in a timely manner.","The structural deficit of static materials which cannot visually correct physical user errors instantly.","PAGE 2, Line 45","LI02","Pedagogical Design & Instructional Shortcomings"
"c102M02N37","Low patient compliance","Limitation","I","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Baduanjin-based somatosensory training","Traditional rehabilitation approaches often suffer from low adherence due to their monotony and high repetitiveness.","Patients' unwillingness or inability to adhere to prescribed rehabilitation regimens","Page 1, Introduction","LI11","Socio-Organizational Resistance & Cultural Drift"
"c102M02N38","Boredom due to monotony","Limitation","I","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Baduanjin-based somatosensory training","Traditional rehabilitation approaches often suffer from low adherence due to their monotony and high repetitiveness.","Loss of engagement from repetitive, unchanging training content","Page 1, Introduction","LI02","Pedagogical Design & Instructional Shortcomings"
"c102M02N39","Lagging feedback","Limitation","I","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Baduanjin-based somatosensory training","Traditional tools lack real-time interactive feedback and fail to correct standard user errors in a timely manner.","Delayed or absent performance information, preventing real-time correction","Page 2, Introduction","LI02","Pedagogical Design & Instructional Shortcomings"
"c102M02N40","Passive learning","Limitation","I","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Baduanjin-based somatosensory training","The integration of gamified feedback mechanisms enhances engagement compared to passive traditional learning methods.","Learning without interactivity, active participation, or adaptive feedback","Page 2, System Design","LI02","Pedagogical Design & Instructional Shortcomings"
"c102M02N41","Scarcity of professional teachers","Limitation","I","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Baduanjin-based somatosensory training","Traditional face-to-face instruction requires significant human resources and expertise, limiting its accessibility and sustainability.","Insufficient number of qualified instructors to meet public demand","Page 2, Introduction","LI12","Institutional Amnesia & Governance Vulnerabilities"
"c102M02N43","Short training period (study limitation)","Limitation","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Baduanjin-based somatosensory training","The training period was relatively short, which may limit the observation of long-term rehabilitation effects.","Each TWJB session lasted approximately 25 minutes; insufficient for longitudinal retention assessment","Page 11, Limitations","LI08","Research Design & Validation Flaws"
"c102M02N44","Small sample size (study limitation)","Limitation","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Baduanjin-based somatosensory training","The sample size was limited, which may reduce the generalizability of the findings to a broader patient population.","78 total participants (30 patients, 48 healthy adults); limits generalizability","Page 11, Limitations","LI07","Empirical Sample & Dataset Vulnerabilities"
"c102M02N45","Action recognition not using deep learning","Limitation","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Baduanjin-based somatosensory training","The current system utilizes a DTW-based algorithm for action recognition, which does not incorporate advanced deep learning techniques.","Current DTW-based approach lacks deep learning enhancements for greater precision","Page 11, Future Work","LI13","Limitation(*)"
"c103M01N23","Complex Technical Use","Limitation","E","Fostering robot-assisted training in construction: A socio-technical simulation-based learning approach","Novice operators often experience cognitive overload and procedural confusion when navigating complex robotic user interfaces during their initial training cycles.","Inherent user-interface or logic difficulty complicating immediate fluid adoption.","PAGE 3, Line 92","LI11","Socio-Organizational Resistance & Cultural Drift"
"c103M01N24","Periods of Machine Downtime","Limitation","E","Fostering robot-assisted training in construction: A socio-technical simulation-based learning approach","The continuity of hands-on simulation training was disrupted multiple times by unexpected hardware battery drain and system connectivity failures.","Mechanical failures or technical blocks preventing continuous workspace exposure.","PAGE 5, Line 141","LI13","Limitation(*)"
"c103M01N25","Variability in Operators' Knowledge","Limitation","E","Fostering robot-assisted training in construction: A socio-technical simulation-based learning approach","The baseline technical literacy and pre-existing field experience varied wildly among participants, creating highly uneven learning trajectories across the cohort.","Disparities in staff skills born from inconsistent historical coaching and background gaps.","PAGE 6, Line 185","LI11","Socio-Organizational Resistance & Cultural Drift"
