sub_category_id,sub_category,node_id,node_name,evidence_statement,adjust_sub_category_id,adjust_sub_category
"TE05","Imaging, Sensing, and Perception Technologies","c209M01N18","CT","The model was reconstructed from lung CT scan images.","TE05","Imaging, Sensing, and Perception Technologies"
"TE04","Data, Information, and Knowledge Systems","c209M01N19","DICOM format","Lung CT images were imported into Mimics in DICOM format.","TE04","Data, Information, and Knowledge Systems"
"TE05","Imaging, Sensing, and Perception Technologies","c209M01N20","Mimics 23.0 software","Mimics 23.0 was used for initial reconstruction and accurate delineation of sublobar boundaries.","TE05","Imaging, Sensing, and Perception Technologies"
"TE05","Imaging, Sensing, and Perception Technologies","c209M01N21","3-matic 15.0 software","Initial reconstruction was followed by post-processing using 3-matic 15.0.","TE05","Imaging, Sensing, and Perception Technologies"
"TE03","Cyber-Physical Systems, IoT, and Smart Environments","c209M01N22","Voxel Dance Additive 3.0 preprocessing software","The STL file was imported into Voxel Dance Additive 3.0 for model inspection and repair.","TE03","Cyber-Physical Systems, IoT, and Smart Environments"
"TE03","Cyber-Physical Systems, IoT, and Smart Environments","c209M01N23","J501Pro 3D printer","The data were sent to a J501Pro 3D printer to produce the transparent hollow model.","TE03","Cyber-Physical Systems, IoT, and Smart Environments"
"TE02","Human–Computer Interaction and Immersive Technologies","c209M01N24","computer","The 3DV group interacted with the digital model on a computer.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE03","Cyber-Physical Systems, IoT, and Smart Environments","c209M01N25","3D printing","3D printing creates three-dimensional objects by layering materials and was used to make the physical model.","TE03","Cyber-Physical Systems, IoT, and Smart Environments"
"TE05","Imaging, Sensing, and Perception Technologies","c209M02N37","CT scanning technology","Based on individual patient imaging data, such as CT","TE05","Imaging, Sensing, and Perception Technologies"
"TE04","Data, Information, and Knowledge Systems","c209M02N39","G*Power software","sample size was estimated using G*Power software (Version 3.1.9.7, Dusseldorf, Germany)","TE04","Data, Information, and Knowledge Systems"
"TE04","Data, Information, and Knowledge Systems","c209M02N40","IBM SPSS Statistics Version 26.0","Data analysis was performed using IBM SPSS Statistics for Windows, Version 26.0","TE04","Data, Information, and Knowledge Systems"
"TE07","Mobile, Social and Communication Technologies","c210M01N20","WeChat","WeChat was used to deliver educational messages and obtain feedback that messages had been read.","TE07","Mobile, Social and Communication Technologies"
"TE07","Mobile, Social and Communication Technologies","c210M01N21","Text and video messaging","The discussion identifies text and video as multimedia elements incorporated into the intervention.","TE07","Mobile, Social and Communication Technologies"
"TE07","Mobile, Social and Communication Technologies","c210M02N30","Nurses' personal mobile devices","The proliferation of mobile electronic devices has catalysed the evolution of nursing education methodologies","TE07","Mobile, Social and Communication Technologies"
"TE07","Mobile, Social and Communication Technologies","c211M01N16","internet technology","Internet technology is identified as the technical foundation for online health communities.","TE07","Mobile, Social and Communication Technologies"
"TE01","Artificial Intelligence and Intelligent Computation","c211M02N11","T-MMOE stress detection deep learning model","We developed a new deep learning model based on the MMOE (Multi-gate Mixture-of-Experts) multi-task learning framework to fully exploit these associations and perform joint analysis of comment stress and post topics","TE01","Artificial Intelligence and Intelligent Computation"
"TE01","Artificial Intelligence and Intelligent Computation","c211M02N12","BERTopic text topic modeling tool","BERTopic is a topic modeling technique that leverages BERT's capabilities for semantic text comprehension, and employs clustering algorithms to identify topics within documents","TE01","Artificial Intelligence and Intelligent Computation"
"TE01","Artificial Intelligence and Intelligent Computation","c211M02N13","Sentence-BERT document embedding model","Each document was converted into a context-aware vector representation (document embedding) using Sentence-BERT (SBERT)","TE01","Artificial Intelligence and Intelligent Computation"
"TE01","Artificial Intelligence and Intelligent Computation","c212M01N19","Artificial Intelligence","The experimental group used artificial intelligence technologies throughout all stages of training.","TE01","Artificial Intelligence and Intelligent Computation"
"TE02","Human–Computer Interaction and Immersive Technologies","c212M01N20","HoloHuman","HoloHuman displayed a human model on an examination table for interactive examination and digital analysis.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE02","Human–Computer Interaction and Immersive Technologies","c212M01N21","HoloLens headset","Students and moderators interacted with the model and interface through the HoloLens headset.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE01","Artificial Intelligence and Intelligent Computation","c212M01N22","Scenario Generator","The Scenario Generator created unique virtual scenarios from parameters including difficulty, subject matter, and ethical dilemmas.","TE01","Artificial Intelligence and Intelligent Computation"
"TE01","Artificial Intelligence and Intelligent Computation","c212M01N23","AI Entity Constructor","The AI Entity Constructor developed entities with characteristics such as emotions, knowledge, and goals that evolved through learner interaction.","TE01","Artificial Intelligence and Intelligent Computation"
"TE02","Human–Computer Interaction and Immersive Technologies","c212M02N24","Augmented Reality (AR)","The AR application 'HoloHuman' displays a human model on an examination table. AR learning enhances outcomes in professional knowledge, cognitive and practical skills, social skills, innovation, competence, and creativity.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE06","Security, Privacy, and Trustworthy Technologies","c213M01N28","blockchain technology","Blockchain provides decentralized model exchange, immutability, traceability, and consensus.","TE06","Security, Privacy, and Trustworthy Technologies"
"TE06","Security, Privacy, and Trustworthy Technologies","c213M01N29","federated learning","Federated learning permits local model training and collaborative model development without direct data exchange.","TE06","Security, Privacy, and Trustworthy Technologies"
"TE03","Cyber-Physical Systems, IoT, and Smart Environments","c213M01N30","predictive digital twins","Predictive digital twins use data and predictive analytics to forecast future states and support decisions.","TE03","Cyber-Physical Systems, IoT, and Smart Environments"
"TE01","Artificial Intelligence and Intelligent Computation","c213M01N31","logistic regression","Logistic regression was one of four classification algorithms implemented in the cases.","TE01","Artificial Intelligence and Intelligent Computation"
"TE01","Artificial Intelligence and Intelligent Computation","c213M01N32","decision tree","Decision tree was one of four classification algorithms implemented in the cases.","TE01","Artificial Intelligence and Intelligent Computation"
"TE01","Artificial Intelligence and Intelligent Computation","c213M01N33","random forest","Random forest was one of four classification algorithms implemented in the cases.","TE01","Artificial Intelligence and Intelligent Computation"
"TE01","Artificial Intelligence and Intelligent Computation","c213M01N34","gradient boosting","Gradient boosting was one of four classification algorithms implemented in the cases.","TE01","Artificial Intelligence and Intelligent Computation"
"TE06","Security, Privacy, and Trustworthy Technologies","c213M01N35","blockchain smart contracts for healthcare model access and use","Providers can establish smart contracts defining the conditions under which shared models may be accessed or used.","TE06","Security, Privacy, and Trustworthy Technologies"
"TE06","Security, Privacy, and Trustworthy Technologies","c213M02N17","Blockchain Network","blockchain technology...enables secure data storage and sharing across multiple stakeholders","TE06","Security, Privacy, and Trustworthy Technologies"
"TE06","Security, Privacy, and Trustworthy Technologies","c213M02N18","Blockchain Smart Contracts","Smart contracts, a key feature of blockchain, automate transactions, connect stakeholders, and enable secure, transparent data sharing","TE06","Security, Privacy, and Trustworthy Technologies"
"TE04","Data, Information, and Knowledge Systems","c213M02N19","InterPlanetary File System (IPFS)","blockchain-based solutions can be integrated with off-chain storage such as InterPlanetary File System (IPFS) for decentralized storage","TE04","Data, Information, and Knowledge Systems"
"TE02","Human–Computer Interaction and Immersive Technologies","c214M01N22","virtual reality","VR provides immersive and risk-free simulations of hazardous scenarios.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE01","Artificial Intelligence and Intelligent Computation","c214M01N23","large language models","LLMs generate personalized content, answer questions, and evaluate learner responses.","TE01","Artificial Intelligence and Intelligent Computation"
"TE01","Artificial Intelligence and Intelligent Computation","c214M01N24","retrieval-augmented generation","RAG retrieves localized domain content to improve response precision and mitigate hallucination.","TE01","Artificial Intelligence and Intelligent Computation"
"TE02","Human–Computer Interaction and Immersive Technologies","c214M01N26","HTC VIVE Pro Eye","The training used an HTC VIVE Pro Eye head-mounted display.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE05","Imaging, Sensing, and Perception Technologies","c214M01N27","3D scanner or CAD","The physical training environment was captured using a 3D scanner or CAD.","TE05","Imaging, Sensing, and Perception Technologies"
"TE01","Artificial Intelligence and Intelligent Computation","c214M01N28","Langchain-Chatchat","The RAG-based Langchain-Chatchat application was implemented.","TE01","Artificial Intelligence and Intelligent Computation"
"TE01","Artificial Intelligence and Intelligent Computation","c214M01N29","ChatGLM","ChatGLM was used in the AI tutoring and assessment systems.","TE01","Artificial Intelligence and Intelligent Computation"
"TE04","Data, Information, and Knowledge Systems","c214M01N31","semantic vector database","Segmented documents were vectorized and embedded in a semantic vector database.","TE04","Data, Information, and Knowledge Systems"
"TE04","Data, Information, and Knowledge Systems","c214M01N32","MySQL database","User requests, server responses, and timestamps were recorded in real time in MySQL.","TE04","Data, Information, and Knowledge Systems"
"TE05","Imaging, Sensing, and Perception Technologies","c214M01N33","Windows Speech Recognition","Windows Speech Recognition converted users' spoken input into text.","TE05","Imaging, Sensing, and Perception Technologies"
"TE01","Artificial Intelligence and Intelligent Computation","c214M01N34","prompt engineering","Prompt engineering delivered retrieved content and user queries to the LLM and supported assessment.","TE01","Artificial Intelligence and Intelligent Computation"
"TE01","Artificial Intelligence and Intelligent Computation","c214M02N31","LLMs integrated into AIVR for personalized tutoring","Recent advancements such as large language models (LLMs) and virtual reality (VR) have opened new possibilities for enhancing professional training experiences","TE01","Artificial Intelligence and Intelligent Computation"
"TE02","Human–Computer Interaction and Immersive Technologies","c214M02N33","Unity 3D platform for VR environment construction","The collected data was then processed and used to create an accurate VR model within the Unity 3D platform","TE02","Human–Computer Interaction and Immersive Technologies"
"TE01","Artificial Intelligence and Intelligent Computation","c215M01N14","broad learning system","BLS is an incremental flat network capable of handling both sample and model increments.","TE01","Artificial Intelligence and Intelligent Computation"
"TE01","Artificial Intelligence and Intelligent Computation","c215M01N15","flat network architecture","The flat architecture avoids memory-intensive layer stacking and supports efficient updating.","TE01","Artificial Intelligence and Intelligent Computation"
"TE01","Artificial Intelligence and Intelligent Computation","c215M01N16","Moore-Penrose pseudoinverse","BLS computes output weights analytically using the Moore-Penrose generalized inverse.","TE01","Artificial Intelligence and Intelligent Computation"
"TE01","Artificial Intelligence and Intelligent Computation","c215M01N17","block matrix pseudoinverse calculation","Efficient block pseudoinverse calculations incorporate new data without retraining from scratch.","TE01","Artificial Intelligence and Intelligent Computation"
"TE01","Artificial Intelligence and Intelligent Computation","c215M01N18","sparse backward propagation","The system replaces the unsupervised sparse autoencoder with sparse backward propagation.","TE01","Artificial Intelligence and Intelligent Computation"
"TE05","Imaging, Sensing, and Perception Technologies","c215M01N19","wearable devices","The framework is designed for biosignals collected from wearable devices and potential wearable deployment.","TE05","Imaging, Sensing, and Perception Technologies"
"TE01","Artificial Intelligence and Intelligent Computation","c215M02N22","Moore-Penrose generalized inverse matrix computation","W = A^+ Y, A^+ = (λ_b I + A A^+)^{-1} A^+","TE01","Artificial Intelligence and Intelligent Computation"
"TE01","Artificial Intelligence and Intelligent Computation","c215M02N23","Ridge regression with L2 regularization","Ridge regression provides an analytical solution and the PPR term is quadratic, the loss function of BpBLS can also be solved analytically","TE01","Artificial Intelligence and Intelligent Computation"
"TE01","Artificial Intelligence and Intelligent Computation","c215M02N24","Pulse Pressure Regularization (PPR) loss term","We propose PPR to capture the BP knowledge","TE01","Artificial Intelligence and Intelligent Computation"
"TE05","Imaging, Sensing, and Perception Technologies","c215M02N25","Morphological and spectral feature extraction algorithms","For traditional machine learning approaches, features such as morphological, frequency domain, and time-frequency domain features are first extracted","TE05","Imaging, Sensing, and Perception Technologies"
"TE02","Human–Computer Interaction and Immersive Technologies","c216M01N36","mixed reality blending virtual overdose scenarios with physical surroundings","ReviveXR merged virtual and physical worlds through mixed reality.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE02","Human–Computer Interaction and Immersive Technologies","c216M01N37","Apple Vision Pro spatial-computing headset","ReviveXR used the Apple Vision Pro spatial computing headset.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE02","Human–Computer Interaction and Immersive Technologies","c216M01N38","Unity game engine for the ReviveXR environment","The ReviveXR environment was built in Unity.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE05","Imaging, Sensing, and Perception Technologies","c216M01N40","ReviveXR hand-movement detection for simulated 911 calls","The revised program detected hand movements simulating a 911 call.","TE05","Imaging, Sensing, and Perception Technologies"
"TE03","Cyber-Physical Systems, IoT, and Smart Environments","c216M01N41","ReviveXR haptic feedback for correctly performed actions","Haptic responses were triggered when actions were performed correctly.","TE03","Cyber-Physical Systems, IoT, and Smart Environments"
"TE01","Artificial Intelligence and Intelligent Computation","c216M01N42","AI-generated ReviveXR training person and voice","The introduction was updated with an AI-generated person and voice.","TE01","Artificial Intelligence and Intelligent Computation"
"TE02","Human–Computer Interaction and Immersive Technologies","c216M01N43","immersive video used in ReviveXR overdose training","ReviveXR combined mixed reality with immersive video.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE02","Human–Computer Interaction and Immersive Technologies","c216M02N34","Unity real‑time 3D development engine","Unity is a versatile development platform and game engine that enables the creation of interactive 2D and 3D experiences...","TE02","Human–Computer Interaction and Immersive Technologies"
"TE02","Human–Computer Interaction and Immersive Technologies","c216M02N35","Mixed Reality (MR) spatial computing technology","The advantage of MR over VR is that it allows users to see and interact with virtual objects while simultaneously... see their real‑world surroundings.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE01","Artificial Intelligence and Intelligent Computation","c216M02N38","AI‑generated instructor voiceover guidance","The initial introduction video was updated with an AI‑generated person and voice to provide training guidance.","TE01","Artificial Intelligence and Intelligent Computation"
"TE03","Cyber-Physical Systems, IoT, and Smart Environments","c216M02N39","MR headset haptic feedback system","Participants appreciated the haptic feedback that triggered when they performed correctly.","TE03","Cyber-Physical Systems, IoT, and Smart Environments"
"TE02","Human–Computer Interaction and Immersive Technologies","c216M02N40","Virtual 911 phone simulation (removed in R2)","The virtual phone used for calling 911 was removed, and the program was updated to detect hand movements simulating making the call.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE04","Data, Information, and Knowledge Systems","c217M02N16","Nursing Education LMS Software","The quantitative indicators of the technological environment were evaluated using several items in the questionnaire, focusing on the frequency of use of learning management systems (LMS).","TE04","Data, Information, and Knowledge Systems"
"TE07","Mobile, Social and Communication Technologies","c217M02N17","Nursing Education Video Conferencing Software","Figure 2 illustrates the distribution of usage for three key technological tools: LMS (A), video conferencing (B), and online teaching platforms (C).","TE07","Mobile, Social and Communication Technologies"
"TE07","Mobile, Social and Communication Technologies","c217M02N18","Nursing Education Online Teaching Software","Figure 2 illustrates the distribution of usage for three key technological tools: LMS (A), video conferencing (B), and online teaching platforms (C).","TE07","Mobile, Social and Communication Technologies"
"TE07","Mobile, Social and Communication Technologies","c217M02N35","Digital Collaboration Platforms for Nursing","The effectiveness of technological environments (e.g., digital collaboration platforms) needs to be adapted to organizational culture.","TE07","Mobile, Social and Communication Technologies"
"TE04","Data, Information, and Knowledge Systems","c218M01N28","Cure4Kids online learning platform","Invited teams were enrolled into the prerequisite modules in Cure4Kids.","TE04","Data, Information, and Knowledge Systems"
"TE04","Data, Information, and Knowledge Systems","c218M02N44","MAXQDA 24 analysis software","An inductive approach was applied to the qualitative analysis of open text questions using MAXQDA 24","TE04","Data, Information, and Knowledge Systems"
"TE04","Data, Information, and Knowledge Systems","c218M02N45","Downloadable offline files","downloadable files for offline learning and alternatives to video","TE04","Data, Information, and Knowledge Systems"
"TE02","Human–Computer Interaction and Immersive Technologies","c218M02N46","Neuro-oncology video lectures","self-paced formats (e.g., pre-recorded lectures and videos)","TE02","Human–Computer Interaction and Immersive Technologies"
"TE04","Data, Information, and Knowledge Systems","c219M01N21","knowledge graph","The knowledge graph forms the platform's core and visually represents knowledge points and their interconnections.","TE04","Data, Information, and Knowledge Systems"
"TE04","Data, Information, and Knowledge Systems","c219M01N22","Web Ontology Language (OWL)","An ontology-based approach using OWL created the visual knowledge model.","TE04","Data, Information, and Knowledge Systems"
"TE04","Data, Information, and Knowledge Systems","c219M01N23","Protégé (V5.5.0)","Validated knowledge was structured into the ontology model using Protégé V5.5.0.","TE04","Data, Information, and Knowledge Systems"
"TE08","Rule-Based, Decision and Expert Systems","c219M01N24","rule-based matching","Rule-based matching was combined with NLP to identify entities and relationships.","TE08","Rule-Based, Decision and Expert Systems"
"TE01","Artificial Intelligence and Intelligent Computation","c219M01N25","natural language processing (NLP)","NLP was used to identify entities and relationships and to generate the knowledge graph.","TE01","Artificial Intelligence and Intelligent Computation"
"TE04","Data, Information, and Knowledge Systems","c219M01N26","web crawling (Python)","The knowledge graph was generated using techniques including web crawling in Python.","TE04","Data, Information, and Knowledge Systems"
"TE04","Data, Information, and Knowledge Systems","c219M01N27","Neo4j graph database","RDF triples were stored in Neo4j for visualization and querying.","TE04","Data, Information, and Knowledge Systems"
"TE01","Artificial Intelligence and Intelligent Computation","c219M01N29","intelligent recommendation feature","The platform suggests relevant materials based on individual learning needs.","TE01","Artificial Intelligence and Intelligent Computation"
"TE04","Data, Information, and Knowledge Systems","c219M02N32","Python (web crawling)","The knowledge graph was generated by using techniques such as web crawling (Python) and NLP","TE04","Data, Information, and Knowledge Systems"
"TE04","Data, Information, and Knowledge Systems","c219M02N33","RDF triples","This model was subsequently transformed into RDF triples and stored in a Neo4j graph database for visualization and querying","TE04","Data, Information, and Knowledge Systems"
"TE01","Artificial Intelligence and Intelligent Computation","c221M01N14","Llama2-13B LLM fine-tuned on ancient medicine recipe books","The proof of concept custom-trained the Llama2-13B large language model using ancient medicine recipe books.","TE01","Artificial Intelligence and Intelligent Computation"
"TE01","Artificial Intelligence and Intelligent Computation","c221M01N15","QLoRA 4-bit quantization for the WedaGPT Llama2-13B model","The fine-tuning process used QLoRA's 4-bit quantized pretrained model.","TE01","Artificial Intelligence and Intelligent Computation"
"TE01","Artificial Intelligence and Intelligent Computation","c221M01N16","Low Rank Adapters for traditional medicine LLM fine-tuning","The fine-tuning process used Low Rank Adapters.","TE01","Artificial Intelligence and Intelligent Computation"
"TE01","Artificial Intelligence and Intelligent Computation","c221M01N17","Ollama APIs for WedaGPT traditional medicine queries","Queries in the proof-of-concept implementation were managed by Ollama APIs.","TE01","Artificial Intelligence and Intelligent Computation"
"TE09","Ambiguous Digital Technology(*)","c221M01N18","LlamaIndex in the WedaGPT answer-generation flow","Queries were managed using Ollama APIs, LlamaIndex, and LangChain.","TE01","Artificial Intelligence and Intelligent Computation"
"TE06","Security, Privacy, and Trustworthy Technologies","c221M01N20","Rahasak blockchain for WedaGPT transaction records","The implementation evaluated transaction throughput, block generation time, and Lucene Index-based search using the Rahasak blockchain.","TE06","Security, Privacy, and Trustworthy Technologies"
"TE01","Artificial Intelligence and Intelligent Computation","c221M02N24","Meta Llama2-13B foundation model","Custom-trained Meta's Llama2 Large Language Model (LLM)","TE01","Artificial Intelligence and Intelligent Computation"
"TE01","Artificial Intelligence and Intelligent Computation","c221M02N26","Ollama LLM API service","The interaction with Meta's Llama2 LLM is facilitated by Recipe smart contract through Ollam's LLM API","TE01","Artificial Intelligence and Intelligent Computation"
"TE04","Data, Information, and Knowledge Systems","c221M02N27","Llamaindex data indexing tool","Llamaindex and LangChain, a robust interface that enables streamlined and effective communication with the language model","TE04","Data, Information, and Knowledge Systems"
"TE01","Artificial Intelligence and Intelligent Computation","c221M02N28","LangChain orchestration framework","Llamaindex and LangChain, a robust interface that enables streamlined and effective communication with the language model","TE01","Artificial Intelligence and Intelligent Computation"
