"node_id","node_name","category","evidence_label","case_title","evidence_statement"
"N01","Excavation safety knowledge (explicit)","Explicit Knowledge","E","Immersive virtual reality training for excavation safety and hazard identification","The knowledge test included ten multiple-choice questions covering seven critical hazards (Section 5.2.1)."
"N02","Practical hazard identification and response skills","Tacit Knowledge","I","Immersive virtual reality training for excavation safety and hazard identification","Participants’ practical performance was assessed in VR by orally identifying, evaluating, and responding to hazards (Section 4.2.1). This skill-based ability is tacit."
"N03","Construction professionals","Knowledge Holders","E","Immersive virtual reality training for excavation safety and hazard identification","Participants included 30 professionals from the construction sector (Section 5.1)."
"N04","University students","Knowledge Holders","E","Immersive virtual reality training for excavation safety and hazard identification","Participants included 9 university students (Section 5.1)."
"N05","Safety manual training","Traditional human-centred practices","E","Immersive virtual reality training for excavation safety and hazard identification","The control group received training via an excavation health and safety manual (Section 5.3)."
"N06","Immersive VR training with questioning and feedback","Technology-enabled practices","E","Immersive virtual reality training for excavation safety and hazard identification","The treatment group used an immersive VR application with questioning instructional method and immediate feedback (Sections 3.2, 3.4)."
"N07","VR hardware and physical space (Oculus Quest, 3m×3m)","Environmental Dependency","E","Immersive virtual reality training for excavation safety and hazard identification","The system was deployed on Oculus Quest; movement area was confined to a 3m×3m square (Sections 3, 3.2)."
"N08","OSHA and WorkSafe excavation safety guidelines","Organizational Dependency","E","Immersive virtual reality training for excavation safety and hazard identification","Training objectives were developed based on OSHA Trenching and Excavation Safety and WorkSafe Excavation Safety (Section 3.3)."
"N09","Knowledge decay (forgetting curve)","Limitations","E","Immersive virtual reality training for excavation safety and hazard identification","For the Manual group, knowledge scores decreased significantly from post-training to retention (p=0.030), illustrating the forgetting curve (Section 5.4.1)."
"N10","Lack of hands-on operation in traditional training","Limitations","E","Immersive virtual reality training for excavation safety and hazard identification","Traditional training lacks hands-on operation; learn-by-doing is one of the most effective processes for acquiring knowledge (Section 6)."
"N11","Retention measured only by knowledge test, not practical performance","Limitations","E","Immersive virtual reality training for excavation safety and hazard identification","The study assesses retention by measuring knowledge test scores; whether VR improves long-term practical performance is yet to be investigated (Section 6.1)."
"N12","Only safety manual as comparator","Limitations","E","Immersive virtual reality training for excavation safety and hazard identification","This study only applies health and safety manuals as a traditional training method (Section 6.1)."
"N13","Only questioning instructional method","Limitations","E","Immersive virtual reality training for excavation safety and hazard identification","This study uses only questioning as the instructional method for the proposed VR training system (Section 6.1)."
"N14","Sample lacks ground construction workers","Limitations","E","Immersive virtual reality training for excavation safety and hazard identification","The participants consisted of university students and construction professionals; it would be interesting to repeat the study with construction workers on the ground (Section 6.1)."
