"node_id","node_name","category","evidence_label","case_title","evidence_statement","object_definition","evidence_location"
"N01","robot semantic knowledge","Explicit Knowledge","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Semantic knowledge is represented in the robot knowledge base and contributes the top-down side of acquisition.","Knowledge represented through robot-recognizable concepts and semantic relations.","Section 4, PDF p. 7; printed p. 3203"
"N02","robot sensor-derived perceptual knowledge","Explicit Knowledge","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Perceptual knowledge originates in the surrounding environment and includes information retrieved from sensors.","Sensor-derived information about the robot's physical environment.","Section 4, PDF p. 7; printed p. 3203"
"N03","robot object-image visual features","Explicit Knowledge","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Images were processed to extract global and convolutional-network activation features.","Codified visual descriptors used as robot-recognition inputs.","Section 5.1, PDF p. 11; printed p. 3207"
"N04","robot-recognizable semantic concepts","Explicit Knowledge","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The knowledge bases represent concepts as WordNet synsets, and absent concepts can be retrieved and added locally.","Semantic object concepts represented as synsets and related structures.","Sections 3 and 3.1, PDF pp. 5-6; printed pp. 3201-3202"
"N05","robot object-classification synset predictions","Explicit Knowledge","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The combination algorithm receives predicted-synset lists and probabilities from the top-down and bottom-up approaches.","Ranked object-class predictions with associated probabilities.","Section 6, PDF p. 19; printed p. 3215"
"N06","autonomous-robot knowledge-management framework","Technology-enable Practice","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The framework covers robot knowledge representation, conceptualization, acquisition, sharing, and interaction.","A modular architecture organizing autonomous-robot knowledge-management functions.","Abstract and Section 3, PDF pp. 1 and 4-5; printed pp. 3197 and 3200-3201"
"N07","robot General Knowledge Base","Technology-enable Practice","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The General Knowledge Base follows an ontological model based on WordNet and includes ImageNet-derived visual features.","The shared robot knowledge store for general semantic concepts and multimedia representations.","Section 3.1, PDF pp. 5-6; printed pp. 3201-3202"
"N08","robot Local Knowledge Base","Technology-enable Practice","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Each artificial system has a Local Knowledge Base that references the General Knowledge Base and can evolve locally.","A robot-specific knowledge store that retains a general reference while adding locally acquired knowledge.","Section 3.1, PDF pp. 5-6; printed pp. 3201-3202"
"N09","autonomous robot knowledge-acquisition phase","Technology-enable Practice","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The acquisition phase uses semantics-based and perception-based techniques.","The framework phase through which a robot autonomously or semi-autonomously ingests knowledge.","Sections 3 and 4, PDF pp. 5-7; printed pp. 3201-3203"
"N10","robot perception-driven bottom-up acquisition","Technology-enable Practice","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The bottom-up approach retrieves knowledge from perceived environmental elements using unsupervised learning.","A perception-guided approach for robot knowledge acquisition.","Sections 4 and 4.1, PDF p. 7; printed p. 3203"
