uuid,kr_flag,kr_evidence,kr_confidence,tacit_knowledge,TK_normalized,TK_confidence,DT_flag,DT_evidence,DT_confidence,Digital_Technologies,DT_normalized,Doc_type,Doc_type_confidence,ic_label
7b1894e0-4779-43b2-a817-4c7e34115000,No,None identified,high,Not Specific,Not Specific,high,No,None identified,high,None identified,None identified,empirical study,high,False
58951602-c83a-4a49-824a-c5a86575341f,Yes,"the paper offers holistic insights into how these communities navigate the transfer of their cultural knowledge, which further ensures that these traditions remain a dynamic force bridging all spheres of life",high,"transfer of their cultural knowledge; intangible practices; cultural identity; multisensory, performative expressions; heritage","Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other); Collective and relational tacit knowledge (Teamwork know-how, other); Adaptive tacit knowledge(Situational problem-solving, other); Other(*)",medium,Yes,"digital tools from smartphones to virtual and augmented reality, GIS, and 3D Scanning facilitate both preservation and transformation of cultural knowledge, foregrounding community-led efforts to reclaim narrative agency and identity",high,smartphones; virtual and augmented reality; GIS; 3D Scanning,"Human–Computer Interaction and Immersive Technologies; Cyber-Physical Systems, IoT, and Smart Environments; Imaging, Sensing, and Perception Technologies; Others(*)",empirical study,high,True
d7d36250-5aa0-48e5-8eea-e3e6cac7c200,Yes,"We interviewed 12 participants in wildfire and forest management to explore the technical and socio-technical nature of these challenges, revealing that (1) knowledge and data are fragmented across stakeholders, ranging from governmental agencies to small landowners. This fragmentation causes participants to (2) struggle in sharing knowledge and expertise",high,knowledge and data; sharing knowledge and expertise,"Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other); Collective and relational tacit knowledge (Teamwork know-how, other)",high,No,None identified,high,None identified,None identified,empirical study,high,False
b0f10ad6-9a79-4a02-b86f-6b7cc0c11040,Yes,"This empirical study investigates the effectiveness of the Ripple Down Rules (RDR) method, a knowledge acquisition and representation method, in enhancing ethical awareness and reasoning in cybersecurity contexts",high,"ethical awareness and reasoning; ethical principles—Beneficence, Non-Maleficence, Justice, Autonomy, and Explicability","Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other)",high,Yes,"The proposed approach combines rule-based reasoning, case-based learning, reflection, and situated cognition to bridge the gap between ethical knowledge and action by systematically connecting scenario elements to ethical principles",high,rule-based reasoning; case-based learning; reflection; situated cognition,"Rule-Based, Decision, and Expert Systems; Others(*)",empirical study,high,True
47f55db6-f946-4b4b-ac95-75508e7e3ce9,No,None identified,high,Not Specific,Not Specific,high,No,None identified,high,None identified,None identified,empirical study,high,False
9c422b9c-6ccf-44f8-a002-2a5c251cf7b5,No,None identified,high,Not Specific,Not Specific,high,No,None identified,high,None identified,None identified,empirical study,high,False
1c744131-41bf-478b-acb3-76de11aeb6e1,No,None identified,high,Not Specific,Not Specific,high,No,None identified,high,None identified,None identified,empirical study,high,False
60547edf-ffe1-4436-abfb-6baf38e84820,No,None identified,high,Not Specific,Not Specific,high,No,None identified,high,None identified,None identified,empirical study,high,False
748d3f69-2787-4bc7-af53-9bc8fe348402,Yes,"This study aims to identify and examine the determinants of knowledge sharing on digital knowledge platforms among academic staff, grounded in the Technology Acceptance Model (TAM). It specifically investigates how individual and organizational factors influence faculty members’ engagement in knowledge sharing via digital knowledge platforms",high,knowledge sharing; individual and organizational factors; engagement in knowledge sharing,"Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other); Collective and relational tacit knowledge (Teamwork know-how, other)",high,Yes,"perceived ease of use, perceived convenience and IT self-efficacy significantly predict the perceived usefulness of digital knowledge platforms for knowledge sharing",high,digital knowledge platforms,"Data, Information, and Knowledge Systems",empirical study,high,True
8f6da082-5c54-4665-b994-c372c13b85be,No,None identified,high,Not Specific,Not Specific,high,No,None identified,high,None identified,None identified,systematic review and meta-analysis,high,False
d1d65721-8f69-4b3e-a4b8-876d6ae37e71,No,None identified,high,Not Specific,Not Specific,high,No,None identified,high,None identified,None identified,empirical study,high,False
4d599183-0632-4616-b89f-68a9fa90eda0,Yes,"The strategic integration of tacit knowledge and advanced technologies is crucial for enhancing innovation performance and maintaining a competitive advantage in the global economy. This study explores how tacit knowledge sharing influences innovation performance (IP), with a focus on green intellectual capital (GIC), AI, and resource commitment (RC).",high,tacit knowledge sharing; green intellectual capital (GIC),Cognitive tacit knowledge; Collective and relational tacit knowledge,high,Yes,"AI influences how tacit knowledge interacts with GIC, which consists of green human, relational, and structural capital.",high,AI,Artificial Intelligence and Intelligent Computation,empirical study,high,True
0fa51e2c-5011-411a-8fa5-8ce794ce420e,No,None identified,high,Not Specific,Not Specific,high,Yes,"Blockchain technology to enable secure and decentralized data exchange while ensuring privacy and regulatory compliance. Federated learning, each provider site independently trains its model and shares aggregated insights to benchmark performance against peers.",high,blockchain; federated learning,"Distributed, Secure, and Trust Technologies; Artificial Intelligence and Intelligent Computation",empirical study,high,False
fb7f09e0-99b8-40bf-8590-c53fc0a85b02,No,None identified,high,Not Specific,Not Specific,high,Yes,The Boruta algorithm was employed to identify independent features responsive to salt or MSG when both were simultaneously added to the aged broth. These features were then used to develop predictive models based on the online sequential extreme learning machine.,high,Boruta algorithm; online sequential extreme learning machine,"Artificial Intelligence and Intelligent Computation; Rule-Based, Decision, and Expert Systems",empirical study,high,False
