node_id,node_name,category,evidence_label,case_title,evidence_statement,object_definition,evidence_location
c001M01N02,Real-time hazard identification performance,Tacit Knowledge,E,Immersive virtual reality training for excavation safety and hazard identification,The pilot study's results suggest that the VR training system is effective in improving participants' practical performance when dealing with excavation hazards.,"The uncodified spatial skill and action of spotting, evaluating, and responding to hazards in a live setting.","Page 19, Section 6"
c001M01N03,Self-efficacy belief,Tacit Knowledge,E,Immersive virtual reality training for excavation safety and hazard identification,Self-efficacy is an instrument to indicate an individual's belief in their capability to perform tasks or gain attainments,An individual's personal belief in their capacity to safely handle hazardous events.,"Page 14, Section 5.2.2"
c001M02N08,Hazard identification skill,Tacit Knowledge,I,Immersive virtual reality training for excavation safety and hazard identification,Participants were assessed on their ability to identify hazards in excavation sites,The ability to spot hazards,"p.9-10, Section 4.2.1"
c001M02N10,Hazard response skill,Tacit Knowledge,I,Immersive virtual reality training for excavation safety and hazard identification,Participants were assessed on their ability to respond to hazards,The ability to take correct action,"p.9-10, Section 4.2.1"
c002M01N01,Traditional craftsmanship skills,Tacit Knowledge,E,Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings,The craftsmanship process such as wooden construction and rammed earth technology are recorded in sequence.,Specific uncodified construction know-how possessed by historical craftsmen.,"Page 2, Section 2.1.3"
c002M01N05,Historical knowledge and cognition of wartime life,Tacit Knowledge,E,Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings,The dynamic narrative technology triggered events by timelines... which improved the understanding of history by more than 50%.,The mental understanding and retention of historical facts absorbed by visitors.,"Page 6, Section 3.3"
c002M02N06,Traditional wooden construction craftsmanship,Tacit Knowledge,E,Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings,craftsmanship process such as wooden construction ... are recorded in sequence,Uncodified skill of building wooden structures in traditional dwellings,Section 2.1.3
c002M02N07,Rammed earth technology skills,Tacit Knowledge,E,Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings,craftsmanship process such as ... rammed earth technology are recorded in sequence,Uncodified skill of constructing rammed earth walls,Section 2.1.3
c002M02N08,Wartime life experiential knowledge,Tacit Knowledge,I,Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings,most cases only use static pictures ... instead of scenically reproduce the noise of a group refuge and kerosene lamp lighting,"Tacit knowledge of lived wartime experiences (sounds, smells, lighting)",Section 2.4.2
c003M01N02,Hazard Identification Performance,Tacit Knowledge,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment,measurable improvements in hazard identification and risk assessment among construction workers,The real-time cognitive capability of a worker to detect and recognize safety hazards in a dynamic site environment,"PAGE 2, PAGE 4"
c003M01N03,Safe Construction Practice,Tacit Knowledge,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment,effectiveness of these safety training sessions on the knowledge acquisition... which ultimately translates into safe construction practice,The runtime behavioral execution of safety compliance routines by workers on construction sites,PAGE 2
c003M02N05,Hazard identification ability,Tacit Knowledge,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment,The enhanced ability of construction workers to understand and recognize hazards is fundamental for a high safety performance.,Not mentioned,"Section 2, page 2"
c003M02N06,Safe working practices application,Tacit Knowledge,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment,This knowledge acquisition can then help improve construction workers' safety performance and reduce workplace incidents.,Not mentioned,"Section 3, page 8"
c003M02N07,Motivation to transfer knowledge,Tacit Knowledge,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment,Motivation was found to be the more effective factor for safety performance practice on the job.,Not mentioned,"Section 2.1, page 3"
c004M01N10,Bid manager's intuition,Tacit Knowledge,E,A generative AI model for automating construction bid preparation,Beta's reliance on the bid manager's intuition,Uncodified personal operational logic used to guide decisions without standard data tools,"PAGE 18, Source 617"
c004M01N11,Contextual judgment,Tacit Knowledge,E,A generative AI model for automating construction bid preparation,The findings reaffirm the need for human oversight in activities involving contextual judgment,Not mentioned,"PAGE 19, Source 629"
c004M01N12,Strategic decision-making,Tacit Knowledge,E,A generative AI model for automating construction bid preparation,The integration of automated systems would also allow firms to focus more on strategic decision-making,Not mentioned,"PAGE 17, Source 581"
c004M02N07,contextual judgment for method statements,Tacit Knowledge,E,A generative AI model for automating construction bid preparation,"Method statements require context-aware judgment and understanding of nuanced project risks, making full automation less practical without expert input.",Not mentioned,Page 17
c004M02N08,expertise for interpreting complex specifications,Tacit Knowledge,E,A generative AI model for automating construction bid preparation,Human expertise in interpreting complex project specifications and ensuring the bid meets all client expectations remains critical.,Not mentioned,Page 17
c005M01N02,physical abilities and skills,Tacit Knowledge,E,Fundamental Knowledge Acquisition by Using Wearable Sensor for “KEIROKA” of Construction Industry,One is to know the physical abilities and skills of each worker.,The uncodified individual physical capacities and dynamic movement mastery held by a worker.,"Page 1, Abstract"
c005M01N03,work content and physical burden,Tacit Knowledge,E,Fundamental Knowledge Acquisition by Using Wearable Sensor for “KEIROKA” of Construction Industry,The other is to quantify the work content and physical burden of each worker.,The specific physiological strain and job tasks actively encountered by individuals on site.,"Page 1, Abstract"
c005M01N04,lumbar load,Tacit Knowledge,E,Fundamental Knowledge Acquisition by Using Wearable Sensor for “KEIROKA” of Construction Industry,"In this study, a lumbar load measuring device with multiple IMU sensors was used to measure workload.",The internal spinal compression forces consisting of upper body weight forces and stabilizing muscle forces.,"Page 2, Chapter 1.2 & Page 3, Chapter 4"
c005M02N09,Work posture and movement patterns,Tacit Knowledge,E,Fundamental Knowledge Acquisition by Using Wearable Sensor for “KEIROKA” of Construction Industry,It is important to measure the posture... a lumbar load measuring device with multiple IMU sensors was used to measure workload. To collect workload data... we recorded video footage of the work situation using a wearable camera.,"Real-time, uncodified body positions and movements (e.g., bending, twisting, lifting) during work.","Page 2, Section 1.2; Page 4-5, Section 5"
c005M02N10,Manual handling techniques (hand load),Tacit Knowledge,E,Fundamental Knowledge Acquisition by Using Wearable Sensor for “KEIROKA” of Construction Industry,The hand load of seven subjects were estimated in Fig.10 based on the video recording... The manual load is estimated based on the video of the working posture.,"Uncodified skill in handling external loads (weight, positioning, arm angle) that affects lumbar compression.","Page 4, Section 4; Page 5, Section 5.1"
c006M01N05,Hazard identification,Tacit Knowledge,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",BIM enables precise identification of hazards and risks during the design stages,Cognitive or procedural process of recognizing project safety threats,"Page 1, Abstract"
c006M01N06,Initial risk management,Tacit Knowledge,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",risk management was carried out from an early stage of the project,Not mentioned,"Page 2, Case Study"
c006M01N07,Risk mitigation,Tacit Knowledge,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",The study's results demonstrate effective risk mitigation,Not mentioned,"Page 1, Abstract"
