"src_node_id","dst_node_id","relation_type","evidence_label","case_title","evidence_statement","evidence_location"
"N01","be_held_by","N07","E","From virtual to reality: application of a novel 3D printing hollow model for early-stage lung cancer in the clinical teaching of thoracoscopic sublobar resection","Both groups of interns received the same teaching content, delivered by a senior thoracic surgeon.","Page 3"
"N02","be_held_by","N06","E","From virtual to reality: application of a novel 3D printing hollow model for early-stage lung cancer in the clinical teaching of thoracoscopic sublobar resection","The inclusion criteria were completion of basic medical courses and certain clinical courses, providing students with foundational understanding.","Page 2"
"N03","be_absorbed_by","N06","E","From virtual to reality: application of a novel 3D printing hollow model for early-stage lung cancer in the clinical teaching of thoracoscopic sublobar resection","The 3DP group demonstrated superiority in the ease of knowledge acquisition and understanding of vascular spatial relationships.","Page 1"
"N04","be_absorbed_by","N06","E","From virtual to reality: application of a novel 3D printing hollow model for early-stage lung cancer in the clinical teaching of thoracoscopic sublobar resection","The multiple-choice questions encompassed more complex and reasoning-based scenarios, addressing deeper understanding of sub-lobectomy strategies.","Page 6"
"N05","be_absorbed_by","N06","E","From virtual to reality: application of a novel 3D printing hollow model for early-stage lung cancer in the clinical teaching of thoracoscopic sublobar resection","Highly realistic 3D models in more challenging clinical scenarios may help students develop a deeper spatial cognition.","Page 6"
"N03","be_difficult_to_capture_due_to","N17","E","From virtual to reality: application of a novel 3D printing hollow model for early-stage lung cancer in the clinical teaching of thoracoscopic sublobar resection","Due to the opacity of lung parenchyma, it is difficult to teach sublobar structures within the lungs.","Page 2"
"N03","be_difficult_to_capture_due_to","N18","E","From virtual to reality: application of a novel 3D printing hollow model for early-stage lung cancer in the clinical teaching of thoracoscopic sublobar resection","2D images and anatomical atlases lack three-dimensionality, making it harder to understand the spatial relationships of anatomical structures.","Page 2"
"N01","be_transferred_by","N08","E","From virtual to reality: application of a novel 3D printing hollow model for early-stage lung cancer in the clinical teaching of thoracoscopic sublobar resection","Traditional clinical teaching has typically relied on cadaver dissection or 2D imaging.","Page 2"
"N01","be_transferred_by","N09","E","From virtual to reality: application of a novel 3D printing hollow model for early-stage lung cancer in the clinical teaching of thoracoscopic sublobar resection","Traditional clinical teaching has typically relied on cadaver dissection or 2D imaging.","Page 2"
"N01","be_transferred_by","N10","E","From virtual to reality: application of a novel 3D printing hollow model for early-stage lung cancer in the clinical teaching of thoracoscopic sublobar resection","The 3DV group learned with a 3D visualization model, interacting with the digital model on a computer to study lung anatomy.","Page 4"
"N01","be_transferred_by","N11","E","From virtual to reality: application of a novel 3D printing hollow model for early-stage lung cancer in the clinical teaching of thoracoscopic sublobar resection","The 3DP group used a 3DP model... allowing for a more intuitive observation of internal structures.","Page 4"
"N06","participate_in","N10","E","From virtual to reality: application of a novel 3D printing hollow model for early-stage lung cancer in the clinical teaching of thoracoscopic sublobar resection","The participants were randomly assigned to two groups, the 3DV group and the 3DP group.","Page 2"
"N06","participate_in","N11","E","From virtual to reality: application of a novel 3D printing hollow model for early-stage lung cancer in the clinical teaching of thoracoscopic sublobar resection","The participants were randomly assigned to two groups, the 3DV group and the 3DP group.","Page 2"
"N07","participate_in","N10","E","From virtual to reality: application of a novel 3D printing hollow model for early-stage lung cancer in the clinical teaching of thoracoscopic sublobar resection","Both groups of interns received the same teaching content, delivered by a senior thoracic surgeon.","Page 3"
"N07","participate_in","N11","E","From virtual to reality: application of a novel 3D printing hollow model for early-stage lung cancer in the clinical teaching of thoracoscopic sublobar resection","Both groups of interns received the same teaching content, delivered by a senior thoracic surgeon.","Page 3"
"N08","be_constrained_by","N17","E","From virtual to reality: application of a novel 3D printing hollow model for early-stage lung cancer in the clinical teaching of thoracoscopic sublobar resection","Due to the opacity of lung parenchyma, it is difficult to teach sublobar structures within the lungs.","Page 2"
"N09","be_constrained_by","N18","E","From virtual to reality: application of a novel 3D printing hollow model for early-stage lung cancer in the clinical teaching of thoracoscopic sublobar resection","2D images and anatomical atlases lack three-dimensionality, making it harder to understand spatial relationships.","Page 2"
"N10","adopt","N12","E","From virtual to reality: application of a novel 3D printing hollow model for early-stage lung cancer in the clinical teaching of thoracoscopic sublobar resection","The 3DV group learned with a 3D visualization model.","Page 4"
"N11","adopt","N13","E","From virtual to reality: application of a novel 3D printing hollow model for early-stage lung cancer in the clinical teaching of thoracoscopic sublobar resection","The 3DP group used a 3DP model featuring transparent, hollow sublobar boundaries.","Page 4"
"N10","be_constrained_by","N19","E","From virtual to reality: application of a novel 3D printing hollow model for early-stage lung cancer in the clinical teaching of thoracoscopic sublobar resection","3DV digital models require students to mentally construct the 3D information of tissues from interacting with a 2D screen.","Page 2"
"N11","resolve","N17","E","From virtual to reality: application of a novel 3D printing hollow model for early-stage lung cancer in the clinical teaching of thoracoscopic sublobar resection","The 3DP model omitted the printing of lung parenchyma... without the obstruction of lung parenchyma, interns could directly touch vascular structures.","Page 5"
"N11","resolve","N18","E","From virtual to reality: application of a novel 3D printing hollow model for early-stage lung cancer in the clinical teaching of thoracoscopic sublobar resection","The physical nature of the 3DP model provided a more intuitive and tangible learning experience, helping students understand complex anatomical structures.","Page 6"
"N11","resolve","N20","E","From virtual to reality: application of a novel 3D printing hollow model for early-stage lung cancer in the clinical teaching of thoracoscopic sublobar resection","By displaying the lung lobe contours while avoiding issues like glare and refraction errors caused by transparent resin.","Page 5"
