"node_id","node_name","category","evidence_label","case_title","evidence_statement","object_definition","evidence_location","sub_category_id","sub_category"
"c001M01N27","3D laser scanning","Digital Technology","E","Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings","The localized case implements 3D laser scanning to collect architectural data and generate precise models.","A scanning technology for high-precision three-dimensional point-cloud acquisition.","Pages 2 and 4-5, Sections 2.1.1 and 3.1","TE05","Imaging, Sensing, and Perception Technologies"
"c001M01N28","UAV oblique photography","Digital Technology","E","Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings","Multi-angle UAV photography works with ground laser scanning to generate the Peng's Dwelling model.","Aerial image acquisition from multiple oblique viewing angles.","Pages 2 and 4-5, Sections 2.1.2 and 3.1","TE05","Imaging, Sensing, and Perception Technologies"
"c001M01N29","ContextCapture software","Digital Technology","E","Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings","ContextCapture generates textured 3D models by stitching aerial images.","Software for photogrammetric image stitching and textured 3D-model generation.","Page 2, Section 2.1.2","TE05","Imaging, Sensing, and Perception Technologies"
"c001M01N30","GIS software","Digital Technology","E","Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings","GIS software aggregates scattered 3D models into spatial distribution maps.","Geographic information system software for spatial aggregation and display.","Page 2, Section 2.1.2","TE04","Data, Information, and Knowledge Systems"
"c001M01N31","Thermal imaging scanning","Digital Technology","E","Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings","Thermal imaging scanning identifies hidden structural dangers such as wood decay and hollow walls.","A scanning technology that detects material and structural risk through thermal information.","Page 5, Section 3.1","TE05","Imaging, Sensing, and Perception Technologies"
"c001M01N32","Virtual reality","Digital Technology","E","Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings","Virtual reality is implemented for data analysis, immersive exhibition, and cross-platform historical-scene restoration.","An immersive digital environment for presenting reconstructed heritage scenes.","Pages 1, 3-4, and 6","TE02","Human–Computer Interaction and Immersive Technologies"
"c001M01N33","Unity3D engine","Digital Technology","E","Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings","Unity3D supports the digital twin system, QR-triggered animation, and cross-platform virtual reality.","A real-time engine used to implement interactive digital-twin and virtual-reality content.","Pages 2 and 6, Sections 2.2.1 and 3.3","TE02","Human–Computer Interaction and Immersive Technologies"
"c001M01N34","AR scene overlay technology","Digital Technology","E","Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings","AR scene overlays combine with historical archives to reconstruct rooms and open halls.","Augmented-reality technology that overlays reconstructed scenes on the heritage site.","Page 5, Section 3.2","TE02","Human–Computer Interaction and Immersive Technologies"
"c001M01N35","Smartphones","Digital Technology","E","Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings","Historical scenes are restored interactively on smartphones.","A mobile-device delivery platform for the digital twin experience.","Page 6, Section 3.3","TE07","Mobile, Social and Communication Technologies"
"c001M01N36","AR glasses","Digital Technology","E","Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings","Historical scenes are restored interactively on AR glasses.","Wearable augmented-reality display hardware.","Page 6, Section 3.3","TE02","Human–Computer Interaction and Immersive Technologies"
