start_id,end_id,type,Description,Example
Tacit Knowledge,Knowledge Holder,be_documented_partially_by,"Use this when knowledge holder codify human experience, routines, or behaviors into structured text, files, or manuals.",Diagnostic know-how is documented partially by senior technician's personal logbook
Explicit Knowledge,Tacit Knowledge,translate_into,"Use this when written rules, metrics, or guidelines are successfully put into practice by a person and turned into safe personal routines or hands-on skills.",Excavation safety knowledge translate into Real-time hazard identification performance. c001
Tacit Knowledge,Knowledge Holder,be_held_by,"Use this to show the baseline location of an asset, identifying which specific person, expert, or team currently possesses that know-how or documentation.",Excavation safety knowledge is held by Construction professionals. c001
Explicit Knowledge,Knowledge Holder,be_held_by,"Use this to show the baseline location of an asset, identifying which specific person, expert, or team currently possesses that know-how or documentation.",Excavation safety knowledge is held by Construction professionals. c001
Tacit Knowledge,Knowledge Holder,be_absorbed_by,"Use this to mark a clear learning milestone, showing that a specific person or role has successfully gained new knowledge as a result of training.",Self-efficacy belief is absorbed by University students. c001
Explicit Knowledge,Knowledge Holder,be_absorbed_by,"Use this to mark a clear learning milestone, showing that a specific person or role has successfully gained new knowledge as a result of training.",Self-efficacy belief is absorbed by University students. c001
Tacit Knowledge,Technology-Enabled Practice,be_captured_by,"Use this when human routines, actions, or real-time spatial behaviors are actively tracked or monitored inside a digital application or simulation.",Real-time hazard identification performance is captured by Immersive VR training system. c001
Tacit Knowledge,Traditional Human-Centred Practice,be_transferred_by,"Use this to connect a specific knowledge asset to the exact training vehicle, manual review, or simulation system used to distribute it.",Hazard identification skill is transferred by Immersive VR training system. c001
Tacit Knowledge,Technology-Enabled Practice,be_transferred_by,"Use this to connect a specific knowledge asset to the exact training vehicle, manual review, or simulation system used to distribute it.",Hazard identification skill is transferred by Immersive VR training system. c001
Explicit Knowledge,Traditional Human-Centred Practice,be_transferred_by,"Use this to connect a specific knowledge asset to the exact training vehicle, manual review, or simulation system used to distribute it.",Hazard identification skill is transferred by Immersive VR training system. c001
Explicit Knowledge,Technology-Enabled Practice,be_transferred_by,"Use this to connect a specific knowledge asset to the exact training vehicle, manual review, or simulation system used to distribute it.",Hazard identification skill is transferred by Immersive VR training system. c001
Knowledge Holder,Traditional Human-Centred Practice,participate_in,"Use this to map human actors to an operational workflow, showing who actively takes part in a chosen training approach or experiment.",University students participant in Immersive VR training system. c001
Knowledge Holder,Technology-Enabled Practice,participate_in,"Use this to map human actors to an operational workflow, showing who actively takes part in a chosen training approach or experiment.",University students participant in Immersive VR training system. c001
Traditional Human-Centred Practice,Organization Dependency,depend_on,"Use this to flag necessary baseline resources, company cultures, or external regulatory requirements needed for a practice to run successfully.",Immersive VR training system depend on Physical space (3m x 3m square). c001
Traditional Human-Centred Practice,Environment Dependency,depend_on,"Use this to flag necessary baseline resources, company cultures, or external regulatory requirements needed for a practice to run successfully.",Immersive VR training system depend on Physical space (3m x 3m square). c001
Technology-Enabled Practice,Organization Dependency,depend_on,"Use this to flag necessary baseline resources, company cultures, or external regulatory requirements needed for a practice to run successfully.",Immersive VR training system depend on Physical space (3m x 3m square). c001
Technology-Enabled Practice,Environment Dependency,depend_on,"Use this to flag necessary baseline resources, company cultures, or external regulatory requirements needed for a practice to run successfully.",Immersive VR training system depend on Physical space (3m x 3m square). c001
Technology-Enabled Practice,Tacit Knowledge,evaluate,"Use this when a practice includes testing parameters, quizzes, or built-in performance scores designed to actively check a participant's skill or compliance level.",Immersive VR training system evaluate Real-time hazard identification performance. c001
Technology-Enabled Practice,Explicit Knowledge,evaluate,"Use this when a practice includes testing parameters, quizzes, or built-in performance scores designed to actively check a participant's skill or compliance level.",Immersive VR training system evaluate Real-time hazard identification performance. c001
Technology-Enabled Practice,Digital Technology,adopt,"Use this to outline system architecture, connecting a digital practice to its underlying physical hardware tools, software engines, or structural data files.",Immersive VR training system adopt Head Mounted Displays (Oculus Quest). c001
Technology-Enabled Practice,Explicit Knowledge,adopt,"Use this to outline system architecture, connecting a digital practice to its underlying physical hardware tools, software engines, or structural data files.",Immersive VR training system adopt Head Mounted Displays (Oculus Quest). c001
Traditional Human-Centred Practice,Limitation,be_constrained_by,"Use this to tie a practice directly to its known shortcomings, system bottlenecks, or real-world flaws, like steep human forgetting or passivity.",Health and safety manual self-study is constrained by Knowledge decay over time. c001
Technology-Enabled Practice,Limitation,be_constrained_by,"Use this to tie a practice directly to its known shortcomings, system bottlenecks, or real-world flaws, like steep human forgetting or passivity.",Health and safety manual self-study is constrained by Knowledge decay over time. c001
Technology-Enabled Practice,Limitation,resolve,Use this only when verified data proves that a digital or automated approach completely removes or neutralizes an existing process bottleneck.,VR Exhibition Hall / Metaverse Scenario (NetEase Yaotai) resolve Fragmented scenarios (lack of wartime life recreation). c002
Technology-Enabled Practice,Limitation,mitigate,"Use this when an approach successfully lowers, softens, or controls a structural flaw or behavioral risk without completely eliminating it.",Immersive VR training system mitigate Knowledge-to-practice gap. c001
Technology-Enabled Practice,Traditional Human-Centred Practice,complement,Use this to show that a newly introduced digital framework enhances or patches a legacy human routine without making it obsolete.,3D Laser Scanning (FARO Focus S350 / Leica RTC360) complement Paper-based Surveying c002
Technology-Enabled Practice,Traditional Human-Centred Practice,cannot_fully_replace,"Use this when case evidence proves that an automated tool still relies on human baselines, or that a physical practice remains legally mandatory.",Generative bid composition module cannot fully replace Human-in-the-loop review. c004
Tacit Knowledge,Limitation,be_difficult_to_capture_due_to,"Use this to map specific knowledge management roadblocks, explaining exactly what cognitive or process barriers prevent hands-on skills from being easily stored.",Real-time hazard identification performance is difficult to capture due to Knowledge-to-practice gap. c001
