node_id,node_name,category,evidence_label,case_title,evidence_statement,object_definition,evidence_location
c201M01N13,Traditional static image-based teaching,Traditional Human-central Practice,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,The paper identifies traditional static image-based teaching as a source of excessive cognitive load.,Legacy teaching based on learner interpretation of static images.,"PDF pp. 1 and 6, Abstract and Discussion"
c201M02N18,Unassisted Traditional PACS Self-Interpretation Workflow,Traditional Human-central Practice,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,"Traditional didactic methods in medical imaging education, predominantly reliant on static images (non-augmented, traditional PACS workflow that requires manual, unguided search and interpretation)","A conventional PACS workflow without AI assistance requiring manual execution of visual search, spatial reasoning, diagnostic reasoning, and unstructured reporting","Page 1, Abstract"
c202M01N16,lecture-based session on Digital Transformation in Healthcare,Traditional Human-central Practice,E,Enhancing Digital Health Literacy Of Village Health Volunteers Through Vocational Training Programs,VHVs attended a 60-minute lecture that delivered theoretical knowledge in a structured format.,A lecture-format session used to introduce foundational digital-health concepts.,"PDF pp. 2–3, Sections II.C and III.B"
c202M01N17,pre- and post-tests,Traditional Human-central Practice,E,Enhancing Digital Health Literacy Of Village Health Volunteers Through Vocational Training Programs,Ten-question pre- and post-tests were compared to assess knowledge acquisition and learning progress.,Two multiple-choice assessments administered before and immediately after the training.,"PDF p. 3, Sections III.B–III.C"
c202M02N04,Lecture-based Learning,Traditional Human-central Practice,E,Enhancing Digital Health Literacy Of Village Health Volunteers Through Vocational Training Programs,The lecture-style training is used for the Digital Transformation in Healthcare course. This method is well-suited for imparting foundational knowledge about the role of digital tools in healthcare,"A structured, theory-based training method where trainers deliver information to learners in a lecture format",Page 2
c202M02N05,Workshop-based Learning,Traditional Human-central Practice,E,Enhancing Digital Health Literacy Of Village Health Volunteers Through Vocational Training Programs,"Workshops are particularly well-suited for these topics because they focus on practical, hands-on learning, where VHVs can actively engage with the technologies being introduced","A practical, hands-on training method where VHVs engage with real-life applications of IoT devices and AI tools",Page 2
c202M02N07,Post-test,Traditional Human-central Practice,E,Enhancing Digital Health Literacy Of Village Health Volunteers Through Vocational Training Programs,This post-test aimed to assess the knowledge gained during the training and measure any improvements in participants' understanding of digital health technologies,A 10-minute multiple-choice assessment administered after training to measure knowledge acquisition,Page 3
c203M01N20,semi-structured in-depth interviews,Traditional Human-central Practice,E,The Impact Of Generative Ai Health Knowledge Acquisition On Adolescents' Physical Activity: The Mediating Role Of Exercise Self-Efficacy And The Moderating Effect Of Health Information Literacy,"Semi-structured interviews collected experience concerning AI health inquiries, verification strategies, trust, and privacy.",Human-led interviews used to elicit user experience for scale development.,"Page 5, Section 2.2.4"
c203M01N21,Delphi expert consultation,Traditional Human-central Practice,E,The Impact Of Generative Ai Health Knowledge Acquisition On Adolescents' Physical Activity: The Mediating Role Of Exercise Self-Efficacy And The Moderating Effect Of Health Information Literacy,The research team conducted two rounds of Delphi expert consultation and iteratively refined the indicator framework.,A structured expert-consultation process used to assess and refine scale indicators.,"Page 5, Section 2.2.4"
c203M01N22,self-reported questionnaire survey,Traditional Human-central Practice,E,The Impact Of Generative Ai Health Knowledge Acquisition On Adolescents' Physical Activity: The Mediating Role Of Exercise Self-Efficacy And The Moderating Effect Of Health Information Literacy,"The formal study obtained 2,306 valid questionnaires from adolescents.",Questionnaire-based self-report measurement of the study constructs.,"Pages 3–6, Sections 2.1–2.4"
c203M01N33,traditional physical education classes,Traditional Human-central Practice,E,The Impact Of Generative Ai Health Knowledge Acquisition On Adolescents' Physical Activity: The Mediating Role Of Exercise Self-Efficacy And The Moderating Effect Of Health Information Literacy,The authors state that generative AI fills an information gap between traditional physical education classes and family guidance.,Conventional school-based physical education instruction.,"Page 8, Section 4.1"
c203M01N34,family guidance,Traditional Human-central Practice,E,The Impact Of Generative Ai Health Knowledge Acquisition On Adolescents' Physical Activity: The Mediating Role Of Exercise Self-Efficacy And The Moderating Effect Of Health Information Literacy,The authors state that generative AI fills an information gap between traditional physical education classes and family guidance.,Human guidance concerning exercise and health provided within the family.,"Page 8, Section 4.1"
c204M01N17,Oral teaching,Traditional Human-central Practice,E,Design And Evaluation Of A Virtual Rehabilitation System Integrating Intangible Cultural Heritage: A Case Study Of Baduanjin-Based Somatosensory Training,Oral teaching is identified as a current dissemination form for Baduanjin.,Spoken and demonstrated human-led instruction.,"Section 2.1, p. 2"
c204M01N18,Books and literature,Traditional Human-central Practice,E,Design And Evaluation Of A Virtual Rehabilitation System Integrating Intangible Cultural Heritage: A Case Study Of Baduanjin-Based Somatosensory Training,Books and literature are identified as dissemination forms for Baduanjin.,Written materials used for Baduanjin dissemination.,"Section 2.1, p. 2"
c204M01N19,Audio-visual video,Traditional Human-central Practice,E,Design And Evaluation Of A Virtual Rehabilitation System Integrating Intangible Cultural Heritage: A Case Study Of Baduanjin-Based Somatosensory Training,"Audio-visual video is identified as a dissemination form, but video instruction remains passive.",Prerecorded audiovisual demonstration used for instruction.,"Sections 2.1 and 3.1, pp. 2–3"
c204M01N20,Art performance,Traditional Human-central Practice,E,Design And Evaluation Of A Virtual Rehabilitation System Integrating Intangible Cultural Heritage: A Case Study Of Baduanjin-Based Somatosensory Training,Art performance is listed among existing Baduanjin dissemination forms.,Performance-based presentation of Baduanjin.,"Section 2.1, p. 2"
c204M02N13,Baduanjin oral teaching tradition,Traditional Human-central Practice,E,Design And Evaluation Of A Virtual Rehabilitation System Integrating Intangible Cultural Heritage: A Case Study Of Baduanjin-Based Somatosensory Training,"""the dissemination of the Baduanjin forms include: oral teaching""",Traditional face-to-face instruction method where teachers verbally demonstrate and explain movements,"Page 2, Section 2.1"
c204M02N14,Traditional Baduanjin exercise rehabilitation,Traditional Human-central Practice,E,Design And Evaluation Of A Virtual Rehabilitation System Integrating Intangible Cultural Heritage: A Case Study Of Baduanjin-Based Somatosensory Training,"""traditional exercise rehabilitation methods often have problems such as a single form of intervention, high repetitiveness, and lagging feedback""",Non-digital exercise-based rehabilitation approaches with single intervention forms,"Page 1, Section 1"
c205M01N20,process demonstration,Traditional Human-central Practice,E,Game-Based Learning As Training To Use A Chemotherapy Preparation Robot,"In the conventional format, trainees were shown the processes.",Human demonstration of the robot-use process.,"Introduction, page 2"
c205M01N21,procedure repetition,Traditional Human-central Practice,E,Game-Based Learning As Training To Use A Chemotherapy Preparation Robot,"After reading and demonstration, trainees repeated the processes themselves.",Trainee repetition of a previously demonstrated procedure.,"Introduction, page 2"
c205M02N13,"Conventional training format (reading procedures, demonstration, repetition)",Traditional Human-central Practice,E,Game-Based Learning As Training To Use A Chemotherapy Preparation Robot,"These sessions were conducted following a conventional format consisting of trainees reading the recommended procedures, being shown the processes, and then repeating them themselves.","A traditional, non-digital method of training where knowledge is transferred through passive reading, observation, and rote repetition.","Page 2, Introduction"
c206M01N16,In-class theoretical training,Traditional Human-central Practice,E,From Surface To Deep Learning: Gamified Mobile Education For Subcutaneous And Intramuscular Injection Skills,All students received at least two hours of theoretical education through lectures and supporting educational materials.,Human-led classroom instruction covering SC and IM drug administration.,"Methods, Study Process, pp. 4–5"
c206M01N17,Instructor demonstration on a model,Traditional Human-central Practice,E,From Surface To Deep Learning: Gamified Mobile Education For Subcutaneous And Intramuscular Injection Skills,The instructor demonstrated SC and IM drug-administration techniques on a model while students observed.,Physical demonstration of injection procedures using a model.,"Methods, Study Process, p. 5"
c206M01N18,Supervised laboratory practice with peer feedback,Traditional Human-central Practice,E,From Surface To Deep Learning: Gamified Mobile Education For Subcutaneous And Intramuscular Injection Skills,Students practiced under supervision while peers observed and provided feedback.,"Skills-laboratory practice combining supervision, peer observation, and feedback.","Methods, Study Process, p. 5"
c206M01N30,Skill performance list development and expert validation,Traditional Human-central Practice,E,From Surface To Deep Learning: Gamified Mobile Education For Subcutaneous And Intramuscular Injection Skills,"The researchers developed the skill performance list from existing literature; nursing fundamentals content experts evaluated its items, and their suggestions and corrections were incorporated into the final version.","Human-led development, content-validity assessment, and revision of the instrument used to evaluate SC and IM medication-administration performance.","Methods, Skill Performance List for Subcutaneous and Intramuscular Medication Administration, pp. 4–5"
c206M01N31,Pre-test and post-test assessment,Traditional Human-central Practice,E,From Surface To Deep Learning: Gamified Mobile Education For Subcutaneous And Intramuscular Injection Skills,"Before and after the intervention, both groups were assessed using the Study Process Questionnaire and the subcutaneous and intramuscular drug-administration performance list.",Research assessment process used to measure learning approaches and SC and IM skill performance before and after the intervention.,"Methods, Pre-Test Phase and Post-Test Phase, pp. 4–6"
c206M02N24,Foundational 2-Hour SC/IM Theory Lecture,Traditional Human-central Practice,E,From Surface To Deep Learning: Gamified Mobile Education For Subcutaneous And Intramuscular Injection Skills,All nursing students who agreed to participate first received theoretical training on SC and IM drug management. This education was provided by the researcher and adhered to the standard principles outlined in the nursing course curriculum,In-class lecture-based theoretical instruction,Page 4-5
c206M02N25,Mannequin-Based Instructor Procedural Demonstration,Traditional Human-central Practice,E,From Surface To Deep Learning: Gamified Mobile Education For Subcutaneous And Intramuscular Injection Skills,The instructor first demonstrated the SC and IM drug administration techniques on a model while the students observed,Instructor demonstration of techniques on a model,Page 5
c207M01N13,traditional physical methods,Traditional Human-central Practice,E,Virtual Reality In Training And Assessment Among Clinical Students And Lecturers At A Nigerian University: A Phenomenological Study,Participants and authors describe conventional hands-on or physical clinical training involving real patients.,"Face-to-face, hands-on clinical teaching and assessment in physical settings.","PDF pp. 5-9, Results: Themes 1 and 4; Discussion"
c207M02N31,Bedside patient examination training,Traditional Human-central Practice,E,Virtual Reality In Training And Assessment Among Clinical Students And Lecturers At A Nigerian University: A Phenomenological Study,"""traditional physical clinical training"" and ""hands-on experience with real-life patients""",Conventional clinical education method where students learn examination skills through direct physical interaction with real patients in hospital or clinical settings.,"Page 5, Theme 1"
c208M02N12,Didactic presentation module,Traditional Human-central Practice,E,Gamifying Chest X-Ray Interpretation For Advanced Practice Nurses,"The didactic learning portion included a basic CXR interpretation presentation module, which learners could access asynchronously in their learning management system",Asynchronous educational presentation teaching the fundamentals of CXR interpretation,Page 1
c209M01N13,cadaver dissection,Traditional Human-central Practice,E,From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,Traditional clinical teaching typically relied on cadaver dissection or 2D imaging.,An anatomy-teaching method based on studying human cadavers.,"PDF p. 2, Introduction"
c209M01N14,2D imaging,Traditional Human-central Practice,E,From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,Traditional clinical teaching typically relied on cadaver dissection or 2D imaging.,Teaching through flat medical-image representations.,"PDF p. 2, Introduction"
c209M01N15,anatomical atlases,Traditional Human-central Practice,E,From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,The paper states that 2D images and anatomical atlases lack three-dimensionality.,Teaching or self-study through codified anatomical illustrations.,"PDF p. 2, Introduction"
c209M02N27,2D imaging learning method,Traditional Human-central Practice,E,From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,Traditional clinical teaching has typically relied on... 2D imaging,Learning method using two‑dimensional medical images (CT/MRI) from which students must mentally reconstruct three‑dimensional anatomy.,"Page 2, Introduction"
c210M01N14,Traditional didactic methods relying on print materials,Traditional Human-central Practice,E,Impact Of A Wechat-Based Intervention On Nurses Knowledge And Practice In Peripheral Venous Catheter Insertion,The paper contrasts mobile learning with traditional didactic methods relying on print materials.,Conventional educational delivery using printed learning material.,PDF p. 2; Introduction
c210M01N15,Telephonic communication,Traditional Human-central Practice,E,Impact Of A Wechat-Based Intervention On Nurses Knowledge And Practice In Peripheral Venous Catheter Insertion,Telephonic communication is identified as part of traditional didactic delivery.,Conventional person-to-person content delivery by telephone.,PDF p. 2; Introduction
c210M01N16,Professional workshops,Traditional Human-central Practice,E,Impact Of A Wechat-Based Intervention On Nurses Knowledge And Practice In Peripheral Venous Catheter Insertion,Only 4.69 percent of intervention-group nurses had participated in PIVC-related workshops.,Offline professional education concerning PIVC placement.,PDF pp. 5 and 7; Table 2 and Discussion
c210M01N18,Real-time on-site PIVC placement observation,Traditional Human-central Practice,E,Impact Of A Wechat-Based Intervention On Nurses Knowledge And Practice In Peripheral Venous Catheter Insertion,Researchers observed and assessed nurses’ practical skills during real-time on-site PIVC placement operations.,Human observation and checklist scoring of actual PIVC placement performance.,PDF p. 3; Assessment methods
c210M02N22,Print materials and telephone didactic sessions,Traditional Human-central Practice,E,Impact Of A Wechat-Based Intervention On Nurses Knowledge And Practice In Peripheral Venous Catheter Insertion,Traditional didactic methods relying on print materials and telephonic communication,"Conventional educational approaches using printed educational resources and telephone-based communication, described as less cost-effective than mobile learning.",Page 2
c210M02N24,Spontaneous clinical experience accrual,Traditional Human-central Practice,I,Impact Of A Wechat-Based Intervention On Nurses Knowledge And Practice In Peripheral Venous Catheter Insertion,Control group minor practice score fluctuation may reflect spontaneous clinical experience accumulation,Not mentioned,Page 6
c211M01N12,Traditional offline communication,Traditional Human-central Practice,E,How Does Physician Stress Impact Knowledge-Sharing Behaviors?Evidence From Online Physician Communities,The introduction states that traditional offline communication is insufficient for increasingly intricate medical issues.,Offline interpersonal communication used by physicians.,"Section 1, PDF page 1"
c211M02N14,Peer emotional support practice,Traditional Human-central Practice,E,How Does Physician Stress Impact Knowledge-Sharing Behaviors?Evidence From Online Physician Communities,"Emotional support manifests as encouragement, empathy, and care functions to mitigate individual stress and its adverse effects",Human-driven support mechanism through peer encouragement and empathy,"Page 5, Section 3.2"
c212M01N12,Practical sessions,Traditional Human-central Practice,E,The Influence Of Education Using Artificial Intelligence Technologies On The Formation Of Moral Behavior And Self-Efficacy In Medical Students,The control group completed clinical exercises and scenarios without AI.,Clinical exercises and scenarios conducted without artificial intelligence.,"PDF p. 4, Methods and Materials, Procedure"
c212M01N13,Group discussions,Traditional Human-central Practice,E,The Influence Of Education Using Artificial Intelligence Technologies On The Formation Of Moral Behavior And Self-Efficacy In Medical Students,Group discussions were included among the control group's traditional methods.,Human-led group discussion used in traditional instruction.,"PDF p. 4, Methods and Materials, Procedure"
c212M01N14,Case studies,Traditional Human-central Practice,E,The Influence Of Education Using Artificial Intelligence Technologies On The Formation Of Moral Behavior And Self-Efficacy In Medical Students,Students discussed clinical cases in groups under instructor guidance to develop moral skills.,Guided group discussion of clinical cases intended to develop moral skills.,"PDF p. 4, Methods and Materials, Procedure"
