uuid,Title,Abstract,DOI Link,Publication title,deepseek_kr_flag,qwen_kr_flag,deepseek_kr_evidence,qwen_kr_evidence,deepseek_TK_normalized,qwen_TK_normalized,deepseek_DT_flag,qwen_DT_flag,deepseek_DT_evidence,qwen_DT_evidence,deepseek_DT_normalized,qwen_DT_normalized,deepseek_article_type,qwen_article_type,deepseek_ic_label,qwen_ic_label
7b1894e0-4779-43b2-a817-4c7e34115000,Students As Evaluators Of Learning Objects In Virtual Reality: Usability And Technical And Aesthetic Valuation,"Virtual Reality (VR) is emerging as a key tool in education, transforming both teaching methods and learning experiences. This study examines its impact through an experimental investigation involving 554 university students who interacted with VR-based learning objects. Usability, technical quality, aesthetics, and effectiveness in information acquisition were assessed. The results indicate high usability levels, with scores exceeding those reported in previous studies, as measured by the System Usability Scale (SUS). Version 1 of the VR objects, which included additional elements such as music and stimulus variation, received higher ratings than Version 2, particularly in terms of educational and social utility. While both versions were positively evaluated, Version 1 demonstrated a significantly greater impact on academic performance and student attitudes. Interaction with the VR objects substantially facilitated knowledge acquisition, highlighting the transformative potential of this technology. In conclusion, VR significantly enhances the educational experience and fosters a positive attitude toward learning, thus supporting its integration into academic curricula. These findings endorse the use of VR as an innovative and effective resource to enrich traditional teaching methods. © 2025, GTE-Educational Technology Group, University of the Balearic Islands. All rights reserved.",10.21556/edutec.2025.93.4069,Edutec,No,No,"The abstract discusses VR-based learning objects and their impact on usability, technical quality, aesthetics, and knowledge acquisition, but does not discuss capturing or retaining knowledge from individuals or the organizational environment.","The study focuses on the usability and effectiveness of VR-based learning objects, but does not explicitly discuss capturing or retaining knowledge from individuals or organizations.",None identified,None identified,No,Yes,The abstract does not discuss using digital technologies to capture or retain tacit knowledge.,"Virtual Reality (VR) is used to create learning objects, and the study evaluates their usability and educational impact.",None identified,Human–Computer Interaction and Immersive Technologies,Empirical Study,Empirical Study,False,False
58951602-c83a-4a49-824a-c5a86575341f,Illustrating The Intangible Cultural Heritage Of Santhals And Kuki: Pushing The Boundaries Of Knowledge Sharing In The Era Of Technology,"By focusing on both Kuki and Santhal's intangible heritage, the paper offers holistic insights into how these communities navigate the transfer of their cultural knowledge, which further ensures that these traditions remain a dynamic force bridging all spheres of life. Through an anthropological perspective, the paper highlights the contextual understanding of the meaning-making process, a framework rooted in decolonization, and captures intangible practices with case studies related to festivals documented during the fieldwork among the Santhals and the Kukis. It attempts to reflect how cultural identity is constructed and reinforced through multisensory, performative expressions and how heritage, when intertwined with the digital revolution, offers immense possibilities to preserve heritage. As the body becomes dynamic, the focus shifts from the body as it intersects with the machine, substituting the role. Further, it discusses how digital tools from smartphones to virtual and augmented reality, GIS, and 3D Scanning facilitate both preservation and transformation of cultural knowledge, foregrounding community-led efforts to reclaim narrative agency and identity. The paper ultimately argues that effective knowledge sharing today necessitates a negotiated continuum between continuity and change where the body and the digital converge, that is ethically grounded and culturally situated. Ethical concerns surrounding digital representation and participation are addressed, alongside a call for immersive technology, culturally responsive approaches to preservation, including VR-based oral histories and blockchain-enabled tribal archives, and many more. It calls for an interdisciplinary and situated approach to digital heritage and anthropological knowledge production.  Copyright © 2025 Shrila Soren.",10.5194/isprs-archives-XLVIII-M-9-2025-1413-2025,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives",Yes,Yes,"The abstract explicitly discusses preserving intangible cultural heritage, capturing cultural knowledge, and ensuring traditions remain a dynamic force, with a focus on community-led efforts to reclaim narrative agency and identity.","The paper discusses how digital tools facilitate the preservation and transformation of cultural knowledge, which is a form of tacit knowledge embedded in social and cultural practices.",Collective Tacit Knowledge,Collective Tacit Knowledge,Yes,Yes,"The abstract discusses digital tools such as smartphones, virtual and augmented reality, GIS, 3D scanning, VR-based oral histories, and blockchain-enabled tribal archives for preservation and transformation of cultural knowledge.","The paper discusses the use of digital tools such as smartphones, virtual and augmented reality, GIS, and 3D Scanning to preserve and transform cultural knowledge.",Human–Computer Interaction and Immersive Technologies,"Human–Computer Interaction and Immersive Technologies; Imaging, Sensing, and Perception Technologies; Mobile, Social, and Communication Technologies",Case Study,Case Study,True,True
d7d36250-5aa0-48e5-8eea-e3e6cac7c200,Wildfire And Forest Management: Opportunities For Hci Research,"Wildfire and forest management increasingly rely on geospatial technologies, i.e., data and tools contributing to the geographic mapping and analysis of the Earth, to inform measures for the control of wildfires. Nevertheless, challenges arising from domain experts adopting these complex, non-intuitive technologies are not well understood. We interviewed 12 participants in wildfire and forest management to explore the technical and socio-technical nature of these challenges, revealing that (1) knowledge and data are fragmented across stakeholders, ranging from governmental agencies to small landowners. This fragmentation causes participants to (2) struggle in sharing knowledge and expertise. Participants (3) voice concerns about model bias since decisions informed by geospatial technologies can have far-reaching impacts. Yet, they (4) face barriers engaging people most impacted by these decisions. We detail an HCI research agenda that includes: exploring opportunities to connect stakeholders and sharing knowledge, standardizing decision-making, and engaging local communities. © 2026 Copyright held by the owner/author(s).",10.1145/3765288,ACM Transactions on Computer-Human Interaction,Yes,No,"The abstract discusses challenges in sharing knowledge and expertise among stakeholders in wildfire and forest management, and proposes an HCI research agenda that includes exploring opportunities to connect stakeholders and sharing knowledge.","The study focuses on the challenges and opportunities for HCI research in wildfire and forest management, but does not explicitly discuss capturing or retaining knowledge from individuals or organizations.",Relational Tacit Knowledge,None identified,No,Yes,The abstract discusses challenges with geospatial technologies but does not describe using digital technologies to capture or retain tacit knowledge; it proposes a future research agenda.,"The study discusses the use of geospatial technologies, which are data and tools contributing to the geographic mapping and analysis of the Earth, to inform measures for the control of wildfires.",None identified,"Data, Information, and Knowledge Systems",Empirical Study,Empirical Study,False,False
b0f10ad6-9a79-4a02-b86f-6b7cc0c11040,Developing Ethical Principle Awareness And Reasoning In A Cybersecurity Context: Enhancing User Understanding Using Ripple Down Rules,"Cybersecurity breaches are often attributed to human behaviour, where individuals fail to integrate ethical principles in their decision-making. This empirical study investigates the effectiveness of the Ripple Down Rules (RDR) method, a knowledge acquisition and representation method, in enhancing ethical awareness and reasoning in cybersecurity contexts. The proposed approach combines rule-based reasoning, case-based learning, reflection, and situated cognition to bridge the gap between ethical knowledge and action by systematically connecting scenario elements to ethical principles. Participants, recruited from a cohort of first-year psychology students, were exposed to training incorporating five ethical principles—Beneficence, Non-Maleficence, Justice, Autonomy, and Explicability—applied to realistic cybersecurity scenarios. The study employed a randomised controlled design with two treatment and one control groups, using pre- and post-study assessments to evaluate improvements in ethical principle identification and reasoning. Participants rated RDR as a clear and helpful tool for understanding ethical reasoning, with sensibility and helpfulness scores ranging from moderate to high. Results demonstrate that RDR training significantly improved participants' ability to identify ethical principles compared to learning without RDR, particularly for principles like autonomy and explicability. However, challenges persisted in distinguishing overlapping principles, such as beneficence and non-maleficence. Implications and guidance for use of RDR for ethics training are discussed. © 2025 The Author(s)",10.1016/j.cose.2025.104761,Computers and Security,Yes,No,"The abstract explicitly discusses the Ripple Down Rules (RDR) method as a knowledge acquisition and representation method to enhance ethical awareness and reasoning, bridging the gap between ethical knowledge and action.","The study focuses on enhancing ethical principle awareness and reasoning in a cybersecurity context using the Ripple Down Rules method, but does not explicitly discuss capturing or retaining knowledge from individuals or organizations.",Relational Tacit Knowledge,None identified,Yes,Yes,"The abstract explicitly states that the Ripple Down Rules (RDR) method, a knowledge acquisition and representation method, is used to enhance ethical awareness and reasoning in cybersecurity contexts.","The study uses the Ripple Down Rules (RDR) method, a knowledge acquisition and representation method, to enhance ethical awareness and reasoning in cybersecurity contexts.","Rule-Based, Decision, and Expert Systems","Rule-Based, Decision, and Expert Systems",Empirical Study,Empirical Study,True,False
47f55db6-f946-4b4b-ac95-75508e7e3ce9,Hyperspectral Imaging Analysis For Ssc Prediction In Actinidia Arguta: Impact Of Short-Term Anaerobic Treatment,"In this study, hyperspectral imaging technology was utilized to monitor the alterations and spatial distribution of soluble solid content (SSC) in Actinidia arguta during postharvest storage. The fruit were exposed to a 24 h anaerobic treatment in a pure N2 atmosphere and then stored at ambient temperature for 10 days. These findings collectively affirm that N2 treatment can effectively decelerate the softening process of Actinidia arguta by impeding firmness loss and SSC progression. After preprocessing, feature band extraction was conducted using competitive adaptive reweighted sampling (CARS), interval variable iterative space shrinkage approach (iVISSA), and a synergistic iVISSA-CARS algorithm. Partial least squares regression (PLSR) and particle swarm optimization extreme learning machine (PSO-ELM) models were developed for SSC prediction, with the PSO-ELM model yielding the most accurate predictions. In the test set, the CARS-PSO-ELM model for the control group achieved an Rp2 of 0.877, an RMSEP of 0.611, and an RPD of 1.953, while the iVISSA-CARS-PSO-ELM model for the N2 treatment group achieved an Rp2 of 0.904, an RMSEP of 0.554, and an RPD of 2.236. Finally, SSC visualization maps of Actinidia arguta were generated for both the control and treatment groups based on their respective optimal models, providing valuable references for comprehensive quality assessment during subsequent processing, transportation, and commercialization stages. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2025.",10.1007/s12161-025-02832-9,Food Analytical Methods,No,No,"The abstract focuses on monitoring SSC in Actinidia arguta using hyperspectral imaging and predictive modeling, with no discussion of capturing or retaining knowledge from individuals or organizational environment.","The study focuses on the use of hyperspectral imaging technology to monitor the alterations and spatial distribution of soluble solid content (SSC) in Actinidia arguta, but does not explicitly discuss capturing or retaining knowledge from individuals or organizations.",None identified,None identified,No,Yes,The abstract does not discuss using digital technologies to capture or retain tacit knowledge.,"Hyperspectral imaging technology, along with feature band extraction methods and machine learning models, is used to predict SSC in Actinidia arguta.",None identified,"Imaging, Sensing, and Perception Technologies; Data, Information, and Knowledge Systems; Artificial Intelligence and Intelligent Computation",Empirical Study,Empirical Study,False,False
9c422b9c-6ccf-44f8-a002-2a5c251cf7b5,"Unlocking High-Quality Education: A Comparative Analysis Of Online Versus Traditional Teaching Modalities In A Higher Education Institution In Milagro, Ecuador","Introduction: Nowadays, the quality of teaching is a key and decisive factor in the field of education. Technological innovations have transformed teaching and learning, sparking debates among the academic community about the vision of online learning and, in this case, whether it achieves the same level as face-to-face learning. Objective: This study aimed to compare the effectiveness of online teaching in relation to traditional education in supporting students' academic success and English language proficiency. Methodology: This study employed an applied quantitative, quasi-experimental research design to compare the effects of different teaching modalities. The sample consisted of 348 undergraduate students enrolled in an English Language Teaching (ELT) programme, who were non-randomly assigned across eight distinct experimental groups. Data were collected using a standardised achievement test administered to all participants. For the statistical analysis of group differences, a one-way Analysis of Variance (ANOVA) was applied, with a significance level of 0.05. Results: Both online and traditional groups achieved equal academic performance, indicating that the modalities used do not affect performance and that equal opportunities are provided to all students. Key recommendation: It is essential to examine the pedagogical frameworks that shape learning experiences at different levels, and their implications for student participation, knowledge retention, and long-term progress. These factors are vital for both educators and policymakers focused on improving instructional strategies. Innovative contribution: The study integrates cognitive processes with observable behaviours by examining academic performance across various learning strategies. This contributes to the development of effective teaching strategies adapted to specific contexts by providing them with solid evidence. Conclusion: Advances in technology have transformed education by providing numerous forms of learning that extend beyond the traditional teaching framework. © 2025, University of Nigeria Department of Mass Communication. All rights reserved.",10.5281/zenodo.17724617,Ianna Journal of Interdisciplinary Studies,No,No,"The abstract compares online versus traditional teaching modalities and their effectiveness on academic performance, but does not discuss capturing or retaining knowledge from individuals or organizational environment.","The study compares the effectiveness of online teaching versus traditional education in supporting students' academic success and English language proficiency, but does not explicitly discuss capturing or retaining knowledge from individuals or organizations.",None identified,None identified,No,No,The abstract does not discuss using digital technologies to capture or retain tacit knowledge.,The study does not explicitly discuss the use of digital technologies to capture or retain knowledge.,None identified,None identified,Empirical Study,Empirical Study,False,False
1c744131-41bf-478b-acb3-76de11aeb6e1,Securing Healthcare: A Melsvm-Based Intrusion Detection System With Blockchain Cloud Storage,"Data security is an important parameter to be maintained in the healthcare sector as there is an abundant amount of sensitive data such as the information about patient’s health, medication provided, and the medical history of the patients. Data security measures need to be taken to be implemented to secure the availability, integrity, and confidentiality of the private data of the patients and hospitals. Securing electronic health records (EHRs), data related to health, and patient information is the objective of data security. High complexity, privacy concerns, and slow adoption of security standards are the issues faced by conventional security approaches in the healthcare sector. Hence, we propose a Modified Extreme Learning Machine with an Ensemble support Vector machine (MELSVM) for data acquisition and intrusion detection in healthcare. In this technique, the support vector machine (SVM) is used to detect the patterns related to security breaches, and the extreme learning machine (ELM) is used to categorize the intrusions according to their types. Then, to enhance the performance of the proposed technique by merging the performance of SVM and ELM, an ensemble approach is used. Further, to identify the maximum local/global optima or the entire problem space, the Multi-Modal Bacterial Foraging Optimizer (M2BFO) is used. By utilizing the combined advantages of the MELM and ESVM, the enhancement of the security of MELSVM is done. Utilizing the blockchain technology, the data obtained is safely stored in the cloud. By employing smart contracts, the data exchange between system administrators and clients is ensured. The validation of the proposed technique is done using the datasets UNSW-NB15 and CIDDS-001. In the evaluations done, our proposed technique outperforms the existing techniques by attaining 99.52% accuracy, 98.52% precision, 99.52% recall, and 99.52% F1 score. After performing all comprehensive analyses, the proposed model demonstrates its effectiveness in terms of using security and privacy measures, intrusion detection and classification measures. The proposed method provided promising solutions for the loud security that helps the model for extending this innovation to future investigations. © 2026 Taylor & Francis Group, LLC.",10.1080/01969722.2026.2622693,Cybernetics and Systems,No,No,"The abstract focuses on intrusion detection and data security using blockchain cloud storage, not on capturing or retaining knowledge from individuals or organizations.",The abstract focuses on a security system for healthcare data using MELSVM and blockchain. It does not discuss capturing or retaining knowledge from individuals or organizations.,None identified,None identified,No,Yes,"Digital technologies are used for security and storage, not for capturing or retaining knowledge.","Utilizing the combined advantages of the MELM and ESVM, the enhancement of the security of MELSVM is done. Utilizing the blockchain technology, the data obtained is safely stored in the cloud. By employing smart contracts, the data exchange between system administrators and clients is ensured.",None identified,"Distributed, Secure, and Trust Technologies; Rule-Based, Decision, and Expert Systems",Empirical Study,Empirical Study,False,False
60547edf-ffe1-4436-abfb-6baf38e84820,Unlocking Digital Potential—The Impact Of Innovation And Self-Determined Learning,"In an era of rapid digital transformation, organisations must cultivate dynamic capabilities that promote innovation and continuous learning. This study examines how self-determined motivation and innovation adoption are crucial enablers in developing the digital competencies essential for employees to navigate digital transformation. Grounded in Self-Determination Theory and the Diffusion of Innovation framework, our research underscores the systemic role of individual agency, technological advancements, and organisational structures in facilitating workforce adaptation. Employing a quantitative approach with 152 survey participants, our findings reveal that self-determined motivation alone is inadequate, while adopting innovation significantly influences digital competence. We demonstrate that human-centred factors must align with systemic digital transformation efforts. Moreover, we highlight the necessity of integrating employee capabilities into broader enterprise and government digital innovation strategies. The implications of this study are both theoretical and practical. We stress the need for organisations to design change processes that support digital knowledge acquisition and adaptability in evolving workplaces. Our research offers a systemic perspective on digital transformation, reinforcing that successful organisational innovation requires structured learning environments that empower employees. By fostering an ecosystem where digital competencies are nurtured, organisations can enhance agility, resilience, and sustained competitiveness in the digital age. © 2025 by the authors.",10.3390/systems13050396,Systems,No,No,"The abstract discusses developing digital competencies and innovation adoption, but does not explicitly discuss capturing or retaining knowledge from individuals or the organization environment.",The abstract focuses on self-determined motivation and innovation adoption in digital transformation. It does not discuss capturing or retaining knowledge from individuals or organizations.,None identified,None identified,No,No,"Digital transformation is discussed broadly, but no specific digital technologies are used to capture or retain knowledge.",The abstract does not mention any specific digital technologies used to capture or retain knowledge.,None identified,None identified,Empirical Study,Empirical Study,False,False
748d3f69-2787-4bc7-af53-9bc8fe348402,Academic Knowledge Sharing On Digital Knowledge Platforms: A Tam Approach,"Purpose – This study aims to identify and examine the determinants of knowledge sharing on digital knowledge platforms among academic staff, grounded in the Technology Acceptance Model (TAM). It specifically investigates how individual and organizational factors influence faculty members’ engagement in knowledge sharing via digital knowledge platforms. Design/methodology/approach – A descriptive-analytical survey design was used. Data were collected through a structured questionnaire based on a five-point Likert scale, targeting academic staff in higher education institutions. The data were analyzed using multiple linear regression in SPSS to assess the relationships between perceived ease of use, perceived convenience, IT self-efficacy, organizational culture and knowledge sharing behavior. Findings – The results demonstrate that perceived ease of use, perceived convenience and IT self-efficacy significantly predict the perceived usefulness of digital knowledge platforms for knowledge sharing. Furthermore, organizational culture emerged as a critical factor positively influencing faculty members’ knowledge sharing behaviors. Academic staff showed a higher tendency to share knowledge when they perceived digital knowledge platforms as useful and user-friendly, and when they operated within a culture that promotes collaboration and technological adoption. Research limitations/implications – This study highlights the need for universities to foster supportive cultures, enhance IT self-efficacy and provide user-friendly digital knowledge platforms tools to promote faculty knowledge sharing and improve collaboration and innovation in academic settings. Originality/value – This study contributes to the literature by integrating TAM with contextual organizational variables to explain digital knowledge platforms-based knowledge sharing in academic settings. It provides actionable insights for university administrators and policymakers aiming to foster a knowledge-sharing culture. © 2025 Emerald Publishing Limited",10.1108/VJIKMS-06-2025-0216,VINE Journal of Information and Knowledge Management Systems,No,Yes,"The abstract focuses on knowledge sharing behavior on digital platforms, not on capturing or retaining knowledge from individuals or the organization environment.",The study aims to identify and examine the determinants of knowledge sharing on digital knowledge platforms among academic staff. It discusses how individual and organizational factors influence faculty members’ engagement in knowledge sharing via digital knowledge platforms.,None identified,Collective Tacit Knowledge,No,Yes,"Digital knowledge platforms are mentioned as a context for sharing, but not specifically used to capture or retain knowledge.",The study examines the use of digital knowledge platforms for knowledge sharing among academic staff. The data were analyzed using multiple linear regression in SPSS.,None identified,"Data, Information, and Knowledge Systems; Other(*)",Empirical Study,Empirical Study,False,True
8f6da082-5c54-4665-b994-c372c13b85be,Game-Thinking; Utilizing Serious Games And Gamification In Nursing Education – A Systematic Review And Meta-Analysis,"Background: The digital shift in higher education is moving from teacher-focused models to active learning with digital technologies, including the integration of game-based learning strategies. We aim to identify, assess, and summarize the findings of evidence and determine the effectiveness of game-thinking on learning outcomes in nursing education. Methods: A comprehensive search for relevant literature was conducted between April and May 2022 Seven databases ERIC, Scopus, ProQuest Education Source, MEDLINE, CINAHL, Web of Science, and Embase were utilized to locate original, peer-reviewed papers published in English. The review was conducted and reported in compliance with the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) 2020 guidelines. Results: Overall, 3302 studies were initially screened based on their titles and abstract. From this selection 281 studies were then assessed for full-text eligibility. In the end, 70 studies, consisting of 27 Randomized Controlled Trials (RCTs) and 43 Quasi-experimental studies were included in the review. These studies encompassed data from a total of 8348 participants. The results from the narrative synthesis of the results revealed consistencies across the included studies and their findings. The meta-analysis suggested that game-thinking could be beneficial in nursing education, notably improving students’ academic achievement (Pooled ES = 0.99, [95%CI 0.53, 1.44]). The most significant effect of game-thinking on academic achievement was observed in the academic knowledge performance of nursing students (Pooled ES = 1.06, [95%CI 0.55, 1.57]), followed by academic skill performance (Pooled ES = 0.54, [95%CI 0.06, 1.03]). Conclusions: The systematic review and meta-analysis provide evidence supporting the effectiveness of game-thinking in nursing education. The findings highlight the potential of game-based learning in enhancing nursing education through knowledge acquisition, albeit with a nuanced effect on skill development. As nursing education continues to adapt to the digital era, integration of game-thinking strategies could serve as a valuable method for creating engaging and effective learning experiences for nursing students. © The Author(s) 2025.",10.1186/s12909-024-06531-7,BMC Medical Education,No,No,"The abstract is a systematic review and meta-analysis on the effectiveness of game-thinking in nursing education, not on capturing or retaining knowledge from individuals or organizations.",The abstract focuses on the effectiveness of game-thinking in nursing education. It does not discuss capturing or retaining knowledge from individuals or organizations.,None identified,None identified,No,Yes,"Game-based learning strategies are discussed, but no digital technologies are used to capture or retain knowledge.",The study involves the integration of game-based learning strategies and the use of digital technologies in nursing education.,None identified,Human–Computer Interaction and Immersive Technologies; Other(*),Literature review,Systematic Review and Meta-Analysis,False,False
