src_node_id,dst_node_id,relation_type,evidence_label,case_title,evidence_statement,evidence_location
c201M01N01,c201M01N07,be_held_by,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,"Small and medium-sized enterprises (SMEs) still depend heavily on tacit, experience-based know-how that rarely makes its way into formal documentation.",Page 1
c201M01N01,c201M01N08,be_held_by,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,"Small and medium-sized enterprises (SMEs) still depend heavily on tacit, experience-based know-how that rarely makes its way into formal documentation.",Page 1
c201M01N01,c201M01N09,be_held_by,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,"Small and medium-sized enterprises (SMEs) still depend heavily on tacit, experience-based know-how that rarely makes its way into formal documentation.",Page 1
c201M01N01,c201M01N10,be_held_by,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,"Small and medium-sized enterprises (SMEs) still depend heavily on tacit, experience-based know-how that rarely makes its way into formal documentation.",Page 1
c201M01N01,c201M01N19,be_difficult_to_capture_due_to,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,"Tacit knowledge the unwritten, experience-based insights people carry in their heads is notoriously difficult to articulate, as Polanyi famously noted",Page 1
c201M01N07,c201M01N12,participate_in,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,The process begins when an operator verbally reports a machine fault to a supervisor.,Page 5
c201M01N08,c201M01N12,participate_in,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,He finds the maintenance supervisor and verbally explains the problem.,Page 5
c201M01N09,c201M01N12,participate_in,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,The supervisor grabs the nearest available technician... and sends them to investigate.,Page 5
c201M01N10,c201M01N12,participate_in,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,The technician fills out a paper purchase request form and leaves it on the procurement manager's desk.,Page 5
c201M01N12,c201M01N20,be_constrained_by,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,"When veteran staff retire or switch jobs, this undocumented expertise departs with them, risking operational disruption",Page 1
c201M01N12,c201M01N22,be_constrained_by,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,"The lack of a formalized, digitally-tracked system leads to poor visibility for production managers",Page 5
c201M01N12,c201M01N23,be_constrained_by,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,"Furthermore, the absence of data capture prevents valuable analysis of machine reliability and failure patterns",Page 5
c201M01N13,c201M01N15,adopt,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,The system's core logic is powered by Google's Gemini 2.5 Pro API.,Page 3
c201M01N13,c201M01N16,adopt,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,"The user interface is built with Gradio, an open-source Python framework",Page 3
c201M01N13,c201M01N17,adopt,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,Process diagrams are rendered in the browser using bpmn-js,Page 3
c201M01N13,c201M01N03,adopt,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,The final prompt instructs the Gemini model to always respond with exactly two fenced code blocks: 1. A xml block containing the complete... BPMN 2.0 XML,Page 3
c201M01N13,c201M01N04,adopt,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,2. A json block containing an array of overlay objects for adding comments to the diagram.,Page 3
c201M01N13,c201M01N01,evaluate,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,This paper introduces a large-language-model (LLM)-driven conversational assistant that captures such knowledge on the shop floor and converts it incrementally,Page 1
