uuid,Title,Abstract,DOI Link,Publication title,deepseek_kr_flag,qwen_kr_flag,deepseek_kr_evidence,qwen_kr_evidence,deepseek_TK_normalized,qwen_TK_normalized,deepseek_DT_flag,qwen_DT_flag,deepseek_DT_evidence,qwen_DT_evidence,deepseek_DT_normalized,qwen_DT_normalized,deepseek_article_type,qwen_article_type,deepseek_ic_label,qwen_ic_label
b0f10ad6-9a79-4a02-b86f-6b7cc0c11040,Developing Ethical Principle Awareness And Reasoning In A Cybersecurity Context: Enhancing User Understanding Using Ripple Down Rules,"Cybersecurity breaches are often attributed to human behaviour, where individuals fail to integrate ethical principles in their decision-making. This empirical study investigates the effectiveness of the Ripple Down Rules (RDR) method, a knowledge acquisition and representation method, in enhancing ethical awareness and reasoning in cybersecurity contexts. The proposed approach combines rule-based reasoning, case-based learning, reflection, and situated cognition to bridge the gap between ethical knowledge and action by systematically connecting scenario elements to ethical principles. Participants, recruited from a cohort of first-year psychology students, were exposed to training incorporating five ethical principles—Beneficence, Non-Maleficence, Justice, Autonomy, and Explicability—applied to realistic cybersecurity scenarios. The study employed a randomised controlled design with two treatment and one control groups, using pre- and post-study assessments to evaluate improvements in ethical principle identification and reasoning. Participants rated RDR as a clear and helpful tool for understanding ethical reasoning, with sensibility and helpfulness scores ranging from moderate to high. Results demonstrate that RDR training significantly improved participants' ability to identify ethical principles compared to learning without RDR, particularly for principles like autonomy and explicability. However, challenges persisted in distinguishing overlapping principles, such as beneficence and non-maleficence. Implications and guidance for use of RDR for ethics training are discussed. © 2025 The Author(s)",10.1016/j.cose.2025.104761,Computers and Security,Yes,No,"The abstract explicitly discusses the Ripple Down Rules (RDR) method as a knowledge acquisition and representation method to enhance ethical awareness and reasoning, bridging the gap between ethical knowledge and action.","The study focuses on enhancing ethical principle awareness and reasoning in a cybersecurity context using the Ripple Down Rules method, but does not explicitly discuss capturing or retaining knowledge from individuals or organizations.",Relational Tacit Knowledge,None identified,Yes,Yes,"The abstract explicitly states that the Ripple Down Rules (RDR) method, a knowledge acquisition and representation method, is used to enhance ethical awareness and reasoning in cybersecurity contexts.","The study uses the Ripple Down Rules (RDR) method, a knowledge acquisition and representation method, to enhance ethical awareness and reasoning in cybersecurity contexts.","Rule-Based, Decision, and Expert Systems","Rule-Based, Decision, and Expert Systems",Empirical Study,Empirical Study,True,False
748d3f69-2787-4bc7-af53-9bc8fe348402,Academic Knowledge Sharing On Digital Knowledge Platforms: A Tam Approach,"Purpose – This study aims to identify and examine the determinants of knowledge sharing on digital knowledge platforms among academic staff, grounded in the Technology Acceptance Model (TAM). It specifically investigates how individual and organizational factors influence faculty members’ engagement in knowledge sharing via digital knowledge platforms. Design/methodology/approach – A descriptive-analytical survey design was used. Data were collected through a structured questionnaire based on a five-point Likert scale, targeting academic staff in higher education institutions. The data were analyzed using multiple linear regression in SPSS to assess the relationships between perceived ease of use, perceived convenience, IT self-efficacy, organizational culture and knowledge sharing behavior. Findings – The results demonstrate that perceived ease of use, perceived convenience and IT self-efficacy significantly predict the perceived usefulness of digital knowledge platforms for knowledge sharing. Furthermore, organizational culture emerged as a critical factor positively influencing faculty members’ knowledge sharing behaviors. Academic staff showed a higher tendency to share knowledge when they perceived digital knowledge platforms as useful and user-friendly, and when they operated within a culture that promotes collaboration and technological adoption. Research limitations/implications – This study highlights the need for universities to foster supportive cultures, enhance IT self-efficacy and provide user-friendly digital knowledge platforms tools to promote faculty knowledge sharing and improve collaboration and innovation in academic settings. Originality/value – This study contributes to the literature by integrating TAM with contextual organizational variables to explain digital knowledge platforms-based knowledge sharing in academic settings. It provides actionable insights for university administrators and policymakers aiming to foster a knowledge-sharing culture. © 2025 Emerald Publishing Limited",10.1108/VJIKMS-06-2025-0216,VINE Journal of Information and Knowledge Management Systems,No,Yes,"The abstract focuses on knowledge sharing behavior on digital platforms, not on capturing or retaining knowledge from individuals or the organization environment.",The study aims to identify and examine the determinants of knowledge sharing on digital knowledge platforms among academic staff. It discusses how individual and organizational factors influence faculty members’ engagement in knowledge sharing via digital knowledge platforms.,None identified,Collective Tacit Knowledge,No,Yes,"Digital knowledge platforms are mentioned as a context for sharing, but not specifically used to capture or retain knowledge.",The study examines the use of digital knowledge platforms for knowledge sharing among academic staff. The data were analyzed using multiple linear regression in SPSS.,None identified,"Data, Information, and Knowledge Systems; Other(*)",Empirical Study,Empirical Study,False,True
0fa51e2c-5011-411a-8fa5-8ce794ce420e,Blockchain-Enabled Predictive Digital Twin Approach For Healthcare: Enhancing Accuracy And Performance With Federated Learning,"Data management in healthcare faces significant challenges in balancing security and anonymity during information exchange. Recent advancements in decentralized distributed ledgers and digital twins offer promising solutions to enhance knowledge sharing. A predictive digital twin creates a virtual model using data from various stakeholders to forecast outcomes, support decision-making for efficient resource allocation, and benchmark operational effectiveness. Digital twins can leverage blockchain technology to enable secure and decentralized data exchange while ensuring privacy and regulatory compliance. This paper introduces a novel dynamic blockchain-integrated predictive digital twin model aimed at improving information sharing and fostering collaboration among healthcare providers and stakeholders. Using federated learning, each provider site independently trains its model and shares aggregated insights to benchmark performance against peers. This collaborative approach encourages knowledge sharing and helps identify areas for operational improvement. Our dynamic and iterative approach is validated through three distinct applications: digitized cancer images, voice recordings from Parkinson’s disease patients, and a more generalized application for collaborative supplier selection, evaluating factors such as price, quality, and customer feedback. We find that federated learning can offer a robust and stable level of performance, as a valuable compromise between fully local and centralized learning approaches. By allowing healthcare institutions to collaborate without compromising patient confidentiality, federated learning improves prediction accuracy and overall outcomes. Our solution enables secure, privacy-preserving collaboration among healthcare institutions, allowing them to compare models, identify best practices, and improve operational effectiveness. Thus, our study makes an original contribution to improving healthcare cost-effectiveness through digital twins, with implications for personalized medicine and promoting interoperability. © 2025 Elsevier B.V.",10.1016/j.ijpe.2025.109768,International Journal of Production Economics,Yes,Yes,"The abstract discusses 'knowledge sharing' and 'collaborative approach encourages knowledge sharing and helps identify areas for operational improvement'. It also mentions 'allowing them to compare models, identify best practices, and improve operational effectiveness', which implies capturing and retaining knowledge from individual healthcare institutions.","A predictive digital twin creates a virtual model using data from various stakeholders to forecast outcomes, support decision-making for efficient resource allocation, and benchmark operational effectiveness. Digital twins can leverage blockchain technology to enable secure and decentralized data exchange while ensuring privacy and regulatory compliance.",Collective Tacit Knowledge,Relational Tacit Knowledge,Yes,Yes,"The abstract explicitly states 'federated learning' is used to share aggregated insights and compare models, which is a digital technology for capturing and retaining knowledge without compromising patient confidentiality.",Digital twins; blockchain technology; federated learning,Artificial Intelligence and Intelligent Computation,"Distributed, Secure, and Trust Technologies; Artificial Intelligence and Intelligent Computation",Conceptual Framework,Empirical Study,False,True
6882e45c-ea8b-4349-84e8-129baf0df184,An Intelligent Integrated Innovation Design Method Based On Flow Functional Genes Coding And Digitization,"The efficient organization and integration of design knowledge are of paramount importance for product design. Nevertheless, at the conceptual design stage, design knowledge is marked by complexity and disorderliness, which renders the accurate identification of design knowledge arduous and integration inefficient, thereby leading to design solutions that fail to satisfy user requirements. To enhance the accuracy of acquisition and integration efficiency of design knowledge during the conceptual design stage, this paper proposes a computer-assisted digital expression of flow functional genes and an intelligent integrated innovative design approach. By drawing an analogy with the composition of biological genes, design knowledge from diverse fields is extracted in the form of flow functional gene (F-FG) to facilitate the standardized expression of design knowledge in different domains. Moreover, by integrating the principle of the three primary colors and digital technology, a digital F-FG is constructed to enable rapid invocation and integration of computer-assisted F-FG, thus improving the integration efficiency of design knowledge. The proposed method encompasses six steps. Firstly, an F-FG template is established. By making an analogy to the composition of biological genes, a flow functional gene (F-FG) template encompassing all functional and flow information is established. Secondly, Extracted flow functional gene (F-FG). Functional knowledge is extracted from patents and represented as F-FGs. Thirdly, digital F-FG representation and storage. Computer digital encoding technology and image generation technology are employed for the digital representation and storage of F-FGs. Fourthly, the screening process of digital F-FGs. Image similarity matching algorithms are utilized to obtain the requisite F-FGs. Fifthly, the integration process of F-FGs. Based on the degree of similarity of flow color blocks, input and output flow interfaces are spliced and integrated to form an F-FG integrated association network. Finally, designers obtain corresponding design solutions based on the relationships between F-FGs. Taking the design process of a water surface garbage cleaning system as an example, the feasibility and effectiveness of this method were verified. © 2024",10.1016/j.aei.2024.103044,Advanced Engineering Informatics,Yes,Yes,"The abstract explicitly discusses capturing and integrating design knowledge from diverse fields in the form of flow functional genes (F-FG) to facilitate standardized expression and rapid invocation, aiming to improve knowledge acquisition and integration efficiency. This involves capturing knowledge from patents and representing it digitally.",The study proposes a computer-assisted digital expression of flow functional genes and an intelligent integrated innovative design approach to enhance the accuracy of acquisition and integration efficiency of design knowledge during the conceptual design stage.,Relational Tacit Knowledge,Relational Tacit Knowledge,Yes,Yes,"The abstract describes using computer digital encoding technology, image generation technology, and image similarity matching algorithms for digital representation, storage, screening, and integration of F-FGs. This is explicitly used to capture and retain design knowledge.","The study uses computer digital encoding technology and image generation technology for the digital representation and storage of F-FGs, and image similarity matching algorithms for the screening process of digital F-FGs.","Data, Information, and Knowledge Systems","Artificial Intelligence and Intelligent Computation; Data, Information, and Knowledge Systems",Conceptual Framework,Empirical Study,False,True
16261321-a81f-43cf-ae94-cb46bb554a64,Research On A Virtual Teacher Personalized Interaction Model Integrating Affective Computing And Multi-Agent Systems,"This research develops a novel virtual teacher personalized interaction model integrating multimodal affective computing with multi-agent coordination mechanisms to address fundamental limitations in emotional intelligence and adaptive capabilities within contemporary educational technology systems. A three-layer distributed architecture was implemented, incorporating synchronized multimodal emotion recognition through confidence-weighted fusion of facial, vocal, and textual data streams, Byzantine Fault Tolerant consensus algorithms for coordinated multi-agent decision-making, and dynamic personality adaptation mechanisms based on Big Five psychological modeling. Experimental validation employed 500 participants across diverse educational contexts using established emotion recognition benchmarks supplemented with domain-specific educational interaction datasets. The multimodal emotion fusion component achieved 91.2% recognition accuracy, with overall system performance reaching 89.7% under realistic educational conditions while demonstrating substantial educational effectiveness improvements, including 43% higher learner engagement scores, 37% emotional satisfaction enhancement, 30% learning effectiveness increase, and 40% knowledge retention improvement compared to traditional virtual teaching approaches. Multi-agent coordination exhibited superior decision quality with 31% improvement over single-agent baselines, though personality adaptation effectiveness varied significantly across learner populations with 88% success rates for extraverted individuals compared to 65% for high-neuroticism learners. The integrated approach successfully bridges the emotional intelligence gap in virtual educational systems through sophisticated technological convergence, establishing theoretical foundations for distributed educational intelligence while revealing important implementation challenges. This research enables the development of emotionally responsive virtual teachers capable of sustained personalized instruction across diverse educational contexts, though deployment requires careful consideration of privacy protection and institutional adaptation requirements for broader educational technology transformation. © 2025, Future Publishing LLC. All rights reserved.",10.55670/fpll.futech.4.4.14,Future Technology,Yes,No,"The abstract discusses a virtual teacher model that aims to address limitations in emotional intelligence and adaptive capabilities. It mentions '40% knowledge retention improvement compared to traditional virtual teaching approaches', indicating the system is designed to improve knowledge retention. The system captures multimodal data (facial, vocal, textual) to adapt and personalize instruction, which implies knowledge capture from the learner environment.",The abstract develops a virtual teacher personalized interaction model integrating affective computing and multi-agent systems and does not discuss capturing or retaining knowledge from individuals or organizational environments.,None identified,None identified,Yes,Yes,"The abstract explicitly states: 'A three-layer distributed architecture was implemented, incorporating synchronized multimodal emotion recognition through confidence-weighted fusion of facial, vocal, and textual data streams, Byzantine Fault Tolerant consensus algorithms for coordinated multi-agent decision-making, and dynamic personality adaptation mechanisms based on Big Five psychological modeling.' These are digital technologies used for knowledge capture and retention.","A three-layer distributed architecture was implemented, incorporating synchronized multimodal emotion recognition through confidence-weighted fusion of facial, vocal, and textual data streams, Byzantine Fault Tolerant consensus algorithms for coordinated multi-agent decision-making, and dynamic personality adaptation mechanisms based on Big Five psychological modeling.",Artificial Intelligence and Intelligent Computation,"Artificial Intelligence and Intelligent Computation; Distributed, Secure, and Trust Technologies; Rule-Based, Decision, and Expert Systems",Empirical Study,Empirical Study,True,False
f83b6f91-8e0c-4930-82c6-90c77c5afeb5,A Novel Bayesian Knowledge Tracing Model For College Students In Language Learning,"With the increasing demand for personalized learning in language education, monitoring students' knowledge acquisition has become crucial. However, few studies have tracked the development of college students' English skills, particularly in English reading comprehension. To address this gap, this study developed a Bayesian Knowledge Tracing (BKT) model specifically designed for tracking college students' English reading skills. The model achieved an AUC score of 0.692, demonstrating its effectiveness in distinguishing between students who have mastered specific reading skills and those who are still in the learning process. By analyzing students' performance history, the model successfully evaluated mastery probabilities across seven sub-skills, such as vocabulary inference, main idea summarization, inference making, and information interpretation. This research extends the application of BKT to language learning domains and lays a foundation for integrating knowledge tracing models with data-driven educational technologies to enhance curriculum design. © 2025 Copyright held by the owner/author(s).",10.1145/3764206.3764277,"Proceedings of The 2nd International Conference on Intelligent Education and Computer Technology, IECT 2025",No,Yes,"The study develops a Bayesian Knowledge Tracing (BKT) model to track college students' English reading skills. It focuses on monitoring knowledge acquisition and mastery probabilities, not on capturing or retaining knowledge from individuals or organizational environments.","To address this gap, this study developed a Bayesian Knowledge Tracing (BKT) model specifically designed for tracking college students' English reading skills. ... The model achieved an AUC score of 0.692, demonstrating its effectiveness in distinguishing between students who have mastered specific reading skills and those who are still in the learning process.",None identified,Somatic Tacit Knowledge,No,Yes,"The BKT model is a digital technology used for tracking knowledge states, but the study does not discuss using it to capture or retain knowledge. It is used for assessment and prediction.","To address this gap, this study developed a Bayesian Knowledge Tracing (BKT) model specifically designed for tracking college students' English reading skills.",None identified,"Data, Information, and Knowledge Systems",Empirical Study,Empirical Study,False,True
9a52e70d-8ee2-4328-9b50-1097effd9f21,Navigating Institutional And Capability Barriers In Agentic Artificial Intelligence Adoption: Evidence From Small And Medium Enterprises In Bangladesh,"Purpose – This study aims to explore the barriers and solutions associated with the adoption of Agentic artificial intelligence (AAI) among small and medium-sized enterprises (SMEs) in Bangladesh. AAI, an advanced evolution of generative AI, offers potential for enhanced knowledge sharing, autonomy and organizational performance, yet its adoption in developing economies remains poorly understood. Drawing upon institutional and dynamic capabilities theories, this study investigates how contextual, structural and capability-related factors influence AAI adoption. Design/methodology/approach – A qualitative research design was used, involving 14 semi-structured interviews with SME owners, technology experts and government officials in Dhaka, Bangladesh. Thematic analysis was used to identify key barriers and solutions, supported by triangulation, peer debriefing and member checking to enhance credibility. Findings – The analysis identified eight primary barriers: slow internet speeds, limited knowledge and skills, inadequate infrastructure, lack of government support, political instability, high adoption costs and absence of a legal framework. To overcome these challenges, participants proposed developing awareness and education programs, building technological infrastructure, improving internet connectivity, establishing supportive legal and policy frameworks, offering financial incentives, fostering public–private partnerships and integrating AAI education into academic curricula. These findings reveal that AAI adoption is shaped not only by firm-level readiness but also by institutional and ecosystem maturity. Originality/value – To the best of the authors’ knowledge, this research is among the first to examine AAI adoption in SMEs within a developing economy empirically. By combining institutional and dynamic capabilities theories, this study contributes to the growing literature on intelligent systems, offering a holistic framework that links institutional context, organizational capability and knowledge management to AAI adoption in emerging markets. © 2026 Emerald Publishing Limited",10.1108/VJIKMS-11-2025-0504,VINE Journal of Information and Knowledge Management Systems,Yes,No,"The study explores barriers and solutions for adopting Agentic AI (AAI) in SMEs, with a focus on knowledge sharing. It mentions 'enhanced knowledge sharing' as a potential benefit of AAI and discusses 'knowledge management' in the context of AAI adoption, implying a focus on capturing or retaining knowledge.",The study aims to explore the barriers and solutions associated with the adoption of Agentic artificial intelligence (AAI) among small and medium-sized enterprises (SMEs) in Bangladesh. ... The study does not explicitly discuss capturing or retaining knowledge from individuals or organizational environments.,Collective Tacit Knowledge,None identified,Yes,No,"The study focuses on the adoption of Agentic AI (AAI), an advanced evolution of generative AI, which is a digital technology. The abstract states AAI offers 'potential for enhanced knowledge sharing, autonomy and organizational performance', implying its use for knowledge capture and retention.",The study focuses on the adoption of AAI and does not use digital technologies to capture or retain tacit knowledge.,Artificial Intelligence and Intelligent Computation,None identified,Empirical Study,Case Study,True,False
e25fddac-0657-4452-a08a-e08e6db51f2b,Generative Ai Based On Deep Knowledge Tracing For Academic Insight And Intelligent Learning Strategy Optimization,"The advancement of educational technology and the need for diverse development of students have jointly promoted personalized learning to become the core concern of the current education field. However, how to track students’ mastery of knowledge in real time and optimize teaching strategies have become the key links of personalized learning. Based on the sequential data of students’ learning process, this paper constructs a deep knowledge tracking model to predict students’ mastery of knowledge points. According to students’ knowledge acquisition, the use of generative AI is further proposed to optimize the corresponding teaching strategies. It is found that the deep knowledge tracking model can effectively evaluate students’ knowledge grasp, and the teaching strategy combined with generative AI can be more targeted to improve students’ learning effect. © 2025 Copyright held by the owner/author(s).",10.1145/3729605.3729638,"Proceedings of 2025 International Conference on Big Data and Informatization Education, ICBDIE 2025",Yes,No,"The abstract discusses tracking students' mastery of knowledge points in real time and optimizing teaching strategies based on knowledge acquisition, which implies capturing and retaining knowledge about student learning states.","The abstract focuses on using a deep knowledge tracking model and generative AI to predict and optimize students' learning, but it does not explicitly discuss capturing or retaining tacit knowledge from individuals or organizations.",Relational Tacit Knowledge,None identified,Yes,Yes,"The abstract explicitly mentions using a deep knowledge tracking model and generative AI to evaluate and optimize teaching strategies, which are digital technologies used to capture and retain knowledge.",The use of a deep knowledge tracking model and generative AI to predict students’ mastery of knowledge points and optimize teaching strategies.,Artificial Intelligence and Intelligent Computation,Artificial Intelligence and Intelligent Computation,Empirical Study,Empirical Study,True,False
10e101b7-3037-487a-8ae0-44336dc20be0,Effects Of Information Technology Platforms And Governance On Relational Value Creation In Digital Supply Chains,"With firms increasingly collaborating to maximize value creation opportunities in digital supply chains, a clear understanding of the foundations for value creation activities must be acquired. The relational view proposes a set of value creation determinants that can enhance interfirm competitive advantages. This research identifies sources of relational value based on relational view theory, namely platform alignment, process synchronization, knowledge sharing, and governance; we also develop an explanatory model for the relationships among these factors. Survey data collected from 230 high-tech manufacturing companies in China and Taiwan reveal several findings: (a) Platform alignment and governance affect collaboration activities directly: process synchronization and knowledge sharing. Moreover, platform alignment partially mediates the relationship between governance and these two collaborative activities. (b) Process synchronization and knowledge sharing mediate the relationship between platform alignment and relational value. (c) Governance has a direct effect on platform alignment. These findings support the relational view, indicating that the four determinants of value creation contribute to relational value. They also recognize that governance and platform alignment are two determinants of creating relational value through interfirm collaborations. By understanding the relationships, firms can effectively leverage information technology platforms and governance mechanisms to improve interfirm collaborations and ultimately create relational value in digital supply chains. © 2025",10.1016/j.im.2025.104292,Information and Management,Yes,No,"The abstract discusses knowledge sharing as a key determinant of relational value creation in digital supply chains, implying capturing and retaining knowledge from interfirm collaborations.","The abstract identifies sources of relational value in digital supply chains and develops an explanatory model, but it does not explicitly discuss capturing or retaining tacit knowledge from individuals or organizations.",Relational Tacit Knowledge,None identified,Yes,No,"The abstract explicitly mentions information technology platforms and governance mechanisms as tools to improve interfirm collaborations and create relational value, implying digital technologies are used to capture and retain knowledge.","The study focuses on the relational view theory and the impact of platform alignment, process synchronization, knowledge sharing, and governance on value creation, without discussing specific digital technologies for capturing or retaining knowledge.","Data, Information, and Knowledge Systems",None identified,Empirical Study,Empirical Study,True,False
65a0f0f2-910e-4e66-a291-fe9abbb7c118,A Study On Factors Influencing Deep Interaction In Informal Online Learning Communities In The Context Of Educational Informatization,"This study focuses on the deep interaction behaviors of college students in informal online learning communities in the context of computer technology and education informatization, and uses regression models to conduct an in-depth analysis. Based on the questionnaire survey and data processing, the core elements affecting deep interaction behavior in the knowledge, technology and social dimensions were systematically explored. The results show that in the knowledge dimension, topic novelty, divergent thinking and the effectiveness of knowledge management strategies have a significant positive influence on deep interaction; in the technology dimension, tool suitability, learning adaptability and technology platform stability constitute key factors; in the social dimension, the platform provided by computer technology and education informatization emphasizes the importance of equal communication and incentive mechanism among members. Multivariate data analysis further reveals that knowledge acquisition efficiency is positively correlated with technology application ability, while the frequency of social interaction shows a non-linear relationship with the degree of knowledge sharing. The study also found that there was a significant mediating effect between platform features and user engagement, a finding that provides a theoretical basis for optimizing the design of online learning communities. © 2025 Copyright held by the owner/author(s).",10.1145/3729605.3729696,"Proceedings of 2025 International Conference on Big Data and Informatization Education, ICBDIE 2025",No,Yes,"The abstract discusses 'deep interaction behaviors' and 'knowledge management strategies' in online learning communities, but does not explicitly discuss capturing or retaining knowledge from individuals or the organizational environment. It focuses on factors influencing interaction, not on knowledge preservation or retention mechanisms.","The study focuses on deep interaction behaviors in informal online learning communities and the effectiveness of knowledge management strategies in the knowledge dimension, which includes the acquisition and sharing of knowledge.",None identified,Relational Tacit Knowledge; Collective Tacit Knowledge,No,Yes,"The abstract mentions 'computer technology and education informatization' and 'technology platform stability' as contextual factors, but does not describe any digital technologies being used to capture or retain knowledge.","The study uses computer technology and education informatization, emphasizing the importance of tool suitability, learning adaptability, and technology platform stability in the technology dimension.",None identified,"Human–Computer Interaction and Immersive Technologies; Cyber-Physical Systems, IoT, and Smart Environments; Distributed, Secure, and Trust Technologies",Empirical Study,Empirical Study,False,True
