id,case_title,name,category,labels
N1,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Baha song,Explicit knowledge artifacts,E
N2,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Chant / prayer,Explicit knowledge artifacts,E
N3,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Folk story,Explicit knowledge artifacts,E
N4,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Chavang Kut history and origin,Explicit knowledge artifacts,E
N5,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Audio-visual recording,Explicit knowledge artifacts,E
N6,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Image / video post,Explicit knowledge artifacts,E
N7,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Digital archive,Explicit knowledge artifacts,E
N8,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Dance movement,Tacit knowledge elements,E
N9,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Ritual sequence,Tacit knowledge elements,E
N10,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Sensory knowledge,Tacit knowledge elements,E
N11,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Ancestral custom,Tacit knowledge elements,E
N12,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Ecological worldview,Tacit knowledge elements,E
N13,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Khankho moral knowledge,Tacit knowledge elements,E
N14,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Community elder,Knowledge holders,E
N15,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Grandparent,Knowledge holders,E
N16,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Village council member (More Hor),Knowledge holders,E
N17,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Naike,Knowledge holders,E
N18,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Thempu,Knowledge holders,E
N19,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Ojapu / Pute-Pite,Knowledge holders,E
N20,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Youth,Knowledge holders,E
N21,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Younger generation,Knowledge holders,E
N22,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Baha ritual performance,Traditional human-central practices,E
N23,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Chavang Kut performance,Traditional human-central practices,E
N24,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Intergenerational storytelling,Traditional human-central practices,E
N25,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Face-to-face teaching,Traditional human-central practices,E
N26,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Lawn and sawn training,Traditional human-central practices,E
N27,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Smartphone capture,Technology-enable practices,E
N28,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Collaborative digital storytelling,Technology-enable practices,E
N29,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Social media sharing,Technology-enable practices,E
