sub_category_id,sub_category,node_id,node_name,evidence_statement,adjust_sub_category_id,adjust_sub_category
"OD08","Organizational Structure & Process Design","c101M01N33","detailed upfront process description","The current workflow requires the user to describe the process in detail upfront.","OD08","Organizational Structure & Process Design"
"OD02","Strategic Leadership & Sponsorship","c101M02N22","SME management approval for AI process modeling","well-defined process models support consistent execution, training and compliance","OD02","Strategic Leadership & Sponsorship"
"OD03","Financial, Technical & Information Resources","c102M02N09","Domain-specific knowledge","training of these three modules heavily relies on domain-specific knowledge","OD03","Financial, Technical & Information Resources"
"OD03","Financial, Technical & Information Resources","c102M02N38","Pre-trained models","explorations rely on models pre-trained with domain knowledge in specific scenarios","OD03","Financial, Technical & Information Resources"
"OD03","Financial, Technical & Information Resources","c103M02N19","Collaborative robots","Technology that can digitalize handwork in detail in real time should be developed... to introduce collaborative robots...","OD03","Financial, Technical & Information Resources"
"OD05","Human Capacity, Roles & Participation","c103M02N20","Skilled manufacturing work","take over skilled manufacturing and maintenance work in factories.","OD05","Human Capacity, Roles & Participation"
"OD03","Financial, Technical & Information Resources","c105M01N33","Existing work instructions and CAD model availability","Pilot selection required suitable work instructions, and Company A supplied its CAD model.","OD03","Financial, Technical & Information Resources"
"OD01","Governance, Standards & Formal Control","c105M01N34","Safety visibility requirements","Companies required technology not to obstruct safety and preferred visibility of the real world.","OD01","Governance, Standards & Formal Control"
"OD03","Financial, Technical & Information Resources","c105M02N30","Existing work instructions","it is checked whether existing work instructions can be used for this","OD03","Financial, Technical & Information Resources"
"OD08","Organizational Structure & Process Design","c105M02N32","High mix-low volume production","companies A, D and E... work according to the principle of high mix, low volume","OD08","Organizational Structure & Process Design"
"OD05","Human Capacity, Roles & Participation","c105M02N33","Specialist knowledge requirements","Due to the specialist knowledge required to operate the machines, the requirements at companies B and F are much higher","OD05","Human Capacity, Roles & Participation"
"OD06","Culture, Trust & Relational Climate","c105M02N34","Company culture of digitalization","Company A seems to be the most digitalized, with a screen close to the workplace","OD06","Culture, Trust & Relational Climate"
"OD05","Human Capacity, Roles & Participation","c106M01N23","pre-training related to the use of the HMD","G2 received HMD pre-training because participants had not previously used AR.","OD05","Human Capacity, Roles & Participation"
"OD01","Governance, Standards & Formal Control","c106M01N24","standardised trainer support","The research team predefined trainer support to avoid unequal suggestions and experimental bias.","OD01","Governance, Standards & Formal Control"
"OD03","Financial, Technical & Information Resources","c106M01N25","visual guides and colour coding in the storage area","Both groups used the same labels and color code to identify and pick components from storage.","OD03","Financial, Technical & Information Resources"
"OD03","Financial, Technical & Information Resources","c106M02N14","Corporate / Company Support","Gratitude is extended to GlobalWafers - MEMC Electronic Materials S.p.A.' for its support and collaboration, providing resources and technical expertise...","OD03","Financial, Technical & Information Resources"
"OD01","Governance, Standards & Formal Control","c107M02N35","BiBB framework curricula","The framework curriculum for each training program, provided by the Federal Institute for Vocational Education and Training (BIBB), specifies the learning objectives","OD01","Governance, Standards & Formal Control"
"OD03","Financial, Technical & Information Resources","c107M02N36","Training companies","not all training companies or vocational schools are equipped with such systems","OD03","Financial, Technical & Information Resources"
"OD03","Financial, Technical & Information Resources","c107M02N37","Vocational schools","not all training companies or vocational schools are equipped with such systems","OD03","Financial, Technical & Information Resources"
"OD06","Culture, Trust & Relational Climate","c108M01N46","industrial experts' willingness to share their know-how","The success of elicitation depends on experts being willing to share their knowledge.","OD06","Culture, Trust & Relational Climate"
"OD05","Human Capacity, Roles & Participation","c108M01N47","analyst experience and skills in industrial knowledge elicitation","Elicitation assumes that the analyst has the experience and skills needed to conduct sessions successfully.","OD05","Human Capacity, Roles & Participation"
"OD05","Human Capacity, Roles & Participation","c108M01N48","domain-expert validation of elicited industrial know-how and models","Collected knowledge and proposed models were presented to domain experts for validation.","OD05","Human Capacity, Roles & Participation"
"OD08","Organizational Structure & Process Design","c108M02N24","Work psychology-informed semi-directive interview guides","an interview guide is previously prepared with directive questions to list the items to be discussed.","OD08","Organizational Structure & Process Design"
"OD06","Culture, Trust & Relational Climate","c108M02N25","Expert willingness to share proprietary production knowledge","the willingness of experts to share their knowledge and their adhesion to the project play an important role in the success of the process.","OD06","Culture, Trust & Relational Climate"
"OD05","Human Capacity, Roles & Participation","c108M02N26","Expert commitment to digital transition initiative","the willingness of experts to share their knowledge and their adhesion to the project play an important role in the success of the process.","OD05","Human Capacity, Roles & Participation"
"OD05","Human Capacity, Roles & Participation","c108M02N27","Cross-disciplinary collaboration capacity","it requires an ability and willingness to collaborate with others across disciplinary boundaries.","OD05","Human Capacity, Roles & Participation"
"OD03","Financial, Technical & Information Resources","c109M01N17","manufacturing SME resource commitment to AI implementation","Successful organizational AI use is described as requiring funding for change management, infrastructure, and training.","OD03","Financial, Technical & Information Resources"
"OD06","Culture, Trust & Relational Climate","c109M02N36","Supportive environment/culture","""To encourage 'tacit knowledge awareness and sharing,' enterprises must understand the process and develop working environments that facilitate it""","OD06","Culture, Trust & Relational Climate"
"OD06","Culture, Trust & Relational Climate","c109M02N38","Trust","""In SMEs, such as the UAE and Canada, the acquisition of tacit knowledge usually starts within trust building and open communication""","OD06","Culture, Trust & Relational Climate"
"OD06","Culture, Trust & Relational Climate","c109M02N39","Open communication","""the acquisition of tacit knowledge usually starts within trust building and open communication""","OD06","Culture, Trust & Relational Climate"
"OD02","Strategic Leadership & Sponsorship","c109M02N40","Management support","""the primary goal of management should be to cultivate and sustain a creative internal culture""","OD02","Strategic Leadership & Sponsorship"
"OD03","Financial, Technical & Information Resources","c109M02N52","Resource Commitment (RC)","""RC refers to the allocation of an organization's current and future resources""","OD03","Financial, Technical & Information Resources"
"OD03","Financial, Technical & Information Resources","c110M01N25","Smart Factory","The study and chatbot implementation were conducted in a Smart Factory that replicated industrial environments.","OD03","Financial, Technical & Information Resources"
"OD05","Human Capacity, Roles & Participation","c110M02N13","User Feedback","Feedback from students and faculty... was used to validate the chatbot's utility","OD05","Human Capacity, Roles & Participation"
"OD04","Time, Workload & Operational Scheduling","c111M01N32","time resources for dealing with AI","The interviews identify a lack of time resources for dealing with AI and exploring opportunities during ongoing operations.","OD04","Time, Workload & Operational Scheduling"
"OD03","Financial, Technical & Information Resources","c111M02N44","Data quality/data maintenance","Sufficient data quality (data maintenance)","OD03","Financial, Technical & Information Resources"
"OD08","Organizational Structure & Process Design","c111M02N45","Standardized ERP systems","Lack of a standardized ERP system (e.g. different company codes in SAP)","OD08","Organizational Structure & Process Design"
"OD02","Strategic Leadership & Sponsorship","c111M02N46","Organizational embedding of AI strategy","Lack of organizational embedding in an overall strategy for AI use (lack of commitment, lack of coordination)","OD02","Strategic Leadership & Sponsorship"
"OD02","Strategic Leadership & Sponsorship","c111M02N47","Management commitment","lack of commitment","OD02","Strategic Leadership & Sponsorship"
"OD08","Organizational Structure & Process Design","c111M02N48","Coordination mechanisms","lack of coordination","OD08","Organizational Structure & Process Design"
"OD03","Financial, Technical & Information Resources","c113M01N29","physical electronic-wiring training setup","The experimental task required participants to wire a power supply, voltage regulator board, terminal block, sensor, Arduino board, and breadboard.","OD03","Financial, Technical & Information Resources"
"OD08","Organizational Structure & Process Design","c113M02N28","AR training development resources","AR-based information needs to be enhanced in a way that facilitates learning to take place","OD08","Organizational Structure & Process Design"
"OD06","Culture, Trust & Relational Climate","c113M02N29","Learner motivation for AR training","Learning contents presented in AR can enhance learning motivation which involves attention, relevance, confidence, and satisfaction","OD06","Culture, Trust & Relational Climate"
"OD06","Culture, Trust & Relational Climate","c114M01N13","trust and reciprocity among interlinked firms","Relational embedding examines trust and reciprocity among interlinked firms, while trust enables the smooth flow of tacit knowledge.","OD06","Culture, Trust & Relational Climate"
"OD05","Human Capacity, Roles & Participation","c114M01N14","enterprise data-processing capability for network resources","Enterprise data-processing capability supports the absorption and integration of network resources.","OD05","Human Capacity, Roles & Participation"
"OD06","Culture, Trust & Relational Climate","c114M02N17","Organizational Trust","the trust mechanism generated by strong relationships determines a higher cost for firms to violate network practices","OD06","Culture, Trust & Relational Climate"
"OD02","Strategic Leadership & Sponsorship","c115M01N13","organizational digital strategy for manufacturing digitalization","Digital strategy is measured as part of digital transformation and is described as a plan for how a firm will use digital technology to achieve its goals.","OD02","Strategic Leadership & Sponsorship"
"OD05","Human Capacity, Roles & Participation","c115M01N14","organizational capability to acquire and master digital technologies","The digital capability scale covers acquiring important digital technologies, identifying digital opportunities, and mastering state-of-the-art digital technologies.","OD05","Human Capacity, Roles & Participation"
"OD02","Strategic Leadership & Sponsorship","c115M01N15","digital transformational leadership in manufacturing firms","Higher digital transformational leadership strengthens the relationship between digital transformation and green knowledge acquisition in manufacturing firms.","OD02","Strategic Leadership & Sponsorship"
"OD02","Strategic Leadership & Sponsorship","c115M02N11","Digital leadership capability","""Digital leadership ability is linked with the leadership capability to guide a firm toward digital transformation to improve its adaptability in an ever-changing digital and social ecosystem""","OD02","Strategic Leadership & Sponsorship"
"OD06","Culture, Trust & Relational Climate","c115M02N20","Organizational culture","""These adjustments influence the recruitment of employees and leaders while also revamping the culture of the firm""","OD06","Culture, Trust & Relational Climate"
"OD01","Governance, Standards & Formal Control","c117M01N41","internal social media access controls","Internal platforms are preferred for sensitive ideation partly because they provide access controls.","OD01","Governance, Standards & Formal Control"
"OD01","Governance, Standards & Formal Control","c117M01N42","NDAs for promising product-idea contributions","Promising contributions progress under NDAs to maintain confidentiality.","OD01","Governance, Standards & Formal Control"
"OD01","Governance, Standards & Formal Control","c117M01N43","formal NPD idea-governance mechanisms","Internal platforms support high-stakes ideation under formal governance mechanisms.","OD01","Governance, Standards & Formal Control"
"OD01","Governance, Standards & Formal Control","c117M01N44","external social signal filtering mechanisms","External ideas can progress when filtering mechanisms are in place.","OD01","Governance, Standards & Formal Control"
"OD01","Governance, Standards & Formal Control","c117M01N45","product-idea confidentiality screening","Secure internal submission portals apply confidentiality screening during idea generation.","OD01","Governance, Standards & Formal Control"
"OD01","Governance, Standards & Formal Control","c117M02N30","NDAs","All subsequent interactions with the submitters are handled internally...to maintain confidentiality","OD01","Governance, Standards & Formal Control"
"OD01","Governance, Standards & Formal Control","c117M02N32","Access controls","Access Control: Closed, proprietary","OD01","Governance, Standards & Formal Control"
"OD01","Governance, Standards & Formal Control","c117M02N33","Disclosure policies","Internal disclosure guidelines defined restricted sharing zones during early NPD","OD01","Governance, Standards & Formal Control"
"OD08","Organizational Structure & Process Design","c119M01N43","robot-local knowledge alignment with the General Knowledge Base","Each Local Knowledge Base retains a reference to the General Knowledge Base, which guarantees whole-system consistency.","OD08","Organizational Structure & Process Design"
"OD08","Organizational Structure & Process Design","c119M02N19","WordNet-structured knowledge conceptualization methodology","The methodology used here for knowledge conceptualization... follows the structure of WordNet","OD08","Organizational Structure & Process Design"
"OD03","Financial, Technical & Information Resources","c120M01N34","availability of sufficient historical job-shop scheduling data and optimal scheduling schemes","Many samples can be extracted from accumulated historical data, and a large number of optimal scheduling schemes must be prepared to mine an effective SPRM.","OD03","Financial, Technical & Information Resources"
