uuid,Title,Abstract,DOI Link,Publication title,ernie_kr_flag,deepseek_kr_flag,qwen_kr_flag,ernie_kr_evidence,deepseek_kr_evidence,qwen_kr_evidence,ernie_TK_normalized,deepseek_TK_normalized,qwen_TK_normalized,ernie_DT_flag,deepseek_DT_flag,qwen_DT_flag,ernie_DT_evidence,deepseek_DT_evidence,qwen_DT_evidence,ernie_DT_normalized,deepseek_DT_normalized,qwen_DT_normalized,ernie_ic_label,deepseek_ic_label,qwen_ic_label
58951602-c83a-4a49-824a-c5a86575341f,Illustrating The Intangible Cultural Heritage Of Santhals And Kuki: Pushing The Boundaries Of Knowledge Sharing In The Era Of Technology,"By focusing on both Kuki and Santhal's intangible heritage, the paper offers holistic insights into how these communities navigate the transfer of their cultural knowledge, which further ensures that these traditions remain a dynamic force bridging all spheres of life. Through an anthropological perspective, the paper highlights the contextual understanding of the meaning-making process, a framework rooted in decolonization, and captures intangible practices with case studies related to festivals documented during the fieldwork among the Santhals and the Kukis. It attempts to reflect how cultural identity is constructed and reinforced through multisensory, performative expressions and how heritage, when intertwined with the digital revolution, offers immense possibilities to preserve heritage. As the body becomes dynamic, the focus shifts from the body as it intersects with the machine, substituting the role. Further, it discusses how digital tools from smartphones to virtual and augmented reality, GIS, and 3D Scanning facilitate both preservation and transformation of cultural knowledge, foregrounding community-led efforts to reclaim narrative agency and identity. The paper ultimately argues that effective knowledge sharing today necessitates a negotiated continuum between continuity and change where the body and the digital converge, that is ethically grounded and culturally situated. Ethical concerns surrounding digital representation and participation are addressed, alongside a call for immersive technology, culturally responsive approaches to preservation, including VR-based oral histories and blockchain-enabled tribal archives, and many more. It calls for an interdisciplinary and situated approach to digital heritage and anthropological knowledge production.  Copyright © 2025 Shrila Soren.",10.5194/isprs-archives-XLVIII-M-9-2025-1413-2025,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives",Yes,Yes,Yes,"The paper discusses how digital tools facilitate both preservation and transformation of cultural knowledge, foregrounding community-led efforts to reclaim narrative agency and identity.","The abstract discusses preserving, capturing, and retaining intangible cultural heritage knowledge from Santhal and Kuki communities, stating 'digital tools from smartphones to virtual and augmented reality, GIS, and 3D Scanning facilitate both preservation and transformation of cultural knowledge' and 'community-led efforts to reclaim narrative agency and identity'.","the paper offers holistic insights into how these communities navigate the transfer of their cultural knowledge, which further ensures that these traditions remain a dynamic force bridging all spheres of life",Somatic tacit knowledge (Experiential know-how); Collective and relational tacit knowledge (Teamwork know-how),Cognitive tacit knowledge (Expert judgment; other),"Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other); Collective and relational tacit knowledge (Teamwork know-how, other); Adaptive tacit knowledge(Situational problem-solving, other); Other(*)",Yes,Yes,Yes,"The paper discusses how digital tools from smartphones to virtual and augmented reality, GIS, and 3D Scanning facilitate both preservation and transformation of cultural knowledge.","The abstract explicitly states 'digital tools from smartphones to virtual and augmented reality, GIS, and 3D Scanning facilitate both preservation and transformation of cultural knowledge' and mentions 'VR-based oral histories and blockchain-enabled tribal archives'.","digital tools from smartphones to virtual and augmented reality, GIS, and 3D Scanning facilitate both preservation and transformation of cultural knowledge, foregrounding community-led efforts to reclaim narrative agency and identity","Human–Computer Interaction and Immersive Technologies; Cyber-Physical Systems, IoT, and Smart Environments; Data, Information, and Knowledge Systems; Imaging, Sensing, and Perception Technologies","Human–Computer Interaction and Immersive Technologies; Imaging, Sensing, and Perception Technologies; Distributed, Secure, and Trust Technologies; Others(Mobile, Social, and Communication Technologies)","Human–Computer Interaction and Immersive Technologies; Cyber-Physical Systems, IoT, and Smart Environments; Imaging, Sensing, and Perception Technologies; Others(*)",True,False,True
b0f10ad6-9a79-4a02-b86f-6b7cc0c11040,Developing Ethical Principle Awareness And Reasoning In A Cybersecurity Context: Enhancing User Understanding Using Ripple Down Rules,"Cybersecurity breaches are often attributed to human behaviour, where individuals fail to integrate ethical principles in their decision-making. This empirical study investigates the effectiveness of the Ripple Down Rules (RDR) method, a knowledge acquisition and representation method, in enhancing ethical awareness and reasoning in cybersecurity contexts. The proposed approach combines rule-based reasoning, case-based learning, reflection, and situated cognition to bridge the gap between ethical knowledge and action by systematically connecting scenario elements to ethical principles. Participants, recruited from a cohort of first-year psychology students, were exposed to training incorporating five ethical principles—Beneficence, Non-Maleficence, Justice, Autonomy, and Explicability—applied to realistic cybersecurity scenarios. The study employed a randomised controlled design with two treatment and one control groups, using pre- and post-study assessments to evaluate improvements in ethical principle identification and reasoning. Participants rated RDR as a clear and helpful tool for understanding ethical reasoning, with sensibility and helpfulness scores ranging from moderate to high. Results demonstrate that RDR training significantly improved participants' ability to identify ethical principles compared to learning without RDR, particularly for principles like autonomy and explicability. However, challenges persisted in distinguishing overlapping principles, such as beneficence and non-maleficence. Implications and guidance for use of RDR for ethics training are discussed. © 2025 The Author(s)",10.1016/j.cose.2025.104761,Computers and Security,No,Yes,Yes,"The study investigates the effectiveness of the Ripple Down Rules method in enhancing ethical awareness and reasoning in cybersecurity contexts, but does not explicitly discuss capturing or retaining knowledge from individuals or organizations.","The abstract discusses using the Ripple Down Rules (RDR) method, a knowledge acquisition and representation method, to enhance ethical awareness and reasoning. It states RDR 'bridges the gap between ethical knowledge and action by systematically connecting scenario elements to ethical principles', indicating knowledge capture and retention.","This empirical study investigates the effectiveness of the Ripple Down Rules (RDR) method, a knowledge acquisition and representation method, in enhancing ethical awareness and reasoning in cybersecurity contexts",None identified,Cognitive tacit knowledge (Expert judgment; Decision rules),"Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other)",No,Yes,Yes,The focus is on enhancing ethical awareness and reasoning rather than capturing or retaining knowledge.,The abstract explicitly states the Ripple Down Rules (RDR) method is used as a 'knowledge acquisition and representation method' to capture and represent ethical knowledge in a cybersecurity context.,"The proposed approach combines rule-based reasoning, case-based learning, reflection, and situated cognition to bridge the gap between ethical knowledge and action by systematically connecting scenario elements to ethical principles",None identified,"Rule-Based, Decision, and Expert Systems","Rule-Based, Decision, and Expert Systems; Others(*)",True,True,True
748d3f69-2787-4bc7-af53-9bc8fe348402,Academic Knowledge Sharing On Digital Knowledge Platforms: A Tam Approach,"Purpose – This study aims to identify and examine the determinants of knowledge sharing on digital knowledge platforms among academic staff, grounded in the Technology Acceptance Model (TAM). It specifically investigates how individual and organizational factors influence faculty members’ engagement in knowledge sharing via digital knowledge platforms. Design/methodology/approach – A descriptive-analytical survey design was used. Data were collected through a structured questionnaire based on a five-point Likert scale, targeting academic staff in higher education institutions. The data were analyzed using multiple linear regression in SPSS to assess the relationships between perceived ease of use, perceived convenience, IT self-efficacy, organizational culture and knowledge sharing behavior. Findings – The results demonstrate that perceived ease of use, perceived convenience and IT self-efficacy significantly predict the perceived usefulness of digital knowledge platforms for knowledge sharing. Furthermore, organizational culture emerged as a critical factor positively influencing faculty members’ knowledge sharing behaviors. Academic staff showed a higher tendency to share knowledge when they perceived digital knowledge platforms as useful and user-friendly, and when they operated within a culture that promotes collaboration and technological adoption. Research limitations/implications – This study highlights the need for universities to foster supportive cultures, enhance IT self-efficacy and provide user-friendly digital knowledge platforms tools to promote faculty knowledge sharing and improve collaboration and innovation in academic settings. Originality/value – This study contributes to the literature by integrating TAM with contextual organizational variables to explain digital knowledge platforms-based knowledge sharing in academic settings. It provides actionable insights for university administrators and policymakers aiming to foster a knowledge-sharing culture. © 2025 Emerald Publishing Limited",10.1108/VJIKMS-06-2025-0216,VINE Journal of Information and Knowledge Management Systems,No,No,Yes,The study aims to identify and examine the determinants of knowledge sharing on digital knowledge platforms among academic staff but does not explicitly discuss capturing or retaining knowledge from individuals or organizations.,"The abstract examines determinants of knowledge sharing on digital knowledge platforms among academic staff, focusing on sharing behavior rather than capturing or retaining knowledge from individuals or organizations.","This study aims to identify and examine the determinants of knowledge sharing on digital knowledge platforms among academic staff, grounded in the Technology Acceptance Model (TAM). It specifically investigates how individual and organizational factors influence faculty members’ engagement in knowledge sharing via digital knowledge platforms",None identified,None identified,"Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other); Collective and relational tacit knowledge (Teamwork know-how, other)",No,No,Yes,The focus is on determinants of knowledge sharing rather than capturing or retaining knowledge.,No digital technologies are discussed for capturing or retaining knowledge.,"perceived ease of use, perceived convenience and IT self-efficacy significantly predict the perceived usefulness of digital knowledge platforms for knowledge sharing",None identified,None identified,"Data, Information, and Knowledge Systems",True,False,True
4d599183-0632-4616-b89f-68a9fa90eda0,"Unseen Seeds, Green Minds In The Digital Era: How Smes Foster Innovation Through Green Intellectual Capital, Ai, And Resource Commitment","The rapid acceleration of digital transformation has profoundly reshaped societal operations, with Artificial Intelligence (AI) and the Metaverse emerging as key drivers of change. The strategic integration of tacit knowledge and advanced technologies is crucial for enhancing innovation performance and maintaining a competitive advantage in the global economy. This study explores how tacit knowledge sharing influences innovation performance (IP), with a focus on green intellectual capital (GIC), AI, and resource commitment (RC). To examine these relationships, a survey was conducted in three phases among small and medium-sized manufacturing firms in Canada and the UAE, collecting data from 317 UAE and 383 Canadian SMEs. The findings show that GIC plays a key role in linking tacit knowledge sharing to IP, while AI influences how tacit knowledge interacts with GIC, which consists of green human, relational, and structural capital. Additionally, RC strengthens the connection be-tween GIC and IP, reinforcing the importance of resource investment in sustainability and innovation. The originality of this study comes from exploring how AI influences the connection between tacit knowledge and GIC, as well as how RC impacts the link between GIC and IP. The study also recognizes its limitations and outlines areas for future research, encouraging further research into the role of knowledge and technology in driving innovation. © 2025 Elsevier Ltd.",10.1016/j.techsoc.2025.103108,Technology in Society,Yes,Yes,Yes,"This study explores how tacit knowledge sharing influences innovation performance (IP), with a focus on green intellectual capital (GIC), AI, and resource commitment (RC). The findings show that GIC plays a key role in linking tacit knowledge sharing to IP.","The abstract explicitly discusses 'tacit knowledge sharing' and how it influences innovation performance, with a focus on green intellectual capital. It examines the role of tacit knowledge in organizational contexts, implying capture and retention of knowledge from individuals.","The strategic integration of tacit knowledge and advanced technologies is crucial for enhancing innovation performance and maintaining a competitive advantage in the global economy. This study explores how tacit knowledge sharing influences innovation performance (IP), with a focus on green intellectual capital (GIC), AI, and resource commitment (RC).","Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other); Collective and relational tacit knowledge (Teamwork know-how, other)","Cognitive tacit knowledge (Expert judgment, Decision rules)",Cognitive tacit knowledge; Collective and relational tacit knowledge,Yes,Yes,Yes,The study explores the influence of AI on the connection between tacit knowledge and GIC.,"The abstract states that 'AI influences how tacit knowledge interacts with GIC', indicating digital technology (AI) is used to influence the connection between tacit knowledge and green intellectual capital, which involves knowledge capture and retention.","AI influences how tacit knowledge interacts with GIC, which consists of green human, relational, and structural capital.",Artificial Intelligence and Intelligent Computation,Artificial Intelligence and Intelligent Computation,Artificial Intelligence and Intelligent Computation,True,True,True
18b12690-ee09-462f-9cb9-d8c52d615cb5,Design And Application Evaluation Of The Nursing Informatics Intelligent Question-Answering System Based On Generative Artificial Intelligence,"Objective To construct a nursing informatics intelligent question-answering system based on generative artificial intelligence and conduct preliminary study for applying and testing. Methods Data was collected using web crawling technology to build a nursing informatics knowledge base, enhancing the reliability of the content output by the DeepSeek-V3 model. The system functions were integrated using the fastGPT platform to develop the nursing informatics intelligent question-answering system, and experimental testing was conducted. From April to May 2025,30 nursing students were recruited to evaluate the system's usability and satisfaction through questionnaires and semi-structured interviews. Results Experimental test results showed that compared to DeepSeek-V3 ,the nursing informatics intelligent question-answering system improved answer accuracy by 15.39% and semantic similarity by 3.08% . Students expressed positive attitudes and consistent opinions regarding interface clarity, system usability, answer accuracy, and reliability, with an average satisfaction score of (4.33 ±0.48) point. Besides, interview results indicated that the system could improve knowledge acquisition efficiency and facilitates better understanding of nursing informatics research trends and academic exchange information. However, there was still room for improvement in terms of the content of the knowledge base and system functionality. Conclusion The nursing informatics intelligent question-answering system demonstrates good effectiveness and usability. In the future ,it can be further implemented in nursing education to promote the digital and intelligent transformation of nursing education and enhance teaching quality. © 2025, Chinese Nursing Journals Publishing House. All rights reserved.",10.3761/j.issn.1672-9234.2025.09.003,Chinese Journal of Nursing Education,Yes,Yes,Yes,"Objective To construct a nursing informatics intelligent question-answering system based on generative artificial intelligence and conduct preliminary study for applying and testing. Methods Data was collected using web crawling technology to build a nursing informatics knowledge base, enhancing the reliability of the content output by the DeepSeek-V3 model.","The abstract explicitly states that the system was built using 'web crawling technology to build a nursing informatics knowledge base' and that it 'improves knowledge acquisition efficiency', indicating the capture and retention of knowledge.",To construct a nursing informatics intelligent question-answering system based on generative artificial intelligence and conduct preliminary study for applying and testing; enhancing the reliability of the content output by the DeepSeek-V3 model; the system could improve knowledge acquisition efficiency and facilitates better understanding of nursing informatics research trends and academic exchange information,"Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other)",None identified,"Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other); Adaptive tacit knowledge(Situational problem-solving, other)",Yes,Yes,Yes,"Data was collected using web crawling technology to build a nursing informatics knowledge base, enhancing the reliability of the content output by the DeepSeek-V3 model. The system functions were integrated using the fastGPT platform to develop the nursing informatics intelligent question-answering system.","The abstract describes the use of 'web crawling technology', 'DeepSeek-V3 model', and 'fastGPT platform' as digital technologies to build and operate the knowledge base and question-answering system.",generative artificial intelligence; DeepSeek-V3 model; fastGPT platform,"Data, Information, and Knowledge Systems; Artificial Intelligence and Intelligent Computation",Artificial Intelligence and Intelligent Computation,"Artificial Intelligence and Intelligent Computation; Rule-Based, Decision, and Expert Systems",True,True,True
e327f913-0d8f-4869-a5bb-5d81bd34683c,"Ict Adoption And Use As Drivers Of Knowledge Acquisition, Organizational Performance, And Corporate Entrepreneurship: Evidence From Tourism Smes In Colombia","This article investigates the impact of information and communication technology (ICT) adoption and use on knowledge acquisition, organizational performance, and corporate entrepreneurship among tourism SMEs in Cali, Valle del Cauca (Colombia). The research employs a quantitative, correlational design with a probabilistic sample of 110 firms, applying partial least squares structural equation modeling (PLS-SEM) to evaluate the proposed hypotheses. The findings reveal that ICT adoption exerts a significant influence on organizationalperformance, knowledge acquisition, and corporate entrepreneurship, underscoring the role of technological infrastructure as a critical driver of competitiveness. Additionally, ICT use and orientation demonstrate positive, albeit more modest, effects, suggesting that the practical appropriation of digital tools enhances and complements existing infrastructure. Furthermore, knowledge acquisition is confirmed as a mediating construct that transforms digital capabilities into organizational learning and innovation. Overall, the results align with theoretical perspectives such as absorptive capacity and knowledge creation, while highlighting the strategic importance of public policies that reinforce digital infrastructure and foster technological competencies within the regional tourism sector. © 2025 UCEVA. Published by Informa UK Limited, trading as Taylor & Francis Group.",10.1080/23311886.2025.2599576,Cogent Social Sciences,Yes,Yes,Yes,"This article investigates the impact of information and communication technology (ICT) adoption and use on knowledge acquisition, organizational performance, and corporate entrepreneurship among tourism SMEs in Cali, Valle del Cauca (Colombia).","The abstract states that 'knowledge acquisition is confirmed as a mediating construct that transforms digital capabilities into organizational learning' and that ICT adoption influences 'knowledge acquisition', implying the capture and retention of knowledge.","ICT adoption exerts a significant influence on organizational performance, knowledge acquisition, and corporate entrepreneurship; knowledge acquisition is confirmed as a mediating construct that transforms digital capabilities into organizational learning and innovation","Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other); Adaptive tacit knowledge(Situational problem-solving, other)",None identified,"Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other); Adaptive tacit knowledge(Situational problem-solving, other)",Yes,Yes,Yes,"This article investigates the impact of information and communication technology (ICT) adoption and use on knowledge acquisition, organizational performance, and corporate entrepreneurship among tourism SMEs in Cali, Valle del Cauca (Colombia).","The abstract explicitly discusses 'information and communication technology (ICT) adoption and use' as drivers of knowledge acquisition, indicating digital technologies are used for knowledge capture.",information and communication technology (ICT) adoption and use,"Mobile, Social, and Communication Technologies","Mobile, Social, and Communication Technologies","Mobile, Social, and Communication Technologies",True,True,True
1a901e6d-d3e3-4b0b-9cfe-a42816fc3725,Ai-Powered Knowledge Ecosystems: How Knowledge Management Systems Drive Business Intelligence And Marketing Capabilities In Gulf Cooperation Council Enterprises,"The use of Knowledge Management Systems (KMS) and Artificial Intelligence (AI) remains limited in developing countries. These technologies can help organizations understand their Business Intelligence (BI) and Marketing Capability (MC), but few studies have explored this area. The present research examines the relationship between KMS and Business Intelligence Capability (BIC) across companies in the Gulf Cooperation Council (GCC), highlighting the role of AI in enhancing the marketing skills. Using a quantitative approach, data were gathered from top management via a structured questionnaire. The study breaks down KMS into three key components: Knowledge Acquisition (KA), Knowledge Sharing (KS), and Knowledge Application (KAP), examining how each affects BIC. The results show that all three processes have a positive impact on BIC. Additionally, AI serves as a moderator between the KA, application, and BICs, which also positively influence MC. This research offers valuable insights into how KMS and AI can be combined to enhance BI, providing helpful guidance for practitioners and researchers. Copyright © by the authors",10.48084/etasr.12789,"Engineering, Technology and Applied Science Research",Yes,Yes,Yes,"The present research examines the relationship between KMS and Business Intelligence Capability (BIC) across companies in the Gulf Cooperation Council (GCC), highlighting the role of AI in enhancing the marketing skills. The study breaks down KMS into three key components: Knowledge Acquisition (KA), Knowledge Sharing (KS), and Knowledge Application (KAP), examining how each affects BIC.","The abstract discusses Knowledge Management Systems (KMS) and breaks KMS into Knowledge Acquisition (KA), Knowledge Sharing (KS), and Knowledge Application (KAP), examining how each affects Business Intelligence Capability. Knowledge Acquisition implies capturing or retaining knowledge from individuals or organizations.",The use of Knowledge Management Systems (KMS) and Artificial Intelligence (AI) remains limited in developing countries. These technologies can help organizations understand their Business Intelligence (BI) and Marketing Capability (MC).,Somatic tacit knowledge (Procedural know-how); Other (Knowledge Acquisition; Knowledge Sharing; Knowledge Application),None identified,Cognitive tacit knowledge; Somatic tacit knowledge; Collective and relational tacit knowledge,Yes,Yes,Yes,"Additionally, AI serves as a moderator between the KA, application, and BICs, which also positively influence MC.","The abstract explicitly mentions 'Knowledge Management Systems (KMS) and Artificial Intelligence (AI)' as technologies used, and AI serves as a moderator between Knowledge Acquisition, application, and Business Intelligence Capabilities.","The study breaks down KMS into three key components: Knowledge Acquisition (KA), Knowledge Sharing (KS), and Knowledge Application (KAP), examining how each affects BIC. Additionally, AI serves as a moderator between the KA, application, and BICs, which also positively influence MC.",Artificial Intelligence and Intelligent Computation,"Data, Information, and Knowledge Systems; Artificial Intelligence and Intelligent Computation","Artificial Intelligence and Intelligent Computation; Data, Information, and Knowledge Systems",True,True,True
1fee803c-48b7-4b81-a162-20e489503a6b,How Can Generative Artificial Intelligence Empower Circular Supply Chain Practices? Evidence From Chinese Companies,"In the context of supply chain digitalization and the circular economy, generative artificial intelligence (GenAI) may help firms overcome persistent challenges in knowledge integration and rapid innovation iteration within circular supply chains. Drawing on the dynamic capability view (DCV) and the knowledge-based view (KBV), this study develops a theoretical model to examine the impact of GenAI on circular supply chain practices. The study focuses on the mediating roles of generative capability and iterative innovation, as well as the moderating role of circular innovation orientation. This addresses the core question of how digital technology drives value regeneration in the circular economy. Using partial least squares structural equation modeling (PLS-SEM) and survey data from 371 Chinese firms, we find that GenAI has a positive effect on circular supply chain practices, both directly and indirectly. Generative capability and iterative innovation each mediate the GenAI–circular supply chain practices relationship, and they jointly form a serial mediation pathway. Moreover, circular innovation orientation strengthens the positive effect of generative capability on iterative innovation. By conceptualizing generative capability as a higher-order dynamic capability rooted in knowledge acquisition, inheritance, and updating, this study clarifies how GenAI converts cross-generational knowledge reconfiguration into actionable circular practices. The findings extend DCV and KBV explanations of technology-enabled circular transformation, offering guidance for managers seeking to deploy GenAI for value regeneration. © 2026 The Authors.",10.1016/j.jik.2026.101002,Journal of Innovation and Knowledge,Yes,Yes,Yes,"This study develops a theoretical model to examine the impact of GenAI on circular supply chain practices. The study focuses on the mediating roles of generative capability and iterative innovation, as well as the moderating role of circular innovation orientation.","The abstract discusses 'knowledge acquisition, inheritance, and updating' and 'knowledge integration' within circular supply chains, and conceptualizes generative capability as a higher-order dynamic capability rooted in knowledge acquisition, implying capturing or retaining knowledge.",generative artificial intelligence (GenAI) may help firms overcome persistent challenges in knowledge integration and rapid innovation iteration within circular supply chains.,Somatic tacit knowledge (Procedural know-how); Adaptive tacit knowledge (Situational problem-solving),None identified,Cognitive tacit knowledge; Adaptive tacit knowledge,Yes,Yes,Yes,generative artificial intelligence (GenAI) may help firms overcome persistent challenges in knowledge integration and rapid innovation iteration within circular supply chains.,The abstract explicitly mentions 'generative artificial intelligence (GenAI)' as the digital technology used to empower circular supply chain practices and convert knowledge reconfiguration into actionable practices.,"Using partial least squares structural equation modeling (PLS-SEM) and survey data from 371 Chinese firms, we find that GenAI has a positive effect on circular supply chain practices, both directly and indirectly.",Artificial Intelligence and Intelligent Computation,Artificial Intelligence and Intelligent Computation,"Artificial Intelligence and Intelligent Computation; Rule-Based, Decision, and Expert Systems",True,True,True
eae3afa9-3d08-4e43-b42d-e9bc52ce91a2,How Does Physician Stress Impact Knowledge-Sharing Behaviors?Evidence From Online Physician Communities,"Online physician communities play a significant role in improving physicians' mental health and facilitating professional communication. However, existing research has paid limited attention to knowledge-sharing behaviors in these online communities. This study examines how distinct categories of work stressors influence physicians' knowledge-sharing behaviors. Specifically, we establish physicians routinely encounter stressors, including work overload, ethical conflict, and technological anxiety in clinical practice, which are frequently manifested in physicians' online community discourse. Therefore, we developed a new deep learning model to detect physicians' stress levels while categorizing stressor types at the same time. To the best of our knowledge, this model represents the first dedicated assessment tool for physician mental health. Additionally, based on the Transactional Model of Stress, we propose that (1) Hindrance stressors suppress physicians' knowledge-sharing behaviors, (2) Challenge stressors promote greater participation in knowledge-sharing activities, (3) Conflict stressors simultaneously increase knowledge-seeking behaviors while reducing knowledge-contribution behaviors. Furthermore, we identify that perceived community emotional support significantly moderates the relationship between stressor types and knowledge-sharing behaviors. Those propositions are empirically substantiated through an analysis of 81,503 comments and 14,509 posts from 198 physicians in an online physician community. Our findings call for greater attention to physicians’ mental well-being as a determinant of knowledge exchange, and suggest implementing targeted content management strategies in online communities to enhance knowledge-sharing effectiveness. © 2025 Elsevier Ltd",10.1016/j.chb.2025.108849,Computers in Human Behavior,Yes,Yes,Yes,"This study examines how distinct categories of work stressors influence physicians' knowledge-sharing behaviors. Additionally, based on the Transactional Model of Stress, we propose that (1) Hindrance stressors suppress physicians' knowledge-sharing behaviors, (2) Challenge stressors promote greater participation in knowledge-sharing activities, (3) Conflict stressors simultaneously increase knowledge-seeking behaviors while reducing knowledge-contribution behaviors. Furthermore, we identify that perceived community emotional support significantly moderates the relationship between stressor types and knowledge-sharing behaviors.","This study examines how distinct categories of work stressors influence physicians' knowledge-sharing behaviors... we propose that (1) Hindrance stressors suppress physicians' knowledge-sharing behaviors, (2) Challenge stressors promote greater participation in knowledge-sharing activities, (3) Conflict stressors simultaneously increase knowledge-seeking behaviors while reducing knowledge-contribution behaviors.",This study examines how distinct categories of work stressors influence physicians' knowledge-sharing behaviors. ... we developed a new deep learning model to detect physicians' stress levels while categorizing stressor types at the same time.,Other (Knowledge-sharing behaviors),None identified,"Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other); Somatic tacit knowledge (Experiential know-how, Procedural know-how, Craft knowledge, Operational know-how, other)",Yes,No,Yes,we developed a new deep learning model to detect physicians' stress levels while categorizing stressor types at the same time.,"The study uses a deep learning model to detect stress levels and categorize stressor types, but this technology is used for analysis of knowledge-sharing behaviors, not for capturing or retaining knowledge itself.",we developed a new deep learning model to detect physicians' stress levels while categorizing stressor types at the same time.,Artificial Intelligence and Intelligent Computation,None identified,Artificial Intelligence and Intelligent Computation,True,False,True
f83b6f91-8e0c-4930-82c6-90c77c5afeb5,A Novel Bayesian Knowledge Tracing Model For College Students In Language Learning,"With the increasing demand for personalized learning in language education, monitoring students' knowledge acquisition has become crucial. However, few studies have tracked the development of college students' English skills, particularly in English reading comprehension. To address this gap, this study developed a Bayesian Knowledge Tracing (BKT) model specifically designed for tracking college students' English reading skills. The model achieved an AUC score of 0.692, demonstrating its effectiveness in distinguishing between students who have mastered specific reading skills and those who are still in the learning process. By analyzing students' performance history, the model successfully evaluated mastery probabilities across seven sub-skills, such as vocabulary inference, main idea summarization, inference making, and information interpretation. This research extends the application of BKT to language learning domains and lays a foundation for integrating knowledge tracing models with data-driven educational technologies to enhance curriculum design. © 2025 Copyright held by the owner/author(s).",10.1145/3764206.3764277,"Proceedings of The 2nd International Conference on Intelligent Education and Computer Technology, IECT 2025",Yes,Yes,Yes,This study developed a Bayesian Knowledge Tracing (BKT) model specifically designed for tracking college students' English reading skills.,This study developed a Bayesian Knowledge Tracing (BKT) model specifically designed for tracking college students' English reading skills... the model successfully evaluated mastery probabilities across seven sub-skills... This research extends the application of BKT to language learning domains and lays a foundation for integrating knowledge tracing models with data-driven educational technologies to enhance curriculum design.,"monitoring students' knowledge acquisition has become crucial. ... To address this gap, this study developed a Bayesian Knowledge Tracing (BKT) model specifically designed for tracking college students' English reading skills.",Cognitive tacit knowledge (Expert judgment),None identified,"Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other)",Yes,Yes,Yes,developed a Bayesian Knowledge Tracing (BKT) model,The study developed a Bayesian Knowledge Tracing (BKT) model to track and evaluate students' knowledge acquisition of English reading skills.,"To address this gap, this study developed a Bayesian Knowledge Tracing (BKT) model specifically designed for tracking college students' English reading skills.",Artificial Intelligence and Intelligent Computation,Artificial Intelligence and Intelligent Computation,"Rule-Based, Decision, and Expert Systems",True,True,True
