node_id,node_name,category,evidence_label,case_title,evidence_statement,object_definition,evidence_location
c201M01N23,Standardized 4-week training program,Organizational Dependency,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,Both groups completed an equal 40-hour program over four weeks.,"The internally standardized duration, schedule, and exposure level used by both groups.","PDF p. 3, Teaching intervention protocol"
c201M01N24,Completed core coursework,Organizational Dependency,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,"Eligibility required completion of radiological physics, cross-sectional anatomy, and general pathology.",The instructional prerequisite required for study participation.,"PDF p. 3, Participant selection"
c201M02N27,Fixed 4-Week 40-Hour Training Curriculum Schedule,Organizational Dependency,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,"Both groups underwent a standardized 4-week training program (5 days per week, 2 h per day), totaling 40 hours","Standardized training structure requiring 4 weeks, 5 days/week, 2 hours/day totaling 40 hours","Page 3, Section 2.2"
c201M02N28,Single-Center Educational Context Constraint,Organizational Dependency,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,The single-center nature of this study requires validation through multi-site trials,"The study was conducted at a single institution, limiting generalizability","Page 8, Section 7"
c201M02N29,AI Model Performance Maintenance Dependency,Organizational Dependency,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,"The effectiveness of the framework is inherently dependent on the underlying AI algorithms, mandating continuous performance validation and updates","The framework's effectiveness depends on AI algorithm performance, requiring ongoing validation","Page 8, Section 7"
c202M01N22,Lamphun Hospital,Organizational Dependency,E,Enhancing Digital Health Literacy Of Village Health Volunteers Through Vocational Training Programs,The vocational training was organized and conducted at Lamphun Hospital.,The hospital that hosted and collaborated in the training and research implementation.,"PDF pp. 1–3 and 5, Abstract, Sections I, II.C, III, and VII"
c202M02N28,Dedicated Training Hours,Organizational Dependency,E,Enhancing Digital Health Literacy Of Village Health Volunteers Through Vocational Training Programs,"The training proceeded in a structured sequence... Following the pre-test, participants attended the lecture-based session... which lasted 60 minutes... the IoT and AI workshops, each lasting 120 minutes",Structured time allocation for each training component,Page 3
c202M02N29,Trainer Expertise,Organizational Dependency,E,Enhancing Digital Health Literacy Of Village Health Volunteers Through Vocational Training Programs,We would also like to express... gratitude... to the dedicated trainers for their expertise,Expertise of trainers required for effective knowledge transfer,Page 5
c202M02N30,Training Program Design,Organizational Dependency,E,Enhancing Digital Health Literacy Of Village Health Volunteers Through Vocational Training Programs,The training combined lecture-based and workshop-based learning methods to provide both theoretical knowledge and hands-on experience,Structured design of the training program combining different learning methods,Page 1
c202M02N31,Informed Consent Process,Organizational Dependency,E,Enhancing Digital Health Literacy Of Village Health Volunteers Through Vocational Training Programs,All research procedures were conducted with the informed consent of the Village Health Volunteers (VHVs) who participated,Ethical process for obtaining participant consent,Page 3
c203M02N10,Schools and families,Organizational Dependency,E,The Impact Of Generative Ai Health Knowledge Acquisition On Adolescents' Physical Activity: The Mediating Role Of Exercise Self-Efficacy And The Moderating Effect Of Health Information Literacy,These findings suggest that schools and families should integrate efforts to cultivate adolescents' information literacy and efficacy beliefs when promoting AI-based health interventions.,These findings suggest that schools and families should integrate efforts to cultivate adolescents' information literacy and efficacy beliefs when promoting AI-based health interventions.,"Page 1, Conclusion section"
c204M01N30,Scientific training system,Organizational Dependency,E,Design And Evaluation Of A Virtual Rehabilitation System Integrating Intangible Cultural Heritage: A Case Study Of Baduanjin-Based Somatosensory Training,Oral-teaching dissemination requires a scientific training system.,Structured training arrangement required for scalable professional instruction.,"Section 2.1, p. 2"
c204M02N23,Availability of professional teachers,Organizational Dependency,E,Design And Evaluation Of A Virtual Rehabilitation System Integrating Intangible Cultural Heritage: A Case Study Of Baduanjin-Based Somatosensory Training,"""relying on the oral teaching of the dissemination of the way requires a large number of professional teachers and scientific training system. However, these resources are currently very scarce""",Internal prerequisite requiring a sufficient pool of trained professional teachers for traditional knowledge transfer,"Page 2, Section 2.1"
c205M01N35,heavy operator workloads,Organizational Dependency,E,Game-Based Learning As Training To Use A Chemotherapy Preparation Robot,Fitting two hours of training into operators' heavy workloads was described as a fundamental challenge.,Limited staff time available within daily pharmacy work schedules.,"Discussion, page 7"
c205M02N23,Work schedule of the unit,Organizational Dependency,E,Game-Based Learning As Training To Use A Chemotherapy Preparation Robot,Training took place during the afternoon with teams of trainer/trainee constituted according to the work schedule of the unit.,"The internal organizational planning of staff working hours, which dictated the feasibility and timing of the training sessions.","Page 5, Results, Game-based training evaluation"
c205M02N24,Initial training sessions at acquisition,Organizational Dependency,E,Game-Based Learning As Training To Use A Chemotherapy Preparation Robot,"This complex, new technology was the subject of initial training sessions at acquisition, but these did not continue over time.","The initial, one-time training provided to operators when the robot was first installed, which lacked a follow-up mechanism.","Page 2, Introduction"
c206M01N23,Technology access and mobile-application familiarity,Organizational Dependency,E,From Surface To Deep Learning: Gamified Mobile Education For Subcutaneous And Intramuscular Injection Skills,The application's effectiveness may vary depending on students' access to technology and familiarity with mobile applications.,Learner access to suitable technology and sufficient familiarity to use a mobile application.,"Limitations, p. 9"
c206M02N44,Standardized University Nursing Fundamentals Curriculum,Organizational Dependency,E,From Surface To Deep Learning: Gamified Mobile Education For Subcutaneous And Intramuscular Injection Skills,This education was provided by the researcher and adhered to the standard principles outlined in the nursing course curriculum,Institutional curriculum guiding theoretical training,Page 4-5
c206M02N45,Department Availability of Certified Clinical Instructors,Organizational Dependency,E,From Surface To Deep Learning: Gamified Mobile Education For Subcutaneous And Intramuscular Injection Skills,"Practical education... is provided through clinical learning experiences in hospital settings, supervised by faculty members or nurses",Availability of instructors for supervision,Page 1
c206M02N46,University On-Campus Clinical Skills Laboratory Facility,Organizational Dependency,E,From Surface To Deep Learning: Gamified Mobile Education For Subcutaneous And Intramuscular Injection Skills,"Following the theoretical training, both groups participated in practical sessions in the skills laboratory",Facility required for practical training,Page 5
c206M02N47,Institutional Non-Pharmaceutical Research Ethics Board Approval,Organizational Dependency,E,From Surface To Deep Learning: Gamified Mobile Education For Subcutaneous And Intramuscular Injection Skills,Approval was obtained from the Non-Pharmaceutical Interventional Research Ethics Committee,Institutional ethics approval for the study,Page 6
