src_node_id,dst_node_id,relation_type,evidence_label,case_title,evidence_statement,evidence_location
N01,N05,translate_into,E,"Immersive virtual reality training for excavation safety and hazard identification","The proposed VR training system significantly enhanced practical performance, knowledge acquisition and self-efficacy","Page 1, Abstract"
N01,N06,translate_into,I,"Immersive virtual reality training for excavation safety and hazard identification","Participants were instructed to...identify, evaluate and respond to each hazard in VR","Page 9, Section 4.2.1"
N01,N08,translate_into,I,"Immersive virtual reality training for excavation safety and hazard identification","2 stands for being able to identify and evaluate","Page 10, Section 4.2.1"
N01,N09,translate_into,I,"Immersive virtual reality training for excavation safety and hazard identification","3 stands for being able to identify, evaluate and respond","Page 10, Section 4.2.1"
N01,N10,be_absorbed_by,E,"Immersive virtual reality training for excavation safety and hazard identification","Results based on scores obtained immediately after training indicate that VR training significantly enhanced...knowledge acquisition","Page 1, Abstract"
N01,N16,be_transferred_by,E,"Immersive virtual reality training for excavation safety and hazard identification","A control group received training via a traditional training method, in this case an excavation health and safety manual","Page 13, Section 5"
N01,N17,be_transferred_by,E,"Immersive virtual reality training for excavation safety and hazard identification","The proposed VR training system was compared with a health and safety manual via a controlled experiment","Page 1, Abstract"
N02,N01,be_derived_from,E,"Immersive virtual reality training for excavation safety and hazard identification","The training objectives...were developed based on two guidelines: Occupational Safety and Health Administration (OSHA) Trenching and Excavation Safety and WorkSafe Excavation Safety","Page 8, Section 3.3"
N03,N01,be_derived_from,E,"Immersive virtual reality training for excavation safety and hazard identification","All the safety information presented in this stage was obtained from the OSHA and WorkSafe's excavation safety guidelines","Page 8, Section 3.4"
N04,N01,be_derived_from,E,"Immersive virtual reality training for excavation safety and hazard identification","All the safety information presented in this stage was obtained from the OSHA and WorkSafe's excavation safety guidelines","Page 8, Section 3.4"
N05,N10,be_absorbed_by,E,"Immersive virtual reality training for excavation safety and hazard identification","Participants' practical performance to excavation hazards increased immediately after training (pre-training: M=11.3 SD=4.94 post-training: M=17.7 SD=3.67)","Page 11, Section 4.4.1"
N05,N14,be_shared_by,I,"Immersive virtual reality training for excavation safety and hazard identification","Determine whether a safety officer is present on site...safety officers to identify, evaluate and respond to hazards on site","Page 10, Table 2"
N05,N15,be_shared_by,I,"Immersive virtual reality training for excavation safety and hazard identification","Inform supervisors...Ensure a safety officer is present on site","Page 10, Table 2"
N05,N17,be_captured_by,E,"Immersive virtual reality training for excavation safety and hazard identification","Participants' practical performance was assessed in VR before and immediately after the training","Page 9, Section 4.2.1"
N05,N34,be_difficult_to_capture_due_to,E,"Immersive virtual reality training for excavation safety and hazard identification","Newly acquired knowledge is vulnerable because forgetting always occurs, as demonstrated by Ebbinghaus's forgetting curve","Page 17, Section 6"
N05,N35,be_difficult_to_capture_due_to,E,"Immersive virtual reality training for excavation safety and hazard identification","a knowledge-to-practice gap...knowing more does not necessarily mean behaving more safely","Page 17, Section 6"
N06,N10,be_absorbed_by,E,"Immersive virtual reality training for excavation safety and hazard identification","Participants significantly increased their practical performance (p<0.001) including identification skills","Page 11, Section 4.4.1"
N07,N10,be_absorbed_by,E,"Immersive virtual reality training for excavation safety and hazard identification","Both groups significantly increased their self-efficacy scores (VR: p<0.001; Manual: p=0.003) immediately after training","Page 17, Section 5.4.2"
N08,N10,be_absorbed_by,E,"Immersive virtual reality training for excavation safety and hazard identification","Participants significantly increased their practical performance (p<0.001) including evaluation skills","Page 11, Section 4.4.1"
N09,N10,be_absorbed_by,E,"Immersive virtual reality training for excavation safety and hazard identification","Participants significantly increased their practical performance (p<0.001) including response skills","Page 11, Section 4.4.1"
N10,N16,participate_in,E,"Immersive virtual reality training for excavation safety and hazard identification","Participants in the control group (Manual) received health and safety induction based on an excavation health and safety manual","Page 14, Section 5.3"
