"node_id","node_name","category","evidence_label","case_title","evidence_statement","object_definition","evidence_location","sub_category_id","sub_category"
"c101M01N19","BPMN 2.0 XML","Explicit Knowledge","E","Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn","The model is instructed to output complete, standards-compliant BPMN 2.0 XML.","A machine-interpretable XML serialization of a BPMN process model.","Pages 1 and 3, Sections 1.3 and 2.2","EK02","Codified Descriptive Knowledge"
"c101M01N20","initial “AS-IS” BPMN diagram","Explicit Knowledge","E","Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn","The system processed the user's narrative and generated the initial AS-IS BPMN diagram.","The formal process model representing the existing maintenance workflow.","Pages 4–5, Figure 3A and Section 3.2","EK02","Codified Descriptive Knowledge"
"c101M01N21","AI-annotated “AS-IS” diagram","Explicit Knowledge","E","Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn","The LLM identified inefficiencies and annotated the AS-IS diagram with comments.","The existing process model augmented with AI-generated bottleneck comments.","Pages 4–5, Figure 3B and Section 3.2","EK07","Codified Outcome Knowledge"
"c101M01N22","revised, optimized “TO-BE” process diagram","Explicit Knowledge","E","Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn","The model generated a revised process diagram addressing the previously highlighted issues.","The AI-generated proposed process model intended to improve the existing workflow.","Pages 4–5, Figure 3C and Section 3.2","EK05","Codified Predictive Knowledge"
"c101M01N23","JSON array of overlay objects","Explicit Knowledge","E","Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn","The second required output block contains a JSON array of overlay objects for diagram comments.","Structured analytical commentary linked to specific BPMN element identifiers.","Page 3, Section 2.2","EK07","Codified Outcome Knowledge"
"c102M01N03","Object-predicate-subject triples","Explicit Knowledge","E","Large Language Model For Humanoid Cognition In Proactive Human-Robot Collaboration","Traditional task interpretations are generated from object-predicate-subject triples derived from the scene graph.","Structured entity-relation triples derived from a scene graph.","Section III-A, p. 542","EK02","Codified Descriptive Knowledge"
"c102M01N04","Common-sense knowledge","Explicit Knowledge","E","Large Language Model For Humanoid Cognition In Proactive Human-Robot Collaboration","The GPT-4 depiction of image contents and relative positions is identified as common-sense knowledge.","A textual depiction of scene contents, characteristics, and relative positions.","Section III-A, p. 542; Figure 3","EK02","Codified Descriptive Knowledge"
"c102M01N05","Task interpretations","Explicit Knowledge","E","Large Language Model For Humanoid Cognition In Proactive Human-Robot Collaboration","Task interpretations explain human and robotic actions and their interactive operations in the surrounding environment.","Textual explanations of entities, relations, actions, and interactive operations.","Section III-A, p. 542; Table I","EK04","Codified Explanatory Knowledge"
"c102M01N06","Human intention narration","Explicit Knowledge","E","Large Language Model For Humanoid Cognition In Proactive Human-Robot Collaboration","The approach generates and refines textual descriptions of human-relevant tasks from temporal videos.","Natural-language descriptions focused on human actions and interacted objects.","Section III-B, pp. 542-543; Figure 4; Table II","EK02","Codified Descriptive Knowledge"
"c102M01N07","Task description","Explicit Knowledge","E","Large Language Model For Humanoid Cognition In Proactive Human-Robot Collaboration","Robot skills and execution policies are learned based solely on a task description.","Natural-language specification of the task to be executed.","Section III-C, pp. 543-544; Figure 5","EK01","Codified Normative Knowledge"
