node_id,node_name,category,evidence_label,case_title,evidence_statement,object_definition,evidence_location
c101M01N16,Institutionally subsidized faculty time,Organizational Dependency,I,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,This trade-off favors AI enhancement when faculty time is institutionally subsidized,The ongoing availability of salaried educator hours allocated for media editing.,"PAGE 7, Line 235"
c101M01N17,Consumer-grade laptop hardware,Organizational Dependency,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,reducing computational requirements to enable operation on consumer-grade laptop (Lenovo Legion 5 Pro with 6GB VRAM).,Standard computing equipment with limited graphics memory capacity.,"PAGE 3, Line 109"
c102M02N36,Availability of professional teachers and scientific training system,Organizational Dependency,E,Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Baduanjin-based somatosensory training,"Relying on the oral teaching... requires a large number of professional teachers and scientific training system. However, these resources are currently very scarce",Prerequisite for traditional oral dissemination; scarcity makes popularization difficult,Section 2.1
c103M01N21,Pairwise Operator Work Schedule Alignment,Organizational Dependency,E,Game-based learning as training to use a chemotherapy preparation robot,Training took place during the afternoon with teams of trainer/trainee constituted according to the work schedule of the unit.,Coordination constraint forcing session matches to respect active hospital scheduling shifts.,Page 5
c103M02N33,Adequate numbers of appropriately trained staff,Organizational Dependency,E,Game-based learning as training to use a chemotherapy preparation robot,"As the number of preparations increases, difficulties maintaining adequate numbers of appropriately trained staff may appear.",Internal need for sufficient trained personnel to operate the robot.,"Page 1, 'Introduction'"
c103M02N34,Standardized training program,Organizational Dependency,E,Game-based learning as training to use a chemotherapy preparation robot,"We decided to create a short, standardized, sustainable operator training program.",Internal requirement for a uniform training method to reduce disparities.,"Page 2, 'Introduction'"
c103M02N36,PhD thesis time availability,Organizational Dependency,E,Game-based learning as training to use a chemotherapy preparation robot,"This was possible as the work was performed as part of a PhD thesis, with the doctoral student involved in 100% of the project.",Availability of dedicated research time (over 100 hours) for developing the training.,"Page 7, 'Discussion'"
c104M01N14,Informed consent for voice cloning,Organizational Dependency,E,Effectiveness Of Al-Assisted Patient Health Education Using Voice Cloning And Chatgpt: Prospective Randomized Controlled Trial,"The use of voice cloning technology was explicitly covered in the consent form, providing separate written authorization.",Legal and administrative clinical clearances ensuring data privacy before recording voices.,Page 3
c104M02N19,Hospital's standardized education materials,Organizational Dependency,E,Effectiveness Of Al-Assisted Patient Health Education Using Voice Cloning And Chatgpt: Prospective Randomized Controlled Trial,"The traditional education group received the hospital's current standardized patient education, including verbal education by medical staff and standardized written education materials.",Pre‑existing content base that both traditional and AI interventions rely on.,"Page 4, Traditional Education Group"
c104M02N20,Trained medical staff availability,Organizational Dependency,I,Effectiveness Of Al-Assisted Patient Health Education Using Voice Cloning And Chatgpt: Prospective Randomized Controlled Trial,Verbal education was conducted by trained medical staff according to a unified education outline.,The organisation must have sufficient staff who have received the required training.,"Page 4, Traditional Education Group"
c104M02N21,Dedicated research assistants,Organizational Dependency,E,Effectiveness Of Al-Assisted Patient Health Education Using Voice Cloning And Chatgpt: Prospective Randomized Controlled Trial,Patients listened to the voice-cloned education content through headphones or speakers under the guidance of research assistants.,Personnel who facilitate the AI intervention and ensure correct usage.,"Page 4, Intervention Measures"
c104M02N22,Ethics committee approval,Organizational Dependency,E,Effectiveness Of Al-Assisted Patient Health Education Using Voice Cloning And Chatgpt: Prospective Randomized Controlled Trial,The clinical trial protocol was reviewed and approved by the Ethics Committee of The First Hospital of Lanzhou University (approval number: LDYYLL-2025-805).,Institutional permission required to conduct the trial.,"Page 3, Ethical Considerations"
c104M02N23,Informed consent from participants,Organizational Dependency,E,Effectiveness Of Al-Assisted Patient Health Education Using Voice Cloning And Chatgpt: Prospective Randomized Controlled Trial,"All participants received detailed verbal and written information regarding the study purpose, procedures, potential risks, and expected benefits and provided written informed consent prior to enrollment.",Legal and ethical prerequisite for patient participation.,"Page 3, Ethical Considerations"
c104M02N24,Staff training on AI system,Organizational Dependency,E,Effectiveness Of Al-Assisted Patient Health Education Using Voice Cloning And Chatgpt: Prospective Randomized Controlled Trial,"System development, intervention standardization, and staff training were completed in December 2024 and January 2025.",Training provided to medical staff and research assistants to operate the AI voice cloning and evaluation systems.,"Page 3, Study Design"
c104M02N25,Personalized content formulation by medical professionals,Organizational Dependency,E,Effectiveness Of Al-Assisted Patient Health Education Using Voice Cloning And Chatgpt: Prospective Randomized Controlled Trial,Medical professionals then formulated personalized education content based on standard education content and the patient's specific situation.,Human expert effort required to tailor the standard content for each patient.,"Page 4, Attending Physician Voice Cloning Education Group"
c105M02N25,Free access to course,Organizational Dependency,E,Removing A Blindfold': Perspectives Of Physical Therapists After Completing The Peak-Portuguese E-Learning Course,"The fact that it's free, you know, I found extremely interesting",Internal prerequisite where course is provided at no cost to users,Page 5
c105M02N26,Portuguese language availability,Organizational Dependency,E,Removing A Blindfold': Perspectives Of Physical Therapists After Completing The Peak-Portuguese E-Learning Course,The recent translation of the PEAK e-learning course into Portuguese (PEAK-PT) has broadened its access to Portuguese-speaking clinicians,Baseline condition of having course content available in Portuguese,Page 2
c107M02N29,Completion of basic medical courses,Organizational Dependency,E,From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,Inclusion criteria were completion of basic medical courses (such as Human Anatomy and Physiology)...,Prerequisite education for participants.,"Page 2, Participants and grouping"
c107M02N30,Completion of clinical courses,Organizational Dependency,E,From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,...and certain clinical courses (such as Internal Medicine and Surgery)...,Prerequisite clinical education.,"Page 2, Participants and grouping"
c107M02N31,Ethics committee approval,Organizational Dependency,E,From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,The study was approved by the Ethics Committee of Hebei University Affiliated Hospital (HDFYLL-KY-2024-134).,Institutional ethical clearance.,"Page 3, Participants and grouping"
c108M01N09,Alignment with professional roles,Organizational Dependency,E,Effectiveness Of M-Learning In Enhancing Knowledge Retention For Nurses' Lifelong Learning: Quasi-Experimental Study,The alignment of the MOOC with the participants professional roles... likely contributed to higher enrollment and completion rates.,The precision match between educational systems and the actual clinical needs encountered by practitioners in daily hospital shifts.,"Page 5, Principal Findings"
c108M02N29,Institutional continuous training programs,Organizational Dependency,I,Effectiveness Of M-Learning In Enhancing Knowledge Retention For Nurses' Lifelong Learning: Quasi-Experimental Study,Certified and integrated into the in‑service training programs of health institutions,Not mentioned,"Page 2, Background"
c108M02N30,Ethical approval and informed consent,Organizational Dependency,E,Effectiveness Of M-Learning In Enhancing Knowledge Retention For Nurses' Lifelong Learning: Quasi-Experimental Study,Ethical approval was granted by the Ethics Committee…All participants received an informed consent form,Not mentioned,"Page 3, Ethical Considerations"
