sub_category_id,sub_category,node_id,node_name,evidence_statement,adjust_sub_category_id,adjust_sub_category
"ED05","External Technological & Infrastructure Environment","c001M02N26","Rural 18.7% failure rate point cloud transmission network","Point cloud data transmission failure rate in rural areas is as high as 18.7% (vs 2.3% in the urban cores)","ED05","External Technological & Infrastructure Environment"
"ED08","Geographic & Physical Site Context","c001M02N27","Remote mountainous site geographic isolation","There are notable disparities in digital preservation implementation between urban and rural areas of Chongqing","ED08","Geographic & Physical Site Context"
"ED01","Political, Regulatory & Jurisdictional Environment","c002M02N35","Australian Work Safe fall prevention regulation","Training content was based on an Australian industrial standard—Preventing Falls in Housing Construction—Code of Practice","ED01","Political, Regulatory & Jurisdictional Environment"
"ED01","Political, Regulatory & Jurisdictional Environment","c002M02N36","Construction industry safety compliance standards","The construction industry is among the highest contributors to work-related injuries and on-the-job fatalities among all major industries","ED01","Political, Regulatory & Jurisdictional Environment"
"ED01","Political, Regulatory & Jurisdictional Environment","c003M01N24","Current electricity price set by ARERA","Scenario costs were calculated using the current electricity price set by ARERA.","ED01","Political, Regulatory & Jurisdictional Environment"
"ED08","Geographic & Physical Site Context","c004M02N32","Confined Physical Walking Space (3m x 3m)","The movement area in the real world was confined to a 3m x 3m square","ED08","Geographic & Physical Site Context"
"ED10","Ambiguous Environmental Dependency(*)","c004M02N33","Post-Training Four-Week Retention Test Window","Participants were contacted four weeks after training and asked to complete a retention questionnaire","ED10","Ambiguous Environmental Dependency(*)"
"ED08","Geographic & Physical Site Context","c005M02N46","Site physical constraints (congested areas, water, etc.)","The first site visited was an elevated railway constructed amid a busy and congested area...The second bridge was being built as a crossroads...being built in a heavily populated region...The third bridge is being built across the River Nile...The fourth bridge was in an open, remote, and deserted area, causing extreme weather conditions...The fifth bridge...being constructed in one of the densest and most populated areas in Cairo.","ED08","Geographic & Physical Site Context"
"ED08","Geographic & Physical Site Context","c005M02N47","Bridge type-specific hazards (railway, road, etc.)","The uniqueness of this bridge emerges from the fact that it is not meant for automobiles or trucks but rather serves as a rail...The main hazards emerging from this site were primarily related to the construction over/near water...extreme weather conditions, such as high wind speeds and sand storms, to be main interfering factors and sources of hazards.","ED08","Geographic & Physical Site Context"
"ED04","Natural & Climatic Environment","c005M02N48","Weather-related hazards (wind, sandstorms)","The fourth bridge was in an open, remote, and deserted area, thereby causing extreme weather conditions, such as high wind speeds and sand storms, to be main interfering factors and sources of hazards during construction.","ED04","Natural & Climatic Environment"
"ED08","Geographic & Physical Site Context","c006M01N21","each worker's job site","Researchers attended each worker's job site to collect workload data and record work status.","ED08","Geographic & Physical Site Context"
"ED01","Political, Regulatory & Jurisdictional Environment","c006M02N36","Industry safety regulations","Creating a safe environment is important, and evaluation charts such as the OWAS method, RULA, REBA and HOHSRAM have been utilized.","ED01","Political, Regulatory & Jurisdictional Environment"
"ED02","Economic, Market & Industry Environment","c007M02N49","High Staff Turnover","small workforce, high staff turnover, a basic organisational structure","ED02","Economic, Market & Industry Environment"
"ED02","Economic, Market & Industry Environment","c007M02N50","Fierce Competition","continuous changes in construction techniques, materials and management processes have resulted in fierce competition among SMCCs","ED02","Economic, Market & Industry Environment"
"ED02","Economic, Market & Industry Environment","c007M02N51","Market Changes","Responding to market changes in the market plan (KR2)","ED02","Economic, Market & Industry Environment"
"ED02","Economic, Market & Industry Environment","c007M02N52","Technological Changes","Responding to clients' reactions to technological changes (KR3)","ED02","Economic, Market & Industry Environment"
"ED06","Client, Procurement & Institutional Environment","c007M02N53","Client Needs Changes","Responding to changes in client needs (KR1)","ED06","Client, Procurement & Institutional Environment"
"ED01","Political, Regulatory & Jurisdictional Environment","c008M02N34","Industry regulations","the State Administration of Work Safety, the websites of various administrative departments, the safety management network, and the municipal government website","ED01","Political, Regulatory & Jurisdictional Environment"
"ED06","Client, Procurement & Institutional Environment","c009M02N56","Client requirements","Every bid must be tailored to the client's specific requirements","ED06","Client, Procurement & Institutional Environment"
"ED06","Client, Procurement & Institutional Environment","c009M02N57","Submission deadlines","Submission deadline, submission requirements, required documents","ED06","Client, Procurement & Institutional Environment"
"ED06","Client, Procurement & Institutional Environment","c009M02N58","Quality and Cost Based Selection (QCBS) criteria","Weighting is 80% for Technical and 20% for Financial score in Quality and Cost Based Selection (QCBS)","ED06","Client, Procurement & Institutional Environment"
"ED01","Political, Regulatory & Jurisdictional Environment","c011M01N32","Regulatory compliance requirements","the required equipment is determined and constructed according to the relevant regulations in PRC's 'Confined Space Safety Working Guide'","ED01","Political, Regulatory & Jurisdictional Environment"
"ED08","Geographic & Physical Site Context","c011M02N31","Confined space physical constraints","A confined space is a space with limited entry and egress and is not suitable for human inhabitants.","ED08","Geographic & Physical Site Context"
"ED02","Economic, Market & Industry Environment","c012M02N53","Industry Demographic Shift (Retirement Wave)","""The industry faces a significant demographic shift, with seasoned construction professionals rapidly approaching retirement. This demographic change threatens organizational knowledge continuity""","ED02","Economic, Market & Industry Environment"
"ED10","Ambiguous Environmental Dependency(*)","c014M02N49","Environmental risks","Environmental uncertainties influence the effective operations of the megaprojects","ED10","Ambiguous Environmental Dependency(*)"
"ED01","Political, Regulatory & Jurisdictional Environment","c014M02N50","Political risks","Political factors influence the effective operations of the megaprojects","ED01","Political, Regulatory & Jurisdictional Environment"
"ED01","Political, Regulatory & Jurisdictional Environment","c014M02N51","Geopolitical instability","Dynamic environment, including geopolitical instability and logistical complexities","ED01","Political, Regulatory & Jurisdictional Environment"
"ED07","Supply-Chain & Logistical Environment","c014M02N52","Logistical complexities","Dynamic environment, including geopolitical instability and logistical complexities","ED07","Supply-Chain & Logistical Environment"
"ED02","Economic, Market & Industry Environment","c014M02N53","Changing market trends","Changing market trends influence the effective operations","ED02","Economic, Market & Industry Environment"
"ED01","Political, Regulatory & Jurisdictional Environment","c014M02N54","Regulatory changes","Respond quickly to disruptions such as regulatory changes","ED01","Political, Regulatory & Jurisdictional Environment"
"ED10","Ambiguous Environmental Dependency(*)","c015M02N30","Student absences","The students also collaborated on the solutions for challenges that arise in using ABL, like student absences, diverse backgrounds and various prior level of education.","ED10","Ambiguous Environmental Dependency(*)"
"ED03","Sociocultural & Societal Environment","c015M02N31","Diverse educational backgrounds","The students also collaborated on the solutions for challenges that arise in using ABL, like student absences, diverse backgrounds and various prior level of education.","ED03","Sociocultural & Societal Environment"
"ED01","Political, Regulatory & Jurisdictional Environment","c016M01N33","Peruvian Law N° 29783 on Occupational Safety and Health Management","Risk indexes used in the IPERC process were granted by Peruvian Law N° 29783.","ED01","Political, Regulatory & Jurisdictional Environment"
"ED01","Political, Regulatory & Jurisdictional Environment","c016M01N34","Peruvian OHS standard G-050","The construction monitoring process used key performance indicators from the Peruvian OHS standard G-050.","ED01","Political, Regulatory & Jurisdictional Environment"
"ED01","Political, Regulatory & Jurisdictional Environment","c016M01N35","ANSI/ASSP Z590.3","The paper uses ANSI/ASSP Z590.3 to define effective PtD management as an overall residual risk below 30 percent.","ED01","Political, Regulatory & Jurisdictional Environment"
"ED01","Political, Regulatory & Jurisdictional Environment","c016M02N20","Peruvian Law N° 29783","assigned an initial risk factor (RF - CS) based on exposure, probability and severity indexes granted by the Peruvian Law N° 29783","ED01","Political, Regulatory & Jurisdictional Environment"
"ED01","Political, Regulatory & Jurisdictional Environment","c016M02N21","Industry regulation compliance","The key performance indicators (KPI) of the Peruvian OHS standard G-050","ED01","Political, Regulatory & Jurisdictional Environment"
"ED04","Natural & Climatic Environment","c017M01N24","weather conditions","Weather conditions influence building temperatures and are included as contextual information.","ED04","Natural & Climatic Environment"
"ED04","Natural & Climatic Environment","c017M02N23","Seasonal Cycles (Autumn-Winter)","The study period was during autumn-winter (October to February), a key season for analyzing heating demand.","ED04","Natural & Climatic Environment"
