node_id,node_name,category,evidence_label,case_title,evidence_statement,object_definition,evidence_location
c201M01N02,Informal maintenance process narrative,Explicit Knowledge,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,"The user initiated the conversation by describing the entire reactive maintenance process in a single, detailed message.",Plain natural-language text entered into the conversational assistant by an expert user describing work routines.,Page 5
c201M01N03,Standards-compliant BPMN 2.0 XML,Explicit Knowledge,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,"A xml block containing the complete, standards-compliant BPMN 2.0 XML for the process diagram.","A highly structured, verbose text-based serialization standard maintained by the Object Management Group.","Page 1, Page 3"
c201M01N04,Overlay objects array JSON,Explicit Knowledge,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,A json block containing an array of overlay objects for adding comments to the diagram.,A text data block containing structural analytical observations tied to specific model element IDs.,Page 3
c201M02N02,Paper purchase request form,Explicit Knowledge,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,The technician fills out a paper purchase request form and leaves it on the procurement manager's desk,A codified document used to request spare parts,Section 3.2
c201M02N05,AS-IS BPMN diagram,Explicit Knowledge,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,The system processed this text and generated the initial 'AS-IS' BPMN diagram,Visual representation of the current reactive maintenance process,Section 3.2
c201M02N38,BPMN 2.0 schema,Explicit Knowledge,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,Prompt-engineering techniques ensure the LLM's output conforms to the BPMN 2.0 schema,Standardised specification for BPMN 2.0,"Section 1.3, 2.2"
c201M02N39,Natural language process description,Explicit Knowledge,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,"The user initiated the conversation by describing the entire reactive maintenance process in a single, detailed message",Textual description provided by the user,Section 3.2
c202M01N07,Book manual,Explicit Knowledge,E,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,the paper group utilized a book manual as an assistance tool.,A static text and 2D diagram instructional guide applied in traditional training.,"PAGE 5, Line 228"
c202M01N08,Identical 10 multiple-choice questions knowledge test,Explicit Knowledge,E,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,each test question had 10 multiple-choice questions worth a total of 10 points,Codified testing metrics applied uniformly across evaluation timelines to track memory retention.,"PAGE 7, Line 297"
c202M02N01,IoT circuit assembly knowledge,Explicit Knowledge,E,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,The knowledge test encompassed the topics IoT. Each test question had 10 multiple-choice questions worth a total of 10 points.,"Codified facts and procedures about IoT component identification, placement, and connectivity.",Page 7 (3.3 Instruments)
c202M02N03,MAR application instructions,Explicit Knowledge,E,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,"The MAR application visualizes IoT circuit assembly steps, provides 3D models of circuit components, and enables user interaction.",Step-by-step 3D animated models and textual guidance overlaid on breadboard.,Page 2 (Abstract) and Page 4-5 (3.1 Intervention)
c203M01N03,Sustainability performance indicators,Explicit Knowledge,E,Digital Technologies And Circular Economy Capabilities: Exploring The Roles Of Supply Chain Knowledge Development Processes And Environmental Uncertainty,"Building interfirm platforms that enable data interoperability, common standards and real-time sharing of sustainability performance indicators.",Codified performance scores tracking environmental metrics,"Page 17, Line 422"
