"node_id","node_name","category","evidence_label","case_title","evidence_statement","object_definition","evidence_location","Unnamed: 8","sub_category_id","sub_category"
"c102M01N11","Robot","Knowledge Learner","E","Large Language Model For Humanoid Cognition In Proactive Human-Robot Collaboration","The robot acquires skills, learns execution policies, and adjusts operations based on human intentions.","The robotic agent acquiring operational skills and using human-intention information.","Section III-B-C, p. 543; Table III","","KL11","Ambiguous Knowledge Learner(*)"
"c102M02N20","Humans","Knowledge Learner","E","Large Language Model For Humanoid Cognition In Proactive Human-Robot Collaboration","humans can further refine and optimize robot behaviors through step-by-step thinking","Humans learning from robot behavior optimization","Page 2","","KL11","Ambiguous Knowledge Learner(*)"
"c103M01N40","trained DRLDCC-ELM handwork-recognition model","Knowledge Learner","I","Deep Extreme Learning Machine With Its Application To Body-Conducted-Sound-Based Handwork Recognition","The trained model recognized 13 classes and reached 89.04 percent average F1.","Proposed trained system learning the handwork classes.","Sections 3.4 and 3.6, pp. 4-5","","KL11","Ambiguous Knowledge Learner(*)"
"c103M01N41","trained transformer handwork-baseline model","Knowledge Learner","I","Deep Extreme Learning Machine With Its Application To Body-Conducted-Sound-Based Handwork Recognition","The trained baseline recognized 13 classes and reached 66.93 percent average F1.","Comparison system learning the handwork classes.","Sections 3.5-3.6, p. 5","","KL11","Ambiguous Knowledge Learner(*)"
"c103M02N23","Researchers","Knowledge Learner","I","Deep Extreme Learning Machine With Its Application To Body-Conducted-Sound-Based Handwork Recognition","The authors propose a novel modeling method for handwork recognition using body-conducted sounds.","The research team developing and evaluating the handwork recognition technology.","Section 1","","KL10","Knowledge Review and Validation Learners"
"c104M01N08","participants","Knowledge Learner","E","Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology","Forty participants completed all experimental phases and were assigned evenly to the MAR and paper groups.","The forty university-level participants learning and performing the IoT assembly task.","Sections 3.2 and 3.4, pp. 5–8","","KL01","Formal Higher-Education Learners"
"c105M01N17","Newer employees","Knowledge Learner","E","Knowledge Retention Through Cognitive Support Technology (Cst) In The Manufacturing Industry: A Process Inventory","Newer employees may struggle to acquire the knowledge needed to handle unforeseen challenges.","Employees expected to learn retained manufacturing knowledge.","PDF p. 2, Introduction","","KL03","Novice and Early-Career Workforce Learners"
"c105M02N16","Trainees","Knowledge Learner","I","Knowledge Retention Through Cognitive Support Technology (Cst) In The Manufacturing Industry: A Process Inventory","apprentice directly teaches an apprentice the skills needed","Workers in learning/training status","Page 2","","KL02","Structured Occupational Trainees"
"c105M02N17","Foreign employees","Knowledge Learner","E","Knowledge Retention Through Cognitive Support Technology (Cst) In The Manufacturing Industry: A Process Inventory","broader group of potential employees, including foreign or less-qualified employees","Workers from other countries requiring language support","Page 2-3","","KL11","Ambiguous Knowledge Learner(*)"
"c105M02N18","Less-qualified employees","Knowledge Learner","E","Knowledge Retention Through Cognitive Support Technology (Cst) In The Manufacturing Industry: A Process Inventory","broader group of potential employees, including foreign or less-qualified employees","Workers with limited formal qualifications","Page 2-3","","KL11","Ambiguous Knowledge Learner(*)"
"c106M01N11","Confirmation Group (G1)","Knowledge Learner","E","A Visual Management And Augmented-Reality-Based Training Module For The Enhancement Of Short And Long-Term Procedural Knowledge Retention In Complex Machinery Setup","Seven company workers formed the group trained with the company comparison approach supported by VM.","The learner group assigned to the comparison training condition.","Sections 3.2.1 and 4, pp. 5 and 9","","KL02","Structured Occupational Trainees"
