start_id,end_id,type,case_title
N5,N9,DOCUMENTS_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N5,N10,DOCUMENTS_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N6,N22,DOCUMENTS_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N6,N23,DOCUMENTS_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N7,N6,STORES_I,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N14,N8,TEACHES_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N14,N11,HOLDS_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N14,N12,HOLDS_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N15,N3,TELLS_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N15,N11,TRANSMITS_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N16,N11,HOLDS_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N17,N2,UTTERS_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N17,N9,LEADS_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N17,N12,ENACTS_I,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N17,N22,LEADS_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N18,N9,LEADS_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N18,N12,ENACTS_I,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N18,N23,LEADS_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N19,N11,HOLDS_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N19,N11,TRANSMITS_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N20,N8,LEARNS_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
