uuid,Title,audit_result
748d3f69-2787-4bc7-af53-9bc8fe348402,Academic Knowledge Sharing On Digital Knowledge Platforms: A Tam Approach,"{""uuid"": ""748d3f69-2787-4bc7-af53-9bc8fe348402"", ""Title"": ""Academic Knowledge Sharing On Digital Knowledge Platforms: A Tam Approach"", ""audit_processes"": [{""question_id"": 1, ""expert_compliance"": {""expert_A"": ""Unsupported"", ""expert_B"": ""Fully supported"", ""expert_C"": ""Fully supported""}, ""audit_evidence"": ""The abstract does not explicitly discuss capturing or retaining knowledge.""}, {""question_id"": 2, ""expert_compliance"": {""expert_A"": ""Unsupported"", ""expert_B"": ""Fully supported"", ""expert_C"": ""Fully supported""}, ""audit_evidence"": ""Digital technologies for KR are not clearly identified as being used for capture/retention.""}, {""question_id"": 3, ""expert_compliance"": {""expert_A"": ""Fully supported"", ""expert_B"": ""Fully supported"", ""expert_C"": ""Fully supported""}, ""audit_evidence"": ""Based on the methodology described, the paper is categorized as Empirical Study.""}], ""audit_results"": {""expert_A_audit_result"": ""Not Support"", ""expert_B_audit_result"": ""Fully Support"", ""expert_C_audit_result"": ""Fully Support""}}"
a0ce1896-88bb-458b-9d68-ac4cda4ff27a,Knowledge Calibration Fusion And Label Space Graph Regularization-Based Multi-Center Fuzzy Systems,"{""uuid"": ""a0ce1896-88bb-458b-9d68-ac4cda4ff27a"", ""Title"": ""Knowledge Calibration Fusion And Label Space Graph Regularization-Based Multi-Center Fuzzy Systems"", ""audit_processes"": [{""question_id"": 1, ""expert_compliance"": {""expert_A"": ""Fully supported"", ""expert_B"": ""Unsupported"", ""expert_C"": ""Unsupported""}, ""audit_evidence"": ""The abstract does not explicitly discuss capturing or retaining knowledge.""}, {""question_id"": 2, ""expert_compliance"": {""expert_A"": ""Unsupported"", ""expert_B"": ""Unsupported"", ""expert_C"": ""Unsupported""}, ""audit_evidence"": ""Digital technologies for KR are not clearly identified as being used for capture/retention.""}, {""question_id"": 3, ""expert_compliance"": {""expert_A"": ""Fully supported"", ""expert_B"": ""Unsupported"", ""expert_C"": ""Fully supported""}, ""audit_evidence"": ""Based on the methodology described, the paper is categorized as Empirical Study.""}], ""audit_results"": {""expert_A_audit_result"": ""Partial Support"", ""expert_B_audit_result"": ""Not Support"", ""expert_C_audit_result"": ""Not Support""}}"
b633d1dc-b865-4fac-8acd-879d6b4043cf,Research On Construction Method Of Information Knowledge Map Of Penetration And Explosion In Open-Pit Mining,"{""uuid"": ""b633d1dc-b865-4fac-8acd-879d6b4043cf"", ""Title"": ""Research On Construction Method Of Information Knowledge Map Of Penetration And Explosion In Open-Pit Mining"", ""audit_processes"": [{""question_id"": 1, ""expert_compliance"": {""expert_A"": ""Unsupported"", ""expert_B"": ""Unsupported"", ""expert_C"": ""Fully supported""}, ""audit_evidence"": ""The abstract explicitly discuss capturing or retaining knowledge.""}, {""question_id"": 2, ""expert_compliance"": {""expert_A"": ""Unsupported"", ""expert_B"": ""Unsupported"", ""expert_C"": ""Fully supported""}, ""audit_evidence"": ""Digital technologies for KR are identified as being used for capture/retention.""}, {""question_id"": 3, ""expert_compliance"": {""expert_A"": ""Unsupported"", ""expert_B"": ""Unsupported"", ""expert_C"": ""Unsupported""}, ""audit_evidence"": ""Based on the methodology described, the paper is categorized as Theoretical/Conceptual.""}], ""audit_results"": {""expert_A_audit_result"": ""Not Support"", ""expert_B_audit_result"": ""Not Support"", ""expert_C_audit_result"": ""Partial Support""}}"
16261321-a81f-43cf-ae94-cb46bb554a64,Research On A Virtual Teacher Personalized Interaction Model Integrating Affective Computing And Multi-Agent Systems,"{""uuid"": ""16261321-a81f-43cf-ae94-cb46bb554a64"", ""Title"": ""Research On A Virtual Teacher Personalized Interaction Model Integrating Affective Computing And Multi-Agent Systems"", ""audit_processes"": [{""question_id"": 1, ""expert_compliance"": {""expert_A"": ""Unsupported"", ""expert_B"": ""Fully supported"", ""expert_C"": ""Unsupported""}, ""audit_evidence"": ""The abstract explicitly discuss capturing or retaining knowledge.""}, {""question_id"": 2, ""expert_compliance"": {""expert_A"": ""Unsupported"", ""expert_B"": ""Fully supported"", ""expert_C"": ""Unsupported""}, ""audit_evidence"": ""Digital technologies for KR are identified as being used for capture/retention.""}, {""question_id"": 3, ""expert_compliance"": {""expert_A"": ""Fully supported"", ""expert_B"": ""Fully supported"", ""expert_C"": ""Fully supported""}, ""audit_evidence"": ""Based on the methodology described, the paper is categorized as Empirical Study.""}], ""audit_results"": {""expert_A_audit_result"": ""Not Support"", ""expert_B_audit_result"": ""Fully Support"", ""expert_C_audit_result"": ""Not Support""}}"
a0faa309-d9ce-4ab9-b655-1c0eb43aa010,A Structural-Functional Model Of Learning In Computerized Learning Systems,"{""uuid"": ""a0faa309-d9ce-4ab9-b655-1c0eb43aa010"", ""Title"": ""A Structural-Functional Model Of Learning In Computerized Learning Systems"", ""audit_processes"": [{""question_id"": 1, ""expert_compliance"": {""expert_A"": ""Fully supported"", ""expert_B"": ""Fully supported"", ""expert_C"": ""Fully supported""}, ""audit_evidence"": ""The abstract explicitly discuss capturing or retaining knowledge.""}, {""question_id"": 2, ""expert_compliance"": {""expert_A"": ""Fully supported"", ""expert_B"": ""Fully supported"", ""expert_C"": ""Fully supported""}, ""audit_evidence"": ""Digital technologies for KR are identified as being used for capture/retention.""}, {""question_id"": 3, ""expert_compliance"": {""expert_A"": ""Unsupported"", ""expert_B"": ""Unsupported"", ""expert_C"": ""Unsupported""}, ""audit_evidence"": ""Based on the methodology described, the paper is categorized as Theoretical/Conceptual.""}], ""audit_results"": {""expert_A_audit_result"": ""Partial Support"", ""expert_B_audit_result"": ""Partial Support"", ""expert_C_audit_result"": ""Partial Support""}}"
aa2ea651-54ff-4ce5-aa96-4e2e806e4c16,Immersive Ideological And Political Education Model Integrating Virtual Reality And Artificial Intelligence,"{""uuid"": ""aa2ea651-54ff-4ce5-aa96-4e2e806e4c16"", ""Title"": ""Immersive Ideological And Political Education Model Integrating Virtual Reality And Artificial Intelligence"", ""audit_processes"": [{""question_id"": 1, ""expert_compliance"": {""expert_A"": ""Fully supported"", ""expert_B"": ""Unsupported"", ""expert_C"": ""Fully supported""}, ""audit_evidence"": ""The abstract explicitly discuss capturing or retaining knowledge.""}, {""question_id"": 2, ""expert_compliance"": {""expert_A"": ""Fully supported"", ""expert_B"": ""Unsupported"", ""expert_C"": ""Fully supported""}, ""audit_evidence"": ""Digital technologies for KR are identified as being used for capture/retention.""}, {""question_id"": 3, ""expert_compliance"": {""expert_A"": ""Unsupported"", ""expert_B"": ""Unsupported"", ""expert_C"": ""Unsupported""}, ""audit_evidence"": ""Based on the methodology described, the paper is categorized as Case Study.""}], ""audit_results"": {""expert_A_audit_result"": ""Partial Support"", ""expert_B_audit_result"": ""Not Support"", ""expert_C_audit_result"": ""Partial Support""}}"
65a0f0f2-910e-4e66-a291-fe9abbb7c118,A Study On Factors Influencing Deep Interaction In Informal Online Learning Communities In The Context Of Educational Informatization,"{""uuid"": ""65a0f0f2-910e-4e66-a291-fe9abbb7c118"", ""Title"": ""A Study On Factors Influencing Deep Interaction In Informal Online Learning Communities In The Context Of Educational Informatization"", ""audit_processes"": [{""question_id"": 1, ""expert_compliance"": {""expert_A"": ""Fully supported"", ""expert_B"": ""Unsupported"", ""expert_C"": ""Fully supported""}, ""audit_evidence"": ""The abstract does not explicitly discuss capturing or retaining knowledge.""}, {""question_id"": 2, ""expert_compliance"": {""expert_A"": ""Fully supported"", ""expert_B"": ""Unsupported"", ""expert_C"": ""Fully supported""}, ""audit_evidence"": ""Digital technologies for KR are not clearly identified as being used for capture/retention.""}, {""question_id"": 3, ""expert_compliance"": {""expert_A"": ""Fully supported"", ""expert_B"": ""Fully supported"", ""expert_C"": ""Fully supported""}, ""audit_evidence"": ""Based on the methodology described, the paper is categorized as Empirical Study.""}], ""audit_results"": {""expert_A_audit_result"": ""Fully Support"", ""expert_B_audit_result"": ""Not Support"", ""expert_C_audit_result"": ""Fully Support""}}"
8ffefdea-7664-44d1-8a01-b23dc6710bee,Impact Of Personalized Learning Paths Supported By Mobile Technology On Student Academic Achievement,"{""uuid"": ""8ffefdea-7664-44d1-8a01-b23dc6710bee"", ""Title"": ""Impact Of Personalized Learning Paths Supported By Mobile Technology On Student Academic Achievement"", ""audit_processes"": [{""question_id"": 1, ""expert_compliance"": {""expert_A"": ""Fully supported"", ""expert_B"": ""Unsupported"", ""expert_C"": ""Fully supported""}, ""audit_evidence"": ""The abstract does not explicitly discuss capturing or retaining knowledge.""}, {""question_id"": 2, ""expert_compliance"": {""expert_A"": ""Fully supported"", ""expert_B"": ""Unsupported"", ""expert_C"": ""Fully supported""}, ""audit_evidence"": ""Digital technologies for KR are not clearly identified as being used for capture/retention.""}, {""question_id"": 3, ""expert_compliance"": {""expert_A"": ""Unsupported"", ""expert_B"": ""Unsupported"", ""expert_C"": ""Unsupported""}, ""audit_evidence"": ""Based on the methodology described, the paper is categorized as Theoretical/Conceptual.""}], ""audit_results"": {""expert_A_audit_result"": ""Partial Support"", ""expert_B_audit_result"": ""Not Support"", ""expert_C_audit_result"": ""Partial Support""}}"
ea1801fa-d18c-45ba-bbfd-020a481d6cbf,Dikolan-Sk – Development Of A Measurement Instrument For Academic Self-Concept Of Digitalization-Related Competencies In Science Education,"{""uuid"": ""ea1801fa-d18c-45ba-bbfd-020a481d6cbf"", ""Title"": ""Dikolan-Sk \u2013 Development Of A Measurement Instrument For Academic Self-Concept Of Digitalization-Related Competencies In Science Education"", ""audit_processes"": [{""question_id"": 1, ""expert_compliance"": {""expert_A"": ""Unsupported"", ""expert_B"": ""Unsupported"", ""expert_C"": ""Fully supported""}, ""audit_evidence"": ""The abstract does not explicitly discuss capturing or retaining knowledge.""}, {""question_id"": 2, ""expert_compliance"": {""expert_A"": ""Unsupported"", ""expert_B"": ""Fully supported"", ""expert_C"": ""Fully supported""}, ""audit_evidence"": ""Digital technologies for KR are not clearly identified as being used for capture/retention.""}, {""question_id"": 3, ""expert_compliance"": {""expert_A"": ""Fully supported"", ""expert_B"": ""Fully supported"", ""expert_C"": ""Fully supported""}, ""audit_evidence"": ""Based on the methodology described, the paper is categorized as Empirical Study.""}], ""audit_results"": {""expert_A_audit_result"": ""Not Support"", ""expert_B_audit_result"": ""Partial Support"", ""expert_C_audit_result"": ""Fully Support""}}"
c2f3aa36-7791-4569-a2fb-024930586fd5,"The Interplay Of Digital Transformation, Organizational Agility, And Knowledge Management In Optimizing Construction Project Management","{""uuid"": ""c2f3aa36-7791-4569-a2fb-024930586fd5"", ""Title"": ""The Interplay Of Digital Transformation, Organizational Agility, And Knowledge Management In Optimizing Construction Project Management"", ""audit_processes"": [{""question_id"": 1, ""expert_compliance"": {""expert_A"": ""Fully supported"", ""expert_B"": ""Unsupported"", ""expert_C"": ""Unsupported""}, ""audit_evidence"": ""The abstract does not explicitly discuss capturing or retaining knowledge.""}, {""question_id"": 2, ""expert_compliance"": {""expert_A"": ""Fully supported"", ""expert_B"": ""Unsupported"", ""expert_C"": ""Fully supported""}, ""audit_evidence"": ""Digital technologies for KR are not clearly identified as being used for capture/retention.""}, {""question_id"": 3, ""expert_compliance"": {""expert_A"": ""Fully supported"", ""expert_B"": ""Fully supported"", ""expert_C"": ""Fully supported""}, ""audit_evidence"": ""Based on the methodology described, the paper is categorized as Empirical Study.""}], ""audit_results"": {""expert_A_audit_result"": ""Fully Support"", ""expert_B_audit_result"": ""Not Support"", ""expert_C_audit_result"": ""Partial Support""}}"
0de139df-102b-420a-8fd1-2c0fde228265,Smartread: A Multimodal Ereading Platform Integrating Computing And Gamification To Enhance Student Engagement And Knowledge Retention,"{""uuid"": ""0de139df-102b-420a-8fd1-2c0fde228265"", ""Title"": ""Smartread: A Multimodal Ereading Platform Integrating Computing And Gamification To Enhance Student Engagement And Knowledge Retention"", ""audit_processes"": [{""question_id"": 1, ""expert_compliance"": {""expert_A"": ""Unsupported"", ""expert_B"": ""Fully supported"", ""expert_C"": ""Unsupported""}, ""audit_evidence"": ""The abstract explicitly discuss capturing or retaining knowledge.""}, {""question_id"": 2, ""expert_compliance"": {""expert_A"": ""Unsupported"", ""expert_B"": ""Fully supported"", ""expert_C"": ""Unsupported""}, ""audit_evidence"": ""Digital technologies for KR are identified as being used for capture/retention.""}, {""question_id"": 3, ""expert_compliance"": {""expert_A"": ""Fully supported"", ""expert_B"": ""Fully supported"", ""expert_C"": ""Fully supported""}, ""audit_evidence"": ""Based on the methodology described, the paper is categorized as Empirical Study.""}], ""audit_results"": {""expert_A_audit_result"": ""Not Support"", ""expert_B_audit_result"": ""Fully Support"", ""expert_C_audit_result"": ""Not Support""}}"
a742306b-9f4c-45ef-ae6a-2de4d5a5367f,Cyber-Xai-Block: An End-To-End Cyber Threat Detection & Fl-Based Risk Assessment Framework For Iot Enabled Smart Organization Using Xai And Blockchain Technologies,"{""uuid"": ""a742306b-9f4c-45ef-ae6a-2de4d5a5367f"", ""Title"": ""Cyber-Xai-Block: An End-To-End Cyber Threat Detection & Fl-Based Risk Assessment Framework For Iot Enabled Smart Organization Using Xai And Blockchain Technologies"", ""audit_processes"": [{""question_id"": 1, ""expert_compliance"": {""expert_A"": ""Fully supported"", ""expert_B"": ""Fully supported"", ""expert_C"": ""Unsupported""}, ""audit_evidence"": ""The abstract does not explicitly discuss capturing or retaining knowledge.""}, {""question_id"": 2, ""expert_compliance"": {""expert_A"": ""Unsupported"", ""expert_B"": ""Fully supported"", ""expert_C"": ""Unsupported""}, ""audit_evidence"": ""Digital technologies for KR are not clearly identified as being used for capture/retention.""}, {""question_id"": 3, ""expert_compliance"": {""expert_A"": ""Unsupported"", ""expert_B"": ""Unsupported"", ""expert_C"": ""Unsupported""}, ""audit_evidence"": ""Based on the methodology described, the paper is categorized as Theoretical/Conceptual.""}], ""audit_results"": {""expert_A_audit_result"": ""Not Support"", ""expert_B_audit_result"": ""Partial Support"", ""expert_C_audit_result"": ""Not Support""}}"
e4813f1b-9c09-41ac-aa65-d09a479126b5,Data-Driven Knowledge Management Frameworks For Effective Risk And Crisis Management: A Cross-Industry Approach,"{""uuid"": ""e4813f1b-9c09-41ac-aa65-d09a479126b5"", ""Title"": ""Data-Driven Knowledge Management Frameworks For Effective Risk And Crisis Management: A Cross-Industry Approach"", ""audit_processes"": [{""question_id"": 1, ""expert_compliance"": {""expert_A"": ""Fully supported"", ""expert_B"": ""Fully supported"", ""expert_C"": ""Fully supported""}, ""audit_evidence"": ""The abstract explicitly discuss capturing or retaining knowledge.""}, {""question_id"": 2, ""expert_compliance"": {""expert_A"": ""Fully supported"", ""expert_B"": ""Fully supported"", ""expert_C"": ""Fully supported""}, ""audit_evidence"": ""Digital technologies for KR are identified as being used for capture/retention.""}, {""question_id"": 3, ""expert_compliance"": {""expert_A"": ""Unsupported"", ""expert_B"": ""Unsupported"", ""expert_C"": ""Unsupported""}, ""audit_evidence"": ""Based on the methodology described, the paper is categorized as Theoretical/Conceptual.""}], ""audit_results"": {""expert_A_audit_result"": ""Partial Support"", ""expert_B_audit_result"": ""Partial Support"", ""expert_C_audit_result"": ""Partial Support""}}"
24d3a363-6d5e-4f94-9b9b-bc1496d6efc8,Large Language Model Based System With Causal Inference And Chain-Of-Thoughts Reasoning For Traffic Scene Risk Assessment,"{""uuid"": ""24d3a363-6d5e-4f94-9b9b-bc1496d6efc8"", ""Title"": ""Large Language Model Based System With Causal Inference And Chain-Of-Thoughts Reasoning For Traffic Scene Risk Assessment"", ""audit_processes"": [{""question_id"": 1, ""expert_compliance"": {""expert_A"": ""Fully supported"", ""expert_B"": ""Fully supported"", ""expert_C"": ""Unsupported""}, ""audit_evidence"": ""The abstract does not explicitly discuss capturing or retaining knowledge.""}, {""question_id"": 2, ""expert_compliance"": {""expert_A"": ""Unsupported"", ""expert_B"": ""Fully supported"", ""expert_C"": ""Unsupported""}, ""audit_evidence"": ""Digital technologies for KR are not clearly identified as being used for capture/retention.""}, {""question_id"": 3, ""expert_compliance"": {""expert_A"": ""Fully supported"", ""expert_B"": ""Fully supported"", ""expert_C"": ""Fully supported""}, ""audit_evidence"": ""Based on the methodology described, the paper is categorized as Empirical Study.""}], ""audit_results"": {""expert_A_audit_result"": ""Partial Support"", ""expert_B_audit_result"": ""Fully Support"", ""expert_C_audit_result"": ""Not Support""}}"
19a16946-fde5-465b-a2b9-6d6f25d046b4,Systemic Dynamics Of Knowledge Sharing And Digital Transformation: Evidence From Bhutanese Mses,"{""uuid"": ""19a16946-fde5-465b-a2b9-6d6f25d046b4"", ""Title"": ""Systemic Dynamics Of Knowledge Sharing And Digital Transformation: Evidence From Bhutanese Mses"", ""audit_processes"": [{""question_id"": 1, ""expert_compliance"": {""expert_A"": ""Unsupported"", ""expert_B"": ""Fully supported"", ""expert_C"": ""Fully supported""}, ""audit_evidence"": ""The abstract does not explicitly discuss capturing or retaining knowledge.""}, {""question_id"": 2, ""expert_compliance"": {""expert_A"": ""Unsupported"", ""expert_B"": ""Fully supported"", ""expert_C"": ""Fully supported""}, ""audit_evidence"": ""Digital technologies for KR are not clearly identified as being used for capture/retention.""}, {""question_id"": 3, ""expert_compliance"": {""expert_A"": ""Fully supported"", ""expert_B"": ""Fully supported"", ""expert_C"": ""Fully supported""}, ""audit_evidence"": ""Based on the methodology described, the paper is categorized as Empirical Study.""}], ""audit_results"": {""expert_A_audit_result"": ""Not Support"", ""expert_B_audit_result"": ""Fully Support"", ""expert_C_audit_result"": ""Fully Support""}}"
546e0db4-4a47-4fae-b8a4-3fad601e9233,Application Research On Artificial Intelligence-Empowered Library Service Model,"{""uuid"": ""546e0db4-4a47-4fae-b8a4-3fad601e9233"", ""Title"": ""Application Research On Artificial Intelligence-Empowered Library Service Model"", ""audit_processes"": [{""question_id"": 1, ""expert_compliance"": {""expert_A"": ""Unsupported"", ""expert_B"": ""Unsupported"", ""expert_C"": ""Fully supported""}, ""audit_evidence"": ""The abstract does not explicitly discuss capturing or retaining knowledge.""}, {""question_id"": 2, ""expert_compliance"": {""expert_A"": ""Unsupported"", ""expert_B"": ""Unsupported"", ""expert_C"": ""Fully supported""}, ""audit_evidence"": ""Digital technologies for KR are not clearly identified as being used for capture/retention.""}, {""question_id"": 3, ""expert_compliance"": {""expert_A"": ""Unsupported"", ""expert_B"": ""Unsupported"", ""expert_C"": ""Unsupported""}, ""audit_evidence"": ""Based on the methodology described, the paper is categorized as Theoretical/Conceptual.""}], ""audit_results"": {""expert_A_audit_result"": ""Not Support"", ""expert_B_audit_result"": ""Not Support"", ""expert_C_audit_result"": ""Partial Support""}}"
77baa740-356b-47f9-b7b2-9af2406056de,Generative Artificial Intelligence Empowers The Research Of Digital Textbooks In Vocational Education,"{""uuid"": ""77baa740-356b-47f9-b7b2-9af2406056de"", ""Title"": ""Generative Artificial Intelligence Empowers The Research Of Digital Textbooks In Vocational Education"", ""audit_processes"": [{""question_id"": 1, ""expert_compliance"": {""expert_A"": ""Unsupported"", ""expert_B"": ""Fully supported"", ""expert_C"": ""Fully supported""}, ""audit_evidence"": ""The abstract does not explicitly discuss capturing or retaining knowledge.""}, {""question_id"": 2, ""expert_compliance"": {""expert_A"": ""Unsupported"", ""expert_B"": ""Fully supported"", ""expert_C"": ""Fully supported""}, ""audit_evidence"": ""Digital technologies for KR are not clearly identified as being used for capture/retention.""}, {""question_id"": 3, ""expert_compliance"": {""expert_A"": ""Unsupported"", ""expert_B"": ""Unsupported"", ""expert_C"": ""Unsupported""}, ""audit_evidence"": ""Based on the methodology described, the paper is categorized as Theoretical/Conceptual.""}], ""audit_results"": {""expert_A_audit_result"": ""Not Support"", ""expert_B_audit_result"": ""Partial Support"", ""expert_C_audit_result"": ""Partial Support""}}"
aac76a34-cb38-4447-9aa3-cd9d44fe1dd7,Redefining Work In The Supply Chain: Combining Digital Technologies And Knowledge Sharing For A Smart Working Environment,"{""uuid"": ""aac76a34-cb38-4447-9aa3-cd9d44fe1dd7"", ""Title"": ""Redefining Work In The Supply Chain: Combining Digital Technologies And Knowledge Sharing For A Smart Working Environment"", ""audit_processes"": [{""question_id"": 1, ""expert_compliance"": {""expert_A"": ""Fully supported"", ""expert_B"": ""Unsupported"", ""expert_C"": ""Fully supported""}, ""audit_evidence"": ""The abstract does not explicitly discuss capturing or retaining knowledge.""}, {""question_id"": 2, ""expert_compliance"": {""expert_A"": ""Fully supported"", ""expert_B"": ""Unsupported"", ""expert_C"": ""Fully supported""}, ""audit_evidence"": ""Digital technologies for KR are not clearly identified as being used for capture/retention.""}, {""question_id"": 3, ""expert_compliance"": {""expert_A"": ""Unsupported"", ""expert_B"": ""Unsupported"", ""expert_C"": ""Unsupported""}, ""audit_evidence"": ""Based on the methodology described, the paper is categorized as Case Study.""}], ""audit_results"": {""expert_A_audit_result"": ""Partial Support"", ""expert_B_audit_result"": ""Not Support"", ""expert_C_audit_result"": ""Partial Support""}}"
f7204db1-bdc9-4b5d-9c23-1c38041a0f2b,Enhancing Supply Chain Innovation Via Generative Ai: Mediating Effects Of Knowledge Sharing And Supply Chain Learning,"{""uuid"": ""f7204db1-bdc9-4b5d-9c23-1c38041a0f2b"", ""Title"": ""Enhancing Supply Chain Innovation Via Generative Ai: Mediating Effects Of Knowledge Sharing And Supply Chain Learning"", ""audit_processes"": [{""question_id"": 1, ""expert_compliance"": {""expert_A"": ""Unsupported"", ""expert_B"": ""Unsupported"", ""expert_C"": ""Fully supported""}, ""audit_evidence"": ""The abstract does not explicitly discuss capturing or retaining knowledge.""}, {""question_id"": 2, ""expert_compliance"": {""expert_A"": ""Unsupported"", ""expert_B"": ""Fully supported"", ""expert_C"": ""Fully supported""}, ""audit_evidence"": ""Digital technologies for KR are not clearly identified as being used for capture/retention.""}, {""question_id"": 3, ""expert_compliance"": {""expert_A"": ""Fully supported"", ""expert_B"": ""Fully supported"", ""expert_C"": ""Fully supported""}, ""audit_evidence"": ""Based on the methodology described, the paper is categorized as Empirical Study.""}], ""audit_results"": {""expert_A_audit_result"": ""Not Support"", ""expert_B_audit_result"": ""Partial Support"", ""expert_C_audit_result"": ""Fully Support""}}"
