sub_category_id,sub_category,node_id,node_name,evidence_statement,adjust_sub_category_id,adjust_sub_category
"KL11","Ambiguous Knowledge Learner(*)","c102M01N11","Robot","The robot acquires skills, learns execution policies, and adjusts operations based on human intentions.","KL11","Ambiguous Knowledge Learner(*)"
"KL11","Ambiguous Knowledge Learner(*)","c102M02N20","Humans","humans can further refine and optimize robot behaviors through step-by-step thinking","KL11","Ambiguous Knowledge Learner(*)"
"KL11","Ambiguous Knowledge Learner(*)","c103M01N40","trained DRLDCC-ELM handwork-recognition model","The trained model recognized 13 classes and reached 89.04 percent average F1.","KL11","Ambiguous Knowledge Learner(*)"
"KL11","Ambiguous Knowledge Learner(*)","c103M01N41","trained transformer handwork-baseline model","The trained baseline recognized 13 classes and reached 66.93 percent average F1.","KL11","Ambiguous Knowledge Learner(*)"
"KL10","Knowledge Review and Validation Learners","c103M02N23","Researchers","The authors propose a novel modeling method for handwork recognition using body-conducted sounds.","KL10","Knowledge Review and Validation Learners"
"KL01","Formal Higher-Education Learners","c104M01N08","participants","Forty participants completed all experimental phases and were assigned evenly to the MAR and paper groups.","KL01","Formal Higher-Education Learners"
"KL03","Novice and Early-Career Workforce Learners","c105M01N17","Newer employees","Newer employees may struggle to acquire the knowledge needed to handle unforeseen challenges.","KL03","Novice and Early-Career Workforce Learners"
"KL02","Structured Occupational Trainees","c105M02N16","Trainees","apprentice directly teaches an apprentice the skills needed","KL02","Structured Occupational Trainees"
"KL11","Ambiguous Knowledge Learner(*)","c105M02N17","Foreign employees","broader group of potential employees, including foreign or less-qualified employees","KL11","Ambiguous Knowledge Learner(*)"
"KL11","Ambiguous Knowledge Learner(*)","c105M02N18","Less-qualified employees","broader group of potential employees, including foreign or less-qualified employees","KL11","Ambiguous Knowledge Learner(*)"
"KL02","Structured Occupational Trainees","c106M01N11","Confirmation Group (G1)","Seven company workers formed the group trained with the company comparison approach supported by VM.","KL02","Structured Occupational Trainees"
"KL02","Structured Occupational Trainees","c106M01N12","Test Group (G2)","Seven company workers formed the group trained with the VMAR module.","KL02","Structured Occupational Trainees"
"KL02","Structured Occupational Trainees","c106M02N03","Company Workers / Operators","The experiment involved 14 workers, 7 for each group. The participants are company workers who have to manage and maintain a variety of complex machinery and equipment.","KL02","Structured Occupational Trainees"
"KL02","Structured Occupational Trainees","c107M01N11","first-year industrial mechanics apprentices","Fifteen trainees from two first-year industrial-mechanic classes participated and were divided into three groups.","KL02","Structured Occupational Trainees"
"KL02","Structured Occupational Trainees","c107M02N15","Vocational school trainees","the training of industrial-technical professions... such as industrial mechanic or mechatronics technician","KL02","Structured Occupational Trainees"
"KL11","Ambiguous Knowledge Learner(*)","c107M02N16","Students","the use of AR technologies in education or teaching has already been widely researched","KL11","Ambiguous Knowledge Learner(*)"
"KL10","Knowledge Review and Validation Learners","c108M01N28","research team analyzing complete anonymized interview restitutions","Complete interviews were transmitted only to the research team, which analyzed the expert-knowledge restitution.","KL10","Knowledge Review and Validation Learners"
"KL10","Knowledge Review and Validation Learners","c108M02N07","Knowledge elicitation analysts","The analyst is often unfamiliar with the expert's domain. A gap can then arise between the expert's knowledge and that transcribed knowledge due to a misunderstanding of the expert's statements.","KL10","Knowledge Review and Validation Learners"
"KL04","Experienced Practitioner Upskilling Learners","c108M02N08","Corporate IT system implementers","The IT personnel will be responsible for connecting the solution to the digital information system, implementing the final model, and developing different services to exploit it, which facilitates the integration of the digital transition process.","KL04","Experienced Practitioner Upskilling Learners"
"KL09","Project and Organizational Collective Learners","c109M01N06","manufacturing SME team members","Tacit-information sharing enables team members to acquire practical skills, unique experiences, and specialized techniques.","KL09","Project and Organizational Collective Learners"
"KL09","Project and Organizational Collective Learners","c109M02N13","Workforce","""businesses could foster a workforce that is inclined to innovate by investing in green human capital development programs that enable the sharing and understanding of tacit knowledge""","KL09","Project and Organizational Collective Learners"
"KL01","Formal Higher-Education Learners","c110M01N09","current students","Current students used the chatbot in English and Spanish and evaluated its learning support.","KL01","Formal Higher-Education Learners"
"KL10","Knowledge Review and Validation Learners","c110M01N10","alumni","Alumni described their earlier manual-search and consultation practices and evaluated the potential role of the chatbot.","KL10","Knowledge Review and Validation Learners"
"KL04","Experienced Practitioner Upskilling Learners","c111M01N01","controllers","The study examines how controllers acquire knowledge on AI-related topics and which channels they use.","KL04","Experienced Practitioner Upskilling Learners"
"KL04","Experienced Practitioner Upskilling Learners","c111M02N22","Employees","Lack of know-how about AI technologies in the department","KL04","Experienced Practitioner Upskilling Learners"
"KL01","Formal Higher-Education Learners","c113M01N08","students","All thirteen participants were students.","KL01","Formal Higher-Education Learners"
"KL01","Formal Higher-Education Learners","c113M01N09","users in the traditional AR group","Four participants were assigned to the traditional AR group.","KL01","Formal Higher-Education Learners"
"KL01","Formal Higher-Education Learners","c113M01N11","users in the paper-based document group","Four participants were assigned to the paper-based document group.","KL01","Formal Higher-Education Learners"
"KL02","Structured Occupational Trainees","c113M02N17","Trainee learners","trainees who used the enhanced AR training systems statistically outperformed those in the paper-based group for long term retention test","KL02","Structured Occupational Trainees"
"KL09","Project and Organizational Collective Learners","c114M01N08","Chinese A-share listed enterprises conducting digital technology innovation","The empirical study examines Chinese A-share listed enterprises conducting digital technology innovation and their acquisition of external knowledge through network embedding.","KL09","Project and Organizational Collective Learners"
"KL09","Project and Organizational Collective Learners","c114M02N04","Firms","enterprises should actively embed into digital technology innovation networks to maximize access to external digital technology knowledge resources through organizational cooperation","KL09","Project and Organizational Collective Learners"
"KL09","Project and Organizational Collective Learners","c115M02N24","Organizational members","""Digital strategies enable firms to use digital technologies to establish an atmosphere for all organizational members to pursue the latest knowledge actively""","KL09","Project and Organizational Collective Learners"
"KL10","Knowledge Review and Validation Learners","c117M01N19","cross-functional NPD teams","Internal tools assemble cross-functional teams that co-develop and validate shortlisted ideas.","KL10","Knowledge Review and Validation Learners"
"KL10","Knowledge Review and Validation Learners","c117M02N13","R&D experts","External ideas submitted through platforms like Idea-Point and technical collaboration tools are evaluated by our R&D experts","KL10","Knowledge Review and Validation Learners"
"KL11","Ambiguous Knowledge Learner(*)","c119M01N42","Pepper humanoid robot","Pepper explored the environment, analyzed encountered objects, and applied the combined approach to suggest an available object.","KL11","Ambiguous Knowledge Learner(*)"
"KL11","Ambiguous Knowledge Learner(*)","c120M02N11","SPRM","...the effective SPRM is trained by the ELM...","KL11","Ambiguous Knowledge Learner(*)"
"KL11","Ambiguous Knowledge Learner(*)","c121M02N31","Knowledge Learner","Organizations need to develop generative capability to address the question of knowledge acquisition, inheritance, and updating.","KL11","Ambiguous Knowledge Learner(*)"
"KL09","Project and Organizational Collective Learners","c122M01N19","employees","The model examines employees' knowledge sharing, acquisition, and application in Metaverse-enabled environments.","KL09","Project and Organizational Collective Learners"
"KL09","Project and Organizational Collective Learners","c122M01N20","team","Teams use knowledge acquired in the Metaverse to avoid recurring mistakes or operational inefficiencies.","KL09","Project and Organizational Collective Learners"
"KL09","Project and Organizational Collective Learners","c124M01N26","mechanical-maintenance organizations with greater absorptive capacity","Organizations with greater absorptive capacity were found to translate digital knowledge into enhanced maintenance practices, more accurate fault interpretation, and quick recovery plans.","KL09","Project and Organizational Collective Learners"
"KL04","Experienced Practitioner Upskilling Learners","c125M01N17","small manufacturing business owners","Small manufacturing business owners attended the experiential-learning workshop and were surveyed about its impact.","KL04","Experienced Practitioner Upskilling Learners"
"KL02","Structured Occupational Trainees","c125M01N18","shop floor workers","Shop floor workers participated in the workshop and were intended to gain skills for deploying solutions.","KL02","Structured Occupational Trainees"
"KL01","Formal Higher-Education Learners","c125M01N19","engineering students","Engineering students attended the hands-on experiential-learning workshop and were surveyed about its impact.","KL01","Formal Higher-Education Learners"
"KL04","Experienced Practitioner Upskilling Learners","c126M01N12","workforce implementing and working with blockchain","The workforce gains the knowledge and skills needed to implement and work with BT.","KL04","Experienced Practitioner Upskilling Learners"
"KL04","Experienced Practitioner Upskilling Learners","c126M02N16","Employees","Internal knowledge integration captures how firms ensure the workforce gains the necessary knowledge and skills to implement and work with BT","KL04","Experienced Practitioner Upskilling Learners"
