"node_id","node_name","category","evidence_label","case_title","evidence_statement","object_definition","evidence_location","sub_category_id","sub_category"
"c101M01N09","Locally deployed AI-enhanced video-based learning","Technology-enable Practice","E","Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study","To evaluate the educational impact and cost efficiency of locally deployed AI-enhanced lecture videos compared with standard faculty-recorded videos","A digital training framework leveraging on-premise generative AI tools to refine visual assets.","PAGE 1, Line 9","TP09","Asynchronous E-Learning & Digital Media Learning"
"c101M02N16","AI-enhanced video production workflow","Technology-enable Practice","E","Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study","AI processing performed on still frames: masking, inpainting using FLUX models, frame assembly in DaVinci Resolve.","Digital process for background enhancement while preserving presenter.","Page 3-4, AI-Enhanced video production","TP09","Asynchronous E-Learning & Digital Media Learning"
"c101M02N17","Standard video editing (DaVinci Resolve)","Technology-enable Practice","E","Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study","Basic editing including trimming silences, removing pauses, color adjustment, and overlay of illustrations using DaVinci Resolve.","Conventional editing applied to both conditions.","Page 3, Video production – Standard video production","TP09","Asynchronous E-Learning & Digital Media Learning"
"c102M01N08","The Wonderful Journey Based on Baduanjin (TWJB) system","Technology-enable Practice","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Baduanjin-based somatosensory training","This study presents The Wonderful Journey Based on Baduanjin (TWJB), a gamified virtual rehabilitation system that integrates somatosensory interaction.","The newly introduced gamified multi-layered virtual rehabilitation system environment.","PAGE 1, PAGE 3","TP10","Gamified Training & Serious Games"
"c102M02N22","TWJB system (gamified virtual rehabilitation system)","Technology-enable Practice","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Baduanjin-based somatosensory training","The Wonderful Journey Based on Budaunjin (TWJB), a gamified virtual rehabilitation system that integrates somatosensory interaction with the traditional Chinese exercise Budaunjin","Integrated platform with embodied narrative scenarios, avatar-guided mechanisms, real-time motion capture, dynamic feedback, and interactive knowledge cards","Abstract, Section 3","TP10","Gamified Training & Serious Games"
"c102M02N23","Real-time motion capture and feedback module","Technology-enable Practice","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Baduanjin-based somatosensory training","The system captures and evaluates user performance in real time, offering visual comparison with Liu Miaozhen's demonstration and auditory feedback to ensure movement accuracy","Component that tracks skeletal data, evaluates via DTW, and delivers multimodal corrections","Section 3.2.3","TP03","Real-Time Assistive Integration & Guidance"
"c102M02N24","Gamified knowledge cards collection","Technology-enable Practice","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Baduanjin-based somatosensory training","Each time the user completes the correct movement, a virtual card will be collected, and these cards not only provide relevant knowledge, but also motivate the user to continue","Interactive mechanism where users unlock digital cards containing cultural and health information after each correct movement","Section 3.2.1, 3.2.4","TP10","Gamified Training & Serious Games"
"c102M02N25","Knowledge quiz game","Technology-enable Practice","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Baduanjin-based somatosensory training","A knowledge quiz session allows users to answer Baduanjin-related questions to test and reinforce their understanding. Correct answers are rewarded with extra points and virtual prizes","Gamified assessment where users place collected cards into appropriate positions or answer multiple-choice questions","Section 3.2.4","TP10","Gamified Training & Serious Games"
"c103M01N14","Game-based Theoretical Training Sessions","Technology-enable Practice","E","Game-based learning as training to use a chemotherapy preparation robot","We created a short, playful, standardized, gamed-based training program to address this, and evaluated its impact.","A structured classroom training format containing three focused conceptual games.","Page 1, Page 2","TP10","Gamified Training & Serious Games"
"c103M01N15","Practical Training via Adapted Peyton Approach","Technology-enable Practice","E","Game-based learning as training to use a chemotherapy preparation robot","Using an adapted version of the Peyton approach, the trainer became the trainee, and the trainee became the trainer","A cleanroom-bound interactive learning framework leveraging role reversal and verbalized narration.","Page 2, Page 3","TP10","Gamified Training & Serious Games"
"c103M01N16","Preparatory Work and Digital Mind Map Introduction","Technology-enable Practice","I","Game-based learning as training to use a chemotherapy preparation robot","For the introduction, a mind map representing the training program's goals and the process for using the robot was created on Framindmap®.","Pre-class preparation sequence matching individual video watching with digital graphic overviews.","Page 2","TP09","Asynchronous E-Learning & Digital Media Learning"
"c103M02N23","Card ordering game","Technology-enable Practice","E","Game-based learning as training to use a chemotherapy preparation robot","For 'Knowing the manufacturing steps,' cards with the steps were placed in the correct order.","A game where physical cards listing the 16 steps must be arranged sequentially.","Page 2, 'Knowing the manufacturing steps'","TP10","Gamified Training & Serious Games"
"c103M02N24","Pokémon-like card game","Technology-enable Practice","E","Game-based learning as training to use a chemotherapy preparation robot","Fake Pokémon like cards presenting a compound and its specificities were used. One team picked a card and read out the information; the other team guessed whether the compound could be used with the robot.","A card game where teams infer robot compatibility based on compound properties.","Page 2, 'Knowing the criteria for using the robot'","TP10","Gamified Training & Serious Games"
"c103M02N25","Who Wants to Be a Millionaire? game","Technology-enable Practice","E","Game-based learning as training to use a chemotherapy preparation robot","We created a game inspired by the TV show 'Who Wants to Be a Millionaire?' incorporating six problematic real-life situations. Each problem had four potential answers.","A quiz game format presenting error scenarios with multiple-choice answers.","Page 2, 'Knowing how to handle production errors'","TP10","Gamified Training & Serious Games"
"c103M02N27","Preparatory work (video + procedures reading)","Technology-enable Practice","E","Game-based learning as training to use a chemotherapy preparation robot","Participants read the institution's internal procedures about working with the robot and watched a video about the robot, at least 1 week before the training program.","Self-study component before the face-to-face session.","Page 2, 'preparatory work'","TP09","Asynchronous E-Learning & Digital Media Learning"
"c103M02N28","Mind map introduction (Framindmap)","Technology-enable Practice","E","Game-based learning as training to use a chemotherapy preparation robot","A mind map representing the training program's goals and the process for using the robot was created on Framindmap.","Visual hierarchical map used to introduce the training structure.","Page 2, 'introduction'","TP09","Asynchronous E-Learning & Digital Media Learning"
"c104M01N08","AI-assisted education using physician voice cloning","Technology-enable Practice","E","Effectiveness Of Al-Assisted Patient Health Education Using Voice Cloning And Chatgpt: Prospective Randomized Controlled Trial","Participants were randomly assigned to receive Al-assisted education using physician voice cloning.","Audio education program delivering personalized text via cloned clinician voices.","Page 1, Page 4","TP11","Synthetic Media & Voice Personalization Practices"
"c104M01N10","ChatGPT-based automated evaluation","Technology-enable Practice","E","Effectiveness Of Al-Assisted Patient Health Education Using Voice Cloning And Chatgpt: Prospective Randomized Controlled Trial","The primary outcome was education content compliance, evaluated using ChatGPT-4 with validated prompts.","Automated semantic similarity checking comparing spoken audio or transcriptions against master rubrics.","Page 1, Page 5","TP05","Intelligent Semantic & Rule Codification"
"c104M02N10","Physician voice cloning education practice","Technology-enable Practice","E","Effectiveness Of Al-Assisted Patient Health Education Using Voice Cloning And Chatgpt: Prospective Randomized Controlled Trial","The physician voice cloning education group (intervention group 1) received patient education through cloning of the attending physician's voice.","AI‑assisted delivery of personalised education using a synthetic voice modelled on the attending physician.","Page 4, Attending Physician Voice Cloning Education Group","TP11","Synthetic Media & Voice Personalization Practices"
"c104M02N13","iFlytek ASR transcription practice (validation)","Technology-enable Practice","E","Effectiveness Of Al-Assisted Patient Health Education Using Voice Cloning And Chatgpt: Prospective Randomized Controlled Trial","Phase 1 (verbatim-matching workflow) used iFlytek automatic speech recognition (Mandarin medical context; no manual correction) to transcribe each participant's recitation.","Transcription‑based scoring using speech‑to‑text, used only in the validation phase, not in the main RCT.","Page 4, Independent Tool Validation Study","TP05","Intelligent Semantic & Rule Codification"
"c105M01N07","PEAK-PT e-learning course","Technology-enable Practice","E","Removing A Blindfold': Perspectives Of Physical Therapists After Completing The Peak-Portuguese E-Learning Course","The Portuguese adaptation (PEAK-PT) has not been evaluated yet. This study explored the facilitators and barriers reported by physical therapists after completing the PEAK-PT e-learning course.","An evidence-based online digital training program adapted into Portuguese to optimize clinical practice for knee osteoarthritis.","PAGE 1","TP09","Asynchronous E-Learning & Digital Media Learning"
"c105M02N18","Semi-structured interviews","Technology-enable Practice","E","Removing A Blindfold': Perspectives Of Physical Therapists After Completing The Peak-Portuguese E-Learning Course","Individual semi-structured interviews were conducted via video conference (Google Meets)","Digital data collection method using guided questions and follow-up prompts","Page 3","TP07","Digital Operations Monitoring & User Interfaces"
"c106M01N15","10 Exploratory Digital Game-Related Sessions","Technology-enable Practice","E","Assessing Older Adults' Perspectives On Digital Game-Related Strategies To Foster Active And Healthy Ageing","Through 10 exploratory digital gaming-related sessions...participants were introduced to game-related strategies","Structured intervention workflow leveraging digital applications for instruction","PAGE 1, Line 15","TP10","Gamified Training & Serious Games"
"c106M01N16","miOne Online Community","Technology-enable Practice","E","Assessing Older Adults' Perspectives On Digital Game-Related Strategies To Foster Active And Healthy Ageing","therefore, participants had to access/join the miOne online community","Web portal hosting collaborative quiz modules and forum interactions","PAGE 5, Line 143","TP09","Asynchronous E-Learning & Digital Media Learning"
"c107M01N10","3D visualization digital model interactive training","Technology-enable Practice","E","From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection","The 3DV group learned with a 3D visualization model, interacting with the digital model on a computer.","Not mentioned","Page 4","TP01","Immersive Virtual Training Environments"
"c107M01N11","3D printing physical model interactive training","Technology-enable Practice","E","From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection","The 3DP group used a 3DP model featuring transparent, hollow sublobar boundaries and safe margin, with no lung parenchyma.","Not mentioned","Page 4","TP01","Immersive Virtual Training Environments"
"c107M02N20","3DV model teaching","Technology-enable Practice","E","From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection","The 3DV group learned with a 3D visualization model, interacting with the digital model on a computer.","Teaching method using interactive 3D digital model on a computer.","Page 3, Teaching intervention","TP01","Immersive Virtual Training Environments"
"c108M01N06","Ecare-COPD MOOC","Technology-enable Practice","E","Effectiveness Of M-Learning In Enhancing Knowledge Retention For Nurses' Lifelong Learning: Quasi-Experimental Study","This study included a training program available in MOOC format, called self-management of COPD (Ecare-COPD).","An asynchronous digital learning program structured into 13 modules hosted on the NAU infrastructure.","Page 3, Intervention","TP09","Asynchronous E-Learning & Digital Media Learning"
"c108M02N19","Virtual clinical simulation (Body Interact module)","Technology-enable Practice","E","Effectiveness Of M-Learning In Enhancing Knowledge Retention For Nurses' Lifelong Learning: Quasi-Experimental Study","Module 13…each participant was able to practice clinical decision‑making through four clinical scenarios using the Body Interact virtual patient simulator","Not mentioned","Page 3, Intervention","TP01","Immersive Virtual Training Environments"
"c108M02N20","Knowledge pre- and post-test assessment","Technology-enable Practice","E","Effectiveness Of M-Learning In Enhancing Knowledge Retention For Nurses' Lifelong Learning: Quasi-Experimental Study","Knowledge assessment was performed through an initial knowledge assessment…at the end of each module","Not mentioned","Page 3, Data Collection","TP02","Experiential & Cognitive Skill Evaluation"
"c109M01N06","AR-based health education workshop","Technology-enable Practice","E","The Interactive Use Of Augmented Reality For Educating The Elderly On Common Age-Related Eye Disease","This study aims to assess the effectiveness of educating the elderly about common age-related eye disorders through a novel AR-based health education workshop.","An interactive pedagogical intervention combining text briefings, AR emulations, and physical tasks.","Page 1, Line 13","TP03","Real-Time Assistive Integration & Guidance"
"c109M01N07","AR mobile application","Technology-enable Practice","E","The Interactive Use Of Augmented Reality For Educating The Elderly On Common Age-Related Eye Disease","The AR mobile application, which was developed by the authors, adopts the optical see-through (OST) display technology.","Proprietary software that renders progressive visual defect stages over real environments.","Page 2, Line 68","TP03","Real-Time Assistive Integration & Guidance"
