"node_id","node_name","category","evidence_label","case_title","evidence_statement","object_definition","evidence_location","sub_category_id","sub_category"
"c201M01N26","Pay-per-use API budget","Organizational Dependency","E","Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn","The only direct operational cost is the pay-per-use API for the intelligence layer.","The financial resource overhead allocation needed by SMEs to maintain model endpoint query access.","Page 3","OD05","Operational Resource Allocation & Dedicated Timeline Provisions"
"c201M02N26","Presence of experienced staff","Organizational Dependency","I","Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn","SMEs rely on agile, experience-based workflows ... when veteran staff retire or switch jobs, this undocumented expertise departs","The traditional workflow depends on veteran employees being present","Section 1.1","OD07","Expert Participation Frameworks & Succession Structures"
"c202M01N17","High computational power of devices","Organizational Dependency","I","Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology","The higher computational power of devices will enhance the performance of the AR tracking.","Internal computing asset base required to prevent visual distortion during operations.","PAGE 15, Line 669","OD05","Operational Resource Allocation & Dedicated Timeline Provisions"
"c203M01N16","Absorptive capacity of supply chain actors","Organizational Dependency","E","Digital Technologies And Circular Economy Capabilities: Exploring The Roles Of Supply Chain Knowledge Development Processes And Environmental Uncertainty","It suggests that the transformative potential of digitalization in the CE context is contingent upon the absorptive capacity of supply chain actors.","The internal baseline ability of human actors to recognize, assimilate, and apply new knowledge","Page 17, Line 408","OD07","Expert Participation Frameworks & Succession Structures"
"c203M01N17","Embedding knowledge development as a core function","Organizational Dependency","E","Digital Technologies And Circular Economy Capabilities: Exploring The Roles Of Supply Chain Knowledge Development Processes And Environmental Uncertainty","Through a managerial lens, our findings highlight the need to embed knowledge development as a core function in digital transformation roadmaps.","Integrating strategic knowledge management and learning into corporate governance frameworks","Page 17, Line 424","OD02","Strategic Leadership Advocacy & Technical Championship"
"c203M02N13","Corporate culture / sustainability mindset","Organizational Dependency","I","Digital Technologies And Circular Economy Capabilities: Exploring The Roles Of Supply Chain Knowledge Development Processes And Environmental Uncertainty","'absence of a deeply embedded sustainability mindset' as a barrier (p.19)","Shared values and beliefs that support CE and knowledge sharing.","p.19","OD04","Intrinsic Identity & Cultural Knowledge-Sharing Values"
"c204M01N16","Trust and Relational Deepening","Organizational Dependency","I","A Hybrid Cooperative Game And Shapley Value Approach For Knowledge Sharing And Profit Allocation In Technology Supply Chain Strategic Alliance","Cooperation levels escalate over time, reflecting trust and relational deepening which amplifies added value.","The evolving socio-relational alignment required to prevent trust depreciation.","Page 9, Source 393","OD01","Interpersonal Trust & Psychological Safety Climate"
"c204M01N17","Digital Maturity","Organizational Dependency","E","A Hybrid Cooperative Game And Shapley Value Approach For Knowledge Sharing And Profit Allocation In Technology Supply Chain Strategic Alliance","Operational overhead may limit the model's immediate deployment in firms with low digital maturity.","The baseline technological infrastructure and capability of an enterprise to process data.","Page 14, Source 673","OD05","Operational Resource Allocation & Dedicated Timeline Provisions"
"c206M01N13","Understanding of machine operations and operator interactions","Organizational Dependency","E","Analysis Of The Feasibility Of Immersive Virtualization In Technical Training","understanding in detail the operation of the machine and interactions with the operator","Prerequisite capture requirements during initial analytical mapping phases","Page 5, Figure 1","OD07","Expert Participation Frameworks & Succession Structures"
"c206M02N20","Instructor's technical knowledge of regulatory standards","Organizational Dependency","E","Analysis Of The Feasibility Of Immersive Virtualization In Technical Training","Technical knowledge of regulatory standards on the part of the instructor is essential for the method.","Not mentioned","p.4","OD07","Expert Participation Frameworks & Succession Structures"
