uuid,Title,Abstract,DOI Link,Publication title,deepseek_kr_flag,qwen_kr_flag,deepseek_kr_evidence,qwen_kr_evidence,deepseek_TK_normalized,qwen_TK_normalized,deepseek_DT_flag,qwen_DT_flag,deepseek_DT_evidence,qwen_DT_evidence,deepseek_DT_normalized,qwen_DT_normalized,deepseek_article_type,qwen_article_type,deepseek_ic_label,qwen_ic_label
58951602-c83a-4a49-824a-c5a86575341f,Illustrating The Intangible Cultural Heritage Of Santhals And Kuki: Pushing The Boundaries Of Knowledge Sharing In The Era Of Technology,"By focusing on both Kuki and Santhal's intangible heritage, the paper offers holistic insights into how these communities navigate the transfer of their cultural knowledge, which further ensures that these traditions remain a dynamic force bridging all spheres of life. Through an anthropological perspective, the paper highlights the contextual understanding of the meaning-making process, a framework rooted in decolonization, and captures intangible practices with case studies related to festivals documented during the fieldwork among the Santhals and the Kukis. It attempts to reflect how cultural identity is constructed and reinforced through multisensory, performative expressions and how heritage, when intertwined with the digital revolution, offers immense possibilities to preserve heritage. As the body becomes dynamic, the focus shifts from the body as it intersects with the machine, substituting the role. Further, it discusses how digital tools from smartphones to virtual and augmented reality, GIS, and 3D Scanning facilitate both preservation and transformation of cultural knowledge, foregrounding community-led efforts to reclaim narrative agency and identity. The paper ultimately argues that effective knowledge sharing today necessitates a negotiated continuum between continuity and change where the body and the digital converge, that is ethically grounded and culturally situated. Ethical concerns surrounding digital representation and participation are addressed, alongside a call for immersive technology, culturally responsive approaches to preservation, including VR-based oral histories and blockchain-enabled tribal archives, and many more. It calls for an interdisciplinary and situated approach to digital heritage and anthropological knowledge production.  Copyright © 2025 Shrila Soren.",10.5194/isprs-archives-XLVIII-M-9-2025-1413-2025,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives",Yes,Yes,"The abstract explicitly discusses preserving intangible cultural heritage, capturing cultural knowledge, and ensuring traditions remain a dynamic force, with a focus on community-led efforts to reclaim narrative agency and identity.","The paper discusses how digital tools facilitate the preservation and transformation of cultural knowledge, which is a form of tacit knowledge embedded in social and cultural practices.",Collective Tacit Knowledge,Collective Tacit Knowledge,Yes,Yes,"The abstract discusses digital tools such as smartphones, virtual and augmented reality, GIS, 3D scanning, VR-based oral histories, and blockchain-enabled tribal archives for preservation and transformation of cultural knowledge.","The paper discusses the use of digital tools such as smartphones, virtual and augmented reality, GIS, and 3D Scanning to preserve and transform cultural knowledge.",Human–Computer Interaction and Immersive Technologies,"Human–Computer Interaction and Immersive Technologies; Imaging, Sensing, and Perception Technologies; Mobile, Social, and Communication Technologies",Case Study,Case Study,True,True
4d599183-0632-4616-b89f-68a9fa90eda0,"Unseen Seeds, Green Minds In The Digital Era: How Smes Foster Innovation Through Green Intellectual Capital, Ai, And Resource Commitment","The rapid acceleration of digital transformation has profoundly reshaped societal operations, with Artificial Intelligence (AI) and the Metaverse emerging as key drivers of change. The strategic integration of tacit knowledge and advanced technologies is crucial for enhancing innovation performance and maintaining a competitive advantage in the global economy. This study explores how tacit knowledge sharing influences innovation performance (IP), with a focus on green intellectual capital (GIC), AI, and resource commitment (RC). To examine these relationships, a survey was conducted in three phases among small and medium-sized manufacturing firms in Canada and the UAE, collecting data from 317 UAE and 383 Canadian SMEs. The findings show that GIC plays a key role in linking tacit knowledge sharing to IP, while AI influences how tacit knowledge interacts with GIC, which consists of green human, relational, and structural capital. Additionally, RC strengthens the connection be-tween GIC and IP, reinforcing the importance of resource investment in sustainability and innovation. The originality of this study comes from exploring how AI influences the connection between tacit knowledge and GIC, as well as how RC impacts the link between GIC and IP. The study also recognizes its limitations and outlines areas for future research, encouraging further research into the role of knowledge and technology in driving innovation. © 2025 Elsevier Ltd.",10.1016/j.techsoc.2025.103108,Technology in Society,Yes,Yes,"The abstract explicitly discusses 'tacit knowledge sharing' and how it influences innovation performance, implying the capture and retention of tacit knowledge from individuals and organizations.","The study explores how tacit knowledge sharing influences innovation performance, focusing on green intellectual capital, AI, and resource commitment. It discusses the strategic integration of tacit knowledge and advanced technologies.",Relational Tacit Knowledge,Relational Tacit Knowledge; Collective Tacit Knowledge,Yes,Yes,"The abstract states 'AI influences how tacit knowledge interacts with GIC', indicating digital technology (AI) is used in the context of tacit knowledge.","The study examines the role of AI in influencing how tacit knowledge interacts with green intellectual capital, which consists of green human, relational, and structural capital.",Artificial Intelligence and Intelligent Computation,Artificial Intelligence and Intelligent Computation,Empirical Study,Empirical Study,True,True
1a901e6d-d3e3-4b0b-9cfe-a42816fc3725,Ai-Powered Knowledge Ecosystems: How Knowledge Management Systems Drive Business Intelligence And Marketing Capabilities In Gulf Cooperation Council Enterprises,"The use of Knowledge Management Systems (KMS) and Artificial Intelligence (AI) remains limited in developing countries. These technologies can help organizations understand their Business Intelligence (BI) and Marketing Capability (MC), but few studies have explored this area. The present research examines the relationship between KMS and Business Intelligence Capability (BIC) across companies in the Gulf Cooperation Council (GCC), highlighting the role of AI in enhancing the marketing skills. Using a quantitative approach, data were gathered from top management via a structured questionnaire. The study breaks down KMS into three key components: Knowledge Acquisition (KA), Knowledge Sharing (KS), and Knowledge Application (KAP), examining how each affects BIC. The results show that all three processes have a positive impact on BIC. Additionally, AI serves as a moderator between the KA, application, and BICs, which also positively influence MC. This research offers valuable insights into how KMS and AI can be combined to enhance BI, providing helpful guidance for practitioners and researchers. Copyright © by the authors",10.48084/etasr.12789,"Engineering, Technology and Applied Science Research",Yes,Yes,"The abstract explicitly discusses 'Knowledge Acquisition (KA)', 'Knowledge Sharing (KS)', and 'Knowledge Application (KAP)' as components of Knowledge Management Systems, which involve capturing and retaining knowledge from the organizational environment.",The abstract discusses the use of Knowledge Management Systems (KMS) and Artificial Intelligence (AI) to understand Business Intelligence (BI) and Marketing Capability (MC). This implies capturing and retaining knowledge from organizations.,None identified,Collective Tacit Knowledge,Yes,Yes,"The abstract states that 'Knowledge Management Systems (KMS) and Artificial Intelligence (AI)' are used, and AI serves as a moderator between knowledge processes and Business Intelligence Capability.",The abstract mentions the use of Knowledge Management Systems (KMS) and Artificial Intelligence (AI) to enhance business intelligence and marketing capabilities.,Artificial Intelligence and Intelligent Computation,"Data, Information, and Knowledge Systems; Artificial Intelligence and Intelligent Computation",Empirical Study,Empirical Study,True,True
1fee803c-48b7-4b81-a162-20e489503a6b,How Can Generative Artificial Intelligence Empower Circular Supply Chain Practices? Evidence From Chinese Companies,"In the context of supply chain digitalization and the circular economy, generative artificial intelligence (GenAI) may help firms overcome persistent challenges in knowledge integration and rapid innovation iteration within circular supply chains. Drawing on the dynamic capability view (DCV) and the knowledge-based view (KBV), this study develops a theoretical model to examine the impact of GenAI on circular supply chain practices. The study focuses on the mediating roles of generative capability and iterative innovation, as well as the moderating role of circular innovation orientation. This addresses the core question of how digital technology drives value regeneration in the circular economy. Using partial least squares structural equation modeling (PLS-SEM) and survey data from 371 Chinese firms, we find that GenAI has a positive effect on circular supply chain practices, both directly and indirectly. Generative capability and iterative innovation each mediate the GenAI–circular supply chain practices relationship, and they jointly form a serial mediation pathway. Moreover, circular innovation orientation strengthens the positive effect of generative capability on iterative innovation. By conceptualizing generative capability as a higher-order dynamic capability rooted in knowledge acquisition, inheritance, and updating, this study clarifies how GenAI converts cross-generational knowledge reconfiguration into actionable circular practices. The findings extend DCV and KBV explanations of technology-enabled circular transformation, offering guidance for managers seeking to deploy GenAI for value regeneration. © 2026 The Authors.",10.1016/j.jik.2026.101002,Journal of Innovation and Knowledge,Yes,Yes,"The abstract discusses 'knowledge integration', 'knowledge acquisition, inheritance, and updating', and 'cross-generational knowledge reconfiguration', which imply capturing and retaining knowledge from the organizational environment to enable circular supply chain practices.","The abstract discusses how generative artificial intelligence (GenAI) can help firms overcome challenges in knowledge integration and rapid innovation iteration within circular supply chains, implying the capture and retention of knowledge.",None identified,Collective Tacit Knowledge,Yes,Yes,The abstract explicitly states that 'generative artificial intelligence (GenAI)' is used to help firms overcome challenges in knowledge integration and rapid innovation iteration.,The abstract mentions the use of generative artificial intelligence (GenAI) to drive value regeneration in the circular economy.,Artificial Intelligence and Intelligent Computation,Artificial Intelligence and Intelligent Computation,Empirical Study,Empirical Study,True,True
eae3afa9-3d08-4e43-b42d-e9bc52ce91a2,How Does Physician Stress Impact Knowledge-Sharing Behaviors?Evidence From Online Physician Communities,"Online physician communities play a significant role in improving physicians' mental health and facilitating professional communication. However, existing research has paid limited attention to knowledge-sharing behaviors in these online communities. This study examines how distinct categories of work stressors influence physicians' knowledge-sharing behaviors. Specifically, we establish physicians routinely encounter stressors, including work overload, ethical conflict, and technological anxiety in clinical practice, which are frequently manifested in physicians' online community discourse. Therefore, we developed a new deep learning model to detect physicians' stress levels while categorizing stressor types at the same time. To the best of our knowledge, this model represents the first dedicated assessment tool for physician mental health. Additionally, based on the Transactional Model of Stress, we propose that (1) Hindrance stressors suppress physicians' knowledge-sharing behaviors, (2) Challenge stressors promote greater participation in knowledge-sharing activities, (3) Conflict stressors simultaneously increase knowledge-seeking behaviors while reducing knowledge-contribution behaviors. Furthermore, we identify that perceived community emotional support significantly moderates the relationship between stressor types and knowledge-sharing behaviors. Those propositions are empirically substantiated through an analysis of 81,503 comments and 14,509 posts from 198 physicians in an online physician community. Our findings call for greater attention to physicians’ mental well-being as a determinant of knowledge exchange, and suggest implementing targeted content management strategies in online communities to enhance knowledge-sharing effectiveness. © 2025 Elsevier Ltd",10.1016/j.chb.2025.108849,Computers in Human Behavior,Yes,Yes,"The study examines how work stressors influence physicians' knowledge-sharing behaviors in online communities, focusing on knowledge-seeking and knowledge-contribution behaviors. It analyzes comments and posts to understand knowledge exchange, implying a focus on capturing knowledge from individual physicians' discourse.",This study examines how distinct categories of work stressors influence physicians' knowledge-sharing behaviors. ... We developed a new deep learning model to detect physicians' stress levels while categorizing stressor types at the same time. ... Perceived community emotional support significantly moderates the relationship between stressor types and knowledge-sharing behaviors.,Collective Tacit Knowledge,Relational Tacit Knowledge,Yes,Yes,"The study developed a new deep learning model to detect physicians' stress levels and categorize stressor types from online community discourse, which is used to analyze knowledge-sharing behaviors.",We developed a new deep learning model to detect physicians' stress levels while categorizing stressor types at the same time.,Artificial Intelligence and Intelligent Computation,Artificial Intelligence and Intelligent Computation,Empirical Study,Empirical Study,True,True
9bab7f3a-f99a-4248-90cc-855b2b09ecc7,Promoting Domestic Fire-Safety: Virtual Drills As A Training Tool For Citizens,"Promoting domestic fire safety is crucial for preventing and effectively managing risky situations. This study evaluated the effectiveness of virtual environments (VEs) in fire drills to improve citizens’ knowledge and safe behavior in domestic settings. Conducted at the Citizen School for Risk Prevention (CSRP) in Zaragoza (Spain), the experiment involved 20 participants facing a simulated kitchen fire using a combination of physical and virtual extinguishing equipment. A theoretical session accompanied the drills to reinforce learning. Participants were divided into two groups: one completed the drill before and after the theoretical session, while the other completed it only afterward. Performance was assessed based on the ability to extinguish, control, or lose control of the fire. Surveys administered before, immediately after, and three months after training measured knowledge retention and behavioral changes. The results indicate a significant improvement in fire safety awareness and lasting adoption of safe practices. Participants also emerged as safety advocates. This study highlights the potential of combining theoretical instruction with immersive practical training and identifies strategies for replicating this approach in other prevention schools. © 2025 by the authors.",10.3390/fire8080286,Fire,Yes,Yes,"The study evaluates the effectiveness of virtual environments in fire drills to improve citizens' knowledge and safe behavior. Surveys measured knowledge retention and behavioral changes, indicating lasting adoption of safe practices. This implies knowledge was captured and retained from the training experience.","Participants were divided into two groups: one completed the drill before and after the theoretical session, while the other completed it only afterward. Surveys administered before, immediately after, and three months after training measured knowledge retention and behavioral changes. The results indicate a significant improvement in fire safety awareness and lasting adoption of safe practices.",Somatic Tacit Knowledge,Collective Tacit Knowledge,Yes,Yes,The study used virtual environments (VEs) and a simulated kitchen fire with physical and virtual extinguishing equipment to train and assess participants' knowledge and behavior.,This study evaluated the effectiveness of virtual environments (VEs) in fire drills to improve citizens’ knowledge and safe behavior in domestic settings. Participants faced a simulated kitchen fire using a combination of physical and virtual extinguishing equipment.,Human–Computer Interaction and Immersive Technologies,"Human–Computer Interaction and Immersive Technologies; Cyber-Physical Systems, IoT, and Smart Environments",Empirical Study,Empirical Study,True,True
0de139df-102b-420a-8fd1-2c0fde228265,Smartread: A Multimodal Ereading Platform Integrating Computing And Gamification To Enhance Student Engagement And Knowledge Retention,"This paper explores the integration of computing and multimodal technologies into personal reading practices to enhance student engagement and knowledge assimilation in higher education. In response to a documented decline in voluntary academic reading, we investigated how technology-enhanced reading environments can re-engage students through interactive and personalized experiences. Central to this research is SmartRead, a proposed multimodal eReading platform that incorporates gamification, adaptive content delivery, and real-time feedback mechanisms. Drawing on empirical data collected from students at a higher education institution, we examined how features such as progress tracking, motivational rewards, and interactive comprehension aids influence reading behavior, engagement levels, and information retention. Results indicate that such multimodal interventions can significantly improve learner outcomes and user satisfaction. This paper contributes actionable insights into the design of innovative, accessible, and pedagogically sound digital reading tools and proposes a framework for future eReading technologies that align with multimodal interaction principles. © 2025 by the authors.",10.3390/mti9100101,Multimodal Technologies and Interaction,Yes,Yes,"The study explores how technology-enhanced reading environments can re-engage students and enhance knowledge assimilation and retention. Results indicate that multimodal interventions improve learner outcomes and information retention, implying knowledge capture and retention.",We investigated how technology-enhanced reading environments can re-engage students through interactive and personalized experiences. Results indicate that such multimodal interventions can significantly improve learner outcomes and user satisfaction.,None identified,Collective Tacit Knowledge,Yes,Yes,"The study proposes SmartRead, a multimodal eReading platform incorporating gamification, adaptive content delivery, and real-time feedback mechanisms to enhance engagement and knowledge retention.","This paper explores the integration of computing and multimodal technologies into personal reading practices to enhance student engagement and knowledge assimilation in higher education. Central to this research is SmartRead, a proposed multimodal eReading platform that incorporates gamification, adaptive content delivery, and real-time feedback mechanisms.",Human–Computer Interaction and Immersive Technologies,"Human–Computer Interaction and Immersive Technologies; Data, Information, and Knowledge Systems",Empirical Study,Empirical Study,True,True
6d8611ac-0205-4238-99ee-d799c9fbadf7,Developing A Knowledge Management Model For A Small It Business,"Knowledge management (KM) is a critical process for organizations aiming to maintain competitiveness and drive innovation. Small businesses, however, often struggle to retain and circulate knowledge, particularly in the face of high staff turnover and dynamic market conditions. This study presents the design and implementation of a customized KM model for a small IT company specializing in cybersecurity. The proposed model is aligned with the company's value chain and strategic planning, integrating G Suite tools to streamline knowledge processes and incorporating an automated idea tank to foster innovation. Developed through an iterative methodology, the model was validated and refined using feedback from organizational stakeholders. The results demonstrate that small IT firms can effectively mitigate knowledge loss and enhance innovation by adopting practical, technology-supported KM practices. Although tailored to a specific organization, the model offers transferable components and actionable insights for similar enterprises. This research highlights the strategic role of KM in enabling agility, competitiveness, and sustainable growth in rapidly changing environments. © 1973-2011 IEEE.",10.1109/EMR.2026.3658226,IEEE Engineering Management Review,Yes,Yes,"The abstract explicitly states the study 'presents the design and implementation of a customized KM model for a small IT company... to streamline knowledge processes' and 'mitigate knowledge loss', indicating a focus on capturing and retaining knowledge from the organizational environment.","The abstract discusses the design and implementation of a customized KM model for a small IT company, which aims to mitigate knowledge loss and enhance innovation.",Other (General organizational knowledge),Relational Tacit Knowledge,Yes,Yes,"The abstract states the model 'integrating G Suite tools to streamline knowledge processes and incorporating an automated idea tank to foster innovation', indicating digital technologies are used to support knowledge management.",The proposed model integrates G Suite tools to streamline knowledge processes and incorporates an automated idea tank to foster innovation.,"Data, Information, and Knowledge Systems","Data, Information, and Knowledge Systems; Rule-Based, Decision, and Expert Systems",Case Study,Empirical Study,True,True
2e9dc1f7-5a44-48e5-8c5b-f6562b91daf7,Capturing And Sharing Know-How Through Visual Process Representations: A Human-Centred Approach To Teacher Workflows,"Knowledge Management is crucial for capturing and transferring expertise within universities, especially in high staff turnover contexts where expertise loss disrupts teaching. Documenting teachers' workflows is time-intensive and diverts experts from core responsibilities. Sequential Pattern Mining (SPM) leverages log data to identify expert workflows, offering an automated alternative to represent workflows but requiring transformation into intuitive formats for novice educators. This paper introduces Visual Process Representations (VPR), a design approach combining SPM, Knowledge Management processes, and storytelling techniques to convert expert log data into clear visualisations. We detail the design phases and report a study evaluating visual affordances (text lists vs. pictorial-style) and teachers' perceptions of four versions of the VPR with 160 higher teachers on Prolific, an online research platform. Results indicate improved task performance, usability, and engagement, particularly with enriched visuals, though process memorability and task time improvements were limited. The findings highlight VPR's potential to visualise workflows and support novice educators. © 2026 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",10.1080/0144929X.2026.2636694,Behaviour and Information Technology,Yes,Yes,"The abstract explicitly states: 'Knowledge Management is crucial for capturing and transferring expertise within universities, especially in high staff turnover contexts where expertise loss disrupts teaching.' It also discusses using Sequential Pattern Mining to identify expert workflows and Visual Process Representations to capture and share know-how.","The study introduces Visual Process Representations (VPR), a design approach combining SPM, Knowledge Management processes, and storytelling techniques to convert expert log data into clear visualizations, aiming to capture and transfer expertise within universities, especially in high staff turnover contexts where expertise loss disrupts teaching.",Collective Tacit Knowledge,Relational Tacit Knowledge,Yes,Yes,"The abstract states: 'Sequential Pattern Mining (SPM) leverages log data to identify expert workflows, offering an automated alternative to represent workflows' and 'Visual Process Representations (VPR), a design approach combining SPM, Knowledge Management processes, and storytelling techniques to convert expert log data into clear visualisations.'",The study uses Sequential Pattern Mining (SPM) to leverage log data to identify expert workflows and converts this data into intuitive formats for novice educators.,"Data, Information, and Knowledge Systems","Data, Information, and Knowledge Systems",Empirical Study,Empirical Study,True,True
aac76a34-cb38-4447-9aa3-cd9d44fe1dd7,Redefining Work In The Supply Chain: Combining Digital Technologies And Knowledge Sharing For A Smart Working Environment,"Supply chains are undergoing rapid digital transformation, yet little is known about how digital technologies reshape workers' activities and the role of knowledge sharing in this process. A human-centered perspective is essential to align process improvements with worker outcomes. This study investigates how digital technologies support core supply chain management (SCM) activities, how knowledge-sharing practices influence them, and how their interaction affects supply chain performance and worker outcomes. We surveyed 370 companies and applied regression models to examine the relationships between digital technology adoption, knowledge sharing, SCM activities, and performance outcomes. To contextualize the survey findings, we conducted a post-hoc qualitative longitudinal case study of a supply chain digitalization project involving the focal company and six key partners—three suppliers and three customers. Results show that digital technologies enable smart working environments, enhancing SCM processes and outcomes. However, knowledge sharing interacts negatively with digital technologies in supporting workers’ SCM activities: explicit knowledge sharing becomes less critical with front-end smart working technologies, while tacit knowledge sharing is less necessary with extensive use of base digital technologies. Front-end technologies influence worker outcomes indirectly through their effects on SCM activities, whereas base technologies have both direct and mediated effects on worker outcomes and supply chain performance. The qualitative findings reveal the distinct digital capabilities implemented and their impact on workers. These findings challenge the assumption that knowledge sharing always complements digital tools, suggesting that digitalization can reduce reliance on external knowledge and offer managerial insights for designing human-centered smart work environments. © 2025 Elsevier B.V.",10.1016/j.ijpe.2025.109860,International Journal of Production Economics,Yes,Yes,"The abstract explicitly discusses knowledge sharing practices and their role in supply chain management, stating 'how knowledge-sharing practices influence them' and 'knowledge sharing interacts negatively with digital technologies in supporting workers’ SCM activities'. This implies capturing and retaining knowledge from individuals and the organizational environment.","The abstract discusses how digital technologies support core supply chain management (SCM) activities and how knowledge-sharing practices influence them. It also mentions that explicit and tacit knowledge sharing is less critical with the use of front-end and base digital technologies, implying that these technologies are used to capture or retain knowledge.",Collective Tacit Knowledge,Collective Tacit Knowledge; Relational Tacit Knowledge,Yes,Yes,"The abstract states 'digital technologies enable smart working environments, enhancing SCM processes and outcomes' and discusses 'front-end smart working technologies' and 'base digital technologies' in relation to knowledge sharing, implying their use in capturing or retaining knowledge.","The abstract explicitly states that digital technologies support core SCM activities and that the interaction between digital technologies and knowledge sharing affects supply chain performance and worker outcomes. It also mentions that explicit and tacit knowledge sharing is less critical with the use of front-end and base digital technologies, implying that these technologies are used to capture or retain knowledge.","Cyber-Physical Systems, IoT, and Smart Environments","Cyber-Physical Systems, IoT, and Smart Environments; Human–Computer Interaction and Immersive Technologies",Empirical Study,Empirical Study,True,True
