node_id,node_name,category,evidence_label,case_title,evidence_statement,object_definition,evidence_location
c203M01N18,Environmental uncertainty,Environmental Dependency,E,Digital Technologies And Circular Economy Capabilities: Exploring The Roles Of Supply Chain Knowledge Development Processes And Environmental Uncertainty,"Finally, given that businesses operate in increasingly uncertain environments, our findings confirm that SCKDP play a crucial role in enabling firms to develop CE capabilities through DT.","Turbulent and volatile market forces driven by customers, suppliers, and competitors","Page 2, Line 45; Page 19, Line 466"
c203M01N19,Heterogeneity of supply chain members,Environmental Dependency,E,Digital Technologies And Circular Economy Capabilities: Exploring The Roles Of Supply Chain Knowledge Development Processes And Environmental Uncertainty,"This difficulty is often rooted in the heterogeneity of supply chain members, including differences in bargaining power, firm size, technological maturity and cultural factors","Structural differences across supply networks in terms of firm sizes, culture, and power","Page 19, Line 465"
c204M01N18,Sanctions,Environmental Dependency,E,A Hybrid Cooperative Game And Shapley Value Approach For Knowledge Sharing And Profit Allocation In Technology Supply Chain Strategic Alliance,The case study focuses on localizing a six-speed automatic transmission to reduce import dependency amid sanctions.,External geopolitical constraints enforcing localized supply chain integration.,"Page 8, Source 353"
c204M01N19,Confidential OEM Contract,Environmental Dependency,E,A Hybrid Cooperative Game And Shapley Value Approach For Knowledge Sharing And Profit Allocation In Technology Supply Chain Strategic Alliance,"Grounded in a confidential OEM contract, the study offers a replicable framework.",The underlying legal agreement governing the commercial boundaries of the supply chain.,"Page 8, Source 356"
c206M01N14,Brazilian legislation requirement,Environmental Dependency,E,Analysis Of The Feasibility Of Immersive Virtualization In Technical Training,"Specifically, training in regulatory norms, a legal requirement in Brazil",The underlying public mandates forcing compliance across all regional factories,"Page 2, Introduction"
c206M02N23,Regulatory requirement for NR-35 training,Environmental Dependency,E,Analysis Of The Feasibility Of Immersive Virtualization In Technical Training,Training in regulatory norms is a legal requirement in Brazil.,Not mentioned,p.1
c207M01N17,Warm Production Hall Environment,Environmental Dependency,E,Knowledge Retention Through Cognitive Support Technology (Cst) In The Manufacturing Industry: A Process Inventory,Further observations were that the production hall is very warm,Climatic heat constraints within the physical factory floor that degrade employee wearable device endurance.,"PAGE 5, Lines 285"
c207M01N18,Dusty Environment,Environmental Dependency,E,Knowledge Retention Through Cognitive Support Technology (Cst) In The Manufacturing Industry: A Process Inventory,there is a lot of dust,Particulate contamination on the manufacturing floor that affects optical sensors and wearable comfort.,"PAGE 5, Lines 285"
c207M01N19,High Ambient Noise Environment,Environmental Dependency,E,Knowledge Retention Through Cognitive Support Technology (Cst) In The Manufacturing Industry: A Process Inventory,and there is a lot of ambient noise.,Acoustic factory background noise that interferes with standard microphone hardware and vocal instruction loops.,"PAGE 5, Lines 285"
c208M01N19,Enclosing environment,Environmental Dependency,E,A Combined Approach For Improving Humanoid Robots Autonomous Cognitive Capabilities,The perceptual knowledge originates from the enclosing environment. It commonly includes all the information retrieved from sensors,The external real-world physical surroundings containing unknown items that must be mapped dynamically by an agent,"Page 7, Lines 194-195"
c208M02N13,Real-world environment with physical objects,Environmental Dependency,I,A Combined Approach For Improving Humanoid Robots Autonomous Cognitive Capabilities,The robot explores the environment and analyzes the objects he finds on his way.,External physical surroundings containing objects that the robot perceives.,"p.20, Sect. 6.1"
c209M01N24,Competitive markets,Environmental Dependency,E,The Role Of Internal And External Social Media In The Idea Generation Phases Of New Product Development: Evidence From The Technology Industry,"Exposure of ideas on public platforms is risky, particularly in competitive markets.",External industrial environment with strong rivals and high imitation threats,Page 14
c211M01N13,Regulatory pressures,Environmental Dependency,E,Metaverse for sustainable circular supply chains: unlocking value and  knowledge synergies,"External factors as market competition, regulatory pressures and sustainability mandate influences adoption timings.",External legal and governmental policy demands enforcing compliance,PAGE 12
