src_node_id,dst_node_id,relation_type,evidence_label,case_title
s001M01ED01,h001M01ED01,is_an_instance_of,G,HOO1:Hard Aggregation
s001M01ED02,h001M01ED02,is_an_instance_of,G,HOO1:Hard Aggregation
s001M01ED04,h001M01ED04,is_an_instance_of,G,HOO1:Hard Aggregation
s001M01ED05,h001M01ED05,is_an_instance_of,G,HOO1:Hard Aggregation
s001M01ED06,h001M01ED06,is_an_instance_of,G,HOO1:Hard Aggregation
s001M01ED07,h001M01ED07,is_an_instance_of,G,HOO1:Hard Aggregation
s001M01ED08,h001M01ED08,is_an_instance_of,G,HOO1:Hard Aggregation
s001M01ED10,h001M01ED10,is_an_instance_of,G,HOO1:Hard Aggregation
s001M01EK01,h001M01EK01,is_an_instance_of,G,HOO1:Hard Aggregation
s001M01EK02,h001M01EK02,is_an_instance_of,G,HOO1:Hard Aggregation
s001M01EK03,h001M01EK03,is_an_instance_of,G,HOO1:Hard Aggregation
s001M01EK04,h001M01EK04,is_an_instance_of,G,HOO1:Hard Aggregation
s001M01EK05,h001M01EK05,is_an_instance_of,G,HOO1:Hard Aggregation
s001M01EK06,h001M01EK06,is_an_instance_of,G,HOO1:Hard Aggregation
s001M01EK07,h001M01EK07,is_an_instance_of,G,HOO1:Hard Aggregation
s001M01EK08,h001M01EK08,is_an_instance_of,G,HOO1:Hard Aggregation
s001M01EK09,h001M01EK09,is_an_instance_of,G,HOO1:Hard Aggregation
s001M01KH01,h001M01KH01,is_an_instance_of,G,HOO1:Hard Aggregation
s001M01KH02,h001M01KH02,is_an_instance_of,G,HOO1:Hard Aggregation
s001M01KH03,h001M01KH03,is_an_instance_of,G,HOO1:Hard Aggregation
s001M01KH04,h001M01KH04,is_an_instance_of,G,HOO1:Hard Aggregation
s001M01KH05,h001M01KH05,is_an_instance_of,G,HOO1:Hard Aggregation
s001M01KH06,h001M01KH06,is_an_instance_of,G,HOO1:Hard Aggregation
s001M01KH07,h001M01KH07,is_an_instance_of,G,HOO1:Hard Aggregation
s001M01KH08,h001M01KH08,is_an_instance_of,G,HOO1:Hard Aggregation
s001M01KH09,h001M01KH09,is_an_instance_of,G,HOO1:Hard Aggregation
s001M01KH10,h001M01KH10,is_an_instance_of,G,HOO1:Hard Aggregation
s001M01KH11,h001M01KH11,is_an_instance_of,G,HOO1:Hard Aggregation
s001M01KH12,h001M01KH12,is_an_instance_of,G,HOO1:Hard Aggregation
s001M01KH13,h001M01KH13,is_an_instance_of,G,HOO1:Hard Aggregation
s001M01KH14,h001M01KH14,is_an_instance_of,G,HOO1:Hard Aggregation
s001M01KH15,h001M01KH15,is_an_instance_of,G,HOO1:Hard Aggregation
s001M01KH16,h001M01KH16,is_an_instance_of,G,HOO1:Hard Aggregation
s001M01KL01,h001M01KL01,is_an_instance_of,G,HOO1:Hard Aggregation
s001M01KL02,h001M01KL02,is_an_instance_of,G,HOO1:Hard Aggregation
s001M01KL03,h001M01KL03,is_an_instance_of,G,HOO1:Hard Aggregation
s001M01KL04,h001M01KL04,is_an_instance_of,G,HOO1:Hard Aggregation
