"node_id","node_name","category","evidence_label","case_title","evidence_statement","object_definition","evidence_location"
"N01","Pneumatics fundamentals knowledge","Explicit Knowledge","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","The knowledge test is based on the fundamentals of pneumatics listed in the book ""Steuerungstechnik Metall""","The codified foundational knowledge in pneumatics from textbooks and curricula","p.6"
"N02","Knowledge of pneumatic components and functional sequences","Explicit Knowledge","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","trainees must learn to identify pneumatic components and functional sequences","Learning objectives from BiBB framework curricula specifying component identification and functional sequence understanding","p.2"
"N03","Framework curricula","Explicit Knowledge","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","The framework curriculum for each training program, provided by the Federal Institute for Vocational Education and Training (BIBB), specifies the learning objectives","Official training framework documents defining learning objectives for industrial-technical professions","p.2"
"N04","Circuit diagrams","Explicit Knowledge","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","trainees must be able to plan, install and commission pneumatic systems using circuit diagrams","Codified schematic representations of pneumatic system connections and components","p.2"
"N05","Functional descriptions","Explicit Knowledge","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","the task, a description and the circuit diagram are displayed before each level","Text descriptions of task objectives and system functions","p.4"
"N06","Practical skills in setting up pneumatic systems","Tacit Knowledge","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","the acquisition of knowledge and skills in the field of pneumatics is offered in practice-oriented exercises, e.g. by setting up pneumatic systems","Hands-on ability to physically construct and configure pneumatic systems","p.2"
"N07","Ability to plan/install/commission pneumatic systems using circuit diagrams","Tacit Knowledge","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","trainees must be able to plan, install and commission pneumatic systems using circuit diagrams","Applied skill in system planning, installation, and commissioning based on schematics","p.2"
"N08","Identification of pneumatic components","Tacit Knowledge","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","trainees must learn to identify pneumatic components and functional sequences","Recognition and identification skill for pneumatic system components","p.2"
"N09","Understanding of complex pneumatic relationships","Tacit Knowledge","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","Visualizations conveying additional information... proved to help learners better understand and internalize complex relationships and functionalities","Internalized comprehension of how pneumatic components interact and function together","p.1"
"N10","Self-reflection through feedback","Tacit Knowledge","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","the aim of the feedback is self-reflection and replay value to deepen knowledge","Metacognitive skill for evaluating one's own understanding and performance","p.5"
"N11","Trainers/Instructors","Knowledge Holder","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","teaching support is usually provided by the instructor","Individuals who provide teaching guidance and support in traditional pneumatics training","p.9"
"N12","Pneumatics teachers at vocational colleges","Knowledge Holder","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","developed with the help of a teacher of pneumatics at a vocational college","Expert educators consulted to develop knowledge tests and validate learning content","p.6"
"N13","Festo Didactic","Knowledge Holder","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","The ""Festo Didactic AR"" app was developed to facilitate the commissioning of mechatronic learning systems","Organization that develops pneumatic learning systems and educational technology","p.3"
"N14","Industrial mechanics apprentices","Knowledge Learner","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","a random sample is drawn from trainees in the industrial mechanic occupation","First-year apprentices in industrial mechanic training who participated in the study","p.6"
"N15","Vocational school trainees","Knowledge Learner","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","the training of industrial-technical professions... such as industrial mechanic or mechatronics technician","Broader category of trainees in industrial-technical professions including industrial mechanics and mechatronics technicians","p.2"
"N16","Students","Knowledge Learner","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","the use of AR technologies in education or teaching has already been widely researched","General learners in educational context referenced in literature review","p.3"
"N17","Textbook self-study","Traditional Human-central Practice","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","Current practice-oriented teaching methods in the field are based on textbooks","Learning through reading and studying printed educational materials","p.2"
"N18","2D simulation software","Traditional Human-central Practice","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","Current practice-oriented teaching methods in the field are based on... simulation software, which is predominantly two-dimensional","Computer-based theoretical practice using 2D representations of pneumatic systems","p.2"
"N19","Training laboratories","Traditional Human-central Practice","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","Training laboratories and learning systems are practical options for teaching","Physical spaces equipped with pneumatic components for hands-on training","p.2"
"N20","Special pneumatics training workshops","Traditional Human-central Practice","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","courses are offered in special pneumatics training workshops, but these are time-consuming and expensive","External courses providing specialized pneumatics training at dedicated facilities","p.2"
"N21","AR-based training app (A.R.P.S.)","Technology-enable Practice","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","The realized application with the name A.R.P.S., an acronym for Augmented Reality Pneumatic Simulation","Implemented mobile AR application for pneumatics training with two visualization concepts","p.4"
"N22","Serious game elements","Technology-enable Practice","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","AR elements and serious game elements are used for the development of the AR-based training","Game-like design elements integrated into the training application to enhance engagement","p.4"
"N23","Knowledge tests","Technology-enable Practice","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","Quantitative research consists of two knowledge tests before and after AR app exercises to measure knowledge uptake","Pre/post assessment tool measuring knowledge acquisition and retention","p.5"
"N24","Qualitative interviews","Technology-enable Practice","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","a qualitative survey using semi-structured interviews to gather detailed experiences and opinions","Interview method used to collect participant feedback and experience data","p.6"
"N25","Unity programming environment","Digital Technology","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","implemented as an AR application for mobile devices using the Unity programming environment","Software development platform used to build the AR app","p.4"
"N26","Mobile devices (iPad)","Digital Technology","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","The study included the use of hardware (MacBook, iPad, ballpoint pen), software (AR app)","Hardware platform running the AR application","p.7"
"N27","QR codes","Digital Technology","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","Tracking is carried out by capturing markers in the form of QR codes with the camera","Marker technology used for tracking and overlaying 3D models","p.5"
"N28","3D models","Digital Technology","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","3D models of the pneumatic components","Digital 3D representations of pneumatic components overlaid in AR","p.5"
"N29","Virtual hoses","Digital Technology","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","The components can then be connected to each other via virtual hoses","Digital hose connections used to link pneumatic components in the AR environment","p.5"
"N30","Airflow tracking visualization","Digital Technology","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","the first visualization aid allows the user to track the air flows between the components within the hoses","AR visualization element showing air flow paths between components","p.5"
"N31","X-ray view visualization","Digital Technology","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","the second visualization aid enables an X-ray view, which allows the user to look inside the components and track the internal air flows","AR visualization element showing internal component structures and air flows","p.5"
"N32","3D printed components","Digital Technology","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","the immersion is enhanced by 3D-printed components that are based on real components","Physical printed components used as props for AR overlay via QR code tracking","p.4"
"N33","Concept 1 (realistic simulation)","Digital Technology","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","Concept 1: A realistic simulation of the pneumatic system","First AR visualization approach: realistic 3D models without additional visualization aids","p.3"
"N34","Concept 2 (with AR elements)","Digital Technology","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","Concept 2: A realistic simulation of the pneumatic system with additional AR elements for the visualization of pneumatic processes","Second AR visualization approach: includes airflow tracking and X-ray view","p.3"
"N35","BiBB framework curricula","Organizational Dependency","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","The framework curriculum for each training program, provided by the Federal Institute for Vocational Education and Training (BIBB), specifies the learning objectives","Regulatory training requirements that define learning objectives","p.2"
"N36","Training companies","Organizational Dependency","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","not all training companies or vocational schools are equipped with such systems","Organizations responsible for providing training equipment and resources","p.2"
"N37","Vocational schools","Organizational Dependency","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","not all training companies or vocational schools are equipped with such systems","Educational institutions providing vocational training","p.2"
"N38","Compressed air supply","Environmental Dependency","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","location-dependent due to the compressed air supply","Physical infrastructure required for pneumatic system operation","p.2"
"N39","Physical location of workshops","Environmental Dependency","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","such systems take up a lot of space and are location-dependent","Geographic and physical space constraints for training facilities","p.2"
"N40","Cost-intensive training laboratories","Limitation","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","Training laboratories and learning systems are practical options for teaching. However, they are cost-intensive","Financial barrier preventing widespread adoption of traditional training systems","p.2"
"N41","Space requirements of pneumatic systems","Limitation","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","such systems take up a lot of space","Physical footprint constraint limiting where training can occur","p.2"
"N42","Location dependence of compressed air supply","Limitation","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","location-dependent due to the compressed air supply","Infrastructure constraint requiring compressed air access","p.2"
"N43","Time-consuming workshops","Limitation","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","courses are offered in special pneumatics training workshops, but these are time-consuming","Temporal burden of attending specialized external training","p.2"
"N44","2D software not representing reality","Limitation","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","The simulation software is predominantly two-dimensional (2D) and does not represent reality, since pneumatic components are usually only indicated or represented by circuit symbols","Visualization inadequacy of traditional simulation software","p.2"
"N45","Lack of teacher support","Limitation","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","The traditional learning method without teacher support does not seem to be optimal for practical tasks","Pedagogical gap in control group learning method","p.9"
"N46","Small sample size","Limitation","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","Limitations, particularly with regard to sample size","Study limitation due to limited number of participants (n=15)","p.10"
"N47","Participant variance in prior knowledge","Limitation","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","The high standard deviation of the knowledge test results can be attributed to the different prior knowledge of the participants","Baseline heterogeneity affecting study results","p.10"
"N48","Control group using 3D prints not real system","Limitation","E","How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions?","The control group used 3D printed components for the exercises, which could affect the validity of the results","Methodological limitation in study design","p.10"
