node_id,node_name,category,evidence_label,case_title,evidence_statement,object_definition,evidence_location
"N01","Lead Tender Administrator (LTA)","Knowledge Holder","E","A generative AI model for automating construction bid preparation","At Alpha, the lead tender administrator (LTA) participated","Not mentioned","PAGE 5, Source 153"
"N02","Assistant Tender Administrator 1 (ATA1)","Knowledge Holder","E","A generative AI model for automating construction bid preparation","ATA1 Environmental tenders","Not mentioned","PAGE 9, Source 272"
"N03","Assistant Tender Administrator 2 (ATA2)","Knowledge Holder","E","A generative AI model for automating construction bid preparation","ATA2 Engineering tenders","Not mentioned","PAGE 9, Source 272"
"N04","Bid Manager (BM)","Knowledge Holder","E","A generative AI model for automating construction bid preparation","In the Beta case, the primary participant was the Bid Manager (BM)","Not mentioned","PAGE 9, Source 274"
"N05","Bid Administrator 1 (BA1)","Knowledge Holder","E","A generative AI model for automating construction bid preparation","BA1, 1, 2 years","Not mentioned","PAGE 9, Source 272"
"N06","Bid Administrator 2 (BA2)","Knowledge Holder","E","A generative AI model for automating construction bid preparation","BA2, 1, 3 years","Not mentioned","PAGE 9, Source 272"
"N07","Historical bid documents","Explicit Knowledge","E","A generative AI model for automating construction bid preparation","A dedicated domain-specific database was created, containing 13 historical bid documents","Not mentioned","PAGE 7, Source 221"
"N08","Requests for Proposals (RFPs)","Explicit Knowledge","E","A generative AI model for automating construction bid preparation","Data were collected through semi-structured interviews with bid personnel and analysis of historical proposals and Requests for Proposals.","A client request detailing project scope, rules, and evaluation conditions","PAGE 2, Source 32"
"N09","Predefined requirements","Explicit Knowledge","E","A generative AI model for automating construction bid preparation","GPT-4o LLM is used in extracting predefined requirements from the uploaded RFP","Not mentioned","PAGE 11, Source 389"
"N10","Bid manager's intuition","Tacit Knowledge","E","A generative AI model for automating construction bid preparation","Beta's reliance on the bid manager's intuition","Uncodified personal operational logic used to guide decisions without standard data tools","PAGE 18, Source 617"
"N11","Contextual judgment","Tacit Knowledge","E","A generative AI model for automating construction bid preparation","The findings reaffirm the need for human oversight in activities involving contextual judgment","Not mentioned","PAGE 19, Source 629"
