"node_id","node_name","category","evidence_label","case_title","evidence_statement","object_definition","evidence_location","sub_category_id","sub_category"
"c101M01N06","Knowledge acquisition","Tacit Knowledge","E","Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study","Primary outcomes were perceived educational clarity and knowledge acquisition assessed by a 40-item multiple-choice examination.","The internalized cognitive command of core pediatric surgical data.","PAGE 1, Line 12","TK10","Cognitive others"
"c101M01N07","Perceived educational clarity","Tacit Knowledge","E","Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study","Primary outcomes were perceived educational clarity (five-point Likert scale) and knowledge acquisition","Trainee comprehension confidence and internal presentation processing fidelity.","PAGE 1, Line 12","TK10","Cognitive others"
"c101M02N06","Confidence in understanding","Tacit Knowledge","E","Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study","Confidence in understanding (component of clarity scale) was significantly higher in AI-enhanced group (4.49 vs. 3.93).","Learner’s self-assessed comprehension.","Page 5, Results – Primary educational outcomes","TK10","Cognitive others"
"c101M02N07","Visual comfort","Tacit Knowledge","E","Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study","Secondary outcome: visual comfort (mean 4.48 vs. 3.91; p<0.001).","Subjective ease of viewing the video.","Page 5, Secondary outcomes and subgroup analyses","TK10","Cognitive others"
"c101M02N08","Perceived professionalism","Tacit Knowledge","E","Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study","Secondary outcome: perceived professionalism (mean 4.51 vs. 3.89; p<0.001).","Learner’s judgement of video production quality.","Page 5, Secondary outcomes and subgroup analyses","TK10","Cognitive others"
"c101M02N09","Willingness to recommend format","Tacit Knowledge","E","Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study","Willingness to recommend: 87.5% AI-enhanced vs. 63.3% standard.","Intention to endorse the video format to peers.","Page 5-6, Secondary outcomes","TK10","Cognitive others"
"c102M01N03","Baduanjin physical coordination skill","Tacit Knowledge","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Baduanjin-based somatosensory training","Limb coordination disorder affects people's ability to perform daily activities... Baduanjin has auxiliary therapeutic effects on cardiorespiratory and musculoskeletal rehabilitation.","The uncodified bodily skill, movement accuracy, and fluid sequence physical posture.","PAGE 1, PAGE 2","TK02","Somatic procedural know-how"
"c102M02N08","Embodied cognition of correct movement execution","Tacit Knowledge","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Baduanjin-based somatosensory training","The TWJB system effectively enhances users' self-perception of movement accuracy and execution initiative through virtualized body synchronized feedback","Internal understanding and feel of how to perform movements correctly, developed through mirroring and real-time feedback","Section 6","TK10","Cognitive others"
"c102M02N09","Real-time motion coordination skill","Tacit Knowledge","I","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Baduanjin-based somatosensory training","System captures and evaluates user performance in real time... helping users to focus their corrections","Ability to smoothly execute whole-body movement sequences while adjusting based on immediate feedback","Section 3.2.3","TK02","Somatic procedural know-how"
"c102M02N10","Self-perception of movement accuracy","Tacit Knowledge","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Baduanjin-based somatosensory training","Enhances users' self-perception of movement accuracy","User's subjective awareness of how precisely their movements match the standard form","Section 6","TK10","Cognitive others"
"c102M02N11","Situational awareness during training","Tacit Knowledge","I","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Baduanjin-based somatosensory training","The user avatar captures the user's skeletal motion data... and mimics the user's movements in real time, which is displayed in the virtual environment","Understanding one's own body position, movement quality, and progress relative to the virtual instructor","Section 3.2.1","TK09","Cognitive situational problem-solving"
"c103M01N05","Hands-on Robot Management Competency","Tacit Knowledge","E","Game-based learning as training to use a chemotherapy preparation robot","developing operators' understanding of the process and helping them acquiring the competencies to manage the robot.","The manual skill to manage products, execute pre-process, process, post-process, and release stages safely.","Page 2, Page 9","TK04","Somatic operational know-how"
"c103M01N06","Dose-banding Preparation Skill","Tacit Knowledge","E","Game-based learning as training to use a chemotherapy preparation robot","The team, thus, underwent a dose-banding exercise","The specialized technical routine of preparing multiple identical stock drug bags with long expiration dates.","Page 3","TK02","Somatic procedural know-how"
"c103M01N07","Individualized Preparation Skill","Tacit Knowledge","E","Game-based learning as training to use a chemotherapy preparation robot","and an individualized preparation exercise","The precise execution routine of preparing a single custom-dosed bag for a specific patient with a short expiration.","Page 3","TK02","Somatic procedural know-how"
"c103M01N08","Self-efficacy Belief in Robot Use","Tacit Knowledge","E","Game-based learning as training to use a chemotherapy preparation robot","Before, after the training, and at 6 months (6M), their robot knowledge was assessed on a 0-24-scale, motivation and self-efficacy in using it on 0-to-100 scales.","The operator's internal confidence in their personal technical capacity to run the robot system safely.","Page 1","TK10","Cognitive others"
"c103M01N09","Operator Motivation","Tacit Knowledge","E","Game-based learning as training to use a chemotherapy preparation robot","Complex technical use, downtime periods, and insufficient training caused a drop in motivation","The psychological drive and willingness of staff members to routinely employ automated setups over manual alternatives.","Page 1, Page 2","TK10","Cognitive others"
