node_id,node_name,category,evidence_label,case_title,evidence_statement,object_definition,evidence_location
c201M01N15,Google Gemini 2.5 Pro API,Digital Technology,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,Powered by Gemini 2.5 Pro... The system's core logic is powered by Google's Gemini 2.5 Pro API.,The large language model acting as the primary reasoning layer for code generation.,"Page 1, Page 3"
c201M01N16,Gradio open-source Python framework,Digital Technology,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,"The user interface is built with Gradio, an open-source Python framework that enables the rapid development of web-based UIs.",The interface tool used to deploy the split-screen chat and canvas visualization window.,"Page 1, Page 3"
c201M01N17,bpmn-js JavaScript toolkit,Digital Technology,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,"Process diagrams are rendered in the browser using bpmn-js, a powerful, open-source JavaScript toolkit for BPMN 2.0.",The client-side rendering library that visually parses valid XML structures.,"Page 1, Page 3"
c201M02N20,Gemini 2.5 Pro model,Digital Technology,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,Powered by Gemini 2.5 Pro ... state-of-the-art LLM as the reasoning engine,Large language model used for understanding and generating BPMN,"Section 1, 2.1"
c202M01N11,iPad Pro,Digital Technology,E,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,an iPad Pro was chosen for its high computational power and large screen,Hardware tablet platform processing real-time tracking feeds.,"PAGE 4, Line 184"
c202M01N12,Vuforia Engine,Digital Technology,E,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,marker-based AR application was developed using the Vuforia Engine,Software development kit providing computer vision tracking targets.,"PAGE 4, Line 189"
c202M01N13,QR code AR marker,Digital Technology,E,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,"A QR code served as the AR marker, placed on the breadboard",Physical reference target used to anchor virtual visuals accurately.,"PAGE 4, Line 190"
c202M01N14,3D animated models,Digital Technology,E,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,leveraging the signaling principle through 3D animated models,Dynamic virtual objects depicting real components and wiring sequences.,"PAGE 1, Line 15"
c202M01N15,Web server,Digital Technology,E,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,with the commands signal sent via a web server.,Data transaction engine processing digital verification signals.,"PAGE 5, Line 227"
c202M01N16,NodeMCU ESP8266 microcontroller board,Digital Technology,E,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,the NodeMCU ESP8266 selected for the IoT assembly task,Physical target device being assembled by participants.,"PAGE 4, Line 185"
