ID,Object,Question,c001,c002,c003,c004,c005,c006,c007,c101,c102,c103,c104,c105,c106,c107,c108,c109,c201,c202,c203,c204,c205,c206,c207,c208,c209,c210,c211
DS01Q01,Tacit knowledge,Which tacit knowledge is described?,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
DS01Q02,Knowledge Holder,Which knowledge holders are described?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DS01Q03,Traditional Human-centred Practices,Which traditional human-centred practices are described?,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0
DS01Q04,Technology-enabled Practice,Which technology‑enabled practices have been described?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DS01Q05,Digital Technology,which emerging technologies have been described?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DS01Q06,Organizational Dependency,Which internal prerequisites are stated as necessary for technology-enable practices?,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1
DS01Q07,Environment Dependency,Which external factors affect the implementation of technology-enable practices?,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0
DS01Q08,Limitation,Which limitations are been described,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DS01Q09,be_held_by,Which tacit knowledge knowledge holders hold?,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1
DS01Q10,be_absorbed_by,which tacit knowledge knowledge holders absorb?,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1
DS01Q11,be_captured_by,which tacit knowledge is captured by technology-enable practices?,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1
DS01Q12,be_transferred_by,"Which uncodified skills, intuitions, or behavioral routines  are actively transferred via technology‑enabled practices?",1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1
DS01Q13,participate_in,Which knowledge holders actively take part in knowledge retention practices?,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1
DS01Q14,depend_on,which organization or environment conditions technology-enable practices depend on?,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1
DS01Q15,evaluate,which tacit knowledge technology-enable practices evaluate?,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1
DS01Q16,adopt,Which digital technologies technology‑enabled practices adopt?,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1
