node_id,node_name,category,evidence_label,case_title,evidence_statement,object_definition,evidence_location,Unnamed: 8
c101M01N16,Gemini 2.5 Pro API,Digital Technology,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,The system's core logic is entirely powered by Google's Gemini 2.5 Pro API.,The large-language-model API used as the prototype's reasoning engine.,"Page 3, Section 2.1",
c101M01N17,Gradio,Digital Technology,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,"The user interface is built with Gradio, an open-source Python framework for web-based machine-learning interfaces.",The software framework used to implement the conversational web interface.,"Page 3, Section 2.1",
c101M01N18,bpmn-js,Digital Technology,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,Process diagrams are rendered in the browser using bpmn-js.,The JavaScript toolkit used for client-side BPMN rendering and interaction.,"Page 3, Section 2.1",
c102M01N23,GPT-4,Digital Technology,E,Large Language Model For Humanoid Cognition In Proactive Human-Robot Collaboration,"GPT-4 is tested for task interpretation in open-domain, assembly, and HRC images.",Large language model used for image-based zero-shot task interpretation.,"Section III-A, p. 542; Table I",
c102M01N24,Pre-trained video-text LLM,Digital Technology,E,Large Language Model For Humanoid Cognition In Proactive Human-Robot Collaboration,The pre-trained video-text LLM is directly applied to downstream HRC validation without fine-tuning.,Pre-trained language-and-video model used to predict human action intentions.,"Section III-B, p. 543",
c102M01N25,Transformer video encoder,Digital Technology,E,Large Language Model For Humanoid Cognition In Proactive Human-Robot Collaboration,The stream of video images is fed into a Transformer video encoder.,Encoder that transforms temporal video into visual representations.,"Section III-B, p. 542; Figure 4",
c102M01N26,Cross-attention module,Digital Technology,E,Large Language Model For Humanoid Cognition In Proactive Human-Robot Collaboration,A cross-attention module obtains global visual embeddings.,Attention mechanism used to aggregate visual information.,"Section III-B, p. 542; Figure 4",
c102M01N27,Text decoder,Digital Technology,E,Large Language Model For Humanoid Cognition In Proactive Human-Robot Collaboration,A text decoder generates narrations from visual embeddings autoregressively.,Decoder that generates natural-language narration from encoded information.,"Section III-B, pp. 542-543; Figure 4",
c102M01N28,Dual-encoder model,Digital Technology,E,Large Language Model For Humanoid Cognition In Proactive Human-Robot Collaboration,A dual-encoder model refines textual descriptions and generates human intention narration.,Text encoder and text decoder used to refine narration quality.,"Section III-B, pp. 542-543; Figure 4",
c102M01N29,LLM,Digital Technology,E,Large Language Model For Humanoid Cognition In Proactive Human-Robot Collaboration,The LLM recursively decomposes task descriptions and infers interactions with multiple objects.,Language model used for task decomposition and robot skill acquisition.,"Section III-C, p. 543; Figure 5",
c102M01N30,Rapidly-exploring random tree,Digital Technology,E,Large Language Model For Humanoid Cognition In Proactive Human-Robot Collaboration,The motion planner uses a rapidly-exploring random tree to generate diverse robot trajectories.,Sampling algorithm used by the motion planner for trajectory generation.,"Section III-C, p. 543",
