src_node_id,dst_node_id,relation_type,evidence_label,case_title
"N02","N01","be documented as","E","Immersive virtual reality training for excavation safety and hazard identification"
"N01","N03","be held by","E","Immersive virtual reality training for excavation safety and hazard identification"
"N02","N03","be held by","E","Immersive virtual reality training for excavation safety and hazard identification"
"N01","N04","be learned by","E","Immersive virtual reality training for excavation safety and hazard identification"
"N02","N04","be learned by","E","Immersive virtual reality training for excavation safety and hazard identification"
"N01","N05","be transferred through","E","Immersive virtual reality training for excavation safety and hazard identification"
"N02","N06","be captured through","E","Immersive virtual reality training for excavation safety and hazard identification"
"N01","N06","be represented through","E","Immersive virtual reality training for excavation safety and hazard identification"
"N05","N07","depend on","I","Immersive virtual reality training for excavation safety and hazard identification"
"N06","N07","depend on","I","Immersive virtual reality training for excavation safety and hazard identification"
"N05","N08","be constrained by","E","Immersive virtual reality training for excavation safety and hazard identification"
"N05","N09","be constrained by","I","Immersive virtual reality training for excavation safety and hazard identification"
"N06","N05","complement","E","Immersive virtual reality training for excavation safety and hazard identification"
