node_id,node_name,category,evidence_label,case_title,evidence_statement,object_definition,evidence_location,sub_category_id,sub_category,sub_category_id_h,sub_category_h
c001M01N08,Head Mounted Displays (Oculus Quest),Digital Technology,E,Immersive virtual reality training for excavation safety and hazard identification,The training solution presented in this work was an immersive VR application deployed on one of the most popular standalone HMDs: Oculus quest.,Hardware tool providing immersive visual display and spatial mapping to the user.,"Page 6, Section 3.1",TE02,Human–Computer Interaction and Immersive Technologies,,
c001M01N09,Unity game engine,Digital Technology,E,Immersive virtual reality training for excavation safety and hazard identification,The virtual environments were modelled and rendered using Unity (version 2019.1.10f1).,"Software platform used to design, build, and simulate the 3D construction site scenarios.","Page 6, Section 3.1",TE02,Human–Computer Interaction and Immersive Technologies,,
c001M01N10,Wireless controllers,Digital Technology,E,Immersive virtual reality training for excavation safety and hazard identification,The office scenario offered tutorials for participants to learn and practice interaction and navigation using Oculus Quest's wireless controllers in VR.,"Hardware input devices enabling users to execute virtual grab, view, measure, and tag interactions.","Page 6, Section 3.1",TE02,Human–Computer Interaction and Immersive Technologies,,
c001M01N15,Direct selection user interface mode,Digital Technology,E,Immersive virtual reality training for excavation safety and hazard identification,The results show that direct selection mode UI performed better than indirect selection mode,Specific software menu interaction configuration style verified to optimize user hazard identification accuracy.,"Page 5, Section 2 (Table 1)",TE02,Human–Computer Interaction and Immersive Technologies,,
c001M02N23,Terrain plugin,Digital Technology,E,Immersive virtual reality training for excavation safety and hazard identification,A Unity plugin called Terrain was used to create site terrains,Unity plugin for terrain generation,"p.6, Section 3.1",TE02,Human–Computer Interaction and Immersive Technologies,,
c001M02N24,Snaps Art HD - Construction Site asset,Digital Technology,E,Immersive virtual reality training for excavation safety and hazard identification,Snaps Art HD- Construction Site was used to develop the construction scenarios,Unity asset package,"p.6, Section 3.1",TE02,Human–Computer Interaction and Immersive Technologies,,
c001M02N26,Motion tracking system,Digital Technology,E,Immersive virtual reality training for excavation safety and hazard identification,"Thanks to the motion tracking system and sensors embedded in Oculus Quest, navigation in virtual environments was similar to walking",System tracking real-world movement,"p.7, Section 3.2",TE02,Human–Computer Interaction and Immersive Technologies,,
c001M02N27,"Virtual menu (grab, view, measure, tag)",Digital Technology,E,Immersive virtual reality training for excavation safety and hazard identification,"Participants could activate a virtual menu that allowed for four types of actions: grab, view a safety file, measure distances, tag hazards",UI component for interaction,"p.7, Section 3.2",TE02,Human–Computer Interaction and Immersive Technologies,,
c002M01N15,3D Laser Scanning Technology,Digital Technology,E,Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings,"Based on 3D laser scanning, VR (Virtual Reality) and big data, we collect architectural data.",Hardware laser tracking and point cloud processing framework.,"Page 1, Abstract",TE05,"Computer Vision, Sensing, and Perception",,
c002M01N17,Unity3D Engine,Digital Technology,E,Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings,The historical cognition of visitors increased by 53% after the QR code animation triggered by Unity3D engine.,Cross-platform software engine powering real-time rendering.,"Page 2, Section 2.2.1",TE02,Human–Computer Interaction and Immersive Technologies,,
c002M01N18,NetEase Yaotai Architecture,Digital Technology,E,Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings,"Based on the NetEase Yaotai architecture, a co-creation module of 'Red Journey' is constructed.",Metaverse framework supporting massive online user co-creation.,"Page 2, Section 2.2.2",TE02,Human–Computer Interaction and Immersive Technologies,,
c002M02N18,FARO Focus S350 laser scanner,Digital Technology,E,Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings,FARO Focus S350 realizes millimeter-level point cloud modeling,Specific hardware model for 3D laser scanning,Section 2.1.1,TE05,"Computer Vision, Sensing, and Perception",,
c002M02N20,Tobii Pro eye tracker,Digital Technology,E,Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings,Tobii Pro eye tracker ... quantify the distribution of visitor's attention,Hardware for measuring eye gaze and attention patterns,Section 2.3.1,TE05,"Computer Vision, Sensing, and Perception",,
c002M02N21,Emotiv EEG device,Digital Technology,E,Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings,"Emotiv EEG device, the emotion of visitors in VR scenario are quantified",Hardware for measuring electroencephalogram signals,Section 2.3.1,TE05,"Computer Vision, Sensing, and Perception",,
c003M01N09,Virtual Reality Head-Mounted Display (VR-HMD),Digital Technology,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment,VR visualizations with a VR head-mounted display (VR-HMD) were used by Li et al. to train workers,Stereoscopic digital visual display hardware utilized to fully enclose a user's sensory field within a digital sandbox,PAGE 4,TE02,Human–Computer Interaction and Immersive Technologies,,
c003M01N10,Augmented Reality (AR) Device,Digital Technology,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment,"For visualization of safety training in XR realm, two head-mounted displays (HMD) were used... Microsoft Hololens 2 was used for AR training",Optical see-through hardware devices designed to layer holographic assets onto a user's direct physical field of view,PAGE 15,TE02,Human–Computer Interaction and Immersive Technologies,,
c003M01N11,Unity3D,Digital Technology,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment,authors used Unity3D to prepare immersive visualizations for XR-based training,A interactive real-time multiplatform 3D game engine used to construct simulated hazard environments and model dynamic protective mechanics,"PAGE 7, PAGE 14",TE02,Human–Computer Interaction and Immersive Technologies,,
c003M02N14,Microsoft Hololens 2 (AR HMD),Digital Technology,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment,Microsoft Hololens 2 was used for AR training.,AR head-mounted display,"Section 3.4, page 15",TE02,Human–Computer Interaction and Immersive Technologies,,
c003M02N15,Samsung Odyssey VR headset (VR HMD),Digital Technology,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment,Samsung Odyssey VR headset was used for VR training.,VR head-mounted display,"Section 3.4, page 15",TE02,Human–Computer Interaction and Immersive Technologies,,
c003M02N16,Unity3D game engine,Digital Technology,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment,the authors used Unity3D. Fall risks and their protections were modelled as per the code of practice. Animations were created.,game engine for creating immersive environments and animations,"Section 3, page 7; Section 3.4, page 14",TE02,Human–Computer Interaction and Immersive Technologies,,
c003M02N17,Building Information Models (BIM),Digital Technology,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment,Increased adoption of Construction 4.0 standards has enabled the use of immersive building information models (BIM). Two different construction models were used—one representing the construction of a free-standing house and the other representing a low-rise housing building.,3D digital representations of construction projects,"Section 1, page 1; Section 3.4, page 14-15",TE04,Information Systems and Data Management,,
c004M01N21,OpenAI GPT-4o LLM,Digital Technology,E,A generative AI model for automating construction bid preparation,"OpenAI's GPT-4o, a proprietary LLM developed to generate coherent and useful text... was employed",A frontier foundational language model engineered for technical text tasks,"PAGE 7, Source 234",TE01,Artificial Intelligence and Computational Intelligence,,
c004M01N22,OpenAI text-embedding-ada-002,Digital Technology,E,A generative AI model for automating construction bid preparation,Text chunks were converted into dense vector embeddings using OpenAI's text-embedding-ada-002,An algorithm framework that builds structured vectors from raw string tokens,"PAGE 7, Source 226",TE01,Artificial Intelligence and Computational Intelligence,,
c004M01N23,LangChain framework,Digital Technology,E,A generative AI model for automating construction bid preparation,The pipeline was orchestrated through the LangChain framework,A programmatic toolkit used to link models with document repositories,"PAGE 8, Source 250",TE01,Artificial Intelligence and Computational Intelligence,,
c004M02N27,GPT-4o LLM,Digital Technology,E,A generative AI model for automating construction bid preparation,"OpenAI's GPT-4o, a proprietary LLM, used for requirements extraction and proposal generation due to its reasoning capabilities and robustness in technical writing.",Not mentioned,Page 6,TE01,Artificial Intelligence and Computational Intelligence,,
c004M02N29,Pinecone vector database,Digital Technology,E,A generative AI model for automating construction bid preparation,A vector database used to store embeddings and enable cosine similarity search. Chosen for scalability and real-time high-dimensional vector handling.,Not mentioned,Page 6,TE04,Information Systems and Data Management,,
c004M02N31,Streamlit,Digital Technology,E,A generative AI model for automating construction bid preparation,Lightweight graphical interface built with Streamlit for user interaction.,Not mentioned,Page 7,TE07,"Mobile, Social and Communication Technologies",,
c004M02N32,PDF format,Digital Technology,E,A generative AI model for automating construction bid preparation,All documents were stored in PDF format to reflect standard consulting practices.,Not mentioned,Pages 6-7,TE04,Information Systems and Data Management,,
c005M01N13,multiple IMU sensors,Digital Technology,E,Fundamental Knowledge Acquisition by Using Wearable Sensor for “KEIROKA” of Construction Industry,"In this study, a lumbar load measuring device with multiple IMU sensors was used to measure workload.",Inertial Measurement Units attached to body segments to track spatial orientation angles.,"Page 2, Chapter 1.2",TE05,"Computer Vision, Sensing, and Perception",,
