sub_category_id,sub_category,node_id,node_name,evidence_statement,adjust_sub_category_id,adjust_sub_category
"EK02","Codified Descriptive Knowledge","c209M01N01","patient-specific CT scan images","Lung CT scan images were imported into Mimics in DICOM format and used for reconstruction.","EK02","Codified Descriptive Knowledge"
"EK02","Codified Descriptive Knowledge","c209M01N02","generated STL file","The generated STL file of the 3DV model was imported into preprocessing software for inspection and repair.","EK02","Codified Descriptive Knowledge"
"EK02","Codified Descriptive Knowledge","c209M01N03","lung anatomy","The course covered lung anatomy, specifically segmental and subsegmental divisions.","EK02","Codified Descriptive Knowledge"
"EK01","Codified Normative Knowledge","c209M01N04","safe margins for early-stage lung cancer","The teaching content included knowledge of safe margins for early-stage lung cancer.","EK01","Codified Normative Knowledge"
"EK02","Codified Descriptive Knowledge","c209M01N05","resection range","The teaching content included the resection range.","EK02","Codified Descriptive Knowledge"
"EK03","Codified Procedural Knowledge","c209M01N06","surgical treatment strategies","The course covered related surgical treatment strategies.","EK03","Codified Procedural Knowledge"
"EK02","Codified Descriptive Knowledge","c209M02N09","3DV digital lung anatomical model","The 3DV model, which included bronchi, pulmonary arteries, pulmonary veins, tumors, lung lobes, and segments","EK02","Codified Descriptive Knowledge"
"EK07","Codified Outcome Knowledge","c209M02N10","Theory test scores (thoracic surgery)","Pre- and post-teaching test scores were compared to assess the effectiveness of both models","EK07","Codified Outcome Knowledge"
"EK07","Codified Outcome Knowledge","c209M02N11","Questionnaire survey ratings","after the final test, all interns completed a questionnaire that rated the advantages of each group's model on a scale of 1 to 5","EK07","Codified Outcome Knowledge"
"EK06","Codified Evaluative Knowledge","c209M02N12","Fill-in-the-blank questions (lung segment naming)","The test consisted of three parts: fill-in-the-blank questions","EK06","Codified Evaluative Knowledge"
"EK06","Codified Evaluative Knowledge","c209M02N13","Image recognition questions (anatomy)","The test consisted of three parts:... image recognition","EK06","Codified Evaluative Knowledge"
"EK06","Codified Evaluative Knowledge","c209M02N14","Multiple-choice questions (surgical reasoning)","The test consisted of three parts:... multiple-choice questions","EK06","Codified Evaluative Knowledge"
"EK03","Codified Procedural Knowledge","c209M02N15","Thoracoscopic sublobar resection procedural steps","After routine disinfection and draping, a single-port thoracoscopic incision is made at the 4th or 5th intercostal space...","EK03","Codified Procedural Knowledge"
"EK02","Codified Descriptive Knowledge","c209M02N16","Lung segmental and subsegmental anatomy knowledge","It covered lung anatomy, specifically segmental and subsegmental divisions","EK02","Codified Descriptive Knowledge"
"EK03","Codified Procedural Knowledge","c209M02N18","Sublobar resection range knowledge","resection range, and related surgical treatment strategies","EK03","Codified Procedural Knowledge"
"EK01","Codified Normative Knowledge","c210M01N01","Standard Guide to Practice Standards for Intravenous Fluid Therapy (2021 edition)","The research team referenced the Chinese version of this standard when revising the survey instrument.","EK01","Codified Normative Knowledge"
"EK01","Codified Normative Knowledge","c210M01N02","Standard of Practice for Intravenous Therapy Nursing Techniques (WS/T 433-2023)","The research team referenced WS/T 433-2023 when revising the survey instrument.","EK01","Codified Normative Knowledge"
"EK01","Codified Normative Knowledge","c210M01N03","Clinical Nursing Practice Guidelines for Common Complications of Intravenous Catheters","The questionnaire was developed with reference to these clinical nursing practice guidelines.","EK01","Codified Normative Knowledge"
"EK09","Ambiguous Explicit Knowledge(*)","c210M01N04","Relevant domestic literature","The researchers synthesized relevant domestic literature and reformulated the survey questions for the Chinese clinical context.","EK09","Ambiguous Explicit Knowledge(*)"
"EK03","Codified Procedural Knowledge","c210M01N05","Educational content on PIVC placement techniques","Two to three concise educational messages regarding PIVC placement techniques were delivered twice daily for ten days.","EK03","Codified Procedural Knowledge"
"EK02","Codified Descriptive Knowledge","c210M01N06","Nurses’ knowledge of PIVC placement","Ten single-choice questions quantified nurses’ understanding of PIVC placement knowledge.","EK02","Codified Descriptive Knowledge"
"EK06","Codified Evaluative Knowledge","c210M02N01","10-item PIVC knowledge MCQ survey","The participants knowledge was assessed by designing 10 singlechoice questions. One point was awarded for correct answers to each question, and no points were awarded for incorrect answers.","EK06","Codified Evaluative Knowledge"
"EK06","Codified Evaluative Knowledge","c210M02N02","13-item PIVC practical skills checklist","A checklist was utilized to assess nurses performance in practical manoeuvres systematically. The scale consisted of 13 assessment items, each of which was scored by onsite observation, and the results were categorized into two categories: pass and fail. The total score for the entire checklist was 15 points.","EK06","Codified Evaluative Knowledge"
"EK03","Codified Procedural Knowledge","c210M02N06","10-day WeChat educational message schedule","Table 1. Educational content.","EK03","Codified Procedural Knowledge"
"EK09","Ambiguous Explicit Knowledge(*)","c211M01N01","professional knowledge","Knowledge contribution is defined as physicians proactively creating and sharing professional knowledge, clinical experiences, or solutions.","EK09","Ambiguous Explicit Knowledge(*)"
"EK08","Codified Experiential Knowledge","c211M01N02","case analyses","Publishing case analyses is provided as an example of knowledge contribution.","EK08","Codified Experiential Knowledge"
"EK08","Codified Experiential Knowledge","c211M01N03","experience summaries","Publishing experience summaries is provided as an example of knowledge contribution.","EK08","Codified Experiential Knowledge"
"EK09","Ambiguous Explicit Knowledge(*)","c211M01N04","knowledge-sharing posts","The paper identifies posts used for sharing knowledge and measures them as physician contributions.","EK09","Ambiguous Explicit Knowledge(*)"
"EK09","Ambiguous Explicit Knowledge(*)","c211M01N05","existing community knowledge","Knowledge seeking includes searching, browsing, and assimilating existing knowledge in the community.","EK09","Ambiguous Explicit Knowledge(*)"
"EK08","Codified Experiential Knowledge","c211M02N01","Physicians' clinical experiences","Physicians' proactive creation and sharing of professional knowledge, clinical experiences, or solutions, such as publishing case analyses or experience summaries in communities","EK08","Codified Experiential Knowledge"
"EK08","Codified Experiential Knowledge","c211M02N03","Physicians' clinical case analyses","Publishing case analyses or experience summaries in communities","EK08","Codified Experiential Knowledge"
"EK09","Ambiguous Explicit Knowledge(*)","c211M02N20","Physicians' knowledge contribution posts","Physicians' proactive creation and sharing of professional knowledge, clinical experiences, or solutions, such as publishing case analyses or experience summaries in communities","EK09","Ambiguous Explicit Knowledge(*)"
"EK09","Ambiguous Explicit Knowledge(*)","c211M02N21","Physicians' knowledge seeking comments","Knowledge seeking describes physicians' active searching, browsing, and assimilation of existing community knowledge","EK09","Ambiguous Explicit Knowledge(*)"
"EK07","Codified Outcome Knowledge","c211M02N23","Knowledge sharing effectiveness outcomes","This study examines how distinct stressor types influence physicians' knowledge-sharing behaviors within online communities","EK07","Codified Outcome Knowledge"
"EK01","Codified Normative Knowledge","c212M01N01","Ethical principles and standards","AI programs assisted students in analyzing practical cases and making decisions based on ethical principles; the course addressed ethical principles and standards.","EK01","Codified Normative Knowledge"
"EK02","Codified Descriptive Knowledge","c212M01N02","Bioethics knowledge","Faculty examinations covered core medical subjects and specialized topics in bioethics.","EK02","Codified Descriptive Knowledge"
"EK07","Codified Outcome Knowledge","c212M02N01","Standardized exam grades","Standardized exams and tests designed by faculty members were used to assess academic performance. The exams covered core subjects of medical education, as well as specialized topics in bioethics.","EK07","Codified Outcome Knowledge"
"EK01","Codified Normative Knowledge","c212M02N02","Bioethical principles and codes","The moral behavior test, developed based on existing scales and tests in medical ethics, was used to assess moral behavior. The test included situational tasks and questions evaluating ethical decision-making.","EK01","Codified Normative Knowledge"
"EK01","Codified Normative Knowledge","c212M02N03","Medical deontology standards","Medical deontology refers to the set of ethical norms governing the professional behavior of healthcare workers in their interactions with patients. Deontology reflects ethical concepts and possesses a more pragmatic and specific nature.","EK01","Codified Normative Knowledge"
