node_id,node_name,category,evidence_label,case_title,evidence_statement,object_definition,evidence_location
c201M01N05,Lesion detection skill,Tacit Knowledge,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,Lesion detection rate operationalized visual-search efficiency and observational vigilance.,Applied ability to identify lesions during image interpretation.,"PDF pp. 4-7, Methods, Results, and Discussion"
c201M01N06,Anatomical localization skill,Tacit Knowledge,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,Localization accuracy measured spatial reasoning and anatomical localization.,Applied visuospatial ability to locate abnormalities anatomically.,"PDF pp. 4-7, Methods, Results, and Discussion"
c201M01N07,Diagnostic reasoning skill,Tacit Knowledge,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,Diagnostic accuracy measured evidence integration and pathological classification.,Applied ability to integrate evidence and reach a diagnosis.,"PDF pp. 3-7, Methods, Results, and Discussion"
c201M01N08,Structured communication skill,Tacit Knowledge,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,Report completeness measured structured communication fidelity.,Applied ability to communicate diagnostic findings completely in a clinical report.,"PDF pp. 4-7, Methods, Results, and Discussion"
c201M01N09,Human-AI collaboration competency,Tacit Knowledge,I,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,The authors describe AI-ready competency and sustained AI use during later clinical rotations.,Applied ability and readiness to work with AI during diagnostic practice.,"PDF pp. 6-8, Discussion and Conclusion"
c201M02N10,Radiologist Diagnostic Reasoning Schema,Tacit Knowledge,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,Structured diagnostic prompting: scaffolded intrinsic load management by providing step-by-step guidance for differential diagnosis and real-time sign recognition feedback,Tacit skill involving the integration of evidence for diagnostic reasoning and pathological classification,"Page 7, Section 7"
c201M02N11,Radiological Visual Search Proficiency,Tacit Knowledge,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,Lesion detection rate (reflecting visual search efficiency),Tacit skill involving observational vigilance and efficient visual search for lesion identification,"Page 4, Section 2.2"
c201M02N13,Detect-Localize-Diagnose-Communicate Competency,Tacit Knowledge,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,"Measured through domain-specific metrics operationalizing the detect-localize-diagnose-communicate framework including lesion detection rate, localization accuracy, diagnostic accuracy, and report completeness","Composite tacit skill encompassing lesion detection, anatomical localization, diagnostic accuracy, and report completeness","Page 4, Section 2.2"
c202M01N10,use smartwatches to measure vital signs,Tacit Knowledge,E,Enhancing Digital Health Literacy Of Village Health Volunteers Through Vocational Training Programs,"During the IoT workshop, VHVs learned how to use smartwatches to measure vital signs.",A hands-on ability to operate smartwatches for health measurement.,"PDF p. 3, Section III.B"
c202M01N11,integrate data from wearable devices into ChatGPT for analysis,Tacit Knowledge,E,Enhancing Digital Health Literacy Of Village Health Volunteers Through Vocational Training Programs,Participants practically integrated wearable-device data into ChatGPT for analysis.,A hands-on ability to transfer wearable-device data into an AI tool and analyze it.,"PDF p. 3, Section III.B"
