uuid,kr_flag,kr_evidence,kr_confidence,tacit_knowledge,TK_normalized,TK_confidence,DT_flag,DT_evidence,DT_confidence,Digital_Technologies,DT_normalized,article_type,article_type_evidence,article_type_confidence
7b1894e0-4779-43b2-a817-4c7e34115000,No,"The study focuses on the usability and effectiveness of VR-based learning objects, but does not explicitly discuss capturing or retaining knowledge from individuals or organizations.",high,None identified,None identified,None identified,Yes,"Virtual Reality (VR) is used to create learning objects, and the study evaluates their usability and educational impact.",high,Virtual Reality (VR),Human–Computer Interaction and Immersive Technologies,Empirical Study,"This study examines its impact through an experimental investigation involving 554 university students who interacted with VR-based learning objects. Usability, technical quality, aesthetics, and effectiveness in information acquisition were assessed.",high
58951602-c83a-4a49-824a-c5a86575341f,Yes,"The paper discusses how digital tools facilitate the preservation and transformation of cultural knowledge, which is a form of tacit knowledge embedded in social and cultural practices.",high,"Cultural knowledge, traditions, and practices of Santhals and Kuki communities",Collective Tacit Knowledge,high,Yes,"The paper discusses the use of digital tools such as smartphones, virtual and augmented reality, GIS, and 3D Scanning to preserve and transform cultural knowledge.",high,smartphones; virtual and augmented reality; GIS; 3D Scanning,"Human–Computer Interaction and Immersive Technologies; Imaging, Sensing, and Perception Technologies; Mobile, Social, and Communication Technologies",Case Study,"Through an anthropological perspective, the paper highlights the contextual understanding of the meaning-making process, a framework rooted in decolonization, and captures intangible practices with case studies related to festivals documented during the fieldwork among the Santhals and the Kukis.",high
d7d36250-5aa0-48e5-8eea-e3e6cac7c200,No,"The study focuses on the challenges and opportunities for HCI research in wildfire and forest management, but does not explicitly discuss capturing or retaining knowledge from individuals or organizations.",high,None identified,None identified,None identified,Yes,"The study discusses the use of geospatial technologies, which are data and tools contributing to the geographic mapping and analysis of the Earth, to inform measures for the control of wildfires.",high,geospatial technologies,"Data, Information, and Knowledge Systems",Empirical Study,"We interviewed 12 participants in wildfire and forest management to explore the technical and socio-technical nature of these challenges, revealing that (1) knowledge and data are fragmented across stakeholders, ranging from governmental agencies to small landowners.",high
b0f10ad6-9a79-4a02-b86f-6b7cc0c11040,No,"The study focuses on enhancing ethical principle awareness and reasoning in a cybersecurity context using the Ripple Down Rules method, but does not explicitly discuss capturing or retaining knowledge from individuals or organizations.",high,None identified,None identified,None identified,Yes,"The study uses the Ripple Down Rules (RDR) method, a knowledge acquisition and representation method, to enhance ethical awareness and reasoning in cybersecurity contexts.",high,Ripple Down Rules (RDR) method,"Rule-Based, Decision, and Expert Systems",Empirical Study,"This empirical study investigates the effectiveness of the Ripple Down Rules (RDR) method, a knowledge acquisition and representation method, in enhancing ethical awareness and reasoning in cybersecurity contexts. The study employed a randomised controlled design with two treatment and one control groups, using pre- and post-study assessments to evaluate improvements in ethical principle identification and reasoning.",high
47f55db6-f946-4b4b-ac95-75508e7e3ce9,No,"The study focuses on the use of hyperspectral imaging technology to monitor the alterations and spatial distribution of soluble solid content (SSC) in Actinidia arguta, but does not explicitly discuss capturing or retaining knowledge from individuals or organizations.",high,None identified,None identified,None identified,Yes,"Hyperspectral imaging technology, along with feature band extraction methods and machine learning models, is used to predict SSC in Actinidia arguta.",high,hyperspectral imaging technology; competitive adaptive reweighted sampling (CARS); interval variable iterative space shrinkage approach (iVISSA); partial least squares regression (PLSR); particle swarm optimization extreme learning machine (PSO-ELM),"Imaging, Sensing, and Perception Technologies; Data, Information, and Knowledge Systems; Artificial Intelligence and Intelligent Computation",Empirical Study,"In this study, hyperspectral imaging technology was utilized to monitor the alterations and spatial distribution of soluble solid content (SSC) in Actinidia arguta during postharvest storage. After preprocessing, feature band extraction was conducted using competitive adaptive reweighted sampling (CARS), interval variable iterative space shrinkage approach (iVISSA), and a synergistic iVISSA-CARS algorithm. Partial least squares regression (PLSR) and particle swarm optimization extreme learning machine (PSO-ELM) models were developed for SSC prediction.",high
9c422b9c-6ccf-44f8-a002-2a5c251cf7b5,No,"The study compares the effectiveness of online teaching versus traditional education in supporting students' academic success and English language proficiency, but does not explicitly discuss capturing or retaining knowledge from individuals or organizations.",high,None identified,None identified,None identified,No,The study does not explicitly discuss the use of digital technologies to capture or retain knowledge.,high,None identified,None identified,Empirical Study,"This study aimed to compare the effectiveness of online teaching in relation to traditional education in supporting students' academic success and English language proficiency. This study employed an applied quantitative, quasi-experimental research design to compare the effects of different teaching modalities. Data were collected using a standardised achievement test administered to all participants. For the statistical analysis of group differences, a one-way Analysis of Variance (ANOVA) was applied, with a significance level of 0.05.",high
1c744131-41bf-478b-acb3-76de11aeb6e1,No,The abstract focuses on a security system for healthcare data using MELSVM and blockchain. It does not discuss capturing or retaining knowledge from individuals or organizations.,high,None identified,None identified,None identified,Yes,"Utilizing the combined advantages of the MELM and ESVM, the enhancement of the security of MELSVM is done. Utilizing the blockchain technology, the data obtained is safely stored in the cloud. By employing smart contracts, the data exchange between system administrators and clients is ensured.",high,blockchain; smart contracts,"Distributed, Secure, and Trust Technologies; Rule-Based, Decision, and Expert Systems",Empirical Study,"The validation of the proposed technique is done using the datasets UNSW-NB15 and CIDDS-001. In the evaluations done, our proposed technique outperforms the existing techniques by attaining 99.52% accuracy, 98.52% precision, 99.52% recall, and 99.52% F1 score.",high
60547edf-ffe1-4436-abfb-6baf38e84820,No,The abstract focuses on self-determined motivation and innovation adoption in digital transformation. It does not discuss capturing or retaining knowledge from individuals or organizations.,high,None identified,None identified,None identified,No,The abstract does not mention any specific digital technologies used to capture or retain knowledge.,high,None identified,None identified,Empirical Study,"Employing a quantitative approach with 152 survey participants, our findings reveal that self-determined motivation alone is inadequate, while adopting innovation significantly influences digital competence.",high
748d3f69-2787-4bc7-af53-9bc8fe348402,Yes,The study aims to identify and examine the determinants of knowledge sharing on digital knowledge platforms among academic staff. It discusses how individual and organizational factors influence faculty members’ engagement in knowledge sharing via digital knowledge platforms.,high,faculty members’ knowledge sharing behaviors,Collective Tacit Knowledge,high,Yes,The study examines the use of digital knowledge platforms for knowledge sharing among academic staff. The data were analyzed using multiple linear regression in SPSS.,high,digital knowledge platforms; SPSS,"Data, Information, and Knowledge Systems; Other(*)",Empirical Study,"A descriptive-analytical survey design was used. Data were collected through a structured questionnaire based on a five-point Likert scale, targeting academic staff in higher education institutions. The data were analyzed using multiple linear regression in SPSS.",high
8f6da082-5c54-4665-b994-c372c13b85be,No,The abstract focuses on the effectiveness of game-thinking in nursing education. It does not discuss capturing or retaining knowledge from individuals or organizations.,high,None identified,None identified,None identified,Yes,The study involves the integration of game-based learning strategies and the use of digital technologies in nursing education.,high,game-based learning strategies; digital technologies,Human–Computer Interaction and Immersive Technologies; Other(*),Systematic Review and Meta-Analysis,"We aim to identify, assess, and summarize the findings of evidence and determine the effectiveness of game-thinking on learning outcomes in nursing education. A comprehensive search for relevant literature was conducted between April and May 2022. Seven databases ERIC, Scopus, ProQuest Education Source, MEDLINE, CINAHL, Web of Science, and Embase were utilized to locate original, peer-reviewed papers published in English.",high
