node_id,node_name,category,evidence_label,case_title,evidence_statement,object_definition,evidence_location
c201M01N01,Theoretical radiology knowledge,Explicit Knowledge,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,"The assessment covered multimodal physics, radiologic-pathologic correlation, cross-sectional anatomy, and clinical safety/ethics.",Codified radiology subject knowledge assessed through validated item-bank questions.,"PDF pp. 4-5, Methods"
c201M01N02,100 matched teaching cases,Explicit Knowledge,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,Both groups interpreted 100 matched cases covering common pathologies.,The standardized case set used in both training conditions.,"PDF p. 3, Teaching intervention protocol"
c201M01N03,Static DICOM images,Explicit Knowledge,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,The control workflow used static DICOM images.,Codified medical images loaded and interpreted through PACS.,"PDF p. 3, Randomization and intervention"
c201M01N04,Validated national medical imaging item bank,Explicit Knowledge,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,The theoretical test was compiled from a validated national item bank.,A psychometrically validated collection of medical-imaging assessment questions.,"PDF pp. 4-5, Methods"
c201M01N05,Lesion detection skill,Tacit Knowledge,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,Lesion detection rate operationalized visual-search efficiency and observational vigilance.,Applied ability to identify lesions during image interpretation.,"PDF pp. 4-7, Methods, Results, and Discussion"
c201M01N06,Anatomical localization skill,Tacit Knowledge,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,Localization accuracy measured spatial reasoning and anatomical localization.,Applied visuospatial ability to locate abnormalities anatomically.,"PDF pp. 4-7, Methods, Results, and Discussion"
c201M01N07,Diagnostic reasoning skill,Tacit Knowledge,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,Diagnostic accuracy measured evidence integration and pathological classification.,Applied ability to integrate evidence and reach a diagnosis.,"PDF pp. 3-7, Methods, Results, and Discussion"
c201M01N08,Structured communication skill,Tacit Knowledge,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,Report completeness measured structured communication fidelity.,Applied ability to communicate diagnostic findings completely in a clinical report.,"PDF pp. 4-7, Methods, Results, and Discussion"
c201M01N09,Human-AI collaboration competency,Tacit Knowledge,I,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,The authors describe AI-ready competency and sustained AI use during later clinical rotations.,Applied ability and readiness to work with AI during diagnostic practice.,"PDF pp. 6-8, Discussion and Conclusion"
c201M01N10,Instructors,Knowledge Holder,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,Both groups interpreted cases under supervision of the same instructors.,Not mentioned,"PDF p. 3, Randomization and intervention"
c201M01N12,Third- and fourth-year medical imaging undergraduates,Knowledge Learner,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,The trial randomized 110 eligible third- and fourth-year medical imaging undergraduates.,Participants with completed core coursework and limited clinical exposure.,"PDF pp. 2-3, Materials and methods"
c201M01N13,Traditional static image-based teaching,Traditional Human-central Practice,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,The paper identifies traditional static image-based teaching as a source of excessive cognitive load.,Legacy teaching based on learner interpretation of static images.,"PDF pp. 1 and 6, Abstract and Discussion"
c201M01N14,Traditional PACS workflow,Technology-enable Practice,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,"Control participants manually searched, localized, reasoned, and reported through PACS without AI.",A conventional non-augmented PACS training workflow.,"PDF p. 3, Teaching intervention protocol"
