"node_id","node_name","category","evidence_label","case_title","evidence_statement","object_definition","evidence_location","sub_category_id","sub_category"
"c101M01N24","hard to articulate","Limitation","E","Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn","Tacit knowledge is described as unwritten, experience-based knowledge that is notoriously difficult to articulate.","An articulation barrier affecting the conversion of tacit experience into documentation.","Page 1, Introduction and Section 1.1","LI10","Knowledge Continuity, Documentation, Governance, Privacy and Security"
"c101M01N25","undocumented expertise departs with veteran staff","Limitation","E","Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn","When veteran staff retire or change jobs, their undocumented expertise leaves with them.","Loss of organizational know-how caused by the departure of experienced personnel.","Page 1, Section 1.1","LI10","Knowledge Continuity, Documentation, Governance, Privacy and Security"
"c101M01N26","specialised BPM modelling skills required","Limitation","E","Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn","The paper states that BPM modelling tools require specialised skills.","A skills barrier to conventional process modelling in SMEs.","Page 1, Section 1.2","LI08","Time, Staffing, Expertise, Scheduling and Workload Constraints"
"c101M01N28","inconsistent or malformed XML","Limitation","E","Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn","Early prompt iterations produced inconsistent or malformed XML, and Gemini Flash outputs sometimes failed to render.","Invalid or inconsistent generated XML that prevents reliable diagram rendering.","Pages 3 and 6, Sections 2.2 and 4.1","LI05","Software, Algorithmic, Data Quality and Interoperability Barriers"
"c101M01N29","significant system latency","Limitation","E","Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn","The complete evaluated sequence took over 12 minutes, and a single complex output sometimes took up to 10 minutes.","Long processing time for model generation and analysis.","Page 6, Section 4.2","LI05","Software, Algorithmic, Data Quality and Interoperability Barriers"
"c101M01N30","verbose BPMN XML generation","Limitation","E","Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn","Large BPMN XML files are described as token-intensive and as directly increasing cost and processing time.","The size and token requirements of generating complete BPMN XML.","Page 6, Section 4.2","LI05","Software, Algorithmic, Data Quality and Interoperability Barriers"
"c101M01N31","non-deterministic LLM outputs","Limitation","E","Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn","The same prompt can produce different results because LLM output is stochastic rather than deterministic.","Variability in generated results across repeated runs.","Page 6, Section 4.3","LI05","Software, Algorithmic, Data Quality and Interoperability Barriers"
"c101M01N32","no awareness of the final visual layout","Limitation","E","Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn","The current system generates BPMN code but has no awareness of the final visual layout.","The model cannot inspect and optimize the appearance of its rendered diagram.","Page 6, Section 4.4","LI05","Software, Algorithmic, Data Quality and Interoperability Barriers"
"c101M01N34","lack of formal evaluation of “TO-BE” model quality","Limitation","E","Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn","The study states that it lacks a formal evaluation of the quality of the generated TO-BE model.","Absence of expert or empirical validation of the proposed process improvement.","Page 6, Section 4.4","LI13","Research Design, Measurement and Validation Flaws"
"c101M01N35","lack of a formalized, digitally-tracked system","Limitation","E","Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn","The existing workflow lacks a formalized, digitally tracked system, producing poor visibility for production managers.","Absence of structured digital tracking in the original maintenance workflow.","Page 5, Section 3.1","LI10","Knowledge Continuity, Documentation, Governance, Privacy and Security"
