node_id,total_evidence_count,node_name,category,evidence_label,case_title,Description
h001M01ED01,28,"Political, Regulatory & Jurisdictional Environment Set",Environmental Dependency,G,HOO1:Hard Aggregation,
h001M01ED02,15,"Economic, Market & Industry Environment Set",Environmental Dependency,G,HOO1:Hard Aggregation,
h001M01ED03,7,Sociocultural & Societal Environment Set,Environmental Dependency,G,HOO1:Hard Aggregation,
h001M01ED04,5,Natural & Climatic Environment Set,Environmental Dependency,G,HOO1:Hard Aggregation,
h001M01ED05,9,External Technological & Infrastructure Environment Set,Environmental Dependency,G,HOO1:Hard Aggregation,
h001M01ED06,9,"Client, Procurement & Institutional Environment Set",Environmental Dependency,G,HOO1:Hard Aggregation,
h001M01ED07,3,Supply-Chain & Logistical Environment Set,Environmental Dependency,G,HOO1:Hard Aggregation,
h001M01ED08,19,Geographic & Physical Site Context Set,Environmental Dependency,G,HOO1:Hard Aggregation,
h001M01ED09,4,Local Utility & Connectivity Conditions Set,Environmental Dependency,G,HOO1:Hard Aggregation,
h001M01ED10,10,Ambiguous Environmental Dependency(*) Set,Environmental Dependency,G,HOO1:Hard Aggregation,
h001M01ED11,1,"User Characteristics, Eligibility & Participation Conditions Set",Environmental Dependency,G,HOO1:Hard Aggregation,
h001M01EK01,29,Codified Normative Knowledge Set,Explicit Knowledge,G,HOO1:Hard Aggregation,
h001M01EK02,148,Codified Descriptive Knowledge Set,Explicit Knowledge,G,HOO1:Hard Aggregation,
h001M01EK03,73,Codified Procedural Knowledge Set,Explicit Knowledge,G,HOO1:Hard Aggregation,
h001M01EK04,10,Codified Explanatory Knowledge Set,Explicit Knowledge,G,HOO1:Hard Aggregation,
h001M01EK05,15,Codified Predictive Knowledge Set,Explicit Knowledge,G,HOO1:Hard Aggregation,
h001M01EK06,32,Codified Evaluative Knowledge Set,Explicit Knowledge,G,HOO1:Hard Aggregation,
h001M01EK07,24,Codified Outcome Knowledge Set,Explicit Knowledge,G,HOO1:Hard Aggregation,
h001M01EK08,8,Codified Experiential Knowledge Set,Explicit Knowledge,G,HOO1:Hard Aggregation,
h001M01EK09,30,Ambiguous Explicit Knowledge(*) Set,Explicit Knowledge,G,HOO1:Hard Aggregation,
h001M01KH01,4,Community and Cultural Knowledge Custodians Set,Knowledge Holder,G,HOO1:Hard Aggregation,
h001M01KH02,6,Skilled Trades and Craft Practitioners Set,Knowledge Holder,G,HOO1:Hard Aggregation,
h001M01KH03,29,Frontline and Operational Practitioners Set,Knowledge Holder,G,HOO1:Hard Aggregation,
h001M01KH04,9,"Customers, Users, and Service Recipients Set",Knowledge Holder,G,HOO1:Hard Aggregation,
h001M01KH05,21,"Scientific, Engineering, and Technical Professionals Set",Knowledge Holder,G,HOO1:Hard Aggregation,
h001M01KH06,27,Domain Experts and Expert Reviewers Set,Knowledge Holder,G,HOO1:Hard Aggregation,
