uuid,Title,tacit_knowledge_array,digital_technology_array,sector
58951602-c83a-4a49-824a-c5a86575341f,Illustrating The Intangible Cultural Heritage Of Santhals And Kuki: Pushing The Boundaries Of Knowledge Sharing In The Era Of Technology,"[{'tacit_knowledge': 'cultural knowledge transfer practices', 'tacit_knowledge_normalized': 'Other(cultural knowledge transfer practices)', 'tacit_knowledge_confidence': 'high'}, {'tacit_knowledge': 'performative expressions', 'tacit_knowledge_normalized': 'Somatic tacit knowledge (Experiential know-how, Procedural know-how, Craft knowledge, Operational know-how, other)', 'tacit_knowledge_confidence': 'medium'}]","[{'digital_technology': 'smartphones', 'digital_technology_normalized': 'Mobile, Social, and Communication Technologies'}, {'digital_technology': 'virtual and augmented reality', 'digital_technology_normalized': 'Human–Computer Interaction and Immersive Technologies'}, {'digital_technology': 'GIS', 'digital_technology_normalized': 'Imaging, Sensing, and Perception Technologies'}, {'digital_technology': '3D Scanning', 'digital_technology_normalized': 'Imaging, Sensing, and Perception Technologies'}, {'digital_technology': 'VR-based oral histories', 'digital_technology_normalized': 'Human–Computer Interaction and Immersive Technologies'}, {'digital_technology': 'blockchain-enabled tribal archives', 'digital_technology_normalized': 'Distributed, Secure, and Trust Technologies'}]","{'sector_name': 'Services (Museums, Art Galleries, And Botanical And Zoological Gardens)', 'sector_id': 'SIC 84', 'sector_confidence': 'medium'}"
b0f10ad6-9a79-4a02-b86f-6b7cc0c11040,Developing Ethical Principle Awareness And Reasoning In A Cybersecurity Context: Enhancing User Understanding Using Ripple Down Rules,"[{'tacit_knowledge': 'ethical principle identification and reasoning', 'tacit_knowledge_normalized': 'Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other)', 'tacit_knowledge_confidence': 'high'}]","[{'digital_technology': 'Ripple Down Rules (RDR)', 'digital_technology_normalized': 'Rule-Based, Decision, and Expert Systems'}]","{'sector_name': 'Services (Engineering, Accounting, Research, Management, And Related Services)', 'sector_id': 'SIC 87', 'sector_confidence': 'high'}"
4d599183-0632-4616-b89f-68a9fa90eda0,"Unseen Seeds, Green Minds In The Digital Era: How Smes Foster Innovation Through Green Intellectual Capital, Ai, And Resource Commitment","[{'tacit_knowledge': 'tacit knowledge sharing', 'tacit_knowledge_normalized': 'Collective and relational tacit knowledge (Teamwork know-how, other)', 'tacit_knowledge_confidence': 'high'}]","[{'digital_technology': 'Artificial Intelligence (AI)', 'digital_technology_normalized': 'Artificial Intelligence and Intelligent Computation'}, {'digital_technology': 'Metaverse', 'digital_technology_normalized': 'Human–Computer Interaction and Immersive Technologies'}]","{'sector_name': 'Manufacturing (Miscellaneous Manufacturing Industries)', 'sector_id': 'SIC 39', 'sector_confidence': 'high'}"
22c5b5e9-593c-4449-9ea3-a68eeb14eda1,Drivers Of The Integration Of Virtual Reality Into Construction Safety Training In Ghana,"[{'tacit_knowledge': 'creation of realistic simulation and training environments', 'tacit_knowledge_normalized': 'Somatic tacit knowledge (Experiential know-how, Procedural know-how, Craft knowledge, Operational know-how, other)', 'tacit_knowledge_confidence': 'high'}, {'tacit_knowledge': 'proactive safety and higher level of knowledge retention through frequent safety-free simulations', 'tacit_knowledge_normalized': 'Somatic tacit knowledge (Experiential know-how, Procedural know-how, Craft knowledge, Operational know-how, other)', 'tacit_knowledge_confidence': 'high'}]","[{'digital_technology': 'virtual reality (VR)', 'digital_technology_normalized': 'Human–Computer Interaction and Immersive Technologies'}]","{'sector_name': 'Construction (Building Construction—General Contractors And Operative Builders)', 'sector_id': 'SIC 15', 'sector_confidence': 'high'}"
e00ed4bb-576c-4d33-b285-66aecc27db60,Multiscreen Technology’S Impact On Workplace Learning And Performance,[],"[{'digital_technology': 'multiscreen utilization', 'digital_technology_normalized': 'Mobile, Social, and Communication Technologies'}]","{'sector_name': 'Transportation, Communications, Electric, Gas, And Sanitary Services (Communications)', 'sector_id': 'SIC 48', 'sector_confidence': 'high'}"
18b12690-ee09-462f-9cb9-d8c52d615cb5,Design And Application Evaluation Of The Nursing Informatics Intelligent Question-Answering System Based On Generative Artificial Intelligence,[],"[{'digital_technology': 'generative artificial intelligence', 'digital_technology_normalized': 'Artificial Intelligence and Intelligent Computation'}, {'digital_technology': 'web crawling technology', 'digital_technology_normalized': 'Data, Information, and Knowledge Systems'}, {'digital_technology': 'DeepSeek-V3 model', 'digital_technology_normalized': 'Artificial Intelligence and Intelligent Computation'}, {'digital_technology': 'fastGPT platform', 'digital_technology_normalized': 'Artificial Intelligence and Intelligent Computation'}]","{'sector_name': 'Services (Health Services)', 'sector_id': 'SIC 80', 'sector_confidence': 'high'}"
e327f913-0d8f-4869-a5bb-5d81bd34683c,"Ict Adoption And Use As Drivers Of Knowledge Acquisition, Organizational Performance, And Corporate Entrepreneurship: Evidence From Tourism Smes In Colombia",[],"[{'digital_technology': 'information and communication technology (ICT)', 'digital_technology_normalized': 'Data, Information, and Knowledge Systems'}]","{'sector_name': 'Services (Amusement And Recreation Services)', 'sector_id': 'SIC 79', 'sector_confidence': 'medium'}"
1a901e6d-d3e3-4b0b-9cfe-a42816fc3725,Ai-Powered Knowledge Ecosystems: How Knowledge Management Systems Drive Business Intelligence And Marketing Capabilities In Gulf Cooperation Council Enterprises,[],"[{'digital_technology': 'Knowledge Management Systems (KMS)', 'digital_technology_normalized': 'Data, Information, and Knowledge Systems'}, {'digital_technology': 'Artificial Intelligence (AI)', 'digital_technology_normalized': 'Artificial Intelligence and Intelligent Computation'}]","{'sector_name': 'Nonclassifiable Establishments', 'sector_id': 'SIC 99', 'sector_confidence': 'low'}"
1fee803c-48b7-4b81-a162-20e489503a6b,How Can Generative Artificial Intelligence Empower Circular Supply Chain Practices? Evidence From Chinese Companies,[],"[{'digital_technology': 'generative artificial intelligence (GenAI)', 'digital_technology_normalized': 'Artificial Intelligence and Intelligent Computation'}]","{'sector_name': 'Services (Business Services)', 'sector_id': 'SIC 73', 'sector_confidence': 'medium'}"
eae3afa9-3d08-4e43-b42d-e9bc52ce91a2,How Does Physician Stress Impact Knowledge-Sharing Behaviors?Evidence From Online Physician Communities,"[{'tacit_knowledge': 'work overload, ethical conflict, and technological anxiety in clinical practice', 'tacit_knowledge_normalized': 'Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other)', 'tacit_knowledge_confidence': 'high'}]","[{'digital_technology': 'deep learning model', 'digital_technology_normalized': 'Artificial Intelligence and Intelligent Computation'}]","{'sector_name': 'Health Services', 'sector_id': 'SIC 80', 'sector_confidence': 'high'}"
f83b6f91-8e0c-4930-82c6-90c77c5afeb5,A Novel Bayesian Knowledge Tracing Model For College Students In Language Learning,[],"[{'digital_technology': 'Bayesian Knowledge Tracing (BKT) model', 'digital_technology_normalized': 'Artificial Intelligence and Intelligent Computation'}]","{'sector_name': 'Educational Services', 'sector_id': 'SIC 82', 'sector_confidence': 'high'}"
e25fddac-0657-4452-a08a-e08e6db51f2b,Generative Ai Based On Deep Knowledge Tracing For Academic Insight And Intelligent Learning Strategy Optimization,[],"[{'digital_technology': 'deep knowledge tracking model', 'digital_technology_normalized': 'Artificial Intelligence and Intelligent Computation'}, {'digital_technology': 'generative AI', 'digital_technology_normalized': 'Artificial Intelligence and Intelligent Computation'}]","{'sector_name': 'Educational Services', 'sector_id': 'SIC 82', 'sector_confidence': 'high'}"
a1bd51fd-22b8-449c-a075-1ceda6942947,A Comparative Evaluation Of Augmented Reality And Virtual Reality On Chemistry Experiment Learning In Higher Level Education,"[{'tacit_knowledge': 'conducting chemistry experiments', 'tacit_knowledge_normalized': 'Somatic tacit knowledge (Operational know-how, other)', 'tacit_knowledge_confidence': 'high'}]","[{'digital_technology': 'Augmented Reality (AR)', 'digital_technology_normalized': 'Human–Computer Interaction and Immersive Technologies'}, {'digital_technology': 'Virtual Reality (VR)', 'digital_technology_normalized': 'Human–Computer Interaction and Immersive Technologies'}]","{'sector_name': 'Educational Services', 'sector_id': 'SIC 82', 'sector_confidence': 'high'}"
423898f5-1048-4148-ae78-f57cbb2b0e8e,Factors Affecting Knowledge Sharing In Blockchain Technology In The Chinese Construction Industry,[],"[{'digital_technology': 'blockchain technology', 'digital_technology_normalized': 'Distributed, Secure, and Trust Technologies'}]","{'sector_name': 'Building Construction—General Contractors And Operative Builders', 'sector_id': 'SIC 15', 'sector_confidence': 'high'}"
b6647cdb-055d-406e-be4a-87af86cb2b9b,Construction Of Knowledge Graph For Marine Diesel Engine Faults Based On Deep Learning Methods,[],"[{'digital_technology': 'BiLSTM-CRF', 'digital_technology_normalized': 'Artificial Intelligence and Intelligent Computation'}, {'digital_technology': 'deep learning', 'digital_technology_normalized': 'Artificial Intelligence and Intelligent Computation'}, {'digital_technology': 'knowledge graph technology', 'digital_technology_normalized': 'Data, Information, and Knowledge Systems'}, {'digital_technology': 'Neo4j', 'digital_technology_normalized': 'Data, Information, and Knowledge Systems'}]","{'sector_name': 'Transportation, Communications, Electric, Gas, And Sanitary Services', 'sector_id': 'SIC 47', 'sector_confidence': 'low'}"
127daca6-7e67-44ed-8cba-8e046577b8fc,Ict Knowledge Absorptive Capacity: A Critical Factor For Technology Integration In Schools,"[{'tacit_knowledge': 'activation triggers, social integration mechanisms and regimes of appropriability', 'tacit_knowledge_normalized': 'Other(*)', 'tacit_knowledge_confidence': 'medium'}]","[{'digital_technology': 'information and communication technology (ICT)', 'digital_technology_normalized': 'Mobile, Social, and Communication Technologies'}, {'digital_technology': 'machine learning', 'digital_technology_normalized': 'Artificial Intelligence and Intelligent Computation'}]","{'sector_name': 'Services (Educational Services)', 'sector_id': 'SIC 82', 'sector_confidence': 'high'}"
0765ca3b-9603-4713-bfec-5e4fa3b34cb3,Knowledge Sharing Based Fine-Tuning For Large Pre-Trained Model In Wireless Networks,[],"[{'digital_technology': 'Large pre-trained models (LPMs)', 'digital_technology_normalized': 'Artificial Intelligence and Intelligent Computation'}, {'digital_technology': 'parameter-efficient fine-tuning (PEFT)', 'digital_technology_normalized': 'Artificial Intelligence and Intelligent Computation'}, {'digital_technology': 'low-rank adaptive (LoRA) model', 'digital_technology_normalized': 'Artificial Intelligence and Intelligent Computation'}]","{'sector_name': 'Transportation, Communications, Electric, Gas, And Sanitary Services (Communications)', 'sector_id': 'SIC 48', 'sector_confidence': 'high'}"
6d8611ac-0205-4238-99ee-d799c9fbadf7,Developing A Knowledge Management Model For A Small It Business,[],"[{'digital_technology': 'G Suite tools', 'digital_technology_normalized': 'Data, Information, and Knowledge Systems'}]","{'sector_name': 'Services (Engineering, Accounting, Research, Management, And Related Services)', 'sector_id': 'SIC 87', 'sector_confidence': 'high'}"
2e9dc1f7-5a44-48e5-8c5b-f6562b91daf7,Capturing And Sharing Know-How Through Visual Process Representations: A Human-Centred Approach To Teacher Workflows,"[{'tacit_knowledge': 'expert workflows', 'tacit_knowledge_normalized': 'Somatic tacit knowledge (Experiential know-how, Procedural know-how, Craft knowledge, Operational know-how, other)', 'tacit_knowledge_confidence': 'high'}]","[{'digital_technology': 'Sequential Pattern Mining (SPM)', 'digital_technology_normalized': 'Data, Information, and Knowledge Systems'}, {'digital_technology': 'Visual Process Representations (VPR)', 'digital_technology_normalized': 'Data, Information, and Knowledge Systems'}]","{'sector_name': 'Services (Educational Services)', 'sector_id': 'SIC 82', 'sector_confidence': 'high'}"
b01ad298-c323-4630-854a-e846f5bcf96a,Linking Digital Knowledge Management Practices To Organizational Performance: A Serial Mediation Perspective,[],"[{'digital_technology': 'Structural Equation Modeling (SEM)', 'digital_technology_normalized': 'Data, Information, and Knowledge Systems'}]","{'sector_name': 'Services (Business Services)', 'sector_id': 'SIC 73', 'sector_confidence': 'high'}"
5b6d2795-de88-433c-b09f-da494089621f,A Hybrid Cooperative Game And Shapley Value Approach For Knowledge Sharing And Profit Allocation In Technology Supply Chain Strategic Alliance,"[{'tacit_knowledge': 'knowledge-driven contributions', 'tacit_knowledge_normalized': 'Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other)', 'tacit_knowledge_confidence': 'medium'}]","[{'digital_technology': 'Monte Carlo simulations', 'digital_technology_normalized': 'Data, Information, and Knowledge Systems'}]","{'sector_name': 'Manufacturing (Transportation Equipment)', 'sector_id': 'SIC 37', 'sector_confidence': 'high'}"
250ea939-7782-4a55-ac90-d66a3dd79355,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,"[{'tacit_knowledge': 'architectural wisdom left in Bayu traditional dwellings', 'tacit_knowledge_normalized': 'Somatic tacit knowledge (Experiential know-how, Procedural know-how, Craft knowledge, Operational know-how, other)', 'tacit_knowledge_confidence': 'medium'}]","[{'digital_technology': '3D laser scanning', 'digital_technology_normalized': 'Imaging, Sensing, and Perception Technologies'}, {'digital_technology': 'VR (Virtual Reality)', 'digital_technology_normalized': 'Human–Computer Interaction and Immersive Technologies'}, {'digital_technology': 'big data', 'digital_technology_normalized': 'Data, Information, and Knowledge Systems'}, {'digital_technology': 'AR (Augmented Reality)', 'digital_technology_normalized': 'Human–Computer Interaction and Immersive Technologies'}, {'digital_technology': 'metaverse scenario', 'digital_technology_normalized': 'Human–Computer Interaction and Immersive Technologies'}]","{'sector_name': 'Construction (Building Construction—General Contractors And Operative Builders)', 'sector_id': 'SIC 15', 'sector_confidence': 'medium'}"
0df16fd2-fe6b-4637-a393-7df873fa2274,"Harnessing Ai-Metaverse Synergies For Smart Sustainability: A Knowledge Management Perspective On Immersion, Ethics, And Decentralization",[],"[{'digital_technology': 'AI', 'digital_technology_normalized': 'Artificial Intelligence and Intelligent Computation'}, {'digital_technology': 'metaverse', 'digital_technology_normalized': 'Human–Computer Interaction and Immersive Technologies'}]","{'sector_name': 'Services (Engineering, Accounting, Research, Management, And Related Services)', 'sector_id': 'SIC 87', 'sector_confidence': 'high'}"
