"node_id","node_name","category","evidence_label","case_title","evidence_statement","object_definition","evidence_location","sub_category_id","sub_category"
"c001M02N24","Government-led plus community crowdfunding preservation model","Organizational Dependency","E","Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings","The 'government-led + community crowdfunding' model used by Eastern European countries such as Bulgaria and Hungary for historical buildings preservation can provide institutional design references for Chongqing","Policy and financing model for heritage preservation","Page 7","OD01","Governance, Standards & Formal Control"
"c001M02N25","LOD400/LOD200 graded modeling precision mandate","Organizational Dependency","E","Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings","Core buildings are required to model at millimeter level based on Technical Standards for Historical Building Digitization (2021) [2]; county-level projects restricted to LOD200","Internal technical mandate for modeling precision levels","Page 2, Page 3","OD01","Governance, Standards & Formal Control"
"c002M01N42","training customization to the applicable work area and actual task","Organizational Dependency","E","Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-Ahp Multi-Attribute Analysis In A Type-2 Fuzzy Environment","The authors identify customized training relevant to specific on-site tasks as important for efficient knowledge acquisition.","An internal content-design requirement that makes training relatable to the actual work.","Discussion, page 22","OD08","Organizational Structure & Process Design"
"c002M01N43","virtual interface design that allows trainees to maintain attention","Organizational Dependency","E","Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-Ahp Multi-Attribute Analysis In A Type-2 Fuzzy Environment","Effective virtual training must use an interface that enables trainees to maintain attention.","An internal interface-design requirement for effective knowledge retention.","Abstract, page 1; Discussion, page 22","OD08","Organizational Structure & Process Design"
"c002M02N33","Organizational systematic safety training policies","Organizational Dependency","E","Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-Ahp Multi-Attribute Analysis In A Type-2 Fuzzy Environment","It is necessary to increase their safety awareness through systematic safety training","Structured training programs as an organizational requirement","Page 1","OD01","Governance, Standards & Formal Control"
"c002M02N34","Workplace safety orientation and onboarding","Organizational Dependency","E","Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-Ahp Multi-Attribute Analysis In A Type-2 Fuzzy Environment","A study exploring the reasons behind unsafe work behavior on construction sites describes the lack of safety orientation and training as one of the leading causes of unsafe behavior","Initial safety training requirement for workers","Page 3","OD05","Human Capacity, Roles & Participation"
"c003M01N23","DICEA CAVE facility availability","Organizational Dependency","E","Optimizing Building Occupants' Energy-Related Behaviour: Development Of A Training Activity In A Cave Automatic Virtual Environment","The CAVE system was available at the DICEA Department of the Polytechnic University of the Marche.","Institutional availability of the facility used to present and intended to test the immersive tool.","Methods, p. 117; Conclusions, p. 120","OD03","Financial, Technical & Information Resources"
"c003M02N19","Sample selection","Organizational Dependency","I","Optimizing Building Occupants' Energy-Related Behaviour: Development Of A Training Activity In A Cave Automatic Virtual Environment","Sample selection is crucial to ensure the accuracy and reliability of training findings.","The process of selecting an adequate and balanced participant pool is an internal prerequisite for valid results.","Page 5","OD05","Human Capacity, Roles & Participation"
"c003M02N20","Clear instructions","Organizational Dependency","G","Optimizing Building Occupants' Energy-Related Behaviour: Development Of A Training Activity In A Cave Automatic Virtual Environment","To maintain participant immersion... clear instructions should be provided to participants before starting the CAVE activity...","A necessary condition for the practice to succeed, as per the paper's advice.","Page 5","OD08","Organizational Structure & Process Design"
"c003M02N21","Adaptation phase","Organizational Dependency","E","Optimizing Building Occupants' Energy-Related Behaviour: Development Of A Training Activity In A Cave Automatic Virtual Environment","...it will be important to plan an initial adaptation phase (about 3-4 minutes) for participants, allowing them to freely experience the CAVE scenario...","A structured phase required to help participants get accustomed to the VR environment.","Page 5","OD04","Time, Workload & Operational Scheduling"
"c004M02N28","OSHA Excavation Safety Regulatory Mandates","Organizational Dependency","E","Immersive Virtual Reality Training For Excavation Safety And Hazard Identification","The training objectives of the immersive VR training system were developed based on two guidelines: Occupational Safety and Health Administration (OSHA) Trenching and Excavation Safety","The external regulatory standards from OSHA that the training must comply with","Page 8, Section 3.3","OD01","Governance, Standards & Formal Control"
"c004M02N30","University Research Ethics Approval","Organizational Dependency","E","Immersive Virtual Reality Training For Excavation Safety And Hazard Identification","Massey University Research Ethics Committee granted ethics approval (Southern A, Application 18/21) to conduct this study","The required institutional review board approval for conducting the human subjects research","Page 11, Section 4.3","OD01","Governance, Standards & Formal Control"
"c004M02N31","Mandatory VR Safety Induction Briefing","Organizational Dependency","E","Immersive Virtual Reality Training For Excavation Safety And Hazard Identification","participants received instructions and health and safety induction about VR and the use of Oculus Quest","The mandatory pre-training safety briefing required before participation","Page 11, Section 4.3","OD01","Governance, Standards & Formal Control"
"c005M02N44","Organizational resource allocation for AR/VR","Organizational Dependency","G","Enhancing Bridges' Safety Training Using Augmented Reality And Virtual Reality","(Implied by the development of AR and VR models using Unity, Oculus, and other commercial tools)","Financial and technical resources required for developing AR/VR training models.","Not explicitly stated in paper","OD03","Financial, Technical & Information Resources"
"c005M02N45","Staff availability for training sessions","Organizational Dependency","G","Enhancing Bridges' Safety Training Using Augmented Reality And Virtual Reality","24 participants, including students and engineers, undertook the safety training.","Availability of staff to participate in training programs.","Page 18","OD05","Human Capacity, Roles & Participation"
"c006M02N32","Management support for assistive technology introduction","Organizational Dependency","I","Fundamental Knowledge Acquisition By Using Wearable Sensor For “Keiroka” Of Construction Industry","At a meeting held in the fall of 2019 to exchange views on inhouse technological development, professional contractors expressed strong expectations for the assistive suits.","Internal organizational commitment required for deploying assistive technology in construction sites.","Page 1, Section 1.1","OD02","Strategic Leadership & Sponsorship"
"c006M02N33","Acceptance of lower-priced products in construction industry","Organizational Dependency","E","Fundamental Knowledge Acquisition By Using Wearable Sensor For “Keiroka” Of Construction Industry","It has to be a lower-priced product to be recognized in the construction industry.","Industry cultural preference for cost-effective solutions, affecting technology adoption.","Page 1, Section 1.1","OD06","Culture, Trust & Relational Climate"
"c006M02N34","Compatibility with individual worker needs","Organizational Dependency","E","Fundamental Knowledge Acquisition By Using Wearable Sensor For “Keiroka” Of Construction Industry","It's compatibility with the individual is greater than the type of work / It doesn't have a uniform effect on everyone.","Requirement for assistive technologies to adapt to individual worker characteristics.","Page 1, Section 1.1","OD08","Organizational Structure & Process Design"
"c007M01N23","knowledge-sharing culture","Organizational Dependency","E","Leveraging The Knowledge Management Process For Sustainable Development In Small- And Medium-Sized Construction Companies: The Analytic Hierarchy Process Method","SMCCs should cultivate a knowledge-sharing culture.","Organizational culture encouraging personnel to exchange knowledge.","Literature Review, p. 280","OD06","Culture, Trust & Relational Climate"
"c007M01N24","senior management support","Organizational Dependency","E","Leveraging The Knowledge Management Process For Sustainable Development In Small- And Medium-Sized Construction Companies: The Analytic Hierarchy Process Method","Senior management support is important for knowledge-sharing initiatives.","Management support for communication, motivation, rewards and KM training.","Discussion, p. 295","OD02","Strategic Leadership & Sponsorship"
"c007M01N25","KM training to the workforce","Organizational Dependency","E","Leveraging The Knowledge Management Process For Sustainable Development In Small- And Medium-Sized Construction Companies: The Analytic Hierarchy Process Method","Management support includes KM training to the workforce.","Organizational training enabling workforce participation in KM.","Discussion, p. 295","OD05","Human Capacity, Roles & Participation"
"c007M01N41","existing basic management systems","Organizational Dependency","E","Leveraging The Knowledge Management Process For Sustainable Development In Small- And Medium-Sized Construction Companies: The Analytic Hierarchy Process Method","The validating company uses employee expertise and existing basic management systems.","Existing organizational infrastructure supporting current KMP activities.","Discussion, p. 296","OD03","Financial, Technical & Information Resources"
"c007M02N43","Inter-Organizational Trust","Organizational Dependency","E","Leveraging The Knowledge Management Process For Sustainable Development In Small- And Medium-Sized Construction Companies: The Analytic Hierarchy Process Method","trust between construction organisations","Trust-based relationships enabling knowledge sharing","Page 11","OD06","Culture, Trust & Relational Climate"
"c007M02N44","Financial Constraints","Organizational Dependency","E","Leveraging The Knowledge Management Process For Sustainable Development In Small- And Medium-Sized Construction Companies: The Analytic Hierarchy Process Method","current financial constraints limited its ability to make full investments in KMP","Limited financial resources for KM investment","Page 22","OD03","Financial, Technical & Information Resources"
"c007M02N45","Limited Budget","Organizational Dependency","E","Leveraging The Knowledge Management Process For Sustainable Development In Small- And Medium-Sized Construction Companies: The Analytic Hierarchy Process Method","limited budgets","Constrained financial resources","Page 6","OD03","Financial, Technical & Information Resources"
"c007M02N46","Small Workforce","Organizational Dependency","E","Leveraging The Knowledge Management Process For Sustainable Development In Small- And Medium-Sized Construction Companies: The Analytic Hierarchy Process Method","small workforce","Limited number of employees in SMCCs","Page 21","OD05","Human Capacity, Roles & Participation"
"c007M02N47","Flat Organisational Structure","Organizational Dependency","E","Leveraging The Knowledge Management Process For Sustainable Development In Small- And Medium-Sized Construction Companies: The Analytic Hierarchy Process Method","SMCCs typically operate with a flat organisational structure","Simple organisational hierarchy in SMCCs","Page 20","OD08","Organizational Structure & Process Design"
"c008M01N40","large-scale construction accident text corpus","Organizational Dependency","I","Convolutional Neural Network Algorithm-Based Novel Automatic Text Classification Framework For Construction Accident Reports","The deep-learning model learns patterns from a large collection of historical reports, and the authors state that performance depends on representative data volume.","The accumulated textual training resource required for model learning and evaluation.","PDF pp. 7, 9–10","OD03","Financial, Technical & Information Resources"
"c008M02N32","Corporate safety culture","Organizational Dependency","I","Convolutional Neural Network Algorithm-Based Novel Automatic Text Classification Framework For Construction Accident Reports","strengthening safety management practices","Implied organizational prerequisite for effective safety management implementation","Page 9","OD06","Culture, Trust & Relational Climate"
"c008M02N33","Management buy-in","Organizational Dependency","I","Convolutional Neural Network Algorithm-Based Novel Automatic Text Classification Framework For Construction Accident Reports","strengthening safety management practices and improving the effectiveness of accident prevention and management","Implied organizational support needed for safety management initiatives","Page 9","OD02","Strategic Leadership & Sponsorship"
"c009M01N37","Availability and quality of relevant bid data","Organizational Dependency","E","A Generative Ai Model For Automating Construction Bid Preparation","The paper states that automation success hinges on the quality and availability of relevant data.","The internal availability and fitness of historical information required for AI-supported bid preparation.","PDF pages 4 and 17–19","OD03","Financial, Technical & Information Resources"
"c009M01N38","Integrated digital infrastructure","Organizational Dependency","E","A Generative Ai Model For Automating Construction Bid Preparation","The paper identifies integrated infrastructure and centralized data management as critical for scaling automation.","Organizational systems required to centralize, standardize, and operationalize bid information.","PDF pages 17–19","OD03","Financial, Technical & Information Resources"
"c009M02N47","Centralized data management systems","Organizational Dependency","E","A Generative Ai Model For Automating Construction Bid Preparation","Overcoming this challenge will require the development of integrated data management systems that can centralize and standardize the information needed for bid preparation","Integrated systems required to centralize and standardize bid information","Page 17","OD03","Financial, Technical & Information Resources"
"c009M02N49","Openness to digital transformation","Organizational Dependency","E","A Generative Ai Model For Automating Construction Bid Preparation","Selected based on... openness to digital transformation","Organizational attitude supporting technology adoption","Page 5","OD06","Culture, Trust & Relational Climate"
"c009M02N50","Dedicated bid management departments","Organizational Dependency","E","A Generative Ai Model For Automating Construction Bid Preparation","Both maintain dedicated bid management departments","Organizational units specifically focused on bid management","Page 5","OD08","Organizational Structure & Process Design"
"c009M02N51","Organizational maturity","Organizational Dependency","E","A Generative Ai Model For Automating Construction Bid Preparation","Organizational maturity and information systems readiness significantly influence a firm's automation readiness","Level of organizational development affecting automation capability","Page 17","OD08","Organizational Structure & Process Design"
"c009M02N52","Information systems readiness","Organizational Dependency","E","A Generative Ai Model For Automating Construction Bid Preparation","Organizational maturity and information systems readiness significantly influence a firm's automation readiness","State of information systems affecting readiness for automation","Page 17","OD03","Financial, Technical & Information Resources"
"c009M02N53","Document standardization practices","Organizational Dependency","E","A Generative Ai Model For Automating Construction Bid Preparation","Absence of standardised data formats","Practices ensuring consistent document formats","Page 5","OD01","Governance, Standards & Formal Control"
"c009M02N54","Staff retention strategies","Organizational Dependency","E","A Generative Ai Model For Automating Construction Bid Preparation","Knowledge loss, particularly in firms with high staff turnover","Strategies to retain staff and prevent knowledge loss","Page 2","OD05","Human Capacity, Roles & Participation"
"c011M01N29","Training time allocation","Organizational Dependency","E","Comparing The Productive Failure And Directive Instruction For Declarative Safety Knowledge Training Using Virtual Reality","we decided maximum of 10 min for each trainee's training duration","A maximum time limit of 10 minutes allocated for each trainee's VR training session","Section 3.3","OD04","Time, Workload & Operational Scheduling"
"c011M01N30","Randomized controlled experimental design","Organizational Dependency","E","Comparing The Productive Failure And Directive Instruction For Declarative Safety Knowledge Training Using Virtual Reality","the trainees were randomly assigned to one of the two training methods","Experimental design where trainees were randomly assigned to either DI VR or PF VR groups for comparative analysis","Section 3.3","OD08","Organizational Structure & Process Design"
"c012M01N31","Psychological safety and trust","Organizational Dependency","E","Leveraging Storytelling For Effective Tacit Knowledge Capture And Management In The Construction Industry: Framework Development And Empirical Validation","Storytelling required trust, openness, and psychological safety for genuine sharing.","A safe interpersonal climate supporting candid narration.","PDF pp.7–8, Phase 1","OD06","Culture, Trust & Relational Climate"
"c012M01N32","Informed consent and privacy safeguards","Organizational Dependency","E","Leveraging Storytelling For Effective Tacit Knowledge Capture And Management In The Construction Industry: Framework Development And Empirical Validation","Consent, opt-outs, anonymization, restricted access, and withdrawal rights were applied.","Governance measures protecting participants and sensitive stories.","PDF pp.8 and 13","OD01","Governance, Standards & Formal Control"
"c012M01N33","Trained facilitators","Organizational Dependency","E","Leveraging Storytelling For Effective Tacit Knowledge Capture And Management In The Construction Industry: Framework Development And Empirical Validation","Facilitators trained in narrative inquiry guided participants using open-ended prompts.","Personnel capable of eliciting stories while preserving safety and narrative depth.","PDF pp.8 and 12","OD05","Human Capacity, Roles & Participation"
