ID,Object,Question,Answer,Evidence,rag_rate
c007DS01Q01,Tacit knowledge,Which tacit knowledge is described?,Not Mentioned,"[('Robot operation and competency', 'has evidence', 'helping them acquiring the competencies to manage the robot (goal 2).'), ('Self-efficacy belief', 'has evidence', 'their robot knowledge was assessed on a 0-24-scale, motivation and self-efficacy in using it on 0-to-100 scales.'), ('Motivation to use the robot', 'has evidence', 'Complex technical use, downtime periods, and insufficient training caused a drop in motivation'), ('skill to use robot', 'has evidence', '""self‑efficacy in using it, because it is technically complex to use""'), ('self-efficacy in using robot', 'has evidence', '""self‑efficacy in their ability to use the robot""')]",Not Mentioned
c007DS01Q02,Knowledge Holder,Which knowledge holders are described?,"Trainer, Trainee, Training pharmacist, operators (pharmacy technicians), trainee operators","[Trainer, is, an operator showing high ICT mastery assigned to support a peer during workflows, Trainee, is, an operator demonstrating lower baseline ICT literacy who receives active peer mentoring, Training pharmacist, is, a specialized institutional pharmacist who manages, guides, and observes the learning intervention, operators (pharmacy technicians), is, Not mentioned, trainee operators, is, Not mentioned]","resistant operators, experts, functional operators, trainers, and trainees"
c007DS01Q03,Traditional Human-centred Practices,Which traditional human-centred practices are described?,"Conventional training format consisting of trainees reading procedures, being shown processes, and repeating them","[('Conventional training format', 'is described as', 'a legacy human-driven training baseline consisting of text review and immediate imitation'), ('Conventional training format', 'consists of', 'trainees reading the recommended procedures, being shown the processes, and then repeating them')]","Based on the context, the traditional human-centred practices described are: trainees reading the recommended procedures, being shown the processes, and then repeating them themselves."
c007DS01Q04,Technology-enabled Practice,Which technology‑enabled practices have been described?,Game-based training program and knowledge evaluation survey (pre/post/6M),"[Game-based training program, created, short playful standardized gamed-based training program to address this and evaluated its impact], [knowledge evaluation survey (pre/post/6M), examined, operators' knowledge]","The described technology-enabled practices include daily chores, shopping, searching for information, desktop tools, emails, specific software, discussion forums, downloading, watching TV, phone calls, and preparing documents for work."
c007DS01Q05,Digital Technology,which emerging technologies have been described?,"ICT tools, Framindmap software, Learning Designer software, PharmaHelp robot","[('emerging_technology', 'ICT tools', 'Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study'), ('emerging_technology', 'Framindmap software', 'Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study'), ('emerging_technology', 'Learning Designer software', 'Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study'), ('emerging_technology', 'PharmaHelp robot', 'Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study')]",Robot
c007DS01Q06,Organizational Dependency,Which internal prerequisites are stated as necessary for technology-enable practices?,"Dedicated training hours, PhD thesis framework, work schedule of the unit, Good Manufacturing Practices standards","[Game-based training program, is a, Technology-enable Practice], [Game-based training program, requires, Dedicated training hours], [Game-based training program, requires, PhD thesis framework], [Game-based training program, requires, work schedule of the unit], [Game-based training program, requires, Good Manufacturing Practices standards]",The internal prerequisites stated as necessary for the technology-enabled training program are that participants must read the institution’s internal procedures about working with the robot and watch a video about the robot at least one week before the training program.
c007DS01Q07,Environment Dependency,Which external factors affect the implementation of technology-enable practices?,Cleanroom constraints (external physical and regulatory environment) affect the implementation of technology-enabled practices.,"[('Cleanroom constraints', 'is defined as', 'The external physical and regulatory environment mandating strict safety and posture protocols.'), ('Cleanroom constraints', 'has evidence statement', 'These skills are particularly important when preparing cytotoxic drugs in cleanrooms because the standards of quality expected in Good Manufacturing Practices must be ensured.'), ('Dedicated training hours', 'is defined as', 'The precise institutional block of time cleared from heavy daily clinical workloads to permit training.'), ('Dedicated training hours', 'has evidence statement', 'Trainer/ trainee teams participated in 2-hour training sessions with three games and a debriefing.'), ('PhD thesis framework', 'is defined as', 'The administrative research environment that permitted over 100 hours of development time.'), ('PhD thesis framework', 'has evidence statement', 'This was possible as the work was performed as part of a PhD thesis, with the doctoral student involved in 100% of the project.'), ('work schedule of the unit', 'has evidence statement', '""teams of trainer/trainee constituted according to the work schedule""'), ('Good Manufacturing Practices standards', 'has evidence statement', '""standards of quality expected in Good Manufacturing Practices""')]","Based on the provided context, the external factors affecting the implementation of technology-enabled practices include:

- Operator hiring and departures, which gradually led to disparities in training and knowledge.
- Periods of machine downtime and the robot’s complex technical use, which caused drops in motivation, leading to a return to traditional nonautomated methods."
c007DS01Q08,Limitation,Which limitations are been described,"The limitations described include forgetting curve for motivation and self-efficacy, machine downtime and breakdowns, small sample size (14 operators), low number of questions (10), not assessing application over time, time to develop (>100 hours), drop in motivation, disparities in knowledge, and insufficient training.","[Motivation was evaluated on a scale from 0 to 100 and increased... however, it decreased to 70.4 at six months, Forgetting curve for motivation and self-efficacy, The observed mathematical decay of human motivation and confidence metrics across extended periods of non-use.], [our PharmaHelp robot was little used during the six months post-training because of a breakdown, Machine downtime and breakdowns, Mechanical failures and technical halts that block consistent operational practice.], [The present study's limitations include its small sample size (14 operators), Small sample size, The constraint of testing outcomes on a limited cohort of fourteen participants.], [""small sample size (14 operators)"", small sample size (14 operators), Not mentioned], [""low number of questions (10) used to survey their knowledge"", low number of questions (10), Not mentioned], [""how they applied the competencies learned during their training was not assessed over time"", did not assess application over time, Not mentioned], [""probable total of more than 100 hours"", time to develop (>100 hours), Not mentioned], [""drops in motivation"" (traditional context), drop in motivation, Not mentioned], [""disparities in operators knowledge"", disparities in knowledge, Not mentioned], [""insufficient training caused a drop in motivation and disparities"", insufficient training, Not mentioned]",The limitations described in the context are the small sample size (14 operators) and the low number of questions (10) used to survey their knowledge.
c007DS01Q09,be_held_by,Which tacit knowledge knowledge holders hold?,Operators (pharmacy technicians) and Trainer,"[('with the best scores placed in the trainer group and the lower scores in the trainee group.', 'E', 'Page 3', 'Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study', 'Trainer', 'An operator showing high ICT mastery assigned to support a peer during workflows.', 'Knowledge Holder', 'c007M01N07'), ('helping them acquiring the competencies to manage the robot (goal 2).', 'E', 'Page 2', 'Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study', 'Robot operation and competency', 'Hands-on, uncodified coordination and operational skill to control the machine safely.', 'Tacit Knowledge', 'c007M01N04'), ('""operators"" (context of pharmacy technicians)', 'E', 'Page 1', 'Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study', 'operators (pharmacy technicians)', 'Not mentioned', 'Knowledge Holder', 'c007M02N09'), ('Complex technical use, downtime periods, and insufficient training caused a drop in motivation', 'E', 'Page 1', 'Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study', 'Motivation to use the robot', 'The psychological drive of an operator to run the automated system rather than default to manual methods.', 'Tacit Knowledge', 'c007M01N06'), ('""operators"" (context of pharmacy technicians)', 'E', 'Page 1', 'Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study', 'operators (pharmacy technicians)', 'Not mentioned', 'Knowledge Holder', 'c007M02N09'), ('""self‑efficacy in their ability to use the robot""', 'E', 'Page 4', 'Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study', 'self-efficacy in using robot', 'Not mentioned', 'Tacit Knowledge', 'c007M02N06')]",Not Mentioned
c007DS01Q10,be_absorbed_by,which tacit knowledge knowledge holders absorb?,"Trainees absorb tacit knowledge related to robot operation and competency, self-efficacy belief, and motivation to use the robot.","[('Trainee', 'absorbs', 'Robot operation and competency'), ('Trainee', 'absorbs', 'Self-efficacy belief'), ('Trainee', 'absorbs', 'Motivation to use the robot')]",Not Mentioned
