Title	uuid
Students As Evaluators Of Learning Objects In Virtual Reality: Usability And Technical And Aesthetic Valuation	7b1894e0-4779-43b2-a817-4c7e34115000
Illustrating The Intangible Cultural Heritage Of Santhals And Kuki: Pushing The Boundaries Of Knowledge Sharing In The Era Of Technology	58951602-c83a-4a49-824a-c5a86575341f
Wildfire And Forest Management: Opportunities For Hci Research	d7d36250-5aa0-48e5-8eea-e3e6cac7c200
Developing Ethical Principle Awareness And Reasoning In A Cybersecurity Context: Enhancing User Understanding Using Ripple Down Rules	b0f10ad6-9a79-4a02-b86f-6b7cc0c11040
Hyperspectral Imaging Analysis For Ssc Prediction In Actinidia Arguta: Impact Of Short-Term Anaerobic Treatment	47f55db6-f946-4b4b-ac95-75508e7e3ce9
Unlocking High-Quality Education: A Comparative Analysis Of Online Versus Traditional Teaching Modalities In A Higher Education Institution In Milagro, Ecuador	9c422b9c-6ccf-44f8-a002-2a5c251cf7b5
Securing Healthcare: A Melsvm-Based Intrusion Detection System With Blockchain Cloud Storage	1c744131-41bf-478b-acb3-76de11aeb6e1
Unlocking Digital Potential—The Impact Of Innovation And Self-Determined Learning	60547edf-ffe1-4436-abfb-6baf38e84820
Academic Knowledge Sharing On Digital Knowledge Platforms: A Tam Approach	748d3f69-2787-4bc7-af53-9bc8fe348402
Game-Thinking; Utilizing Serious Games And Gamification In Nursing Education – A Systematic Review And Meta-Analysis	8f6da082-5c54-4665-b994-c372c13b85be
Is Virtual Interprofessional Education Effective? Three Years’ Outcomes From Nine Health Professional Programs’ Experience	d1d65721-8f69-4b3e-a4b8-876d6ae37e71
Unseen Seeds, Green Minds In The Digital Era: How Smes Foster Innovation Through Green Intellectual Capital, Ai, And Resource Commitment	4d599183-0632-4616-b89f-68a9fa90eda0
Blockchain-Enabled Predictive Digital Twin Approach For Healthcare: Enhancing Accuracy And Performance With Federated Learning	0fa51e2c-5011-411a-8fa5-8ce794ce420e
Machine Learning-Enhanced Taste Sensing For Dual Additive Quantification: Simultaneous Salt And Msg Prediction In Complex Food Liquid	fb7f09e0-99b8-40bf-8590-c53fc0a85b02
The Influence Of Vr-Based Interaction Modalities On College Students’ Acquisition Of Theoretical Medical Knowledge: An Experimental Study Validation	0bdbdf5a-10f3-4633-ae73-066c0ab5a413
The Role Of Enjoyment And Epistemic Emotions In Middle School Ar Learning: A Quasi-Experimental Field Study	646bca0d-1044-414e-97e3-b1435d3e5729
Reimagining Graduate Study With Generative Artificial Intelligence-Supported Study Strategies: A Doctor Of Nursing Practice Student’S Perspective	87f0c717-acd7-4f19-a158-48dbe12e5afc
Knowledge Capabilities And Ai Firm Performance: The Mediating Roles Of Innovation Culture And Technology Strategy	ebb150aa-4ca0-41b5-bd86-2de671c6e2e7
‘Removing A Blindfold’: Perspectives Of Physical Therapists After Completing The Peak-Portuguese E-Learning Course	d41abff9-a005-4e92-b2e7-a2fab5c682cf
Enabling Interdisciplinary Learning And Research Through Ai-Driven Transliteration Of Historical Documents: A Case Study Proposal From Digital Humanities	ff14e49e-6752-4bde-a669-0194172c6e7b
Pedagogical Aspects Of Using Multimedia Visual Resources In Organizing The Educational Process	63d3c601-dad0-4ddf-9157-b8ec2acbb726
Large Language Model As Meta-Surrogate For Offline Data-Driven Many-Task Optimization: A Proof-Of-Principle Study	f7dbc01c-bc51-45a2-8345-5549267e0e9c
Enhancing Engineering Learning Through Digital Twin And Iot Applications: Student Engagement And Industry Alignment In The Ghanaian Context	c2c42ab0-0991-4e65-8e71-43b4db48ea32
An Intelligent Integrated Innovation Design Method Based On Flow Functional Genes Coding And Digitization	6882e45c-ea8b-4349-84e8-129baf0df184
Enhancing The Cognitive Load Theory And Multimedia Learning Framework With Ai Insight	1460fa91-7f92-4d45-9e43-10fc06a8fb1a
Enhancing Students’ Interest In Fuel Cell Education Using Augmented Reality Through Smartphone Applications In Malaysia	696ed597-3a91-473e-bd6a-55b7e6141d67
A Novel Static Decoupling Algorithm For Six-Axis Force/Moment Sensors Based On Force Mixture Broad Learning System	e27d4a88-45e9-4cb6-9fb0-105f9b423bb2
E-Learning And Virtual Simulations For Advancing Maritime Engineering Education	9da8b7f4-7ac8-4039-813f-2890f6dd268c
E-Learning Integration In Post-Secondary Science Education: Evidence From Anambra State, Nigeria	103b7357-edf7-4038-be9b-002f1b634376
Impact Of Gpt On The Academic Ecosystem	db1cec75-d88a-45ee-b0d5-da957a543fe2
