node_id,node_name,category,evidence_label,case_title,evidence_statement,object_definition,evidence_location
"N01","Historical archives","Explicit Knowledge","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","Historical archives are combined with AR scene overlay technology to reconstruct living scenes.","Archives containing historical information used for scene reconstruction.","Page 5, Section 3.2"
"N02","Architectural data","Explicit Knowledge","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","The study collected architectural data through 3D laser scanning, virtual reality, and big-data analysis.","Measured information about representative Chongqing Red Culture vernacular dwellings.","Page 4, opening of Section 3"
"N03","Spatial distribution maps","Explicit Knowledge","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","GIS aggregates scattered 3D models into spatial distribution maps displaying density and age distribution.","Maps aggregating building models and conservation-related spatial data.","Page 2, Section 2.1.2"
"N04","Historical narrative","Explicit Knowledge","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","The dynamic digital archive connects historical narrative with interactive experience.","Codified historical content linked to an interactive digital experience.","Page 3, continuation of Section 2.2.2"
"N05","Wartime timeline","Explicit Knowledge","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","Digital exhibitions passively show building exteriors and the wartime timeline.","A chronological representation of wartime events.","Page 3, Section 2.4.2"
"N06","Technical Standards for Historical Building Digitization (2021)","Explicit Knowledge","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","The graded-protection framework is based on Technical Standards for Historical Building Digitization (2021).","A cited technical standard governing historical-building digitization.","Page 2, Section 1.2.1"
"N07","Digital Preservation of Intangible Cultural Heritage: Digital Resource Collection and Cataloguing (WH/T 99.9-2023), Part 9: Traditional Craftsmanship","Explicit Knowledge","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","The paper invokes WH/T 99.9-2023 Part 9 when describing sequential recording of craftsmanship processes.","A cited standard for collecting and cataloguing traditional-craftsmanship digital resources.","Page 2, Section 2.1.3"
"N08","LOD Level-Protection Intensity Mapping Table","Explicit Knowledge","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","The study established an LOD Level-Protection Intensity Mapping Table for Peng's Traditional Dwelling.","A mapping between LOD precision, protection intensity, functional-replacement threshold, and building areas.","Pages 4-5, Section 3.1 and Table 4"
"N09","Craftsmanship process of wooden construction","Tacit Knowledge","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","The wooden-construction craftsmanship process is recorded in sequence.","A procedural traditional craft process involving wooden construction.","Page 2, Section 2.1.3"
"N10","Craftsmanship process of rammed earth technology","Tacit Knowledge","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","The rammed-earth craftsmanship process is recorded in sequence.","A procedural traditional craft process involving rammed-earth technology.","Page 2, Section 2.1.3"
"N11","Intangible cultural heritage skills","Tacit Knowledge","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","Intangible cultural heritage skills are at risk of interruption in inheritance.","Living heritage skills transmitted between people or generations.","Page 7, Section 4.1.3"
"N12","Indigenous people","Knowledge Holder","I","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","The return rate of indigenous people is below 30%, immediately followed by the finding that ICH skills face inheritance interruption.","Community members associated with continuity of local living heritage.","Page 7, Section 4.1.3"
"N13","Traditional artisans","Knowledge Holder","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","The cited Bulgarian digital-authorization system for ICH skills raised traditional artisans' income.","Artisans possessing traditional intangible-cultural-heritage skills.","Page 7, Section 4.2.1"
"N14","Visitors","Knowledge Learner","I","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","Visitors' historical cognition and understanding increased after digital narrative and immersive experiences.","Visitors receiving historical knowledge through heritage-tourism experiences.","Pages 2-6, Sections 2.2.1, 2.3, 3.2, and 3.3"
"N15","Users","Knowledge Learner","I","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","Users upload wartime-themed photography and drawings in the Red Journey co-creation module and engage with its interactive archive.","Participants in the virtual-village co-creation module.","Pages 2-3, Section 2.2.2"
"N16","Paper-based surveying","Traditional Human-central Practice","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","First-generation conservation used paper-based surveying with 2D planar data and unidirectional recording.","A paper-based two-dimensional building survey process.","Page 7, Table 6"
"N17","Total station and film photography","Traditional Human-central Practice","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","Second-generation conservation used total station and film photography for elevations and partial depth data.","An analog and instrument-based documentation process producing 2.5D records.","Page 7, Table 6"
"N18","Traditional exhibition","Traditional Human-central Practice","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","The VR exhibition hall is compared with traditional exhibition.","A conventional heritage exhibition used as the baseline for comparison.","Page 3, Section 2.3.2"
"N19","Static-picture presentation","Traditional Human-central Practice","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","Most bomb-shelter exhibitions use static pictures rather than scenically reproducing refuge noise and lighting.","A passive display method using static images.","Page 3, Section 2.4.2"
"N20","Sequential digital recording of craftsmanship process","Technology-enable Practice","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","Wooden-construction and rammed-earth craftsmanship processes are recorded in sequence.","A digital resource-collection practice that records the ordered stages of craftsmanship.","Page 2, Section 2.1.3"
"N21","Interactive knowledge graph","Technology-enable Practice","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","An interactive knowledge graph is constructed to digitize the recording of craftsmanship process.","An interactive graph-based practice for representing recorded craftsmanship processes.","Page 2, Section 2.1.3"
"N22","Graded-protection modeling workflow","Technology-enable Practice","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","Peng's Dwelling uses differentiated LOD precision and collaborative UAV and ground laser scanning to produce a high-precision 3D model.","A digital modeling workflow assigning different precision and protection intensity to building areas.","Pages 4-5, Section 3.1"
"N23","Living Inheritance Mode","Technology-enable Practice","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","Historical archives and AR scene overlays reconstruct living scenes at Peng's Dwelling.","An implemented heritage-interpretation mode that reconstructs historical living spaces through AR.","Page 5, Section 3.2"
"N24","Peng's Dwelling Digital Twin Platform","Technology-enable Practice","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","The platform restores historical scenes interactively across smartphones, AR glasses, and VR headsets.","A cross-platform system integrating historical interpretation, protection monitoring, and tourism operations.","Page 6, Section 3.3 and Figure 9"
"N25","Dynamic narrative system","Technology-enable Practice","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","The implemented dynamic narrative system increased visitors' historical cognition by 53%.","A system that presents and triggers historical content dynamically rather than through passive display.","Pages 2-4, Sections 1.2.2, 2.3.1, and Table 2"
"N26","Red Journey co-creation module","Technology-enable Practice","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","A Red Journey co-creation module is constructed in a virtual village where users upload wartime-themed materials.","A metaverse co-creation module that produces a dynamic digital archive from user uploads.","Pages 2-3, Section 2.2.2"
"N27","3D laser scanning","Digital Technology","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","The localized case implements 3D laser scanning to collect architectural data and generate precise models.","A scanning technology for high-precision three-dimensional point-cloud acquisition.","Pages 2 and 4-5, Sections 2.1.1 and 3.1"
"N28","UAV oblique photography","Digital Technology","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","Multi-angle UAV photography works with ground laser scanning to generate the Peng's Dwelling model.","Aerial image acquisition from multiple oblique viewing angles.","Pages 2 and 4-5, Sections 2.1.2 and 3.1"
"N29","ContextCapture software","Digital Technology","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","ContextCapture generates textured 3D models by stitching aerial images.","Software for photogrammetric image stitching and textured 3D-model generation.","Page 2, Section 2.1.2"
"N30","GIS software","Digital Technology","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","GIS software aggregates scattered 3D models into spatial distribution maps.","Geographic information system software for spatial aggregation and display.","Page 2, Section 2.1.2"
"N31","Thermal imaging scanning","Digital Technology","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","Thermal imaging scanning identifies hidden structural dangers such as wood decay and hollow walls.","A scanning technology that detects material and structural risk through thermal information.","Page 5, Section 3.1"
"N32","Virtual reality","Digital Technology","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","Virtual reality is implemented for data analysis, immersive exhibition, and cross-platform historical-scene restoration.","An immersive digital environment for presenting reconstructed heritage scenes.","Pages 1, 3-4, and 6"
"N33","Unity3D engine","Digital Technology","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","Unity3D supports the digital twin system, QR-triggered animation, and cross-platform virtual reality.","A real-time engine used to implement interactive digital-twin and virtual-reality content.","Pages 2 and 6, Sections 2.2.1 and 3.3"
