src_node_id,dst_node_id,relation_type,evidence_label,case_title,evidence_statement,evidence_location
N01,N03,be_held_by,E,The interactive use of augmented reality for educating the elderly on common age-related eye disease,The elderly population has limited knowledge and awareness of different types of eye diseases associated with visual disability.,"Page 2, Line 47"
N01,N03,be_absorbed_by,E,The interactive use of augmented reality for educating the elderly on common age-related eye disease,The intervention was found to significantly improve knowledge of age-related eye diseases among the elderly.,"Page 1, Line 16"
N02,N03,be_absorbed_by,I,The interactive use of augmented reality for educating the elderly on common age-related eye disease,"Apart from describing the visual impairments in different diseases, the participants could contextualize them with possible difficulties in patients' daily lives.","Page 7, Line 215-216"
N01,N05,be_transferred_by,E,The interactive use of augmented reality for educating the elderly on common age-related eye disease,The mainstream pedagogical methods involve utilizing pamphlets and governmental promotions to raise general awareness.,"Page 2, Line 48"
N01,N06,be_transferred_by,E,The interactive use of augmented reality for educating the elderly on common age-related eye disease,This study aims to assess the effectiveness of educating the elderly about common age-related eye disorders through a novel AR-based health education workshop.,"Page 1, Line 13"
N03,N06,participate_in,E,The interactive use of augmented reality for educating the elderly on common age-related eye disease,An AR-based education workshop was designed for the elderly to understand the major visual symptoms.,"Page 1, Line 14"
N04,N06,participate_in,E,The interactive use of augmented reality for educating the elderly on common age-related eye disease,Enabling the workshop instructor to apply simulated visual defects to their devices using the control panel interface.,"Page 4, Line 128"
N06,N01,evaluate,E,The interactive use of augmented reality for educating the elderly on common age-related eye disease,The effectiveness of the workshop was assessed by conducting pre- and post-activity surveys to measure the knowledge acquisition.,"Page 1, Line 15"
N06,N07,adopt,E,The interactive use of augmented reality for educating the elderly on common age-related eye disease,Our research aims to study the effectiveness of an AR-based educational workshop utilizing an AR application.,"Page 2, Line 61"
N07,N08,adopt,E,"The AR mobile application, which was developed by the authors, adopts the optical see-through (OST) display technology.",The interactive use of augmented reality for educating the elderly on common age-related eye disease,"Page 2, Line 68"
N07,N09,adopt,E,The interactive use of augmented reality for educating the elderly on common age-related eye disease,"With the visual simulation projected through the smartphone-linked headset, users can appreciate the impacts.","Page 3, Line 99-100"
N05,N10,be_constrained_by,E,The interactive use of augmented reality for educating the elderly on common age-related eye disease,"However, these approaches lack the first-hand perception of symptoms of disorders, hence hindering their effectiveness.","Page 2, Line 49"
N06,N10,resolve,I,The interactive use of augmented reality for educating the elderly on common age-related eye disease,Our research aims to study the effectiveness of an AR-based educational workshop utilizing an AR application to educate the elderly on the visual symptoms.,"Page 2, Line 61-62"
N06,N11,be_constrained_by,E,The interactive use of augmented reality for educating the elderly on common age-related eye disease,Declined cognitive ability as a result of aging might be the reason that older participants might find it harder to retain and process.,"Page 7, Line 222"
N06,N12,be_constrained_by,E,The interactive use of augmented reality for educating the elderly on common age-related eye disease,"First, our study lacked a control group.","Page 8, Line 253"
