node_id,node_name,category,evidence_label,case_title,evidence_statement,object_definition,evidence_location
c101M01N01,Board-certified pediatric surgeons,Knowledge Holder,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,Standardized 6-10 min lecture scripts were developed by board-certified pediatric surgeons.,Expert clinicians responsible for curriculum design and content validation.,"PAGE 2, Line 77"
c101M01N02,Clinical medical students (years 3-5),Knowledge Holder,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,Eligible participants included clinical medical students (years 3-5),Medical undergraduate trainees evaluating the enhanced video interventions.,"PAGE 2, Line 68"
c101M01N03,Junior residents (PGY 1-2),Knowledge Holder,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,"with smaller proportions of junior residents PGY 1-2 (n=20, 8.3%)",Early-stage postgraduate surgical trainees balancing clinical exposure constraints.,"PAGE 5, Line 154"
c101M01N04,Senior residents (PGY >=3),Knowledge Holder,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,"and senior residents PGY >=3 (n=10, 4.2%).",Advanced postgraduate trainees expanding theoretical surgical knowledge.,"PAGE 5, Line 154"
c101M01N05,Standardized lecture scripts,Explicit Knowledge,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,Standardized 6-10 min lecture scripts were developed by board-certified pediatric surgeons.,Codified theoretical clinical data on selected core surgical subjects.,"PAGE 2, Line 77"
c101M01N06,Knowledge acquisition,Tacit Knowledge,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,Primary outcomes were perceived educational clarity and knowledge acquisition assessed by a 40-item multiple-choice examination.,The internalized cognitive command of core pediatric surgical data.,"PAGE 1, Line 12"
c101M01N07,Perceived educational clarity,Tacit Knowledge,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,Primary outcomes were perceived educational clarity (five-point Likert scale) and knowledge acquisition,Trainee comprehension confidence and internal presentation processing fidelity.,"PAGE 1, Line 12"
c101M01N08,Traditional surgical residency training,Traditional Human-central Practice,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,Pediatric surgery training is challenged by declining clinical exposure and limited access to high-quality educational resources.,The established curriculum reliant on operating room volumes and textbook reading.,"PAGE 1, Line 7"
c101M01N09,Locally deployed AI-enhanced video-based learning,Technology-enable Practice,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,To evaluate the educational impact and cost efficiency of locally deployed AI-enhanced lecture videos compared with standard faculty-recorded videos,A digital training framework leveraging on-premise generative AI tools to refine visual assets.,"PAGE 1, Line 9"
c101M01N10,FLUX.1-Fill,Digital Technology,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,AI background replacement using FLUX.1-Fill (inpainting) and FLUX.1-dev (development) models,Generative AI model dedicated to localized image inpainting tasks.,"PAGE 3, Line 100"
c101M01N11,FLUX.1-dev,Digital Technology,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,AI background replacement using FLUX.1-Fill (inpainting) and FLUX.1-dev (development) models,Generative development base model facilitating quality optimization.,"PAGE 3, Line 100"
c101M01N12,ComfyUI,Digital Technology,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,"AI enhancement used FLUX.1-Fill and FLUX.1-dev models via ComfyUI, an open-source workflow interface",Open-source node-based graphical interface for running diffusion models.,"PAGE 3, Line 109"
c101M01N13,GGUF Q8 quantization,Digital Technology,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,with models loaded using GGUF Q8 quantization reducing computational requirements,A high-fidelity compression method allowing publication-grade AI operation on limited hardware.,"PAGE 3, Line 109"
c101M01N14,DaVinci Resolve,Digital Technology,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,All video assembly occurred in DaVinci Resolve. This frame-based approach provided precise control,Non-linear video editing software used to assemble frames and manage selective masks.,"PAGE 3, Line 97"
c101M01N15,Adobe Podcast's free web-based enhancement tool,Digital Technology,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,with professional quality achieved through Adobe Podcast's free web-based enhancement tool.,An AI-driven audio filtering application for enhancing dialogue tracks.,"PAGE 3, Line 94"
c101M01N16,Institutionally subsidized faculty time,Organizational Dependency,I,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,This trade-off favors AI enhancement when faculty time is institutionally subsidized,The ongoing availability of salaried educator hours allocated for media editing.,"PAGE 7, Line 235"
c101M01N17,Consumer-grade laptop hardware,Organizational Dependency,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,reducing computational requirements to enable operation on consumer-grade laptop (Lenovo Legion 5 Pro with 6GB VRAM).,Standard computing equipment with limited graphics memory capacity.,"PAGE 3, Line 109"
c101M01N18,Resource-limited settings,Environmental Dependency,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,"This approach represents a practical, scalable strategy for enhancing pediatric surgery education, particularly in resource-limited settings.",Medical training facilities lacking corporate studio budgets or green-screen infrastructure.,"PAGE 1, Line 19"
c101M01N19,Declining clinical exposure,Limitation,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,Pediatric surgery education faces significant challenges in contemporary medical training. General surgery residents complete only 33.8 designated pediatric cases,The severe contraction of physical operating room case availability for trainees.,"PAGE 1, Lines 22-23"
c101M01N20,High cost of professional studio production,Limitation,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,High-quality video production typically requires professional studios with substantial costs,"The financial barrier associated with studio rentals, videographers, and equipment fees.","PAGE 2, Line 48"
c101M01N21,Green screen technical challenges,Limitation,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,"Green screen chroma keying presents substantial technical challenges: uneven lighting causing shadows and hot spots, color spill requiring extensive correction",The array of infrastructure requirements and post-production flaws inherent to chroma key setups.,"PAGE 2, Line 49"
c101M01N22,Lack of long-term retention assessment,Limitation,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,"Second, outcomes were assessed immediately after video viewing; therefore, long-term knowledge retention and transfer to clinical performance were not evaluated.",The absence of multi-month follow-up or longitudinal transfer tracking in the evaluation.,"PAGE 8, Line 258"
c101M02N01,Pediatric surgery lecture scripts,Explicit Knowledge,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,Standardized 6-10 min lecture scripts were developed by board-certified pediatric surgeons.,Written educational content used as source material for videos.,"Page 2, Methods – Educational content"
c101M02N02,Expert-curated illustrations,Explicit Knowledge,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,Overlay of expert-curated illustrations using DaVinci Resolve.,Visual diagrams and conceptual drawings added to videos.,"Page 3, Video production – Standard video production"
c101M02N03,40-item multiple-choice examination,Explicit Knowledge,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,Knowledge acquisition assessed by a 40-item multiple-choice examination.,Standardised test to measure short-term knowledge gain.,"Page 2, Primary outcomes"
c101M02N04,Knowledge acquisition scores (%),Explicit Knowledge,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,Mean scores were 76.8% (SD 9.2) AI-enhanced versus 69.5% (SD 10.4) standard.,Quantified test performance of participants.,"Page 5, Results – Primary educational outcomes"
c101M02N06,Confidence in understanding,Tacit Knowledge,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,Confidence in understanding (component of clarity scale) was significantly higher in AI-enhanced group (4.49 vs. 3.93).,Learner’s self-assessed comprehension.,"Page 5, Results – Primary educational outcomes"
c101M02N07,Visual comfort,Tacit Knowledge,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,Secondary outcome: visual comfort (mean 4.48 vs. 3.91; p<0.001).,Subjective ease of viewing the video.,"Page 5, Secondary outcomes and subgroup analyses"
c101M02N08,Perceived professionalism,Tacit Knowledge,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,Secondary outcome: perceived professionalism (mean 4.51 vs. 3.89; p<0.001).,Learner’s judgement of video production quality.,"Page 5, Secondary outcomes and subgroup analyses"
