src_node_id,dst_node_id,relation_type,evidence_label,case_title,evidence_statement,evidence_location
N02,N01,be_derived_from,E,"'Removing a Blindfold': Perspectives of Physical Therapists After Completing the PEAK‐Portuguese E‐Learning Course","Clinical practice guidelines in the musculoskeletal field recommend physical exercise, patient education, and body weight control (Bannuru et al. 2019; Kolasinski et al. 2020; Moseng et al. 2024)","Page 1"
N03,N01,be_derived_from,E,"'Removing a Blindfold': Perspectives of Physical Therapists After Completing the PEAK‐Portuguese E‐Learning Course","The PEAK-PT e-learning course includes content about OA, pain management, strengthening exercise and physical activity (Jorge et al. 2021)","Page 2"
N03,N02,be_derived_from,E,"'Removing a Blindfold': Perspectives of Physical Therapists After Completing the PEAK‐Portuguese E‐Learning Course","The course contains the core KOA management recommendations from clinical practice guidelines","Page 6"
N05,N02,be_derived_from,E,"'Removing a Blindfold': Perspectives of Physical Therapists After Completing the PEAK‐Portuguese E‐Learning Course","Specific components of the PEAK-PT programme (patient education, strength exercises and physical activity plan)","Page 2"
N06,N02,be_derived_from,E,"'Removing a Blindfold': Perspectives of Physical Therapists After Completing the PEAK‐Portuguese E‐Learning Course","The part with the health education was the most impressive for me","Page 5"
N03,N07,translate_into,E,"'Removing a Blindfold': Perspectives of Physical Therapists After Completing the PEAK‐Portuguese E‐Learning Course","Participants reported that the course increased their safety and confidence to prescribe physical exercise and health education","Page 5-6"
N03,N08,translate_into,E,"'Removing a Blindfold': Perspectives of Physical Therapists After Completing the PEAK‐Portuguese E‐Learning Course","in relation to telehealth, it was what impacted me the most, because I had never had that experience","Page 5"
N03,N09,translate_into,E,"'Removing a Blindfold': Perspectives of Physical Therapists After Completing the PEAK‐Portuguese E‐Learning Course","the part with the health education was the most impressive for me","Page 5"
N03,N10,translate_into,E,"'Removing a Blindfold': Perspectives of Physical Therapists After Completing the PEAK‐Portuguese E‐Learning Course","my expectations during the training really helped me gain more confidence in...","Page 5-6"
N05,N07,translate_into,I,"'Removing a Blindfold': Perspectives of Physical Therapists After Completing the PEAK‐Portuguese E‐Learning Course","Participants reported that the course increased their safety and confidence to prescribe physical exercise","Page 5-6"
N07,N11,be_held_by,E,"'Removing a Blindfold': Perspectives of Physical Therapists After Completing the PEAK‐Portuguese E‐Learning Course","Physical therapists also reported reduced confidence in knowledge and clinical skills for appropriate KOA management","Page 2"
N07,N13,be_held_by,E,"'Removing a Blindfold': Perspectives of Physical Therapists After Completing the PEAK‐Portuguese E‐Learning Course","I felt very confident, and the expectations during the training really helped me gain more confidence","Page 5-6"
N08,N11,be_held_by,E,"'Removing a Blindfold': Perspectives of Physical Therapists After Completing the PEAK‐Portuguese E‐Learning Course","physical therapists largely reported limited exposure to telehealth, uncertainty about its effectiveness, and insufficient training","Page 2"
N09,N13,be_held_by,E,"'Removing a Blindfold': Perspectives of Physical Therapists After Completing the PEAK‐Portuguese E‐Learning Course","All participants reported a positive impact of the PEAK-PT on their profession","Page 5"
N10,N14,be_held_by,E,"'Removing a Blindfold': Perspectives of Physical Therapists After Completing the PEAK‐Portuguese E‐Learning Course","four (25%) out of the 16 clinically practicing participants reported having used learnings from the PEAK-PT to their practice","Page 3"
N33,N11,be_held_by,E,"'Removing a Blindfold': Perspectives of Physical Therapists After Completing the PEAK‐Portuguese E‐Learning Course","Physical therapists also reported reduced confidence in knowledge and clinical skills for appropriate KOA management","Page 2"
N07,N13,be_absorbed_by,E,"'Removing a Blindfold': Perspectives of Physical Therapists After Completing the PEAK‐Portuguese E‐Learning Course","I felt very confident, and the expectations during the training really helped me gain more confidence","Page 5-6"
