node_id,node_name,category,evidence_label,case_title,evidence_statement,object_definition,evidence_location,Unnamed: 8
c101M01N04,"informal, manual communication",Traditional Human-central Practice,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,"The existing maintenance workflow is described as relying on informal, manual communication.",Human-mediated communication used in the existing reactive maintenance workflow.,"Page 5, Section 3.1",
c101M01N05,verbal reporting of a machine fault,Traditional Human-central Practice,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,The process begins when an operator verbally reports a machine fault to a supervisor.,A spoken report that initiates the maintenance workflow.,"Page 5, Section 3.1",
c101M01N06,verbal explanation of the problem,Traditional Human-central Practice,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,The operator finds the maintenance supervisor and verbally explains the problem.,A spoken explanation of the observed equipment problem.,"Page 5, Section 3.2, Step 1",
c101M01N07,manual inventory checks,Traditional Human-central Practice,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,The technician returns to the workshop to check the physical spare-parts inventory.,Physical checking of spare-part availability.,"Page 5, Sections 3.1–3.2",
c101M01N08,paper-based purchase requests,Traditional Human-central Practice,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,The technician fills out a paper purchase request and leaves it on the procurement manager's desk.,A paper mechanism for requesting an unavailable replacement part.,"Page 5, Sections 3.1–3.2",
c101M01N09,handwritten 'Awaiting Part' sign,Traditional Human-central Practice,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,The technician leaves a handwritten Awaiting Part sign on the machine.,A local handwritten notice indicating that work is waiting for a replacement part.,"Page 5, Section 3.2, Step 1",
c101M02N34,Supervisor's on-the-spot technician assignment,Traditional Human-central Practice,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,The supervisor grabs the nearest available technician,Action of assigning a technician to investigate,Page 5,
c102M02N21,Scene perception,Traditional Human-central Practice,E,Large Language Model For Humanoid Cognition In Proactive Human-Robot Collaboration,"utilized to detect various objects, such as humans, robots, and industrial parts, within the HRC workspace",Traditional object detection module,Page 3,
c102M02N22,Scene graph construction,Traditional Human-central Practice,E,Large Language Model For Humanoid Cognition In Proactive Human-Robot Collaboration,learns the relationships between these objects and establishes connections using diverse edge types,Traditional relationship learning module,Page 3,
c102M02N23,Task interpretation,Traditional Human-central Practice,E,Large Language Model For Humanoid Cognition In Proactive Human-Robot Collaboration,"based on the object-predict-subject triples derived from the scene graph, task interpretations for different HRC scenarios are generated",Traditional interpretation generation module,Page 3,
c103M02N12,Camera-based video capture,Traditional Human-central Practice,E,Deep Extreme Learning Machine With Its Application To Body-Conducted-Sound-Based Handwork Recognition,Several studies have adopted videos captured by cameras as a modality to identify handwork.,Traditional visual method for handwork recognition using cameras to capture hand movements.,Section 1,
c104M01N09,instructor demonstration,Traditional Human-central Practice,E,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,"Before assisted assembly, instructors demonstrated how to assemble the circuit and provided IoT information.",Human-led demonstration of the target assembly procedure and relevant subject information.,"Figure 4, p. 8",
c104M01N10,paper-based manual intervention,Traditional Human-central Practice,E,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,"Paper-group participants repeatedly referred to a book manual, alternating between reading instructions and performing each assembly step.",Traditional learning intervention based on a printed book manual containing instructions and component images.,"Section 3.1, p. 5",
c104M01N11,three-phase knowledge tests,Traditional Human-central Practice,E,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,"Knowledge was assessed through a pre-test, an immediate post-test, and a delayed post-test one week later.","The repeated pre-test, immediate post-test, and one-week delayed post-test used to assess knowledge gain and retention.","Sections 3.3–3.4, pp. 7–8",
c104M02N13,Paper-based self-study,Traditional Human-central Practice,E,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,The paper group utilized a book manual as an assistance tool.,Participants read manual and assembled circuits.,Page 5,
c104M02N26,Expert validation,Traditional Human-central Practice,E,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,The items were reviewed by two subject matter experts separately.,Human review process to validate test items.,Page 7,
c104M02N27,Knowledge test administration,Traditional Human-central Practice,E,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,Participants were required to complete a knowledge test encompassing the topics IoT.,"The act of administering pre-, immediate, and delayed tests.",Page 7,
c105M01N18,Cognitive apprenticeship,Traditional Human-central Practice,E,Knowledge Retention Through Cognitive Support Technology (Cst) In The Manufacturing Industry: A Process Inventory,Traditional workplace instruction involved a master directly teaching an apprentice the required skills.,Direct workplace teaching from a master to an apprentice.,"PDF p. 2, Introduction",
c105M01N19,Paper and digital work-instruction use,Traditional Human-central Practice,E,Knowledge Retention Through Cognitive Support Technology (Cst) In The Manufacturing Industry: A Process Inventory,Companies used paper or digital instructions and printed drawings as conventional task guidance.,Human-led consultation of existing written work instructions.,"PDF p. 5, Phase 1 results",
