"node_id","node_name","category","evidence_label","case_title","evidence_statement","object_definition","evidence_location","sub_category_id","sub_category"
"c209M01N07","surgical skills","Tacit Knowledge","E","From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection","The study evaluated whether the models enhanced anatomical knowledge and surgical skills.","Applied ability to understand and carry out the relevant surgical procedure.","PDF p. 1, Abstract, Methods; PDF p. 7, Conclusion","TK05","Practised Motor and Tool-Operation Skill"
"c209M01N08","spatial understanding of anatomical structures","Tacit Knowledge","E","From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection","The novel method significantly enhanced students' spatial understanding of anatomical structures.","Learners' applied three-dimensional comprehension of anatomical structures.","PDF p. 7, Conclusion","TK06","Trained Sensory and Perceptual Recognition"
"c209M01N09","understanding of vascular spatial relationships","Tacit Knowledge","E","From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection","The 3DP group was rated significantly higher for understanding vascular spatial relationships.","Applied comprehension of the locations and three-dimensional relationships of pulmonary vessels.","PDF p. 5, Questionnaire survey results; Table 5","TK06","Trained Sensory and Perceptual Recognition"
"c209M01N10","segmental and subsegmental localization and resection techniques","Tacit Knowledge","E","From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection","Students and surgeons could grasp techniques for segmental and subsegmental localization and resection through demonstration with the 3DP model.","Practical know-how for locating and resecting pulmonary segments and subsegments.","PDF p. 6, Discussion","TK02","Knowledge Conveyed Through Examples or Demonstration"
"c209M02N03","3D spatial cognition of lung anatomy","Tacit Knowledge","E","From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection","This novel teaching method significantly enhances students' spatial understanding of anatomical structures","Cognitive ability to visualize and manipulate three‑dimensional relationships among bronchi, vessels, and sublobar divisions.","Page 7, Conclusion","TK06","Trained Sensory and Perceptual Recognition"
"c209M02N04","Intraoperative vascular injury avoidance skills","Tacit Knowledge","E","From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection","understand how to avoid intraoperative vascular injuries","Practical skills and situational awareness to identify and protect vulnerable vessels during dissection and segmentectomy.","Page 6, Discussion","TK06","Trained Sensory and Perceptual Recognition"
"c209M02N05","Safe margin-affected lung segment identification ability","Tacit Knowledge","E","From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection","No significant differences were found between the two groups regarding... identification of the lung segment range influenced by the safety margin","Skill to determine which lung segments fall within the required surgical resection boundaries based on tumor location and safe margin requirements.","Page 1, Results","TK10","Shared Professional Norms and Standards of Judgment"
"c209M02N06","Knowledge acquisition ease (3DP model)","Tacit Knowledge","E","From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection","3DP group demonstrated superiority in the ease of knowledge acquisition","Relative facility with which learners grasp new anatomical and surgical knowledge, measured by subjective feedback, favoured the 3DP model.","Page 1, Results","TK13","AmbiguousTacit Knowledge(*)"
"c209M02N07","Complex anatomical pathology comprehension","Tacit Knowledge","E","From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection","3DP models offer precise, individualized, and life-size physical models that help interns better grasp the spatial relationships between tumors, bronchi, and vascular structures","Deep understanding of pathological anatomical relationships, particularly how tumors interact with surrounding vascular and bronchial trees.","Page 5, Discussion","TK06","Trained Sensory and Perceptual Recognition"
"c210M01N07","Practical manoeuvres for PIVC placement","Tacit Knowledge","E","Impact Of A Wechat-Based Intervention On Nurses Knowledge And Practice In Peripheral Venous Catheter Insertion","A thirteen-item checklist and onsite observation assessed nurses’ performance in practical PIVC placement manoeuvres.","Demonstrated clinical performance and practical proficiency in PIVC placement.","PDF pp. 3 and 5-6; Data collection and Table 4","TK05","Practised Motor and Tool-Operation Skill"
