"node_id","node_name","category","evidence_label","case_title","evidence_statement","object_definition","evidence_location","sub_category_id","sub_category"
"c001M01N01","Excavation safety knowledge","Explicit Knowledge","E","Immersive virtual reality training for excavation safety and hazard identification","This knowledge test included ten multiple-choice questions covering the seven critical hazards identified in Section 3.3.","Specific codified facts and parameters regarding safety distances, shoring, and utilities.","Page 13, Section 5.2.1","EK04","Operational Procedures & Records"
"c001M01N14","Interactive questioning strategy","Explicit Knowledge","E","Immersive virtual reality training for excavation safety and hazard identification","This study adopted questioning as the instructional method for the immersive VR training system... Questions can stimulate thinking and enhance engagement","The codified pedagogical framework embedded in the application to drive cognitive retrieval and execution loop.","Page 8, Section 3.4","EK04","Operational Procedures & Records"
"c001M02N01","OSHA Trenching and Excavation Safety guidelines","Explicit Knowledge","E","Immersive virtual reality training for excavation safety and hazard identification","The training objectives were developed based on two guidelines: Occupational Safety and Health Administration (OSHA) Trenching and Excavation Safety","Not mentioned","p.8, Section 3.3","EK01","Regulatory Standards & Guidelines"
"c001M02N02","WorkSafe Excavation Safety guidelines","Explicit Knowledge","E","Immersive virtual reality training for excavation safety and hazard identification","The training objectives were developed based on two guidelines: WorkSafe Excavation Safety","Not mentioned","p.8, Section 3.3","EK01","Regulatory Standards & Guidelines"
"c001M02N03","Health and safety manual","Explicit Knowledge","E","Immersive virtual reality training for excavation safety and hazard identification","Control group received training via an excavation health and safety manual","A traditional training method consisting of a printed manual","p.13, Section 5","EK04","Operational Procedures & Records"
"c001M02N04","Seven critical hazards list","Explicit Knowledge","E","Immersive virtual reality training for excavation safety and hazard identification","Seven critical hazards were selected as the training objectives: absence of safety officer, absence of soil protection, objects near edges, absence of safe access/egress, workers close to utilities, absence of barriers/signage, workers in unsafe zone","Not mentioned","p.8, Section 3.3","EK04","Operational Procedures & Records"
"c002M01N03","Technical Standard for Digitalization of Historical Buildings (2021)","Explicit Knowledge","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","A graded protection framework is proposed based on Technical Standards for Historical Building Digitization (2021).","Rule-based national technical guideline for modeling metrics.","Page 2, Section 1.2.1","EK01","Regulatory Standards & Guidelines"
"c002M01N04","Digital Protection Standard for Intangible Cultural Heritage (2023)","Explicit Knowledge","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","A dynamic narrative system is proposed under the standard of Digital Protection of Intangible Cultural Heritage (2023).","Rule-based cataloguing standard for safeguarding intangible heritage.","Page 2, Section 1.2.2","EK01","Regulatory Standards & Guidelines"
"c002M02N01","3D point cloud model","Explicit Knowledge","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","millimeter-level point cloud modeling","3D representation of building geometry from laser scanning","Section 2.1.1","EK02","Technical Models & Project Documentation"
"c002M02N02","Historical knowledge retention rate 58%","Explicit Knowledge","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","improves historical knowledge retention rate by 58%","Percentage improvement in visitor recall of historical facts","Abstract, Section 1.2.2","EK03","Analytical Methods, Algorithms & Metrics"
"c002M02N03","LOD400 modeling precision","Explicit Knowledge","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","LOD400 modeling precision is adopted for projects in the central urban districts","Level of Detail 400 – millimeter-scale modeling with full ornamentation","Section 2.4.1","EK02","Technical Models & Project Documentation"
"c002M02N05","GIS spatial distribution map","Explicit Knowledge","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","the scattered 3D models are aggregated into spatial distribution maps","Map showing building density, age distribution, and heritage conservation planning data","Section 2.1.2","EK02","Technical Models & Project Documentation"
