node_id,node_name,category,evidence_label,case_title,evidence_statement,object_definition,evidence_location
c125M01N01,basic skillset of an “Engineer 4.0”,Tacit Knowledge,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,The platform focuses on developing the basic skillset of an Engineer 4.0 in shop floor workers and engineering students.,A foundational set of skills needed to support smart-manufacturing technology deployment.,"Abstract; Section 1, PDF pages 1 and 3"
c125M01N02,(digital) skills,Tacit Knowledge,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,"The platform and workshops are intended to develop digital skills, and participants reported acquiring knowledge and digital skills.",Skills for engaging in the digital transformation of manufacturing work and shop floors.,"Abstract; Sections 2, 3.3, and 4, PDF pages 1, 3, 6–7"
c125M01N03,hands-on experience,Tacit Knowledge,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,Workshops and training provide workers with skills and hands-on experience for deploying low-cost smart-manufacturing solutions.,Experience acquired through direct learning-by-doing activities in realistic scenarios.,"Section 2, Step 4, PDF page 4"
c125M01N04,knowledge and skills needed to create (low-cost) smart manufacturing solutions,Tacit Knowledge,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,"Experiential learning supports owners, workers, and students in gaining the knowledge and skills needed to create low-cost smart-manufacturing solutions.",Practical knowledge and abilities required to create low-cost smart-manufacturing solutions.,"Section 3, PDF page 4"
c125M01N06,small manufacturing businesses’ pain points,Explicit Knowledge,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,"The maturity questionnaire identifies business pain points, and the platform presents possible solutions for key pain points.",Identified production or digital-transformation problems experienced by a small manufacturing business.,"Sections 2, 3.1, and 3.4, PDF pages 3, 5–7"
c125M01N07,Industry 4.0 maturity level,Explicit Knowledge,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,The maturity scan determines business readiness and assigns maturity levels for five assessment categories and an overall index.,A platform-calculated indication of readiness for adopting smart-manufacturing solutions.,"Sections 2 and 3.4, PDF pages 3 and 6–7"
c125M01N08,key performance indicators,Explicit Knowledge,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,"Pain-point identification uses key performance indicators, and businesses begin by defining their main targets using those indicators.",Measures used to identify business pain points and operational targets.,"Sections 2 and 3; Figure 2, PDF pages 3–4"
c125M01N09,training curriculum,Explicit Knowledge,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,The host website communicates the PiTech Academy motive and vision together with its training curriculum.,The organized training content communicated through the PiTech Academy website.,"Abstract; Section 3.4, PDF pages 1 and 6"
c125M01N10,system-based training modules,Explicit Knowledge,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,System-based training modules are developed after a solution is selected to facilitate its adoption.,Training content based on a selected and developed smart-manufacturing solution.,"Section 2, Step 3, PDF page 3"
c125M01N11,(low-cost) smart manufacturing solution designs,Explicit Knowledge,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,Engineering students collaborate with shop floor workers to develop multiple solution designs for analysis and selection.,Documented product or process designs intended to address identified pain points.,"Sections 2 and 3.1, PDF pages 3 and 5"
c125M01N13,researchers,Knowledge Holder,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,"Researchers developed the two-day workshop and, with engineering students, experiential-learning modules.",Not mentioned,"Sections 3.1–3.2, PDF page 5"
c125M01N14,engineering students,Knowledge Holder,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,"Engineering students assess readiness, co-develop solutions, and develop system-based and experiential-learning modules.",Not mentioned,"Sections 2 and 3.1, PDF pages 3 and 5"
c125M01N15,industrial partners,Knowledge Holder,I,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,Industrial partners supply company pain points and collaborate with engineering students in developing solutions.,Small manufacturing businesses collaborating with academic participants in applied research and training.,"Sections 2 and 3.1, PDF pages 3 and 5"
c125M01N16,small manufacturing business owners,Knowledge Holder,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,Owners participated in the maturity-model activity concerning their businesses’ potential pain points.,Not mentioned,"Sections 3 and 3.2, PDF pages 4–5"
c125M01N17,small manufacturing business owners,Knowledge Learner,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,Small manufacturing business owners attended the experiential-learning workshop and were surveyed about its impact.,Not mentioned,"Sections 3 and 3.3, PDF pages 4–5"
c125M01N18,shop floor workers,Knowledge Learner,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,Shop floor workers participated in the workshop and were intended to gain skills for deploying solutions.,Not mentioned,"Abstract; Sections 2, 3, and 3.3, PDF pages 1 and 4–5"
c125M01N19,engineering students,Knowledge Learner,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,Engineering students attended the hands-on experiential-learning workshop and were surveyed about its impact.,Not mentioned,"Sections 3 and 3.3, PDF pages 4–5"
c125M01N20,traditional teaching methods,Traditional Human-central Practice,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,Traditional teaching methods are reported to have limited effectiveness in developing individual manufacturing skills.,Conventional teaching approaches contrasted with action-oriented and experiential learning.,"Section 1, PDF page 2"
c125M01N21,theoretical presentation,Traditional Human-central Practice,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,Participants thought the theoretical presentation should be shortened so hands-on activity time could be increased.,A presentation-based component of the Lean Manufacturing Methods and Tools activity.,"Section 3.3, PDF page 6"
c125M01N22,PiTech Academy learning platform,Technology-enable Practice,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,"The PiTech Academy was developed and implemented as a common learning platform for training, solution development, and maturity self-scanning.",An applied learning platform supporting knowledge and technology transfer to small manufacturing businesses.,"Sections 1–2 and 4, PDF pages 3 and 7"
c125M01N23,learning factory environments,Technology-enable Practice,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,The methodology was validated in learning factory environments using a learning-by-doing approach.,"Realistic learning environments in which applied research, solution development, and hands-on training occur.","Sections 1, 3.1, and 4, PDF pages 2–3, 5, and 7"
c125M01N24,two-day hands-on workshop,Technology-enable Practice,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,Researchers implemented a two-day hands-on workshop containing five technology and manufacturing activities.,An implemented experiential-learning event for small manufacturing businesses and engineering students.,"Abstract; Sections 3.2–3.3 and 4, PDF pages 1 and 5–7"
c125M01N25,“experiential learning” modules,Technology-enable Practice,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,Engineering students and researchers develop experiential-learning modules for hands-on industry workshops and solution knowledge and technology transfer.,Modules supporting hands-on exposure to real scenarios and solution transfer.,"Section 3.1, PDF page 5"
c125M01N26,Industry 4.0 maturity scan tool,Technology-enable Practice,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,"The tool uses questionnaire information to assess readiness, identify pain points, assign category maturity levels, and calculate an overall maturity index.",An online questionnaire-based self-assessment mechanism for Industry 4.0 readiness.,"Sections 2, 3.1, and 3.4, PDF pages 3 and 5–7"
c125M01N27,PiTech Academy online platform,Technology-enable Practice,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,"The online platform hosts the maturity scan, allows user sign-up and self-assessment, assigns maturity levels, and presents possible solutions.",The web-based PiTech Academy component hosting the maturity assessment and training information.,"Section 3.4, PDF pages 6–7"
c125M01N28,workshop impact survey,Technology-enable Practice,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,"At the end of the activities, attendees were surveyed about workshop impact, activity feedback, and knowledge and digital skills acquired.",A participant-feedback instrument used to evaluate the implemented workshop.,"Abstract; Section 3.3, PDF pages 1 and 5–6"
c125M01N29,Additive Manufacturing,Digital Technology,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,Additive Manufacturing was one of the technologies used in the implemented two-day workshop.,Not mentioned,"Abstract; Sections 3.2–3.3, PDF pages 1 and 5–6"
c125M01N30,Internet of Things (IoT) devices/systems,Digital Technology,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,IoT devices and systems were used in a workshop activity and described as supporting automated manufacturing-data collection and transfer.,Devices or systems used to automate manufacturing-process and equipment data collection and transfer.,"Sections 3.1–3.3, PDF pages 5–6"
c125M01N31,Collaborative Robotics (Cobots),Digital Technology,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,"Collaborative Robotics was used in an implemented workshop activity; collaborative robots can assist workers with kits, tools, parts, or workpieces.",Robotic systems intended to work alongside shop floor workers as a third hand.,"Sections 3.1–3.3, PDF pages 5–6"
c125M01N32,collaboration between the University of Alberta and the Tecnológico de Monterrey,Organizational Dependency,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,The common learning platform was developed through collaboration between the two universities.,Institutional collaboration underpinning development of the PiTech Academy.,"Sections 1–2 and 4, PDF pages 3 and 7"
c125M01N33,advanced level of electronics,Organizational Dependency,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,Some participants found the IoT activity difficult without an advanced level of electronics.,Participant capability needed to follow the reported IoT hands-on activity without substantial difficulty.,"Section 3.3, PDF page 6"
c125M01N35,limited effectiveness in developing individual skills,Limitation,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,Traditional teaching methods have shown limited effectiveness in developing individual skills in manufacturing environments.,A shortcoming of conventional teaching for practical manufacturing-skill development.,"Section 1, PDF page 2"
c125M01N37,difficulty tailoring training plans to company-specific requirements,Limitation,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,Tailoring training to company requirements is difficult because small businesses have varied pain points requiring specially designed hands-on modules.,The difficulty of matching training content to heterogeneous company needs and pain points.,"Section 1, PDF page 2"
c125M01N38,hands-on IoT activity difficulty for people without an advanced level of electronics,Limitation,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,Participants reported that the hands-on IoT activity was difficult for people without advanced electronics knowledge.,A participant-knowledge barrier affecting the accessibility of the IoT exercise.,"Section 3.3, PDF page 6"
c125M01N39,time for the theoretical presentation could be shortened,Limitation,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,Participants wanted the theoretical presentation shortened and hands-on activity time increased.,An imbalance between presentation time and practical activity time.,"Section 3.3, PDF page 6"
c125M01N40,maturity-scan questions should be simplified and answers detailed through examples,Limitation,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,Participants requested simpler questions and more detailed example-based answers for judging shop-floor technological status.,Question and feedback complexity affecting the maturity-scan activity.,"Section 3.3, PDF pages 5–6"
c125M01N42,Insights into Additive Manufacturing activity,Technology-enable Practice,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,Insights into Additive Manufacturing was one of five implemented workshop activities.,A hands-on workshop activity introducing participants to Additive Manufacturing.,"Sections 3.2–3.3, PDF pages 5–6"
c125M01N43,Insights into IoT devices/systems activity,Technology-enable Practice,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,Insights into IoT devices and systems was one of five implemented workshop activities.,A hands-on workshop activity introducing participants to Internet of Things devices and systems.,"Sections 3.2–3.3, PDF pages 5–6"
c125M01N44,Insights into Collaborative Robotics activity,Technology-enable Practice,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,Insights into Collaborative Robotics was one of five implemented workshop activities.,A hands-on workshop activity introducing participants to Collaborative Robotics.,"Sections 3.2–3.3, PDF pages 5–6"
c125M01N45,Insights into Lean Manufacturing Methods and Tools activity,Technology-enable Practice,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,Insights into Lean Manufacturing Methods and Tools was one of five implemented workshop activities.,A workshop activity combining a theoretical presentation with hands-on work on Lean Manufacturing Methods and Tools.,"Sections 3.2–3.3, PDF pages 5–6"
c125M01N46,need for more hands-on activities,Limitation,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,Participants in the Additive Manufacturing activity stated that they would like more hands-on activities.,Insufficient hands-on activity time or coverage in the Additive Manufacturing workshop component.,"Section 3.3, PDF page 6"
c125M02N01,Industry 4.0 maturity scan questionnaire,Explicit Knowledge,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,"The Industry 4.0 maturity scan assesses a manufacturing business in five categories: (i) strategy, structure, and organisational culture, (ii) workforce, (iii) smart factories, (iv) smart processes, and (v) smart products and services through a questionnaire",A codified assessment tool with standardized questions to evaluate digital maturity across five categories,"Page 6, Section 3.4"
c125M02N02,Workshop survey feedback data,Explicit Knowledge,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,the attendees were surveyed to learn about the impact of this hands-on experiential learning event on their willingness to explore the possibilities to digitally enhance and/or smartify their production operations,Structured feedback data collected from workshop participants to evaluate impact,"Page 5, Section 3.3"
c125M02N06,Hands-on skills in smart manufacturing technologies,Tacit Knowledge,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,Experimental learning is a learning-by-doing approach where humans are exposed to hands-on activities to experience real scenarios,Practical skills gained through direct interaction with manufacturing technologies,"Page 4, Section 3"
c125M02N07,Decision-making capabilities,Tacit Knowledge,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,"Participants reported increased knowledge acquisition, improved decision-making, and enhanced organisational collaboration",Improved ability to make operational decisions from experiential learning,"Page 6, Section 3.3"
c125M02N08,Collaboration skills,Tacit Knowledge,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,"engineering students will work in collaboration with shop floor workers, in the learning factory, to develop multiple solution designs",Ability to work effectively across academic and industrial contexts,"Page 3, Step 2"
c125M02N10,Shop floor workers,Knowledge Holder,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,small manufacturing business managers and their shop floor workers to engage with engineering students,Workers holding operational and hands-on production knowledge; also primary learners in the workshops,"Page 1, Abstract"
c125M02N14,Self-study,Traditional Human-central Practice,I,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,"some learning platforms based on e-learning and digital learning factories can be considered effective tools. However, the lack of face-to-face training and physical interaction within teams presents a clear deficiency when compared to physical learning factories",Independent learning through reading materials and online resources,"Page 2, Section 1"
c125M02N17,Industry 4.0 maturity scan self-assessment tool,Technology-enable Practice,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,This maturity scan is used to determine the maturity level (readiness) of small manufacturing businesses for the adoption of smart manufacturing solutions,Digital self-assessment tool for evaluating Industry 4.0 readiness,"Page 6, Section 3.4"
c125M02N21,Physical learning factory environment,Environmental Dependency,E,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,proper implementation of physical learning factories to create appropriate (smart) manufacturing learning environments,"Physical facility emulating real manufacturing environments, required for hands-on workshops","Page 2, Section 1"
c125M02N22,Industry regulations and standards,Environmental Dependency,I,Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories,not explicitly stated but implied by need for manufacturing businesses to stay competitive and comply,External regulatory requirements for manufacturing operations that shape training needs,"Page 1, Section 1"
