"src_node_id","dst_node_id","relation_type","evidence_label","case_title","evidence_statement","evidence_location"
"N01","N02","be_shared_by","I","TACIT KNOW-HOW MADE VISIBLE: USING CONVERSATIONAL AI FOR BUSINESS-PROCESS DOCUMENTATION","The session's goal was to transform tacit maintenance-process knowledge, and the user supplied the complete process description.","Page 5, Section 3.2"
"N01","N03","be_shared_by","E","TACIT KNOW-HOW MADE VISIBLE: USING CONVERSATIONAL AI FOR BUSINESS-PROCESS DOCUMENTATION","The paper locates undocumented, experience-based organizational know-how in veteran staff.","Page 1, Section 1.1"
"N01","N10","be_captured_by","E","TACIT KNOW-HOW MADE VISIBLE: USING CONVERSATIONAL AI FOR BUSINESS-PROCESS DOCUMENTATION","The chatbot converts tacit operational knowledge into formal BPMN diagrams.","Pages 5–6, Sections 3.2 and 4"
"N01","N11","be_captured_by","E","TACIT KNOW-HOW MADE VISIBLE: USING CONVERSATIONAL AI FOR BUSINESS-PROCESS DOCUMENTATION","The interactive dialogue was conducted to transform tacit maintenance knowledge into a structured AS-IS model.","Page 5, Section 3.2"
"N01","N04","be_transferred_by","E","TACIT KNOW-HOW MADE VISIBLE: USING CONVERSATIONAL AI FOR BUSINESS-PROCESS DOCUMENTATION","The existing workflow relies on informal, manual communication rather than formal documentation.","Page 5, Section 3.1"
"N01","N06","be_transferred_by","I","TACIT KNOW-HOW MADE VISIBLE: USING CONVERSATIONAL AI FOR BUSINESS-PROCESS DOCUMENTATION","The operator verbally explains the maintenance problem as part of the informal workflow later supplied to the chatbot.","Page 5, Section 3.2, Step 1"
"N02","N11","participate_in","E","TACIT KNOW-HOW MADE VISIBLE: USING CONVERSATIONAL AI FOR BUSINESS-PROCESS DOCUMENTATION","The evaluation consists of an interactive dialogue between the user and the chatbot.","Page 5, Section 3.2"
"N02","N10","participate_in","E","TACIT KNOW-HOW MADE VISIBLE: USING CONVERSATIONAL AI FOR BUSINESS-PROCESS DOCUMENTATION","The user converses with the chatbot, supplies the process narrative, and requests analysis and revision.","Page 5, Section 3.2"
"N10","N12","be_composed_of","E","TACIT KNOW-HOW MADE VISIBLE: USING CONVERSATIONAL AI FOR BUSINESS-PROCESS DOCUMENTATION","The modular architecture separates the conversational interface from the intelligence and visualization layers.","Page 3, Section 2"
"N10","N13","be_composed_of","E","TACIT KNOW-HOW MADE VISIBLE: USING CONVERSATIONAL AI FOR BUSINESS-PROCESS DOCUMENTATION","Client-side process visualization is one of the prototype's three key implemented components.","Page 3, Section 2.1"
